,Number,Score,Rank
0,0,"0,01018",50.0
1,1,"0,025",30.0
2,2,"0,00696",53.0
3,3,"0,02339",31.0
4,4,"0,02761",28.0
5,5,"0,15148",6.0
6,6,"0,45888",3.0
7,7,"0,00394",76.0
8,8,"0,04238",20.0
9,9,"0,00368",80.5
10,10,"0,03783",22.0
11,11,"0,03351",23.0
12,12,"0,00635",57.0
13,13,"0,00413",74.0
14,14,"0,00651",56.0
15,15,"0,01126",46.0
16,16,"0,00344",86.0
17,17,"0,00447",71.0
18,18,"0,00844",51.0
19,19,"0,26859",4.0
20,20,"1,30538",1.0
21,21,"0,06443",13.0
22,22,"0,00418",73.0
23,23,"0,02247",33.0
24,24,"0,00357",84.0
25,25,"0,00208",98.0
26,26,"0,0037",79.0
27,27,"0,00539",63.0
28,28,"0,04021",21.0
29,29,"0,00451",70.0
30,30,"0,13453",8.0
31,31,"0,00662",55.0
32,32,"0,12563",9.0
33,33,"0,00368",80.5
34,34,"0,00675",54.0
35,35,"0,00092",100.0
36,36,"0,0106",49.0
37,37,"0,00256",95.0
38,38,"0,00569",59.0
39,39,"0,01083",47.0
40,40,"0,00528",64.0
41,41,"0,06644",12.0
42,42,"0,00362",83.0
43,43,"0,05404",16.0
44,44,"0,05849",14.0
45,45,"0,00275",93.0
46,46,"0,00485",68.0
47,47,"0,00381",78.0
48,48,"0,00474",69.0
49,49,"0,0024",97.0
50,50,"0,00526",65.0
51,51,"0,01293",42.0
52,52,"0,04494",19.0
53,53,"0,00338",88.0
54,54,"0,02315",32.0
55,55,"0,00251",96.0
56,56,"0,01436",41.0
57,57,"0,00343",87.0
58,58,"0,01078",48.0
59,59,"0,0156",40.0
60,60,"0,00389",77.0
61,61,"0,02244",34.0
62,62,"0,0027",94.0
63,63,"0,00296",92.0
64,64,"0,02123",35.0
65,65,"0,00439",72.0
66,66,"0,00352",85.0
67,67,"0,01215",45.0
68,68,"0,08527",10.0
69,69,"0,02938",25.0
70,70,"0,01718",38.0
71,71,"0,01814",37.0
72,72,"0,15597",5.0
73,73,"0,02586",29.0
74,74,"0,00787",52.0
75,75,"0,0032",89.5
76,76,"0,00365",82.0
77,77,"0,00185",99.0
78,78,"0,01705",39.0
79,79,"0,07756",11.0
80,80,"0,04592",18.0
81,81,"0,00606",58.0
82,82,"0,00499",67.0
83,83,"0,53751",2.0
84,84,"0,01994",36.0
85,85,"0,0032",89.5
86,86,"0,04965",17.0
87,87,"0,00568",60.0
88,88,"0,05426",15.0
89,89,"0,00402",75.0
90,90,"0,0055",61.0
91,91,"0,03236",24.0
92,92,"0,02771",27.0
93,93,"0,00523",66.0
94,94,"0,15072",7.0
95,95,"0,02885",26.0
96,96,"0,00301",91.0
97,97,"0,0126",43.0
98,98,"0,0123",44.0
99,99,"0,00546",62.0
