year_range,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.00021564943315018203,0.011674325838516367,0.00014755663309958154,0.0004954866400384534,0.0005849592738278818,0.036910434914562425,0.14285871230989935,8.35623738381762e-05,0.017692775504846,7.791044692732199e-05,0.0008013836983159418,0.016684549804642377,0.00403083172065016,8.751019767910368e-05,0.00013795265029305348,0.00023854067187307232,7.283197438377185e-05,9.479961427518023e-05,0.00017882320705797907,0.027767159339181082,0.2628402534264121,0.03913600582766077,8.861254074224273e-05,0.00047605796581942357,7.568686513420953e-05,4.4116956825994164e-05,7.831368561176832e-05,0.00011411670000087068,0.05824403144403178,9.558503042784832e-05,0.0028502607937251987,0.00014028489149216138,0.053752850232760885,7.794412945541649e-05,0.0001429268776707304,1.9506956555195746e-05,0.0002246416555873544,5.425763624644864e-05,0.00012048353780411693,0.00022941554109688603,0.00011196439400176118,0.0038270346491312657,7.666775098384129e-05,0.008937519340060643,0.0012390994526179113,5.8219552218087365e-05,0.00010279522541544486,8.078423060586328e-05,0.00010033694861667498,5.093434425546976e-05,0.00011154133470544043,0.00027402758068954044,0.07099451552532743,7.162412224277503e-05,0.0004904899825610285,5.315284468472326e-05,0.00030413170785576263,7.27500912144194e-05,0.0002284042321658113,0.00033049284314787876,8.250835204160807e-05,0.00047534427565894987,5.710416350447803e-05,6.270463538011974e-05,0.0004496825905292593,9.29892849894914e-05,7.447214230495581e-05,0.00025749014499867195,0.0044153043107500916,0.0006224489427171063,0.003993134110265104,0.0003842711325825001,0.012613333818052025,0.013854510365550098,0.0001668340459628511,6.779946829750398e-05,7.728392169761246e-05,0.0026478517996497875,0.0003613036556958243,0.015207246748560346,0.007567061144056311,0.00012842599972838543,0.00010565413176577634,0.14029887214371073,0.00042255420283933534,6.776404141848305e-05,0.001051870702626884,0.00012042739528287808,0.0011495273810699538,8.52083536394897e-05,0.00011643546436269221,0.0006855023540530159,0.0005871435276153491,0.00011080634994470346,0.023063187715439557,0.0006111949680298899,6.386419127494267e-05,0.00026695711328399754,0.000260553467224382,0.00011577634882431116
1799,0.003464653579534751,0.00416023202331855,0.0021931227367577404,0.002930706131741641,0.0026999078764131873,0.016700142402504347,0.10496100446108131,0.0008516861778783347,0.01127693944834541,0.00010774680190805489,0.005454848036074944,0.033558773708941454,0.0005847338036460655,0.0008585465199067064,0.000463320666279003,0.0006250411701171155,0.0013042112937587439,0.0003067036196096186,0.0022343688164209305,0.044408222642376934,0.26906377316521596,0.001694908346454308,0.0004544560921207004,0.0010633477538511795,0.0007568787553642029,2.0514554772678073e-05,0.0018882191675449415,0.0015016634978648282,0.008250905671800167,0.0030443463722660685,0.013107320282659507,0.00048780207772735837,0.08688037065768453,0.00066164487372212,0.0021040550152786512,8.39820453034154e-05,0.01465676626943893,7.275066823253508e-05,0.00027024602610637046,0.0006413231827133512,0.0012472682803913264,0.03494420285376489,0.0020335043291623057,0.0037477344522761874,0.01290174483301487,0.00016524228272882596,0.0001413042100360187,8.853563175997238e-05,0.0016660991337895798,7.326452780803227e-05,5.186715006788796e-05,0.0012794376632010952,0.006972764962839832,0.0002602838336204722,0.001198698208279188,2.4716277414808602e-05,0.0005034391515301062,0.000987108516519552,0.0011869927686273271,0.0016510914943797677,9.670912290235318e-05,0.0026766015147413444,2.6553655878420376e-05,0.0002931862531297653,0.0028752774824084286,4.32403755252922e-05,0.0011176250685357232,0.006612419707459109,0.01997516416875099,0.03748133388090189,0.0016712283293356617,0.0006976777618197277,0.014485452926883734,0.00850881449314566,0.0007062260055532822,3.152701378369045e-05,0.000734644210859641,1.8188743917642103e-05,0.0011206138264837117,0.004111690407004416,0.004751780155788453,0.00029093380434917315,0.0004398036267381576,0.12586880183165966,0.0011462259124439735,0.0008060541442543544,0.008568895060265154,0.0020414554015484566,0.0032182107354820056,0.0014668000832064564,0.00020308616580669688,0.0031185171224266516,0.003758507977586946,0.0035705974684200055,0.015224752219487627,0.0032930531950960858,0.00011378394627792579,0.0005968367484231736,0.0007654267165365129,0.0004968157812336847
1804,0.0006294840820137429,0.017631966899044144,0.004144445962687256,0.012583170958434465,0.00488359184774108,0.03690000036074384,0.08335961811829146,0.00042748954174768363,0.007239467170935921,0.001058023594083664,0.009041707929523633,0.007792533140347892,0.0017102054666428693,0.0008477336982485428,0.0005641948261645083,0.0005824897810011904,0.001351704505303494,0.000988775643765646,0.005155069509692662,0.04564305406591096,0.24777449866596388,0.004540306435393487,0.0006026622195758959,0.0017167750557692926,0.0005473743171740214,3.3088121539078104e-05,0.0002874451685458742,0.0007034770556322723,0.027887865517800307,0.0013835414762415237,0.04166292785281118,0.0008827288305509293,0.019000079331581515,0.00017810620735910355,0.0008045728286210111,1.4630396015337314e-05,0.0022704668084119603,0.00036738951698796077,0.0001570309038413248,0.0019710877996394413,0.00046632933157081104,0.05452409203558948,0.0007275154467174304,0.00653694041812862,0.0061392763468986885,4.366519720162884e-05,0.00011421763025255817,0.000415275633340508,0.0016852551032092405,0.0005848108460401903,0.0003815619150311576,0.0027483502556768045,0.00362764975619219,0.00029298660026992834,0.0016528199871407051,0.0003980711035763275,0.0006592025135600388,0.0015314753758228382,0.0009270577601583345,0.0020836091822203093,0.0006904257593337218,0.002074139134478469,0.00010076667814997563,0.0005932811019681301,0.019904280049489798,0.0003842089759267464,0.0006247916576811902,0.001545854188584348,0.05511065123328296,0.014953226153592613,0.0044158187164655945,0.0015614935825775755,0.024995236331875077,0.004739208238247808,0.0004529118658690391,0.0014776690928908712,5.7963648858039076e-05,0.0001436913926351967,0.006496413054807123,0.00434738145828609,0.004594176777771882,0.001552575857099996,0.0003481523867631595,0.10562087489472043,0.0008559297795910646,0.0011653200791286592,0.008018387886087615,0.0012353748546982206,0.015447325951289547,0.00035940606210404206,0.0015767958667401545,0.0052599660167725075,0.002014448705047682,0.0004491570004942486,0.019978299365998625,0.0038928937212460092,4.7898728174631244e-05,0.0003216176282865758,0.0013199138994309505,0.0004111281731759155
1809,0.0019109509979110453,0.006980016106822978,0.0003327316660368773,0.0024972873112976794,0.004388967374259522,0.05641493457887352,0.0851902323850362,0.0007883381909345625,0.004992800324917486,0.002000241317406409,0.012882570329072278,0.004288877861731153,0.0018187031717854126,0.0015316047154171734,0.001579765183607469,0.0007729931037927465,0.0003560630261930135,0.0007109133227889361,0.002074670077400857,0.05991771211806956,0.21118644792046742,0.004438336507765313,0.00034816176723138876,0.0012658516179354913,0.0005609928794096881,0.0013141009063712288,0.0001319183710047543,0.0011330517061986258,0.008381864952373927,0.0008374972974932467,0.06847707087167282,0.0009297836323584694,0.014407111122937277,0.0009348675223781656,0.0002561681524274085,0.00014899881677542175,0.0010435537026062436,0.00016708306971991132,0.0005858213218836936,0.004425633916963421,0.0009652537149009425,0.01869444804082043,0.00017533563839651687,0.015878170802464665,0.005545141926136985,0.0009765862976375513,0.0023703003754434,0.0011331609007730384,0.0014139541017310808,0.002005107969232924,0.001690969194323518,0.005566010548614617,0.0014383563400698844,0.00022635781301368917,0.0008970569560558666,2.926606989315603e-05,0.015095289775979919,6.261714855044946e-05,0.006675672207529122,0.0030842348861953132,0.0036581561987741444,0.00237249904919438,0.0007374301688348748,0.0024662447351024974,0.009615120212400135,0.002462233453306101,0.0009066183707380528,0.0004660736116009779,0.01972914594470249,0.0013586863708733626,0.00652023370306695,0.001119076968371747,0.034718642831080136,0.0023250872225633198,0.0029091314855978346,0.0001103827319778052,0.00023909725004692305,0.0023745567930299623,0.004638577448212807,0.005712081898032237,0.013537847894884146,0.00011580282866413526,0.00040987526723582177,0.11173773350775543,0.01868797443997608,0.0006374329537890165,0.0062774035596194246,6.630758124620938e-05,0.02931329897348531,0.0008923945730930568,0.0012819067557147577,0.004509497466410497,0.005142993877468427,0.00038349802953476826,0.029533259238659983,0.010656570543291404,0.0014125489815368765,0.0007527427060226199,0.0011553868123719252,0.0027284676346414015
1814,0.0008052848111951572,0.0034267258667600243,0.00047859521579188274,0.0017164068722599812,0.006005743777023093,0.11938362171745467,0.09649093005233968,4.144343738181719e-05,0.007268020376280426,0.0033502076666674227,0.02155069044532284,0.0013521747571016256,0.000663665763626061,4.340139265080901e-05,0.003481962258263057,0.002469517067737506,0.00023648101370642372,0.0019075306646333062,0.0007123800022729794,0.035903165591458584,0.2213631927525445,0.008440205477436092,0.0026219113895661703,0.0026694347275416693,3.753751493333734e-05,2.188016273012005e-05,0.000388224104816477,0.0001019145707279402,0.0037417021581817598,0.0003510554364569216,0.011657475788486497,0.0004986404046815287,0.015027138898107795,0.001475076988307222,0.0008455116068621524,9.674633395057316e-06,0.0004171715600082332,2.6909514976437944e-05,5.975478825188078e-05,0.010186491939079991,5.5529649753501704e-05,0.010714630370027069,3.802399322997652e-05,0.010526900751279444,0.007679781099419219,0.0003697905338960808,0.0009382849870316993,0.0004494622978462121,4.9762923862486285e-05,5.649852046522353e-05,0.00032204534545335334,0.00034821887608381624,0.0027647794452944157,0.00034453114050348593,0.017168005118015923,0.0049420632725680385,0.0019398336166116651,0.00026526391496961137,0.0010240703697528128,0.006482386092535076,4.0920686718824595e-05,0.007677384707757255,0.0017852182064609866,0.00030991862405270714,0.0009353107040190288,0.00012416395893181524,3.693506328915677e-05,0.0027209753805550263,0.014511892100052218,0.001865792691690083,0.0015348546263039573,0.02311454539484638,0.024745684365049692,0.002637577824815507,0.00026590555133960015,0.0013547471968085895,0.0008625287366161404,1.9399527856413597e-05,0.009239466076608565,0.009520898925603588,0.004859679765614718,0.00883808956467443,0.0030491108228425023,0.09022117717525825,0.005692420401499433,3.360812622083192e-05,0.00789420570653726,0.00023833776626659838,0.028183544794376698,0.0008886089323037331,0.003164805490436033,0.007046376166535255,0.007291492035357646,0.0006834785771585042,0.05409892128878494,0.013155291575063876,0.004484116927572632,0.0023997702398862774,0.0006738712019178042,9.025760669886663e-05
1819,0.0032959565640175085,0.001100369133306606,0.0011781828105165062,0.0014511438722602434,0.0047166574557214805,0.020182897869943008,0.06695578868410289,0.0013760681332164629,0.006906327410228226,8.492159653725245e-05,0.004670378172976697,0.0011057310790851488,0.0007336696886003835,0.0032955190501369096,0.00048742776684182904,0.002574260187546739,0.0006276101302746759,0.0007033121619954139,0.0008189314955199743,0.03384771976812036,0.2828279365751981,0.06302047088463646,8.498618797250603e-05,0.0024119955940023457,0.0007874798623597368,2.0567753657354885e-05,5.458622655660306e-05,0.00022512565965184954,0.0030618172313850406,0.000382670326533513,0.009575849406380548,0.0015981500518430483,0.011730687534540808,3.6338310006264986e-05,0.0019819489036677577,0.00044690125612614556,0.0005949871946242157,0.005380010673924301,0.0022524405961931995,0.011687964302141559,0.0005958877624713619,0.0024961138374468036,0.00035052136216625615,0.007549407182209704,0.00925734646381083,0.0005443453104397315,0.001687785520544698,0.00022705936898480142,0.00012536906506724438,0.0006218002818525962,0.0011411877691327916,0.0010210571921248403,0.055253464525832796,0.0007422588994476645,0.01750354128662405,8.771477920805338e-05,0.0008703371816509122,7.797415613087668e-05,0.0006482070446808346,0.0010359089124489529,0.0002721554728857533,0.003699052122107333,0.0002334385083114001,0.0005949123691203404,0.0036243166574373015,0.0009792013390761223,5.779667315130359e-05,0.0006631543043456687,0.0060766660086221825,0.0013803111588100493,0.0010201532849536024,0.0033860658049339356,0.027489490337665602,0.0035630321529123194,0.0019940317906452917,0.0001427530879109132,0.0037095020488876716,0.00033184643522495894,0.0008018355411832753,0.07599976864822611,0.004622168454591731,0.000299775331583672,0.00022626068695320614,0.096209378477567,0.008800963302783264,0.0007518639753554457,0.013398733155825624,0.0003016798941980054,0.005723807653088424,8.090678216359146e-05,0.0008354990298293529,0.003150735353167094,0.0071643836210498035,0.0010083814406978086,0.038207496655871115,0.012900424477134258,0.0007155439257780218,0.011575937075376472,0.0011228960572460648,0.0007706054387033036
1824,0.0012782842631019519,0.002457676123658735,0.00032536416967159673,0.0030123733019235396,0.0009810021193694242,0.01438222787313776,0.15226379235069545,4.5899700623944984e-05,0.0031110227407378775,0.00036079107014329385,0.001052532496443176,0.0014824509625289222,0.00036303556999120923,0.00411402230286756,0.010637710691903403,0.059383494217940286,0.002453974369936474,0.0007851909750094308,0.0015506868192601147,0.05656375770725344,0.16053220347778577,0.005389280238184404,0.003800331439539343,0.06721162619995585,4.1573788432013026e-05,2.423285765761144e-05,0.0017529809860630011,6.268278563239564e-05,0.0009618437563462808,5.2503585995118344e-05,0.011530069020695833,0.005585217322343001,0.008001961551867214,0.0003486994057149376,0.0017327231130613166,0.00565328553864316,0.00012339267382583934,0.0003762566093795486,0.006114889986879518,0.0060157542297829755,0.0007350397189744786,0.004161294789911346,4.2112575984070246e-05,0.006057722454716262,0.007606346219650462,0.003387151056970978,8.284065211392692e-05,0.0029994509480069666,5.511375145881144e-05,0.002016227715652675,0.0003671539037377402,0.0011688256488243047,0.001142975431451207,0.0004580343885550237,0.001611454481380373,2.919615068696438e-05,0.0005274031437412301,0.0032994819753083405,0.004072621863666408,0.0037983111806725433,4.532074046889624e-05,0.0026408308713791457,0.0006839384466013808,0.002008335898572264,0.003010367305353341,5.107777754755931e-05,0.000699608103393435,0.0006140753782781574,0.01143827822240702,0.0016603462044946938,0.0006250825780452377,0.0007367346092008027,0.04530177717904906,0.0011988892299665977,0.002347452513259618,3.7241346246872026e-05,0.0001687583959926971,2.148548906915554e-05,0.0012917179020437025,0.010638040820370918,0.005336654182697841,0.00010038151393134015,0.0016389644963076086,0.165438116496605,0.0030854334361553,0.0047689378094285684,0.004409184306537143,0.005844112424170124,0.0024324492562611917,4.680381543834287e-05,0.0034485434491731658,0.0171976093181099,0.006930249359534833,6.086445437205133e-05,0.026702928678892277,0.0021964274350567245,0.00036110173035330877,0.0005614649092014353,0.013681026717839063,0.005003830752747406
