idno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
ub0001,0.0014137565656935865,0.0003711042667088343,0.024897236724298832,0.00022302318827813983,0.0001466202435659542,0.0003496756232932921,0.00032507525533636525,0.16124217793548484,0.0002726010799015524,0.21140834730163613,0.0004511282005926656,0.0006871172800832477,0.0002046575754415132,0.5725225257877853,0.00028408047841007537,0.00029421633982882657,0.0235980674210911,0.000584106964158471,0.0003564076140648024,0.0003680741543464268
ub0003,0.04045737831798786,0.0004679822427399948,0.0023908243608102412,0.000281244117075368,0.00018489593510633202,0.00044095958225318045,0.00040993720821579327,0.0002935539986399255,0.0003437644785845737,0.08289304306992723,0.0005688966848830578,0.010535130481713128,0.0002580841012641719,0.5672831695602122,0.00035824061141637365,0.0003710224724305737,0.010421141685249193,0.05874842399003756,0.00044944898111484347,0.22284285812033844
ub0004,0.004346089043961478,0.0011408273721574974,0.005828250783328657,0.0006856050459079248,0.00045073151180899065,0.02464475300849199,0.0009993276352971254,0.0007156135559630091,0.0008380145461258872,0.15493356334336686,0.0013868323427067171,0.2378102997676363,0.0006291465362381626,0.5108163705937259,0.0008733038521491512,0.0009044629337987807,0.001834419304885889,0.0017956280020424214,0.0010956477686889195,0.048271113051718405
ub0005,0.002818282733485408,0.000739785598573094,0.35531530840830944,0.0004445902611124462,0.00029228320550266025,0.0006970682190711923,0.015932197533068522,0.00046404970266792327,0.0311117612198301,0.0546163458759873,0.0008993109911358051,0.07779059555271335,0.00040797894428227496,0.40766692673103866,0.000566306199137337,0.0005865117450698173,0.0011895550690834008,0.04701690860498387,0.0007104882475355852,0.0007337451574117797
ub0006,0.0044790868437789575,0.0947270349802243,0.000935139162088359,0.00011000489717906734,7.231958677645502e-05,0.07580766743626344,0.00016034148876994158,0.06440473290827846,0.00013445890535864193,0.07024010769102795,0.00022251637466003392,0.0041206762205743975,0.00010094616491305708,0.5924977101894794,0.00014012105225178362,0.00014512050724926328,0.0002943314204317701,0.00028810738035766774,0.00017579599341992832,0.09094378079691716
ub0007,0.0025458990647998264,0.0006682862018000477,0.19671175314473768,0.0004016211420298041,0.00026403438189668454,0.0006296974061364937,0.0005853969549166293,0.00041919985174156783,0.0004909012281363323,0.2150214131182814,0.08365422965776767,0.0012373638313845936,0.0003685482653550956,0.3820733765955618,0.0005115733796484817,0.0005298260836380678,0.0010745859888095588,0.0010518623997085098,0.0006418204048374905,0.11111861089881236
ub0008,0.003955527014908239,0.013520489933816604,0.05426119491545157,9.714644027685154e-05,6.386616048728382e-05,0.0001523148436572785,0.07027551449466943,0.0001013984800587394,0.00011874202289241111,0.1622210589898658,0.00019650646703795932,0.047055244239736733,8.914658194662247e-05,0.590034941533981,0.00012374232223452092,0.00012815739164310252,0.016958478324125174,0.00025443054933887283,0.04023177025307245,0.00016032904079944319
ub0009,0.3611494902943153,0.0007879587806141204,0.02030495855862837,0.0004735409836238701,0.0003113160335184697,0.0007424597409892994,0.000690226237694099,0.0004942675804501133,0.0005788087979108278,0.5791149306672031,0.0009578721096153244,0.0014589433286631573,0.00043454561980248505,0.02722727607313701,0.0006031827910507562,0.0006247040769007492,0.0012670162321572836,0.0012402234426144045,0.0007567536516642381,0.0007815249994469539
ub0010,0.13779013665946474,0.0005473665924964162,0.1498100157861841,0.0003289518703143112,0.0002162600387848906,0.0005157600479740142,0.00047947531403074746,0.0003433498908173452,0.00040207763047258937,0.492760218012405,0.011974140281133906,0.03493969844895966,0.0342280862465762,0.07545751338852802,0.0004190093658612549,0.011742700445342523,0.012188891571568418,0.034787761619669684,0.000525689513032442,0.0005428972763837194
ub0011,0.3373942014073155,0.0005236780353824229,0.06759133696723148,0.00031471571620019894,0.00020690088469975376,0.0004934393372820692,0.04373604113337616,0.00032849062901692147,0.14103595451814224,0.25504829711414784,0.011455931625675151,0.0009696149023089182,0.00028879936623695603,0.0505532566080598,0.0004008757650340041,0.00041517882881107634,0.07657736339280258,0.0008242534912262103,0.011322268137774323,0.0005194021392764408
