year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.1271510750915419,0.002413499419067978,0.05811144997934312,0.016313367383479865,0.0009535537702337387,0.01713705928291157,0.0021141469131187845,0.0015139301034893578,0.0017728778863539754,0.16640862175554372,0.04781418268136458,0.10503795267747695,0.037687063142047054,0.35766687075736686,0.001847534860463378,0.0019134540584905529,0.03489631539863016,0.007103871925231907,0.009749380016858046,0.0023937928969866265
1799,0.4383366208114807,0.00033055394985359647,0.02217673219616766,0.00019865359255522255,0.00013059914688948727,0.0003114668000780612,0.00028955449799613936,0.00020734853779410669,0.0002428141408746268,0.07220922791198017,0.0004018337216080875,0.0006120364310507415,0.000182294778040724,0.011422023424518807,0.0002530391931290461,0.00026206751569954784,0.0005315217373956961,0.000520281983960761,0.4510534746930692,0.0003278549358574036
1800,0.3116455403979365,0.007644037797881315,0.08354576123584721,0.003115335462414634,0.004870626949980921,0.0064227957463808575,0.008815144913285963,0.004584326190688203,0.009515429893446803,0.16942231725597684,0.02436024357983394,0.021975745006026243,0.006999721900664675,0.25531689505901334,0.012885420747635594,0.003174816406936688,0.01340627880931454,0.013109107659356781,0.02455531512365299,0.014635139863725881
1801,0.13262156823073817,0.005754662275158928,0.047396932151396134,0.01268881507100081,0.006975421127596472,0.00799576954025147,0.011410647048030518,0.0088797109338251,0.014218641534256405,0.22820046199426955,0.005779769068652312,0.012954986819236595,0.0028406541119667815,0.38360172655061714,0.00630220409400549,0.004437734718910617,0.01474991316137627,0.0411754593533625,0.011511355114750852,0.04050356710059781
1802,0.057323735702433654,0.006458092600158425,0.05415630949135028,0.00241591490346304,0.00684796065456397,0.006887748863872798,0.008104260718971839,0.004594724458368858,0.001411740318254522,0.2130091281831894,0.007157942336103514,0.046320403667987696,0.06575753580625125,0.4229283745694162,0.0006552502852283221,0.004457789331001125,0.009280346486859319,0.0604625591339723,0.012945958434479864,0.008824224054073784
1803,0.18457360493287872,0.006608872949824032,0.04300382690396607,0.004966652716055408,0.008616830059270478,0.008641858566136919,0.014502368457272919,0.004038040596433805,0.010332645517468412,0.14756909057903647,0.02039901529495481,0.01426592696417877,0.018184766431306964,0.2832647879052018,0.006270568384155729,0.004946654699698593,0.014935308804055279,0.0563052821293955,0.14004283485659363,0.008531063252115702
1804,0.10068285903334602,0.007347713382474065,0.07700015812896206,0.005325227486187046,0.0028832299669399692,0.00856830715388009,0.0024823462673577105,0.01026012497372944,0.011050980308596735,0.13025084299542616,0.007067306299396625,0.041122623048763234,0.024897196706793294,0.2751531662672257,0.00441575592972496,0.004596345898430439,0.026862825656553364,0.10617960232300169,0.13691857338615426,0.016934814787057093
1805,0.0966984261490858,0.006077223584926945,0.1102800472835262,0.007302781982994202,0.00847198908942831,0.01083900566947877,0.02163544026187694,0.003726838392574165,0.012004859127881308,0.22190327415494135,0.08601001130918431,0.01993802152599448,0.005177593496202357,0.22303593404284858,0.008459059960276655,0.002466597534038147,0.032568260496651805,0.07690711767656243,0.0331754479434409,0.013322070318086503
1806,0.09629132351578282,0.001996035740074995,0.10524881531620459,0.004612409510684243,0.004116136590985841,0.01258645315662102,0.008005905887975643,0.0027355318431982758,0.015492144057723829,0.18872445318133588,0.12599480365979865,0.02970141683480678,0.002256783877564978,0.20475698534740333,0.011104536839200894,0.014754566875490321,0.03069681153156963,0.1044798276443419,0.030626833565926843,0.0058182250233096006
1807,0.08228195589025294,0.0033694931477832877,0.08904869654573735,0.007356789334069727,0.003553686546398691,0.0038059556833410623,0.045495351394349126,0.002113601963036791,0.005547100906155767,0.23818797815322443,0.027003150902142635,0.025802240682869303,0.013858716836518542,0.28157133535039025,0.008019160654799556,0.01571746630850043,0.027371257141886485,0.06475489383507538,0.007641008861711287,0.04750015986175699
1808,0.07677624592106368,0.0066160721104123335,0.07635343239122365,0.007572327003642214,0.0019816723100905126,0.014083916218301722,0.014372310903537727,0.008352874490837634,0.011754940153065531,0.27297008166627756,0.0926480728884642,0.014984002395192526,0.0021549945725851515,0.256899927646068,0.004725588638657865,0.006523223550593873,0.06779479869647233,0.028600800715406896,0.009681766698398932,0.02515295102970783
1809,0.17944304264772762,0.0030454151182901065,0.08602620683367486,0.0072852770882852694,0.007707568518604941,0.008374293792853862,0.019832552374306592,0.007300223460364613,0.01772773328315835,0.19775312582114415,0.04743712140514836,0.011596590509175426,0.010697181342485622,0.20890373303735454,0.0054927959037115726,0.032481120843704255,0.06984300095606978,0.049568557618102554,0.011507904980332325,0.017976554465505487
1810,0.07627096613419068,0.008657717510578696,0.10216557589532221,0.0038944829586596516,0.009140325639676554,0.022076812313583397,0.016292944762573917,0.006723284787819185,0.015615878989313044,0.3076607882546716,0.028573522674034974,0.01809878518034419,0.011608512189919661,0.20003453620444517,0.012084793305954166,0.04614435002328787,0.073812389034014,0.025670834283479726,0.0037129034495261126,0.01176059640860526
