year_range,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,9.860058205257915e-05,0.00012313040302725233,7.273742095031123e-05,0.0033731281684004507,8.685541765519023e-05,2.4383133147532662e-05,9.609633259262172e-05,6.617797861599828e-05,0.00010096116221222088,0.00021241764617152447,0.00011876388662345943,8.279812401282265e-05,0.00013381356518035433,9.440009430875088e-05,0.0005558489151654247,8.680863871875714e-05,0.00019059432429131959,0.00011175292222115152,0.0001885275361875353,0.00012194881275367474,0.0013674222118044118,8.028087095248022e-05,0.00010422408816486091,0.00020868027378414945,0.00010149592050834293,0.00015301537837294297,8.166815995703142e-05,0.29485784728259573,0.00021348747945507888,0.0024934163451769895,6.431591814706387e-05,0.00025238109848658627,6.165524531700281e-05,0.0004676902304433195,0.00031178886445564505,0.00013506077231175792,7.759072666348924e-05,0.0001796231567407548,0.00012476615244902224,0.010120475117085458,0.00010654885266414735,0.00030921877475144333,7.27095845842827e-05,9.29641077660276e-05,0.0001669279394832243,0.001242600095086038,0.00010004397785124261,0.010333741204895058,0.00015460118583188737,9.424618533513231e-05,0.00012756530032046942,0.14248155375080732,0.0001128904094707366,9.573495217718709e-05,0.00011966254456294973,4.63133229046179e-05,1.4802970337728189e-05,0.00015863690535852296,0.00013924860843157868,5.948464067182676e-05,0.0003249687289284721,0.0005619144842830533,0.060155947641624664,6.117597614555845e-05,9.589044435732729e-05,0.00013555414170440174,0.042041728379996805,0.00019780990782262316,0.004092221560093703,0.15991482066474633,0.00015410824554660854,9.390764046727494e-05,0.00010734771470906168,9.35533464148403e-05,0.0062076353641914465,3.3137737730025626e-05,7.186322664807174e-05,0.0014239374737370688,5.5928395370674965e-05,0.0001310562400961374,8.811256027800215e-05,0.00013077210799199447,0.0009876706808062976,0.0010064561819401563,0.00010831096523727998,0.0017395107703990515,6.967070928333435e-05,0.0003414732429195321,0.1283381458712735,0.050367934207367675,8.557636359623137e-05,0.00015930849846420634,0.06639587490786138,0.0001555806966655761,8.105632834326418e-05,0.0001568001801780991,6.5152494858192e-05,7.834982332941211e-05,0.000216411369105804,4.7199055034469576e-05
1799,0.001013541136461396,0.003951490363636457,0.0004406370805696286,0.01823513581882169,0.0012601072143746952,4.07727055269859e-05,0.001708546747493221,3.060205571476104e-05,0.002744109482770565,0.004170965914486994,0.00024356102581196514,0.0011063285396761514,0.001089034822402528,0.0012678951682513694,0.0019374625246592538,0.002880988847470387,0.000717425471506277,0.0004955609709929873,0.00013962235553750937,0.0015540698995339707,0.0040903225950292,0.0001319543224031597,0.002008963779205759,0.0007516356817298072,0.0008490191430112684,0.001176288751615085,0.0033887699492118973,0.3356340996338757,0.0014148473448741547,0.05215294150652162,0.0005429573712269454,0.0014047186361272664,0.0002214026418710249,0.04153862617702622,0.001256831680809199,0.00020140805030389143,0.00014174870808942816,0.0010205224425981802,0.0018311591510977293,0.006149981650567858,0.0009800522829101202,0.0011986405415284709,0.0006147512866324451,0.0003914901592369955,0.0009965478654201147,0.004225633790219837,0.0015730364999178496,0.0038863321114287973,0.003880945853798391,0.0020609198751729146,8.57832055653785e-05,0.14078704927488395,0.002967847074090631,0.0007683554871305951,0.0021964094693289775,0.0002490931648985807,2.674553087791012e-05,0.0033924909423403934,0.00046831031766316074,5.733874896087347e-05,0.0035076569771224316,0.0055985991191488315,0.0012020342857047232,0.003942866450687524,0.002127290450868476,0.004625045719625252,0.037180115508496335,0.018174234980676954,0.01107650844865531,0.025079991670789743,0.0023258501366419998,0.0008211186321928639,0.00174175843327713,0.0021064472262730923,0.0005522117935973002,0.0011902735350414445,0.00139732839090436,0.028986805564933486,0.000484911920561653,0.0011956836195644235,0.0005688166194145434,0.0006691742015291222,0.004351856465817128,0.0353726887352178,0.000682747617002971,0.007811011066787345,0.001532953524762318,0.0006186779202586103,0.10621874448368014,0.001113582296686157,0.0035264695385689073,0.0028337410531518066,0.0015481209100818313,0.000376181989807951,0.0019163392547716844,0.0027211675113054854,0.00023769101547251837,0.00015518567425757142,0.0022492728059693005,0.00043501360579308566
1804,0.001370190341530453,0.001992637218846361,0.0005733146645831952,0.012719876339117675,0.001723074154470049,0.0011612875610220524,0.003864535163600219,0.000692565443646676,0.0007125036704011218,0.003658099201010185,0.0009177047729138884,0.0012514655972820363,0.0016562359240929027,0.001138872119018849,0.003373041594641149,0.00027447242959053984,0.001152194647300479,0.00022931834417289678,0.001322204973309833,0.0007856152508270103,0.017220188867100545,0.0012703548532557527,0.0001461741215943334,0.000485971111340035,0.0003469816239004984,0.0025319710464210875,0.000223386385988576,0.29582401406272124,0.0034462702519169643,0.003915538120035129,0.0001140961015948572,0.0016993495624989944,0.00036167109390263874,0.02364212307485482,0.0016313378873391128,0.0005047999389700885,0.0011087591575209754,0.008632224872320968,0.0003819639035302526,0.0021722144208633823,0.0005825206790161836,0.0024386169061093015,0.0003943222233806979,0.0013517546461407353,0.000380100535499319,0.008205529112408337,0.0004446925536266781,0.0019518132443485559,0.0014573871687469048,0.0010520221304819158,0.0017746859045548564,0.1467786822502749,0.0007436710336448827,0.0014064941132219308,0.0006669230021685238,0.0006008749335325826,1.1436029995870502e-05,0.0030025696789033997,0.0012876965415521498,0.0026101779075409317,0.0016290653033627016,0.012298433475274675,0.0016570708078525343,0.0008316214800296103,0.001101059590590969,0.0015652361880375335,0.009747148654336091,0.0024741306227829547,0.03441462276667227,0.032710002766815925,0.0018375324846973521,0.0018299776258154674,0.000984029664951198,0.0011589388421473085,0.002235147383277345,0.0001336258583837543,0.00018837142824726944,0.06503017743952191,0.0009725560730171589,0.0026454362729757797,0.0006789936569167866,0.0019442664785364013,0.017019496770225052,0.05793897033812578,0.00190907622147567,0.04581338103455081,0.00028958739031295107,0.0209841059764041,0.06284661561814463,0.002017848057477076,0.002643535528083795,0.0020983269860200167,0.01715667114721257,0.001288608655251201,0.0006054935949609102,0.0012034036149950597,5.0333539046895784e-05,0.0016530939828248742,0.003006972601591117,3.646361485810928e-05
1809,0.0011552368329772339,0.00031199273064847567,0.0029495238406130335,0.008323168413992431,0.00069092377928473,1.3815385436312208e-05,0.00041719678190529566,9.664853041981107e-05,0.0022178538007042274,0.004752012068702425,0.00044472268680617773,0.0012646833500503016,0.0022213023842162657,0.0011196346516332697,0.004036997906550272,0.0006870745179701989,0.0007347578839786474,0.0041758405229900784,0.0013281425161087341,0.002872447946251654,0.008848855837685507,0.0027077864038833345,0.002187875089599564,0.01691626603916094,0.00018549379015348171,0.004284952917198669,4.627285184615245e-05,0.2724774674103406,0.0035266546489565046,0.0019908689526268353,0.0001298495889516384,0.0007809711441758136,0.004024742684369595,0.0014185395867630107,0.021832924200296082,0.005900566077506772,0.003622426817676887,0.006041323355418542,0.0033913267329780524,0.0013751434508424017,0.001184442091422618,0.005060836271425824,0.0020279408045719128,0.0011619090647253668,0.0006233380163831286,0.009081406779863358,0.0045784907662220885,0.002477056129027488,8.759641175951935e-05,0.0031345550374925735,0.0033510591524782063,0.17119025051734393,0.0019427014793259845,0.0036271278068663714,0.002421016488626176,0.0011696079397945044,0.00046029643539940827,0.000761225823324564,0.0028086342715159477,0.00036727359487862714,0.004447831453340436,0.015573745478749408,0.0008265276668637681,0.0004401369173492632,0.0009927242659680353,0.00037998218027914546,0.0038088744733530445,0.0010877097597319406,0.056241500596525905,0.020179404199810274,0.001079913257332331,0.0011904681388586317,0.0013892599077703397,0.00130003667416479,0.010685837174955953,0.0015304826389867434,0.0003185387398881771,0.016665195361043536,0.0001773820796721374,0.001010929425526237,0.001608259302784882,0.0010142792454166099,0.036728803101931794,0.02655536072750446,0.0032377501546477228,0.07284077893202792,0.0021763066894118863,0.005385491668175872,0.054952450742665554,0.0015440997406821297,0.0005185184927894044,0.0020180234244668175,0.010241487860859327,0.004982954213522273,0.0006629151608810722,0.0010789444510736208,0.002176623004717935,0.0017269008608069333,0.011724864837638382,0.0004776580037077505
1814,5.040160658798487e-05,0.001070372398010183,0.0003053121922001684,0.006714138750116971,9.108949161743212e-05,0.0009369809573539497,0.0021261794288751274,0.0035486067773583736,0.0006922207523858334,0.0023766484321081803,0.0004634725724083993,4.2323872596331286e-05,0.0024435117148771104,0.00044725500281469637,0.030943966251565525,0.00027664516383989516,0.0002247932652545722,0.0013216913678767964,0.019482379342124802,0.004282986358242163,0.0003833016049824602,4.103712970101935e-05,0.0002897637552559756,0.0057167769340103775,0.0009815905470406641,0.0014403836426771948,0.00045435353093032624,0.28458105035136205,0.0033916506548904222,0.0007601200212919362,0.009805465206319896,0.0020595902761764364,3.1516278645253567e-05,0.0032909694062115214,0.0005604929470079781,0.00996151157574842,9.531299925076045e-05,0.0001510786676257938,0.002844496098134449,0.004380269597321297,0.0005837529731168763,0.008496653320375728,0.0012840730058672927,0.004862130648210425,0.005932433638316157,0.02689189202978357,0.0003045437768235342,0.0031909073177776187,0.0034896287641122447,0.0008063164565298066,0.0005636824305298991,0.14152777185064486,0.007107067107875729,0.0005000817718771069,9.675306126315578e-05,0.00014579567267914578,7.566826399644662e-06,0.00040973201885826055,0.0010348586126983565,3.040673183420253e-05,0.009404621525412271,0.031024272265570592,0.002488338604543797,3.127129088021171e-05,0.00015284347522317787,0.004485547532958436,0.00802054369136527,0.0018999033343262942,0.13062449587421268,0.028556943587123136,0.0014728401506109785,0.003953711021707304,0.002615506799120887,0.0030770829893165498,0.01042667768358701,1.6938999603409404e-05,0.00019759873773497717,0.014299373376077479,0.0001028990833458427,0.00019547995224029554,0.0004082400476812343,0.007808289329454055,0.023946640807453647,0.012406646986143698,5.5365257946887506e-05,0.00923837051251316,0.00019521376197389757,0.0013520552857456674,0.05289082915807378,0.003706443669105264,0.0017183378007075076,0.0025013667200082094,0.005836201982598898,7.952810118140536e-05,0.001074822881578214,0.0032645472893363826,0.00028129721260449045,0.0001015835350184533,0.003150157028021749,0.000609417719520616
1819,0.002972328536519101,0.0008636696481375266,0.0007320927299017313,0.013129638606268966,0.0015519151202393704,0.0005708979588113737,0.00026562492468860596,0.0003476636347024322,0.002413669464027637,0.0008476760514125101,0.0008200226470618508,0.0007130029268035974,0.001847210145873301,0.0029932887650359024,0.02745342290425843,0.002188184402220456,0.001179920721944081,0.0022773709386249294,0.00254179861262865,5.771349275218307e-05,0.0007220910837570028,0.0016800207366591566,0.0019707250375122273,0.007583139206431051,0.003661284551857765,0.000728749052383436,0.0011496441371832622,0.2743014156617079,0.0022438260465911224,0.0031300223928201216,7.277093100822294e-05,0.0005302616054553622,9.621560365315574e-05,0.00046576470486131,0.0015093148620636293,0.011312239602496894,7.98217774735311e-05,0.004257491371891418,0.0009266146120404506,0.002555079582176682,0.000601780485396557,0.002066839531349321,0.00045278460642885583,0.0008067053482952402,0.0067503476990272305,0.018998011361493098,0.0004017463143961454,0.0019417338886623184,0.004441714266693607,0.0010474293025955202,0.0007059524839677875,0.12078460170794732,0.00030188657801259906,0.0002188820298059935,0.0026144120502414187,0.0015156392649363414,7.00565345414987e-06,0.0018867337513477557,0.0014802021765679878,0.00049707739365029,0.00295324539633146,0.004285291639957115,0.0518197831154526,0.0011134745990553708,0.00020240864781191466,0.001897767020359839,0.003851941632474727,0.0001289916573047603,0.016516725056112146,0.18845709046161366,0.005283810590117801,0.0006492632138096504,0.0008947430215655125,0.001263122304523873,0.009194345361427625,1.5682765113659915e-05,0.0032993328688163204,0.005572188323577976,0.0009761981634445594,0.0014929408993435082,0.0028765260605160396,0.0010750939063475771,0.010888853902311466,0.0019490609585253913,0.0005761643824319394,0.00786728867389534,0.0003180796982967975,0.0006898237951543784,0.03990612572324493,0.05426386079783084,0.000961884419470697,0.003845093118540907,0.0013938172393506711,0.0026426119464927397,0.000996554207332646,0.003987664098277234,0.002798030222252099,0.00036079682762486456,0.001360830558419656,0.009108402039263946
1824,0.00017455310026983728,0.0006167931440959989,4.1994665513937685e-05,0.013173926555415022,0.006638400791403105,1.4077506561745361e-05,5.548084179531239e-05,0.013453727622850332,5.8289532150128817e-05,0.002018813238131222,0.03010354119881162,0.0012968800092042437,0.0001593771196668537,5.450152525600654e-05,0.0028984914663244695,0.0006813927046710865,0.04725271888879203,0.0011650164383547154,0.0013253971022283827,0.0015547641910832243,0.006339679584833211,0.0011755560967367704,6.017336968777634e-05,0.0007824314540302514,0.00991681398253353,0.0018400182065626185,0.007011820651222429,0.2242304733694712,0.006256446272677962,0.0011574137118729184,0.0014752117832317784,0.06947575339550453,3.559641475377646e-05,0.0018338906593349696,0.0005992971219385928,0.0026490195396620167,0.0021641596093147225,0.00044644609202212064,0.006216028894229327,0.0017298398431080813,0.0002019967126119007,0.0013773753665458374,0.0008100879259720007,9.872463223527208e-05,0.00024079016112540228,0.09914002208995017,0.0006890340759566029,0.0008348051469948827,0.001219533812857165,0.0016639462649382765,0.0029581106466503373,0.21627086463839387,0.001822267810117784,0.004114052618741063,0.0002808128739602159,2.6738815850331517e-05,0.006622557950127764,0.0038149541732221148,0.0014618187033588732,0.00027042805486687924,0.0027803531410633066,0.0011559491520767428,0.0009655921363364745,3.5319710572036214e-05,0.0072748223319511925,0.001686496040017137,0.0013976723888720112,0.00034401111977851217,0.006326279217512295,0.025871147253999322,8.897379285815758e-05,0.001255858813349013,6.197678325675316e-05,9.507284924447082e-05,0.0020356547907654557,1.9131943278710154e-05,4.1489952852461635e-05,0.009063643868104541,0.0009940891828207569,0.0008938785576785045,0.0035820629888940587,0.0010057705867796897,0.0015788007100925898,0.0026182152963227165,6.25329121820045e-05,0.012216284030563246,4.0224111526735404e-05,0.002013303627978778,0.09413867513459084,0.002084003775737254,4.9407178838219065e-05,0.002929530867827227,0.0011306288018808235,8.982390675302484e-05,4.679755416250735e-05,9.052797078965248e-05,3.761553809884721e-05,0.0011697844525120037,0.0005987232193061366,7.674413899158801e-05
