,Number,Score,Rank
0,0,"0,0052",66.0
1,1,"0,00649",53.0
2,2,"0,00383",85.5
3,3,"0,05307",9.0
4,4,"0,00458",76.5
5,5,"0,00129",99.0
6,6,"0,00507",67.0
7,7,"0,00349",89.0
8,8,"0,00532",64.0
9,9,"0,0112",29.0
10,10,"0,00626",56.0
11,11,"0,00436",79.0
12,12,"0,00705",48.0
13,13,"0,00498",70.0
14,14,"0,0293",16.0
15,15,"0,00458",76.5
16,16,"0,01005",33.0
17,17,"0,00589",58.0
18,18,"0,00994",34.0
19,19,"0,00643",54.0
20,20,"0,01167",26.0
21,21,"0,00423",82.0
22,22,"0,00549",62.0
23,23,"0,011",30.0
24,24,"0,00535",63.0
25,25,"0,00807",43.0
26,26,"0,00431",80.0
27,27,"1,19901",1.0
28,28,"0,01125",28.0
29,29,"0,02979",14.0
30,30,"0,00339",91.0
31,31,"0,01331",25.0
32,32,"0,00325",92.0
33,33,"0,02466",18.0
34,34,"0,01644",23.0
35,35,"0,00712",47.0
36,36,"0,00409",84.0
37,37,"0,00947",35.0
38,38,"0,00658",52.0
39,39,"0,01082",31.0
40,40,"0,00562",61.0
41,41,"0,0163",24.0
42,42,"0,00383",85.5
43,43,"0,0049",74.0
44,44,"0,0088",36.0
45,45,"0,06551",8.0
46,46,"0,00527",65.0
47,47,"0,00803",44.0
48,48,"0,00815",41.0
49,49,"0,00497",71.0
50,50,"0,00672",51.0
51,51,"0,58695",2.0
52,52,"0,00595",57.0
53,53,"0,00505",69.0
54,54,"0,00631",55.0
55,55,"0,00244",97.0
56,56,"0,00078",100.0
57,57,"0,00836",38.0
58,58,"0,00734",45.0
59,59,"0,00314",94.0
60,60,"0,01713",21.0
61,61,"0,02962",15.0
62,62,"0,02579",17.0
63,63,"0,00323",93.0
64,64,"0,00506",68.0
65,65,"0,00715",46.0
66,66,"0,04134",12.0
67,67,"0,01043",32.0
68,68,"0,09148",6.0
69,69,"0,16379",4.0
70,70,"0,00812",42.0
71,71,"0,00495",72.0
72,72,"0,00566",60.0
73,73,"0,00493",73.0
74,74,"0,01662",22.0
75,75,"0,00175",98.0
76,76,"0,00379",87.0
77,77,"0,07507",7.0
78,78,"0,00295",95.0
79,79,"0,00691",49.0
80,80,"0,00465",75.0
81,81,"0,00689",50.0
82,82,"0,05207",11.0
83,83,"0,05306",10.0
84,84,"0,00571",59.0
85,85,"0,0917",5.0
86,86,"0,00367",88.0
87,87,"0,018",20.0
88,88,"0,21226",3.0
89,89,"0,0354",13.0
90,90,"0,00451",78.0
91,91,"0,0084",37.0
92,92,"0,0212",19.0
93,93,"0,0082",40.0
94,94,"0,00427",81.0
95,95,"0,00827",39.0
96,96,"0,00343",90.0
97,97,"0,00413",83.0
98,98,"0,01141",27.0
99,99,"0,00249",96.0
