,Number,Score,Rank
0,0,"0,32223",4.0
1,1,"0,08075",11.0
2,2,"0,02114",20.0
3,3,"0,01899",21.0
4,4,"0,00766",43.0
5,5,"0,0067",49.0
6,6,"0,73213",2.0
7,7,"0,00717",47.0
8,8,"0,0357",18.0
9,9,"0,00612",54.0
10,10,"0,04472",15.0
11,11,"0,16632",6.0
12,12,"0,00579",55.0
13,13,"0,00771",42.0
14,14,"0,00875",37.0
15,15,"0,01419",27.0
16,16,"0,0406",16.0
17,17,"0,01667",25.0
18,18,"0,00827",38.0
19,19,"0,00491",58.0
20,20,"0,12596",7.0
21,21,"0,01026",31.0
22,22,"0,00949",35.0
23,23,"0,01691",24.0
24,24,"0,00617",53.0
25,25,"0,00819",39.0
26,26,"0,00781",41.0
27,27,"0,04572",14.0
28,28,"0,01438",26.0
29,29,"0,01768",23.0
30,30,"0,00637",52.0
31,31,"0,00378",59.0
32,32,"0,00728",46.0
33,33,"0,11057",10.0
34,34,"0,07993",12.0
35,35,"0,01307",28.0
36,36,"0,03967",17.0
37,37,"0,00708",48.0
38,38,"1,04719",1.0
39,39,"0,12039",8.0
40,40,"0,00907",36.0
41,41,"0,00992",34.0
42,42,"0,38402",3.0
43,43,"0,00795",40.0
44,44,"0,00993",33.0
45,45,"0,00568",56.0
46,46,"0,00344",60.0
47,47,"0,00669",50.5
48,48,"0,01025",32.0
49,49,"0,00669",50.5
50,50,"0,03362",19.0
51,51,"0,00762",44.0
52,52,"0,11177",9.0
53,53,"0,01241",29.0
54,54,"0,01797",22.0
55,55,"0,00744",45.0
56,56,"0,0103",30.0
57,57,"0,0692",13.0
58,58,"0,00495",57.0
59,59,"0,2129",5.0
