idno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
ub0012,0.005536950872390502,0.0013875945852021394,0.00036320358132490096,0.0003263314899248824,0.00013168994998946068,0.0001151778717623212,0.01258042444444192,0.00012318536977972897,0.0006134744757285188,0.00010507985764148713,0.0007684275956020592,0.0028579906676175753,9.944703193821886e-05,0.00013247651863535653,0.00015036432114663953,0.00024379411831011664,0.0006977193617469243,0.0002865018088102451,0.00014209653304413057,8.433248864609259e-05,0.0021644263935242576,0.00017627098113846528,0.00016312014399175664,0.0002905692198287901,0.000106053689869743,0.00014081200174948077,0.00013412893567176016,0.1210683852516662,0.00024705016069004283,0.00030385205396690095,0.00010944771274048216,6.496478822811338e-05,0.0001250695906445129,0.0018999972531544664,0.03574001213155395,0.00022452087614268658,0.0006816303503979353,0.00012162148859671047,0.32729236589711386,0.4488329735776177,0.00015586579103738846,0.00017045712470849516,0.0065986695177920884,0.0001366089365134196,0.00017064523160883558,9.752983287682509e-05,5.9120814604673866e-05,0.017298145883494473,0.00017613691461397347,0.00011500135295981066,0.0005776963710001665,0.00013088771984822454,0.0019205282511159294,0.0002131582083640509,0.0003087323371104061,0.00012789512557657273,0.0001769675900229824,0.001189107432426118,8.508236173988709e-05,0.003658227760614665
ub0013,0.0037822059282962704,0.012685451536410377,0.0002480987767681596,0.00022291201858736613,8.995537815421126e-05,7.867623163503405e-05,0.0085934943276296,8.414603029683518e-05,0.0004190549731132252,7.177843359563244e-05,0.0005249010645994374,0.001952249441110131,6.793073704585921e-05,9.049267109107904e-05,0.00010271155369661644,0.00016653201027196226,0.0004766013582394294,0.00019570497638926688,9.706395488349816e-05,5.76062251329894e-05,0.0014784863593008616,0.27008536968625,0.011849031890051166,0.0001984833622593435,7.244364340365899e-05,9.618651132481817e-05,9.162141173825862e-05,0.0005367015351582882,0.00016875616271180935,0.00020755666183876515,7.476204819328657e-05,4.437644704273857e-05,8.543311257176397e-05,0.0012978588830290484,0.0009382381948348504,0.00015336675515896682,0.00046561120219379686,8.307776712855284e-05,0.2470435922364544,0.41222936006643984,0.00010646952311239899,0.0001164366385852481,0.016245056625398376,9.331546214644914e-05,0.00011656513151394079,6.662112787235448e-05,4.038451859822317e-05,7.849020772101953e-05,0.00012031641565878078,7.855565435763029e-05,0.0003946155003915977,8.9407387090904e-05,0.0013118832917683224,0.00014560509166870316,0.0002108903081474528,8.736319199940228e-05,0.00012088383724673628,0.0008122609869502976,5.811845190295438e-05,0.002498879083837925
ub0014,0.002846646895228021,0.000713387550085943,0.00018672955042273116,0.0001677729392980399,6.770419241743871e-05,5.92150334376417e-05,0.015302040040574226,6.333183344095417e-05,0.0003153983576668915,5.402346117927512e-05,0.2035820213398692,0.05447463844480272,5.112752329412527e-05,6.81085816282746e-05,7.730502542103154e-05,0.0001253389791523874,0.0003587101819452953,0.0001472957776442733,7.305440556276845e-05,4.335686237859055e-05,0.0011127708760788283,9.062410932318282e-05,8.386302536269516e-05,0.0001493869074401493,5.452412599515071e-05,7.239400472013654e-05,6.895811920494981e-05,0.17708825607283615,0.00012701296961124554,0.00015621585344861505,5.6269054727587025e-05,3.3399576223594545e-05,6.430054557120021e-05,0.0009768230577236155,0.0007061574369415871,0.0001154302556976666,0.0003504385293228629,6.252781375272763e-05,0.3626196862409584,0.16891366528248855,8.01334308998993e-05,8.763510025716403e-05,0.003392495712599463,7.023313262998763e-05,8.773180942727697e-05,5.014185647470946e-05,3.0395083362024995e-05,5.9075024033789356e-05,9.055518329069775e-05,5.912428191885514e-05,0.000297004184937283,6.729175134771647e-05,0.0009873784162503381,0.00010958850205039324,0.00015872489555111336,6.575320434081539e-05,9.09822485886379e-05,0.0006113417038766247,4.374238574035798e-05,0.001880761259544051
ub0015,0.00544341535801793,0.0013641539991722615,0.0003570679961293406,0.00032081878365936467,0.00012946531634292006,0.00011323217606663672,0.01236790378125458,0.0001211044037045238,0.0006031110732053289,0.0001033047473395874,0.017648411047903642,0.002809710732807136,9.776707676080351e-05,0.00013023859751262572,0.00014782422201159676,0.00023967571293093007,0.0006859328133572462,0.00028166194393274284,0.0001396961013597686,8.290786291152729e-05,0.002127862815355384,0.00017329324171658274,0.00016036456119457543,0.000285660644321457,0.00010426212865460928,0.00013843326960664298,0.00013186310032673986,0.0007724300142664202,0.00024287675110261166,0.00029871909201438035,0.00010759881641757464,6.386734036862058e-05,0.00012295679449318082,0.018760865139433,0.001350328431626048,0.000220728052958702,0.0006701155931053711,0.00011956694111076904,0.28797749864318745,0.6101804988246778,0.00015323275576693542,0.0001675775985567316,0.006487198428063091,0.00013430120660228967,0.00016776252777388754,9.588226487504032e-05,5.812208878397933e-05,0.00011296444727299029,0.00017316143997312612,0.00011305863918998566,0.0005679373667290415,0.00012867663824695847,0.01878104930797532,0.0002095573343231621,0.00030351693270812714,0.00012573459776401793,0.00017397808281196256,0.0011690198828163082,8.364506842578952e-05,0.00359642944902275
ub0016,0.0012879079520342206,0.00032275780328712,8.448201751764746e-05,0.07201943233643181,3.063139581753067e-05,2.679064711965344e-05,0.002926236669852782,2.865321021804431e-05,0.0001426956232536825,2.4441824999734352e-05,0.00017873808775752326,0.0006647754319111592,2.313161633383556e-05,3.081435355676607e-05,3.497509899765036e-05,5.670709220058735e-05,0.0001622911842622413,6.66410026642691e-05,3.3051991805919394e-05,1.961593758827164e-05,0.0005034507309271359,4.1001049775088655e-05,3.794213375298555e-05,6.758709214848265e-05,2.46683406939537e-05,3.275320676932721e-05,3.119870969253621e-05,0.00018275635650296296,5.746445540822889e-05,7.067671098496671e-05,2.545779849218115e-05,0.05197432480419313,2.909148447603792e-05,0.004438806486542921,0.00031948668447419917,5.222409019804334e-05,0.00015854884192721062,2.8289447732505652e-05,0.3878842663717708,0.3242270611402,0.03201115557849432,3.9648732931267514e-05,0.0015348662360699515,3.177556379123363e-05,3.969248704402098e-05,2.26856712688154e-05,1.3751642197111826e-05,2.6727302689796937e-05,0.103959397545225,2.674958842603734e-05,0.0001343735509343982,3.0444795177201434e-05,0.00044671944247370496,4.958110662717596e-05,7.181187646025388e-05,2.9748710626606825e-05,4.116308265970407e-05,0.00027658921910994036,1.9790359854745068e-05,0.012841500293665644
ub0017,0.007821823521442095,0.0019601979889111647,0.000513082810549228,0.0004609951185244453,0.00018603299398977413,0.0001627070579571919,0.0177718499038763,0.00017401892215536922,0.0008666302437294348,0.00014844200735613896,0.001085526164188347,0.0040373662586574155,0.0001404847453913086,0.00018714414727205724,0.0002124135126058439,0.00034439795709511565,0.000985639540760723,0.000404729360750166,0.0002007339472745041,0.00011913304967233127,0.003057596439895616,0.0002490107891857208,0.00023043314064025508,0.00041047522556086316,0.00014981770022473427,0.0001989193425712873,0.00018947844908192568,0.0011099302288879343,0.0003489976346904352,0.0004292393408451359,0.00015461229720319694,9.177309323114476e-05,0.00017668068373126632,0.0026840482330273514,0.02621439081162116,0.00031717143795235704,0.0009629112539641416,0.00017180969131623164,0.17106379776674302,0.5126776465933381,0.00022018521359899127,0.00024079779253426332,0.1306919661182014,0.00019298184460837242,0.0002410635234413163,0.00013777639686893454,8.351755125506588e-05,0.0001623223496008056,0.00024882139890235427,0.00016245769708091282,0.0008160879818299673,0.00018489971635503479,0.002713051532221212,0.00030111986297081967,0.07325831123041651,0.00018067220110275784,0.00024999486000082063,0.001679803324759617,0.00012019236465241992,0.02944188763372765
ub0018,0.022698242684390614,0.00568832185228809,0.0014889211088833698,0.14222012949541926,0.0005398513573347864,0.00047216154619845584,0.05157234255706858,0.0005049875794219413,0.0025148846091808267,0.0004307656262368003,0.003150101283601961,0.011716081153398415,0.00040767435312307366,0.0005430758262571137,0.0006164052979914834,0.000999412526851799,0.002860239103348303,0.001174488944505337,0.0005825122284774236,0.0003457136134280341,0.008872875466114316,0.0007226073700684889,0.0006686966708518245,0.0011911629379222658,0.0004347577657302268,0.0005772464055121084,0.0005498497644358208,0.0032209197291368555,0.0010127603859593727,0.0012456147471855078,0.0004486712637134858,0.00026631743050035907,0.0005127117769894363,0.007788871482826852,0.005630671265887191,0.0009204035672071043,0.002794283617636434,0.0004985765861803883,0.07376498198172113,0.5720100039660556,0.0006389580895150201,0.0006987739774267563,0.027050664808277586,0.0005600163095720928,0.0006995451051056789,0.00039981496434164237,0.00024236057507521084,0.0004710451564445792,0.0007220577761531912,0.00047143792290648816,0.002368215418388264,0.0005365626854909908,0.007873036501629125,0.0008738233109025676,0.0012656210383216974,0.0005242948087119893,0.0007254630568681886,0.004874641242277774,0.00034878765216482587,0.014996582671385903
ub0019,0.008902298075649932,0.002230971682848638,0.0005839579612708173,0.0005246750895458134,0.00021173082719938755,0.00018518274223092163,0.02022678020877265,0.00019805718085861405,0.00098634298381999,0.00016894717616801086,0.0012354762870870678,0.004595071440388793,0.00015989073073904375,0.00021299547062933767,0.0002417554422353436,0.00039197167544127297,0.001121791736024867,0.00046063701124018035,0.0002284625097511747,0.0001355895995271406,0.08636149429553439,0.0002834081161902015,0.00026226422762725576,0.00046717658620080066,0.00017051290159549064,0.00022639724301212999,0.00021565222329743503,0.00126325142898558,0.0003972067335953175,0.0004885326992514897,0.00017596980449516335,0.00010445025115031421,0.00020108662723898688,0.003054811624722729,0.0022083610027394795,0.0003609841968428632,0.0010959238571015743,0.00019554277595111303,0.16706666971562562,0.6387511856645167,0.0002506006940626396,0.00027406060993604494,0.038236505118126346,0.0002196395634832408,0.0002743630478184663,0.00015680826208287613,9.505432253525072e-05,0.00018474489184330345,0.00028319256431146917,0.00018489893566804572,0.0009288190215862233,0.0002104410032498621,0.0030878213204660826,0.00034271532326401435,0.0004963792083208929,0.0002056295164153718,0.0002845281225032501,0.001911844452189946,0.0001367952439248822,0.0058816909711082365
ub0020,0.011186732461941505,0.0006832094520914186,0.00017883041807811466,0.00016067571955772394,6.484013380978924e-05,5.671008772949904e-05,0.006194219106521346,6.065273667857901e-05,0.0003020562092878837,5.1738132110559056e-05,0.00037835042177447646,0.0014071878478979095,4.89646997236809e-05,6.522741633404076e-05,7.403482729051462e-05,0.00012003682326960154,0.008804041765257436,0.00014106479364210922,6.996401940486682e-05,4.1522757421980936e-05,0.0010656978530919343,8.679048025088962e-05,8.031540724515472e-05,0.00014306746335777828,5.221761753821279e-05,6.933155518846592e-05,6.604101632218384e-05,0.0003868562399451553,0.00012163999969742808,0.0001496075276751941,5.388873137119568e-05,3.1986689659861e-05,6.15804698352061e-05,0.0009355009713545127,0.0006762851910227761,0.00011054726388268816,0.00033561409304318815,5.988272905705856e-05,0.4065034977294533,0.5509514627928055,7.674358406273025e-05,8.392791382953144e-05,0.003248984562105602,6.726209345399577e-05,8.402053195710757e-05,4.802072910412547e-05,2.9109294446672572e-05,5.657600107760544e-05,8.672446996393789e-05,5.662317522952738e-05,0.00028444015659568754,6.444514004065076e-05,0.000945609811514117,0.00010495263119232812,0.00015201043094974055,6.297167746413796e-05,8.713346931944642e-05,0.0005854804033177553,4.1891972170303694e-05,0.0018012003005842435
ub0021,0.018064175242153552,0.00110323683092115,0.00028877279596887704,0.00025945684900612244,0.00010470291873427331,9.157463685028364e-05,0.010002336232601544,9.794116986399196e-05,0.00048775603744169286,8.354599417894952e-05,0.0006109548382540545,0.002272306767819589,7.906749531171766e-05,0.00010532829700358509,0.00011955037798108933,0.013855737456926948,0.0005547367406409055,0.00022778940691740084,0.00011297689575348984,6.705035354692996e-05,0.0017208736187205136,0.00014014802355706278,0.00012969216847343878,0.0002310232892703645,8.432026037514788e-05,0.00011195560160183955,0.00010664208660325877,0.05527230477223181,0.00019642252806754718,0.0822130063824547,8.701875104087984e-05,5.165164800337312e-05,9.943926006828377e-05,0.0015106335601790092,0.001092055633391673,0.000178510137264058,0.0005419448271507506,9.669777259313908e-05,0.3421922363441931,0.4524876065456467,0.0001239244395927479,0.00013552559232849441,0.005246413703786851,0.00010861386445423356,0.00013567515075342567,7.754318508501772e-05,4.700527145429558e-05,9.135811564664527e-05,0.0001400414310918066,9.143429179103036e-05,0.0004593098880419945,0.00010406508845724193,0.001526957170380582,0.0001694760045825113,0.00024546426515994704,0.00010168576220755856,0.00014070187738896874,0.0009454253636940132,6.764655623063411e-05,0.0029085524291090864
