year_range,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0.023965286831660017,0.0001233354954416983,0.00021863690298248468,0.00018689507349635664,0.0001175795798703054,0.0001604246480185474,0.028633745133566455,0.00010688134641546914,0.00010385806972888324,0.0001673381352387454,0.0015860656897850895,0.00015335727863364688,0.00019069843085367562,5.095737131107343e-05,0.00016178670069070752,0.00011041661503749853,0.060333089358319276,0.00033588393549891096,0.0001121286564024928,0.00011789436627285422,0.001113415939284478,0.00013184819934421456,0.00015937368532708459,0.00011930814862308514,0.025330120762781697,0.0004408184294774486,0.0037027805431034985,0.00011185466637678485,0.3054700511606026,0.00017301925677565795,0.004108128265911161,0.0017113846237599144,0.00014610490330924097,0.0005972836497500597,0.00019511109065322338,0.0013706658945709042,0.00014220895647298591,0.002025217384117798,0.0006588401533095916,0.12386680399324124,8.361004091150729e-05,0.00012472471885358394,0.00010079841674189318,0.00012425278703727798,0.04700448931283537,0.0001743116237007715,0.06872464678746688,6.583486319086835e-05,0.0012795141299642198,8.081136089951213e-05,8.795551032895453e-05,0.0001659028152402307,0.00017631385299652724,0.00020772146624749904,0.00010004289567067776,0.0002308432005792986,0.1110781511263677,0.00022793451234037353,0.00031056724262568434,0.00018994391020047614,0.0033691390408813592,0.0001317547514794788,0.00016016307488175588,0.00011999582091752327,0.0013345279368890154,0.0003417081839424238,0.00011792587906225697,0.000938015264606816,0.00013166197957883803,9.315067015745611e-05,0.0001290800777955663,0.00012558138739758755,0.008219933010805683,0.012741071613561611,8.17505460837272e-05,0.00011475440874337531,0.0001979776602192311,9.713616269441633e-05,0.15227878127752256,0.0002269213525630849
1799,0.0014638486571143,0.002328307819489256,0.0013973989762438989,0.0008384704071610933,0.0014780577210449027,0.0010717711317201832,0.0005429933287291733,0.0018602228328478535,0.0001112615370372279,0.0013731945123258108,0.030346041279671606,0.0003482500022265051,0.0009327299493317518,0.002219455948085423,0.003019731307905065,0.003517584027268774,0.0014455588204989559,0.001144787830382132,0.0015758232138708686,0.0005467951253677376,0.023613497101676557,0.002212679735246716,0.0053107789894007,0.0003865156037335707,0.03668670948714189,0.0051389850440054455,0.002116976700031494,0.0007438724195630244,0.33151805912179366,0.014133269261759953,0.006387424623567734,0.009512873006523063,0.0028985232685954368,0.00624423629458318,0.0010054920765421712,0.0007728475166440894,0.0004738219612222008,0.009509170714501598,0.0012422742024521835,0.1401066276438992,0.0030573430270101312,0.0016997744553019516,0.0003730985209754309,8.726005635748712e-05,0.08881242227042971,0.0014710003024094107,0.00174178542073945,0.000408882461031414,0.006677220207127496,0.0015329446771326367,0.0009261268711822797,0.0006002928594232054,0.01389295933705416,0.0007488673822798196,0.0010858309900390881,0.0011422071547214114,0.09688543571916773,0.006026218523824457,0.0029158489025669612,0.002872764208819583,0.0006071945848018648,0.003222926254733463,0.002524819938321811,0.004676143203707486,0.0006351121118450354,0.0013446900288420613,0.0012271315400264962,0.004625431277070221,0.004126844128040109,0.00019420948436230093,0.0020867453434719845,0.0045443987032741115,0.04181173185574812,0.000586232705011264,0.002012799503474332,0.002461383885309702,0.0004875470094377568,0.002365331353309318,0.027733779609242486,0.0021903449311697736
1804,0.002302844453236248,0.002058979604792807,0.012423022277019288,0.0003891785057111554,0.00017088521140386242,0.0064862842758757555,0.0013692676140086989,0.001701810695912495,0.0006772618224451866,0.0007334560972259739,0.06773800141746607,0.0007299786550834676,0.0017824239020690226,3.9363167831508886e-05,0.0012511621627674843,0.0031628565348655645,0.001960550791398945,0.002437029660457333,0.0018811865605948839,0.00024651103047679143,0.012936057490613622,0.003442873820741951,0.003369820072841878,0.0020764095309051436,0.05745613922122572,0.00441170051120376,0.0014394995489867934,0.0026997257688734936,0.30169985459135085,0.000720236234051016,0.0019682130347379975,0.032641230599805025,0.0006911193231040818,0.011730663277490503,0.0007372488181639391,0.0012715255110428414,0.006834027039888924,0.05384923306893394,0.004679630261100636,0.14224937796820142,0.00169000839878801,0.001412947149468741,0.001526363253160788,0.0008974755076201263,0.01458699508546865,0.0035348829689540407,0.01720783207421919,0.0005319744371485813,0.005246373108441448,0.0005750149834096453,0.0003639110776833071,0.0009243853102450457,0.000996408212319978,0.002096004929805118,0.0009938430729903005,0.0012294782193527744,0.0651002576255641,0.002300530388490485,0.02217989845306953,0.0006360677099677862,4.718004877364339e-05,0.0035179414011617086,0.0024313496396386343,0.0034982194373715824,0.0002538070502438029,0.0023566976316526777,0.0024800305260989923,0.01535281742467697,0.002197487286525393,0.002221033259665004,0.000562897668420994,0.0004913552195472875,0.02283312979360316,0.0010608496040236867,0.0011108630626465142,0.0004468955314242865,0.0012801242472493615,0.0017994187526581185,0.034036365299183725,0.0015442450153604916
1809,0.0024288357931424496,0.0014674703836840106,0.0028847084629949043,0.0010928877002632678,0.003614270509500748,0.002139018723557384,0.00022301060164186005,0.0015586323699806036,0.0026572172215496453,0.004795354648500784,0.017974888727598254,0.006877589331046834,0.0013091464715870957,0.00032633451836065346,0.002749392991675618,0.0001393676229702167,0.002085660552261711,0.02516827379987878,0.001200808723812312,0.0029694983407099,0.008103285078055935,0.0012898891569216645,0.0008761350514428815,0.0049629231928852505,0.026289155058156474,0.004597475117017466,0.0033487359371687318,0.0021304516585739053,0.2748432075425225,0.00022370385462127185,0.0013775889230780859,0.05508453696277373,0.0010648332089564457,0.017202224316784077,0.0003110404864495817,0.018308777029399058,0.0018076704130008745,0.07719978861962748,0.004506932636899142,0.17300688472746487,0.0004683307981199981,0.003983834571734805,0.002111596185383398,0.0003296003637319189,0.005642123764796603,0.010015927267597388,0.01053220206334875,0.00014969664286412795,0.007573728520418254,0.0015659007243720834,0.0019514685568174242,0.004634426575749226,0.000787312730219261,0.012431068065200092,0.0013029140268876278,0.0007977635369453828,0.053511890115895695,0.002268314384416316,0.01151413593523928,0.0026206304641432357,0.0020804820099216375,0.0007544070930127926,0.0023126271474648995,0.0009390872282720735,0.0051535466948750275,0.010996704140670898,0.0005650404365196456,0.034100058661060625,0.0022315600839759517,0.0015094439784987424,0.0019023711955339572,0.0007288267289846755,0.0015786584487308996,0.0023662220412879196,0.004486936384666425,0.003045880818941612,0.000617816564512884,0.001650516138537851,0.02135832909018106,0.0072310133539529526
1814,0.006023784992187209,0.001016380602705778,0.00017742547390672112,0.007027801600490069,0.0024650849602645564,8.194381759856837e-05,0.0028032802441912605,0.0012698939297722345,0.00018718314774884368,0.003878855785958803,0.01745582422514223,0.010724961418599573,0.0005197231413620195,0.0027628436817350712,0.0017804360739777107,0.00014993266056084875,0.003077603374879378,0.0008963452059520889,0.0009479121693980254,0.0011986490736666472,0.01006549901048177,0.0017523349129838306,0.0008128959386457779,0.0010598604512099216,0.008646943047338878,0.005832134923177341,0.003022474898346468,0.001184527378453934,0.2862560526968576,0.0017131106348947653,0.0006281593792333065,0.13932952316484054,0.009859974930106501,0.02968959130923655,9.966141625629132e-05,0.006355901402368047,0.0019274024203047829,0.01332235535377257,0.03514073689173395,0.1428797571468927,4.270743945200541e-05,9.260539762663049e-05,0.003364549417880417,0.0002880872656430717,0.009112448538743404,0.000994702250857817,0.0038960423594640607,0.0007549582559168474,0.02569740414780417,0.00014455255026028107,0.00010154286369079946,0.0033131789360642747,0.00039734147161504357,0.0018705326383224139,0.006174286499263257,0.002399796020384954,0.0531658088277654,0.006745093235856394,0.0006491063112090228,0.0024422335574418386,0.0020043146289147394,6.729942970939782e-05,0.0014238382244441334,0.0027812092715643333,0.015022159002999528,0.01448033841933788,0.0022953617275991364,0.022631495323237646,0.0008196029254972926,0.0008710418292512349,0.0023689347176357825,0.0026132692415282393,0.0020048733452777095,0.0016710966501062988,4.175762215849651e-05,0.0008585032237748938,0.01710458132272222,0.00018797420199829373,0.02446003251606026,0.0006205755036871271
1819,0.05777087252027249,0.001333509070804295,0.0005312403808839772,0.008822862277409815,0.0024962138092923655,0.00028131993940365933,0.015406547464465372,0.0011404359594356572,0.0011309021992697073,0.0017857481833160702,0.006623979198630931,0.0078065941183038485,0.0024740312558908127,2.409831425028195e-05,0.0026336622222372427,0.0014858787212249404,0.05280465838118385,0.0018642124958901053,0.0008892257232742076,0.0001973190643553305,0.011281944077993997,0.0015105558286588965,0.0015124494729853702,0.00040779589735794145,0.004521922168679643,0.0037211190455676254,0.0009260268751608096,0.0021937424709091323,0.2768398156583293,0.0005154188073796605,0.006526150961655152,0.017008882262450724,0.0005161855074457867,0.004566276542156442,0.000797434162923383,0.009637657636702223,0.0003145085894993991,0.0088184623848393,0.030118157874540488,0.12058034960014233,0.0019081097883283632,0.0007476472295407434,0.0009057703141368973,0.0037561849628612166,0.006341135692969079,0.00033172987634252373,0.0008702500720079364,0.01083227119855388,0.016297051561105155,0.0003891942617176598,4.159515048395883e-05,0.0012204280472053308,0.0008211470738531567,0.0007888539767738665,4.731141101574567e-05,0.0019215798615330973,0.03928011771874317,0.002907138901469636,0.0025612824832025862,0.004320888532935308,0.0007411645177805331,0.00010583715847053801,0.004743327639483776,0.0005948581730719919,0.0002272188153845451,0.008803303591025482,0.0022309515422802924,0.00870997576714824,0.0005493058560229916,0.00495730256359008,0.004018646354188017,0.003420283189056636,0.000959347297045307,0.003405630816906771,0.0002500846413071622,0.00048315704518820405,0.0023299181436099406,0.0009629490937909483,0.18379856396784108,0.0026003185868555545
1824,0.003390734189909017,0.0005111803330248928,0.0006719864412236248,0.00010785511747339956,0.0002480933249805988,0.0023549458555288897,0.000939212060273618,0.00010591277631610837,0.005696248633343282,0.0019075116269838862,0.009576002850317629,0.0024884898973410226,0.03544166635980456,2.9406945651772918e-05,0.00035906305608765266,6.372022955498982e-05,0.0010308905795944063,0.0006713828653847618,0.002883742427838418,6.803555859410368e-05,0.012417121522037621,0.004424039740781671,0.0034947962488375305,0.002598049516490956,0.002463149703003186,0.007042356594076267,0.006094739577055353,6.455011336749453e-05,0.22696667561243034,0.00016627196129639677,0.001085861532420076,0.010172551097575514,0.00016235700799799372,0.004578210375825622,0.04237752748847944,0.00024731707532720583,0.0010768860826178073,0.012096725996694962,0.00689131878117018,0.21421921993896367,0.0020388033427935527,0.002088409825792781,0.0007027689760364677,0.01161203722674729,0.003357665284620922,0.00010059334523653042,0.0009427414395038362,3.7992584665077926e-05,0.11236590189918785,0.0005774279015999134,0.007368950054418765,0.001154274792688385,0.0007739820466394564,0.0023426957873531056,5.7733668753715685e-05,0.062128603774330084,0.09202188253413114,0.0032894563829092304,0.005052947325577005,0.005818278232515741,0.007023580719529531,0.0018695428861908675,0.00036678859173476703,0.0001056057042346918,0.0010749540023397,0.0018032658401561912,0.007339881345800153,0.0011053226064723755,7.59806987343234e-05,0.0005291146865242543,0.002074375310378038,7.247165501397415e-05,0.0014582439516406677,0.000484333560919843,0.0003128750603541894,0.00036836201051709605,0.0006543385577298905,0.001139856292613276,0.030991199149450595,0.0001309538484886353
