,Number,Score,Rank
0,0,"0,03809",13.0
1,1,"0,00649",58.0
2,2,"0,01151",28.0
3,3,"0,00984",35.0
4,4,"0,00619",63.0
5,5,"0,00844",43.0
6,6,"0,01144",29.0
7,7,"0,00563",68.0
8,8,"0,00547",69.0
9,9,"0,00881",39.0
10,10,"0,08349",7.0
11,11,"0,00807",47.0
12,12,"0,01004",33.0
13,13,"0,00268",80.0
14,14,"0,00852",42.0
15,15,"0,00581",67.0
16,16,"0,02744",16.0
17,17,"0,01768",21.0
18,18,"0,0059",65.0
19,19,"0,00621",61.5
20,20,"0,05861",10.0
21,21,"0,00694",50.5
22,22,"0,00839",45.0
23,23,"0,00628",60.0
24,24,"0,05237",11.0
25,25,"0,0232",18.0
26,26,"0,00875",40.0
27,27,"0,00589",66.0
28,28,"1,19312",1.0
29,29,"0,00911",38.0
30,30,"0,01312",23.0
31,31,"0,09008",6.0
32,32,"0,00769",48.0
33,33,"0,03144",15.0
34,34,"0,01027",32.0
35,35,"0,0118",27.0
36,36,"0,00749",49.0
37,37,"0,1066",5.0
38,38,"0,03468",14.0
39,39,"0,57256",2.0
40,40,"0,0044",75.0
41,41,"0,00657",56.0
42,42,"0,00531",70.0
43,43,"0,00654",57.0
44,44,"0,06735",8.5
45,45,"0,00918",37.0
46,46,"0,01853",19.0
47,47,"0,00347",78.0
48,48,"0,06735",8.5
49,49,"0,00425",77.0
50,50,"0,00463",74.0
51,51,"0,00873",41.0
52,52,"0,00928",36.0
53,53,"0,01093",30.0
54,54,"0,00527",71.0
55,55,"0,01215",24.0
56,56,"0,18815",3.0
57,57,"0,012",25.0
58,58,"0,01635",22.0
59,59,"0,01",34.0
60,60,"0,00321",79.0
61,61,"0,00694",50.5
62,62,"0,00843",44.0
63,63,"0,00632",59.0
64,64,"0,0082",46.0
65,65,"0,01799",20.0
66,66,"0,00621",61.5
67,67,"0,04938",12.0
68,68,"0,00693",52.0
69,69,"0,0049",73.0
70,70,"0,00679",54.0
71,71,"0,00661",55.0
72,72,"0,02644",17.0
73,73,"0,00688",53.0
74,74,"0,0043",76.0
75,75,"0,00604",64.0
76,76,"0,01042",31.0
77,77,"0,00511",72.0
78,78,"0,16238",4.0
79,79,"0,01194",26.0
