year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.034411548439805394,0.0015650374592634025,0.0005995677309286306,0.03920044104143166,0.11124590052564648,0.0004153506123762496,0.005698947805523332,0.03674067558627831,0.0003803782716347015,0.0004827055620583176,0.0004505745216222346,0.4713819959251971,0.035815412383091126,0.0003983834946718236,0.0005626329204558621,0.19064485747254759,0.0009527332784493776,0.0518004016809562,0.0009827227915429543,0.016269732496519387
1799,0.00018824701599979768,0.00023888379948577525,9.15166705854486e-05,8.65182347825435e-05,0.4198908851507371,6.339818374052264e-05,0.00013795566315597286,0.30709838944578605,5.806008426961018e-05,7.367909184210797e-05,6.877468206241164e-05,0.21005794404765396,0.00016776398014432757,6.08083610371969e-05,8.587902414650993e-05,0.009483776186822793,0.0001454230658221079,0.05176234882433679,0.00015000059768252352,8.974788990644476e-05
1800,0.002356528612520693,0.02077229899102386,0.0013067932112065892,0.0013906988516264017,0.2931668280306217,0.016025246285099742,0.006481948234958531,0.05140945936249751,0.013946172528062068,0.006955940868968402,0.002021797909795721,0.4190700365796499,0.05981632688287656,0.006177640947936639,0.03902105877282802,0.014684929237811782,0.023411120860713543,0.00632292254027922,0.0028613074096936735,0.012800943881829502
1801,0.006906460976729576,0.008135008158327591,0.003923768574619788,0.0006064309981780932,0.10642199936386765,0.014644089985976456,0.02407033951827521,0.025531276714815986,0.0028583032722133764,0.0092859569484961,0.028057609708102945,0.582901699897991,0.0978827138125284,0.0005215609413525995,0.04185447824051644,0.01997664544065376,0.012239557526454855,0.002911347892640085,0.0019528111292589528,0.009317940899001231
1802,0.003926061719130468,0.01797156972376598,0.0007981870562828399,0.00040107869228031963,0.051721454643849744,0.001593156304741309,0.04864866859020435,0.02055472635667352,0.0014199282782681585,0.005817856725120519,0.001057827615585711,0.5635129992727889,0.14180477376080847,0.0013273782612131734,0.07710508751392643,0.043056905173921065,0.0007733490189169662,0.00339507442412068,0.006258873929449376,0.008855042938952078
1803,0.005449478172009206,0.019010417474550317,0.001962989033706378,0.0007909902201920518,0.14760121765756104,0.0002621310788640072,0.06530244054513565,0.18873459098870463,0.0032062003073746437,0.005649289329719911,0.0031649060783107094,0.442564988059667,0.052367283659506665,0.000757816206827083,0.025140722265974087,0.025925056488355403,0.0015863162466660933,0.002676747747789661,0.004324839893827636,0.003521578545257904
1804,0.020918803859607895,0.015608329322853986,0.0005846424648870531,0.0029429074311182173,0.08814644043459453,0.005773413528527835,0.08634963614524914,0.15407627779085906,0.005265958787174185,0.008910407039740517,0.009325043631394386,0.4797104103935619,0.039815520827476844,0.00027974435992473375,0.02401350470081248,0.04265397501450198,0.0018296871938304914,0.0026276357526588815,0.0021077558676145967,0.009059905453611204
1805,0.08192977861290039,0.0672112443136671,0.004019416192781561,0.0011373516113679359,0.10556723603794924,0.007887964488307683,0.07027892383424063,0.05186036777430406,0.000296836611342145,0.0027227011598433652,0.00304764761670174,0.47513080593942636,0.03207132168580922,0.01425234711440635,0.007293493770168453,0.035208531023704845,0.011457405862999566,0.01688879599521906,0.009486928073423854,0.0022509022814366027
1806,0.14176704366212403,0.06188635325554252,0.008408853162426259,0.0004959956226652319,0.099607762764632,0.0064698331875996246,0.08873516368668975,0.032856842216715365,0.0016161654476401998,0.0005995761155521412,0.0003942745866104039,0.48824314220375975,0.003634129962705645,0.0008314415655190832,0.020091678010939716,0.010136260061055478,0.001217211054436869,0.023291605832372324,0.003618150254128304,0.006098517346885202
1807,0.01750847719804516,0.07992503422702366,0.005383100412896364,0.005102988706332784,0.028466774598779637,0.0052093199594978185,0.03825704698418559,0.017936770470678504,0.003941475577882254,0.0007373064805124602,0.01452139693348636,0.6175733553043203,0.00785771021807627,0.007755737434848074,0.015687658096858088,0.10224448171775281,0.005738108846467514,0.018916575714231214,0.00503889358593587,0.0021977875321892667
