year_range,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.034411548439805394,0.0015650374592634025,0.0005995677309286306,0.03920044104143166,0.11124590052564648,0.0004153506123762496,0.005698947805523332,0.03674067558627831,0.0003803782716347015,0.0004827055620583176,0.0004505745216222346,0.4713819959251971,0.035815412383091126,0.0003983834946718236,0.0005626329204558621,0.19064485747254759,0.0009527332784493776,0.0518004016809562,0.0009827227915429543,0.016269732496519387
1799,0.0048256235539612564,0.01659989079632488,0.0018735065059115733,0.0006916283165852055,0.12612323648932786,0.0054939888145204225,0.04398298237591274,0.08344326726342327,0.003818462010815497,0.006562231740161865,0.0072790223785507745,0.5073048661620022,0.09222367411611873,0.0015548332204713422,0.047535643315012886,0.029058922219931744,0.006077489294025441,0.003665354769333388,0.004302760940116873,0.00758261571749195
1804,0.08325215338704377,0.052000442680464096,0.005510173354137929,0.0029542548318096597,0.07977805634119645,0.005662453177882359,0.058461158555186174,0.048488748030614634,0.005638578185062005,0.004105455114234447,0.00823980390772223,0.5151946156886394,0.01778543398617155,0.008342258275852634,0.013639386518022118,0.04176090817781084,0.008213236471305731,0.012412661892943029,0.02297665036893161,0.005583571054969016
1809,0.09070082397290878,0.07508194455250085,0.006319597416415058,0.0020710451014635794,0.07040003837690244,0.009163193736774957,0.03124488998085942,0.005865259052559113,0.015484701320967204,0.010567984455261439,0.020232820065057045,0.4941921393666476,0.006656333773158312,0.012677115660627946,0.00548872567561042,0.018399910363717385,0.008583982253186243,0.03197234090222075,0.051014348078520476,0.03388280589464125
1814,0.008778154188152802,0.20344571621723573,0.041074670054145265,0.005173340710611042,0.07933375239076262,0.0021209182552551806,0.010401402017814091,0.0037200621962229768,0.019209477195012356,0.02562938773888259,0.00617882827659648,0.48092319559349456,0.008083828960809749,0.004739509803088451,0.004696382266528675,0.02497911661726569,0.013568491321965295,0.02237828620738521,0.029730114048824915,0.0058353659399460935
1819,0.008213231304226586,0.02477639293847099,0.038611203948790994,0.06979687230073649,0.05357042990126512,0.011185770786813537,0.0034221615241050913,0.003135814341655785,0.005030112901787736,0.013674641210470313,0.004621470454501294,0.4422831004483081,0.007920833728589864,0.003956700836456244,0.004185859111543819,0.25928059519925667,0.013329426921988716,0.014997091632500533,0.013697714337733667,0.00431057617079813
1824,0.006354514569968258,0.01466623522417914,0.005786500027359819,0.0021903558515152144,0.14770177972972648,0.017864686858505716,0.0027907189489384315,0.002165578066948835,0.009328413403997636,0.01180974586732383,0.016576514744076846,0.4650831760327192,0.007898178643278003,0.04335737121516956,0.0045436662369477306,0.030890983170200895,0.196913652231011,0.0029312238514377052,0.001861792435436882,0.00928491289125869
