month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.034411548439805394,0.0015650374592634025,0.0005995677309286306,0.03920044104143166,0.11124590052564648,0.0004153506123762496,0.005698947805523332,0.03674067558627831,0.0003803782716347015,0.0004827055620583176,0.0004505745216222346,0.4713819959251971,0.035815412383091126,0.0003983834946718236,0.0005626329204558621,0.19064485747254759,0.0009527332784493776,0.0518004016809562,0.0009827227915429543,0.016269732496519387
1,0.03791661165820675,0.0671745756890245,0.005528347532806362,0.00804633018392977,0.08284098790601857,0.002642002564683895,0.023494244899507803,0.026051303370909423,0.00826989571533128,0.012432687382380824,0.014640653353206579,0.5076180525253393,0.019903320342270686,0.01931134089413771,0.017375206077135694,0.07374551859524697,0.016659747823985514,0.015694701317423017,0.024423757944548857,0.016230714223906633
2,0.03536678249769789,0.061532981956510635,0.019971881152027044,0.0022682700291615384,0.11640607112583168,0.011892358411507147,0.033735428630985116,0.01681101265552325,0.0022849434277139504,0.00683375628906435,0.015588605974873049,0.4806300695767673,0.02494575826714199,0.0057374180036475625,0.011521318879577655,0.037269158398824546,0.037020612808574625,0.028212878335767574,0.036440628428920624,0.015530065149882687
3,0.07898076648965464,0.036156208087349304,0.0017504381029654782,0.01004540032440712,0.09706044148827399,0.009683245332003952,0.02011054761187412,0.015996767188220254,0.005914853457359751,0.013950929826594042,0.005740989113467098,0.5057128756114659,0.026848971759440596,0.00773904573879648,0.008464984276902511,0.06251350365908527,0.015170390511204376,0.01683445402951432,0.035630260729555906,0.02569492666186468
4,0.044554220071369846,0.07341925934444694,0.022729697297662457,0.026425165343974277,0.04085055163354389,0.005359827864694305,0.03737198888079675,0.03437013751336413,0.012938196018345656,0.010213078338135857,0.008892909240325085,0.4949687869009613,0.030459753206691174,0.012020875316516471,0.00825689125201473,0.09262365814705548,0.011812103868821689,0.009918106219694441,0.01499929077722685,0.007815502764358906
5,0.06812185303068508,0.04630569086222638,0.005355605751958374,0.03320825019208496,0.08963452370479141,0.009211537478761746,0.013707129911386036,0.009879365990471914,0.02451075008417607,0.010067528518187456,0.017494652705391123,0.4681459983658463,0.025271536313454433,0.015950480097462208,0.016400441087853466,0.07696303366844315,0.016404986899970678,0.02711210334022854,0.013679625134246236,0.012574906862374419
6,0.06103577096481377,0.037997373879648765,0.026106486592114547,0.03626080971730832,0.0677790480021478,0.008384735253405736,0.027868694305930437,0.036753851302342364,0.0057215263868461595,0.010220082420989793,0.009481020434635484,0.49527343391713213,0.013165686676399087,0.004332376481381484,0.012266979425019942,0.08539860044294593,0.03052918584233103,0.001994022728524453,0.022050622770042903,0.007379692456040053
7,0.02234875357446167,0.07744703306372995,0.02453980876652178,0.012423103868414664,0.06930848471594474,0.0054769108437819755,0.018234598274491056,0.03553775463408879,0.008906837028926603,0.016574126880506048,0.019627852273021662,0.4920844970495314,0.02418530630664403,0.01787407666141742,0.014617183123683954,0.08024701641584375,0.008998116880775646,0.01777734444503574,0.029944470992074798,0.0038467242011041235
8,0.03753227595117679,0.0652838286633068,0.014846547480823627,0.006304431948251448,0.09470270348193266,0.0024424898962906766,0.031983772474867576,0.03526673298054566,0.02370156467771938,0.009118871001286999,0.012793202670655207,0.4786581364712037,0.022977854425116368,0.01462524430704155,0.006517754017185566,0.05448828403904968,0.014404871313654923,0.021062244401236847,0.0395712719100969,0.013717917888557621
9,0.04944174760609777,0.0652303209076551,0.020066786808655517,0.010921007340973786,0.07177406148841113,0.004658186888502741,0.03129396730674079,0.04263387969148412,0.008756633094189208,0.011001817890417464,0.01185451533856781,0.49576377242921627,0.01667998023911533,0.003084476543942111,0.019659915395942796,0.0770877255148943,0.014647284788277523,0.020159545736137065,0.011866466352320545,0.013417908638458584
10,0.043630227664870555,0.07132544506593289,0.01645985746020067,0.01663831830000212,0.0937180121886729,0.014728839974576635,0.045647140716048105,0.03679163626029922,0.0012463583554824618,0.006000414664053829,0.007629235591200367,0.4625408130918299,0.024087282307431478,0.0063132457885733935,0.016824945592253164,0.07104911037817496,0.019657770048148,0.013409957023188299,0.02248595848689817,0.009815431042162951
11,0.0337811764028487,0.05611615809789683,0.012785998452829841,0.012243547008745664,0.08114043036227984,0.016408122711534502,0.03259053685395067,0.02203494724705655,0.009160350936408478,0.008149987279127843,0.003790038861124097,0.5111136103249486,0.030819138218924673,0.000984900444431482,0.01986759916388256,0.07894140569782022,0.029625492007593915,0.009186122840583028,0.020219637222917808,0.011040799865094661
12,0.023242139283455438,0.06316556019331822,0.015573582033872156,0.01263934808846641,0.10851133250958077,0.006597895979250849,0.04528654308124932,0.02263745967506481,0.0031428736717703538,0.012842410324582889,0.0029981056311203127,0.45024734143442824,0.029635393377080415,0.007689543777060988,0.014908948283999109,0.08564446237199996,0.05200893586378128,0.01960518027669833,0.013442477372720186,0.010180466770500095
