,Number,Score,Rank
0,0,"0,00587",59.0
1,1,"0,00552",61.0
2,2,"0,03494",21.0
3,3,"0,02001",29.0
4,4,"0,00673",55.0
5,5,"0,00704",53.0
6,6,"0,03513",20.0
7,7,"0,16284",6.0
8,8,"0,00608",58.0
9,9,"0,01051",45.0
10,10,"0,09322",9.0
11,11,"0,01574",34.0
12,12,"0,00657",56.0
13,13,"0,02307",26.0
14,14,"0,08035",10.0
15,15,"0,01026",46.0
16,16,"0,0398",18.0
17,17,"0,01736",33.0
18,18,"0,014",39.0
19,19,"0,00573",60.0
20,20,"0,00965",47.0
21,21,"0,03137",23.0
22,22,"0,00519",64.0
23,23,"0,58743",3.0
24,24,"0,00492",67.0
25,25,"0,02835",25.0
26,26,"0,00675",54.0
27,27,"0,00472",71.0
28,28,"0,00758",50.0
29,29,"0,00844",48.0
30,30,"0,01912",31.0
31,31,"0,06578",12.0
32,32,"0,00236",79.0
33,33,"0,13495",7.0
34,34,"0,0037",75.0
35,35,"0,02911",24.0
36,36,"0,2497",5.0
37,37,"0,01204",41.0
38,38,"0,0452",16.0
39,39,"0,00324",77.0
40,40,"0,00636",57.0
41,41,"0,00528",63.0
42,42,"0,11322",8.0
43,43,"0,02185",28.0
44,44,"0,0191",32.0
45,45,"0,01086",44.0
46,46,"0,00463",72.0
47,47,"0,00727",52.0
48,48,"0,01115",43.0
49,49,"0,00485",69.0
50,50,"0,00823",49.0
51,51,"0,01482",38.0
52,52,"0,00366",76.0
53,53,"0,01376",40.0
54,54,"0,0223",27.0
55,55,"0,04914",15.0
56,56,"0,05327",14.0
57,57,"0,05395",13.0
58,58,"0,0045",73.0
59,59,"0,01959",30.0
60,60,"0,01195",42.0
61,61,"0,00283",78.0
62,62,"0,00743",51.0
63,63,"0,86332",1.0
64,64,"0,00477",70.0
65,65,"0,03328",22.0
66,66,"0,04161",17.0
67,67,"0,00511",65.0
68,68,"0,039",19.0
69,69,"0,00417",74.0
70,70,"0,01486",37.0
71,71,"0,00508",66.0
72,72,"0,00228",80.0
73,73,"0,01557",35.0
74,74,"0,39646",4.0
75,75,"0,01539",36.0
76,76,"0,0054",62.0
77,77,"0,06658",11.0
78,78,"0,00491",68.0
79,79,"0,65371",2.0
