year_range,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0.00012553885149361573,0.00011823023428857885,0.07170562396528107,0.0004283307247344895,0.00014412159874667243,0.00015066281046570732,0.0007517092021041106,0.0222597318678836,0.00013004680518052415,0.00022500727653763027,0.032962191309835576,0.0003369227945120733,0.00014052291234444657,0.0004937163119897288,0.008255451345016025,0.00021948411685859503,0.024380062419572714,0.00037145766005928295,0.0002996915826897928,0.0001225636962706433,0.00020662412039518016,0.000671365284594508,0.00011101177229304452,0.1556535870853656,0.00010533612167075994,0.0006067758674083599,0.00014437125097909752,0.00010096018902182453,0.0001621186636386767,0.00018063075341492939,0.00040918450218383785,0.0014077069708850465,5.047455898764686e-05,0.028297606039733622,7.910389423883931e-05,0.0006228976308422629,0.03338447148478748,0.00025767050406282863,0.0009673742704301723,6.942656467052596e-05,0.00013608196598135356,0.00011307814016796754,0.022622733799621042,0.024709619363248333,0.010508642871526882,0.00023247290309477304,9.911542965571425e-05,0.00015559972197688924,0.000238565983104384,0.0001038910776192595,0.00017610824150990625,0.00461816771826868,0.002228838310886602,0.0002945663423519163,0.000477220337423521,0.0417007782704558,0.0037542668591478527,0.0011545666395666914,9.631112332800865e-05,0.0025697602543631386,0.00025582783263774616,6.0512974321596364e-05,0.00015907905943158467,0.14613186360144834,0.0001019842531482157,0.0007122097829963432,0.0008905913748203866,0.00010927222551256613,0.057042936901358726,8.917678172442635e-05,0.00031808807153674783,0.00010878596532972415,4.877716897326868e-05,0.0003332281772504563,0.15455711914200948,0.000329429433432902,0.00011546654076707834,0.0014249809684909194,0.00010506014271239405,0.1340054592333293
1799,0.0014247002299780718,0.0007736140094665231,0.0021771002747911785,0.0019993052891839258,0.0010617839685934881,0.00018566936165814664,0.004168338548741551,0.02227500663738366,0.0008222188088206884,0.0055317076166308795,0.06771716294092751,0.0017794161725352884,0.0009196418228388973,0.0031694863252539015,0.025304321485289917,0.00033117837664356877,0.004655413773439526,0.0036870656252557424,0.00022039364661683336,0.0017180095053504014,0.0014732476290845048,0.00555694344480369,5.139330031392912e-05,0.13278944999655715,0.00012509813012904936,0.034961066265244145,0.0007372897464222464,0.002302576884687203,0.0029125021209055564,0.00026101630097846083,0.0007702228748056233,0.03473258679649322,0.0005470549044661224,0.012263278107710343,0.0006414758100421605,0.002446491568603665,0.03960202837541743,0.0010159857876558926,0.004760439155705054,0.000910149949051866,0.0019323102089692915,0.000710968953884571,0.00996890735549566,0.009149902083637316,0.024322958337964336,0.012845445800686698,0.0015052843764789025,0.0018845901748016775,0.00020273097673786494,0.0007035556044888441,0.0010596420775465902,0.0012728164102434984,0.0015363793549662715,0.0009002528183078132,0.0014125040656282955,0.002296838136272955,0.00334900101081354,0.006064881636054922,0.0011251361207032888,0.009452799281838418,0.00524429129021478,2.801469968418599e-05,0.001276186183989886,0.18860280284727332,0.0019193343642682592,0.0014583363760286225,0.006409775441170963,0.00010107344356095217,0.005504375295703674,0.0017383867576893004,0.0015233114773544694,0.00028063929708730534,2.2581566276494174e-05,0.001075832466814242,0.11068994728330511,0.0007449266700983204,0.0006177107084353473,0.003924556548534699,0.00010553582200675426,0.14825364510650557
1804,0.0013102150259460764,0.001941913735350594,0.002609319156241578,0.0044906649316321995,0.0013293368225377254,0.0008990058857298045,0.005872674170015995,0.022652507109144123,0.0005785041901715191,0.0014543215135727778,0.017422252029202646,0.016921967315561316,0.0008627634007159982,0.01693110664167526,0.053189441043117125,0.0013121635224538069,0.0033447463700564646,0.0040249758175074325,0.0007888443298772344,0.0023724191613538103,0.0021445869515904587,0.0035507715063420376,0.0007444243559586902,0.11421117209422747,0.00013630908852460124,0.015512060926119321,0.0019700008717996455,0.0005064552341022323,0.001542369567783094,0.0012668047819192365,0.0013933804287782517,0.05836021193350892,3.780172674539933e-05,0.03378606208432554,0.00014808695680724977,0.0035293969481100546,0.04030105099410615,0.0006786359762529775,0.005688054712405783,0.0008827229503197485,0.0011773039468509915,0.00047965338753436514,0.038631935372257016,0.001638281151069693,0.003928785467745934,0.0024220017664493385,0.0017864251878413498,0.0015662790670067706,0.0023116193311750635,0.00037429559438960066,0.004681288008744051,0.001047427473281536,0.0004943782202068006,0.0011865519051578886,0.001198696114316672,0.0028947445614847162,0.014412017065070467,0.010991676154296307,0.00025302518146470214,0.0028476049910657994,0.001928125392154359,9.622912041136166e-05,0.00024263785855298844,0.163974765153735,0.0024248283924580643,0.002683159479912917,0.012849778801469229,0.00039959779820097956,0.022472829564104766,0.0020928311116697016,0.011605045809740987,0.0009483549777881266,3.653050665371716e-05,0.0021147767397084456,0.08061243876009232,0.0013667106773639032,0.0006230879748756522,0.009049350385792798,0.00015906900314834843,0.14329636028316683
1809,0.0019276090170675545,0.0017242434418151525,0.002359448957002056,0.008810337402148009,0.002427929764525575,0.0018905666140135637,0.007139390896156011,0.015144486413747438,0.0027560473176613774,0.001469710093649838,0.009860857834491091,0.007740847418773101,0.00366541493229025,0.005908750742920393,0.015799919830537346,0.005413437899759463,0.005307310852593431,0.0026757166358187525,0.014515318618513896,0.0012788417021711847,0.00724508523318654,0.010378873359882742,0.0002594194088370299,0.1003282196270356,0.0005914972997360063,0.0015435366341726331,0.0007683626599376439,0.0015455059307616142,0.001169667753826673,0.00431735654484146,0.0019495636529378484,0.0201104517454572,2.7686670876850155e-05,0.05048495132448796,0.002942535955412024,0.010317015836500295,0.05952595215809423,0.0036235383357043904,0.015099313848604573,0.0001184065400917186,0.004044674945877736,0.0004127719745824529,0.06607459272710858,0.0007447584046951331,0.001497850342610276,0.0007452563919562141,9.510498953217788e-05,0.0008608577013028297,0.0019605327415736355,0.00026941081118826926,0.0015378374045105635,0.0027332356511068447,0.0009618998293412248,0.0005496888953045928,0.020464481943655907,0.0027805554184599365,0.02683461754949718,0.012557650732728295,0.00023666618589585978,0.0021353660288451473,0.0009368452255501936,0.00011015871365464917,0.0019897075399835564,0.15101142347325477,5.5941141600208255e-05,0.0033020832530301766,0.015476568233590478,0.0011104448747885642,0.010328374749373056,0.0020496042060920688,0.006699952350041479,0.004343018552630778,0.0008726344468470066,0.0030177414886523907,0.07610379797571734,0.0009102314678626221,0.0010752277690424378,0.0074930147236684595,0.0025311394413337694,0.15292115279747276
1814,0.004060556255327137,0.00011721312342055351,0.0025625398552590493,0.001973275254319095,0.00016888525842308563,0.0007775215725180542,0.01108725554384209,0.018117833083401803,0.00034991558690445463,0.0015619389479780317,0.009098535461116847,0.001007101952603927,0.0010509502550462549,0.0029605279217535968,0.011959313792201099,0.011531716181207604,0.013428883004741297,0.002698696591636504,0.00118409282665436,0.002999412329837459,0.00010192438380453119,0.0023346433005840936,9.361003610166267e-05,0.0890467758436369,0.0045296498404976725,0.004391259123542675,0.00035767107132022034,4.980205135372228e-05,0.0025316033293503637,0.0009096142973174674,0.025422002365453274,0.006521627659867319,0.0002573690574477964,0.10809973543316002,0.001528747371290689,0.014591511475436404,0.033690979540316496,0.007686311468098842,0.0069329044334897226,3.424701729001945e-05,0.0021963544491959003,0.003567167623703531,0.009081556411926449,0.0007858183136528738,0.0012435106525111653,0.00037407476053014896,4.889206097457965e-05,0.0010126280586458254,0.0032666700560661987,0.0018802941305513438,0.0007179606189482543,0.005012392055951848,3.865015885810065e-05,0.006127237592370784,0.009112758608052727,0.005574589902463431,0.02438183639145005,0.00859879142728746,0.0035473372454210357,0.002353193827876843,0.0007596026541532499,0.004926859316679818,0.00039537835446396935,0.18092213062641768,0.0004049114721245941,0.007693329367549075,0.029741172366417594,0.00018174873519312613,0.005088756733016561,0.00011092287992650137,0.0004676791660374005,0.0002646228247179758,2.4060999663647596e-05,0.0014892536271739634,0.09491063813183363,0.003412159894353459,0.004295135060515224,0.032420647835618745,0.002103712950121288,0.13365740876003182
1819,0.0021764693812537325,0.0006807015662475845,0.06038018659363162,0.0016347405976757461,0.001307534429090997,0.0025485505452631733,0.0027728901794177954,0.1231595146099729,0.002112083962457607,0.0009665647491281817,0.0062689096263074786,0.0026520981837834484,0.00095037060787691,0.0005447127202965433,0.006498522855594444,0.010401008443596628,0.006868858511500633,0.004890393686543407,0.0009890337953854826,0.0010196154135817229,0.0020844399012984165,0.003444198748295201,0.0034576716051492747,0.09651118466651912,0.00015340660497090866,0.000821132880056606,0.004216976349932477,0.0007247822497307065,0.0007192377349951349,0.0008873625908681171,0.0033515840428033983,0.005987317919671482,0.004910917650293582,0.017879498765427757,0.0002458756496532848,0.011367945346200123,0.032926998203006166,0.0007969779741513779,0.004651843909254,3.2201534396129086e-05,0.00023314084216839883,0.00029426581823987965,0.007617751045215738,0.007915560819634921,0.0005337125643431318,0.0005225223009484392,0.00010440557978682082,0.002216651808419767,0.004271009774338301,0.0031278225567153745,0.0005710481529795609,0.006048850377181513,0.0007592776787946046,0.0019762690862955156,0.008467742302799914,0.05712978621908871,0.005241375328347358,0.008272297138611584,4.467117111864441e-05,0.0010608347509775886,0.0017627802658709832,0.0006471645245034911,0.002376148871206612,0.18919146059293504,0.0003307235326746359,0.003793377769727259,0.004944696309756876,0.0036345925957128006,0.000969201675392244,0.0005942489693456483,0.0021353045126929018,0.0006510638439434287,0.00037378742942053477,0.000900297175870674,0.06432817875968692,0.012479861081600156,0.0005681607070054192,0.031063146449609058,0.0004280242184604494,0.1284244706132998
1824,0.0016078986050158833,6.470108716518615e-05,0.0019536881881846765,0.0018428107776517395,0.004812525646548611,0.006215804217826732,0.005861601707830382,0.025438476132069867,0.0005167477582836869,0.0008322382481411598,0.005815647149278871,0.0031426102240272365,7.690067819803132e-05,0.0007005794057906354,0.009167651182886032,0.0025216948754713028,0.02450331003144887,0.0006579175461744828,0.0006088710561720952,6.707255926042207e-05,0.000749529590450788,0.0042968845819937014,0.0076192912833275795,0.10388148195596712,0.004251757916640181,0.0022156850964532115,7.900666821775809e-05,5.525011457027752e-05,0.0011646640541547152,0.001293674591231053,0.0016072672702371893,0.004232627117625152,0.0007260300003874429,0.010538026407099763,0.001448784272800103,0.00540768233296636,0.05889704937579595,0.0044048583461580425,0.002860592026377461,0.008606387265893642,0.0016675704331152645,0.004703848165825366,0.01076765353924038,0.000575862809357697,0.0011926593267778112,0.0013018861620639156,0.0009031560946308165,0.001166937658177133,0.0005273732112352919,0.00012009851668663989,0.003921856795451558,0.0014391776063412717,4.287826800351035e-05,0.05976431108751095,0.0047023762579257574,0.004977543654498697,0.0019310731902483936,0.005629780490390104,0.004660696806840545,0.0003874537648603916,0.0012473358203071436,0.0008712233153414384,0.0027306015380077274,0.08092518172987101,0.0012978826482688648,0.0849229370783765,0.004497983016475183,0.0013649863432608354,0.0026531901324548758,4.880168564480514e-05,0.005086166153769392,5.953274361249688e-05,0.008072690010831834,0.01656066115316278,0.14218831871092644,0.0009503528600314079,0.0003486980497198703,0.01136451937869776,0.00333225420152111,0.20034721224476362
