idno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
ub0001,0.00012248140112072975,0.02486684265015491,8.01591536730822e-05,0.00043905971434329773,0.00037145989398386,0.0002787449848431312,0.0004722962512954878,0.0573851815323819,0.0012415261374350125,0.00012726722511218928,0.00017035301873158422,3.962568562180852e-05,0.0005009272837986634,0.007686118024442605,0.00024505641335387604,0.00039971820732233836,9.419917003397371e-05,0.5975654552876761,0.01537034171195912,4.504508200586269e-05,0.00014803786474078582,0.016729352359016115,0.04662044825384232,0.00020750811153054168,0.00026448319347990683,9.30289792472516e-05,0.00019354495333758984,0.03840088152027093,0.00016807821965209618,8.334176796983538e-05,0.06117620665266332,0.000574281767819071,0.003391897948431025,8.231009299768945e-05,0.11605349932811025,8.22054777925714e-05,0.00013143995560602,0.0002707965366557355,0.007748679956101797,7.811823144565631e-05
ub0003,0.00015421653427956315,0.04090624003576294,0.00010092852267472492,0.06772732273501843,0.00046770576552744407,0.00035096827042290895,0.0005946689894266112,0.024271989680311527,0.0015632076085086144,0.00016024237316515343,0.00021449176701490288,4.9892766159845646e-05,0.0006307183697005439,8.124647108172925e-05,0.0003085509344652544,0.058081430360872766,0.00011860633044466399,0.2821741374334547,0.00016010777941363407,5.67163370905229e-05,0.0001863947197988644,0.0018712403278694765,0.13547074267499648,0.00026127380567432984,0.0003330112253815419,0.00011713294129396118,0.00024369277015048115,0.0003688262056758817,0.00021162756373986687,0.00010493575758796758,0.00985256083004376,0.0007230791215859846,0.023463459139908827,0.00010363677392798737,0.3284539434615377,0.000103505052750579,0.00016549626501610414,0.01953367520165525,0.00016001830247844466,9.835879413008244e-05
ub0004,0.00037194471304860337,0.0060797766736224,0.000243422863702915,0.0013333121434629018,0.0011280287652874318,0.0008464772810609894,0.0014342430120380116,0.42885718475339935,0.0037701975867783523,0.00038647803741390785,0.0005173185813462953,0.00012033308023174844,0.0015211881406145696,0.0001959530183574492,0.0007441736991217423,0.024358665147851632,0.00028605880523171963,0.1250814831388906,0.0003861534195996063,0.00013679040203342166,0.00044955316168423886,0.004513121436983432,0.002705448076525021,0.2783680263846112,0.0008031678655283826,0.0002825052348741234,0.0005877465596608965,0.0008895476602154488,0.000510410597904553,0.00025308764995224457,0.0006179201544106097,0.0017439469616285885,0.0565899734272367,0.04653960093039602,0.005252471458870129,0.00024963702708170925,0.0003991495535131335,0.0008223398752737344,0.00038593761606635374,0.00023722510448977388
ub0005,0.00024273132220524127,0.3211584728953953,0.00015885789336081722,0.0008701202306181558,0.0007361521862739442,0.0005524115344039924,0.0009359877703924296,0.11372486647677127,0.032669081314468,0.00025221577759731734,0.00033760238779121277,7.852943366307479e-05,0.0009927282086304506,0.00012787904644794942,0.0004856481611410396,0.015896478135233327,0.00018668213201157544,0.036315271509570056,0.000252003931834997,8.926949082946145e-05,0.00029337863803135367,0.002945265506512677,0.0017655768874626598,0.21187177386645648,0.0005241477862517444,0.00018436307006180656,0.0003835637247770977,0.0005805192872857407,0.06075039086806273,0.00016516513812819814,0.0004032550291358882,0.0011381007364839324,0.18797388904867787,0.00016312058419769404,0.003427765733264337,0.00016291325976452526,0.00026048521590146687,0.0005366594502479278,0.0002518630983317228,0.00015481323232454416
ub0006,6.0595565248641674e-05,0.09148610973642933,0.03774616560169144,0.00021721723727110773,0.0001837733895692914,0.0001379042839340517,0.00023366044191358354,0.16036310978025595,0.008155525337311747,6.29632693023955e-05,0.10189185147212808,1.96041259868644e-05,0.02287173009648298,3.192378730759238e-05,0.00012123744298406529,0.0001977537037561816,4.660341816742551e-05,0.19759830322967434,6.291038402332767e-05,2.2285279077810124e-05,7.32391857872995e-05,0.0007352575125164827,0.0004407594722994804,0.00010266106687885704,0.00013084850810845562,0.007587326134411972,9.575303467465233e-05,0.0001449211170245028,8.31538064768298e-05,4.123190535659694e-05,0.018953922901457254,0.037990624260984526,0.04692589302199311,4.072150191968297e-05,0.2648012667835179,4.066974534742199e-05,6.502765589979151e-05,0.00013397192598943583,6.287522627912178e-05,3.86476505604948e-05
ub0007,0.0002195212783681096,0.0582284522722116,0.0001436678526389143,0.0007869190660023004,0.00066576108734617,0.0004995897732354332,0.0008464883313235049,0.28043103205184644,0.002225165635952447,0.00022809882721256156,0.00030532074342424126,7.102042501406356e-05,0.0008978032313702541,0.0001156512126152896,0.00043921033429982566,0.0007164079693366428,0.00016883152901467748,0.08748297016549582,0.00022790723820732343,8.073351460419998e-05,0.00026532568224582853,0.002663638311072488,0.2338175003477809,0.00037191316802488066,0.0004740286133921661,0.0001667342164832621,0.0003468872432026169,0.0005250098541240424,0.00030124366072114915,0.00014937199671779546,0.000364695658969916,0.0010292751933077273,0.22463994395553225,0.00014752294366424148,0.09872030990950058,0.00014733544365726805,0.00023557753927749302,0.00048534390822103885,0.00022777987124703603,0.0001400099433374621
ub0008,5.353093853611972e-05,0.02086127453405576,3.503384749943797e-05,0.00019189263322543315,0.0001623478876918083,0.00012182650193706711,0.006868506235528245,0.14166693120005724,0.0005426134804623127,5.5622600189132494e-05,7.445340183669313e-05,1.731854895570447e-05,0.00021893207780714424,2.8201903706826037e-05,0.00010710279014687128,0.00017469828555315736,4.1170087336539226e-05,0.3577684076154357,5.5575880621262634e-05,1.96871157101925e-05,6.47004832239479e-05,0.1205671105592518,0.02370667894310089,0.1233393100653006,0.0001155933345345551,4.065865122863735e-05,8.458952058262471e-05,0.01012115644756124,0.08334955236567355,0.013360599728245458,8.893215751035973e-05,0.006913079373707953,0.01147557242438265,3.597392329647249e-05,0.07736995066731761,3.5928200843399e-05,5.744630711564676e-05,0.00011835260396167075,5.5544821796471885e-05,3.4141855071904874e-05
ub0009,0.0002583394961781196,0.02029836187590682,0.000169072815827412,0.0009260709328737377,0.0007834884397474989,0.0005879328476620797,0.0009961739046912355,0.12103763305706007,0.2598277071927629,0.00026843382354078694,0.0003593109862301438,8.35790541713357e-05,0.0010565628816644743,0.00013610195886943615,0.0005168764382328954,0.0008430912722094668,0.00019868621606464524,0.07080155859432792,0.0002682083556159715,9.500972134721212e-05,0.0003122435491632083,0.32464598122538085,0.017954673905271126,0.0004376790312255842,0.0327089845238393,0.00019621803317721985,0.00040822774131858106,0.0006178479927377126,0.000354512947975159,0.00017578563072362684,0.0004291852411621264,0.0012112831924287078,0.11968320388752884,0.00017360960734305624,0.019723745259870383,0.00017338895147910082,0.00027723500546391613,0.0005711678688053661,0.000268058466199351,0.00016476807392253932
ub0010,0.00018014800376249881,0.00294468396148908,0.00011789962708920302,0.0006457774841546228,0.0005463503663961281,0.00040998349234101984,0.0006946624228402416,0.2077130364330101,0.10271590198742883,0.0001871870858641992,0.00025055850095281494,5.828222160401936e-05,0.0007367734968801463,9.490804372239568e-05,0.10125027512522433,0.0005879132379100178,0.00013854995356378608,0.23994178501896105,0.0001870298602089321,6.62531741833643e-05,0.00021773694267285569,0.30485541319248816,0.012520341295436702,0.00030520692704931983,0.0003890069749216147,0.00013682881441677826,0.00028466964504843235,0.0004308442346873047,0.00024721268265403006,0.00012258067749407994,0.00029928394838385605,0.0008446646847861277,0.004988868830571747,0.011331045651482994,0.0025439862832821267,0.00012090940001638948,0.00019332441824139457,0.00039829276165973394,0.00018692533775073746,0.00011489779936890394
ub0011,0.00017241684460153416,0.08864950543649856,0.00011283989418621346,0.05426256002384515,0.24728758715805016,0.000392388805936194,0.011393749863343277,0.166612209554263,0.07684998912806475,0.00017915384029129128,0.00023980563325769048,5.5781005259322424e-05,0.000705154422280405,9.0835008349542e-05,0.0003449654653950029,0.0005626825902192848,0.00013260399956832543,0.1223555470960248,0.00017900336206891094,6.34098796486883e-05,0.0002083926317514592,0.0020920801672116877,0.011983023371935127,0.08612330313521581,0.03255901038792674,0.000130956724135629,0.0002724528772341953,0.0647857500563438,0.00023660340274922988,0.00011732005451756874,0.0002864399990147141,0.011537314688640473,0.0155036678387035,0.00011586776754400254,0.0024348095927355325,0.000115720500910875,0.0001850277853844711,0.0003811997899434824,0.0001789033252544277,0.00010996689169514097
