month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.0007543114595735295,0.08703461568591243,0.0004936665293836837,0.0027039842044244626,0.08996781475259182,0.00448493707082807,0.060646710296355266,0.08547055189322235,0.024255620899894137,0.00403859913815915,0.008231119425165561,0.00024403793951153095,0.005853264446927825,0.005933924496867689,0.0015091994306352778,0.0024616964014497825,0.0005801330878710514,0.12872791014394303,0.003551390896802777,0.00027741372358207697,0.000911702975333383,0.0805749242407076,0.05306984412910808,0.05010016223263323,0.0016288408026117135,0.0005729263747518751,0.0011919620032862196,0.0018040207869540323,0.0010351230964717887,0.007695253710364352,0.0012531546684801517,0.098629755690241,0.13097651474883135,0.0005069132604510342,0.028270906577465005,0.0005062689793818752,0.0008094834305636996,0.0016677220291667055,0.021092520992727497,0.00048109734736781007
1,0.004918423603964387,0.10432794655043971,0.005701648110004606,0.0163076515768743,0.020197934831340712,0.014368230023572926,0.014408600796860026,0.1438126960030287,0.06902360128792752,0.005262974202895067,0.004026415614571807,0.00016445096119739483,0.026396348310006316,0.005945531776252988,0.01093110527982932,0.013295897758346727,0.00566305525086129,0.09915310558163261,0.0037332516030077678,0.0012720175539484623,0.0037862533613680256,0.08251637981732793,0.024125058879425232,0.010093566784985436,0.004398417723990836,0.004030675616191395,0.004820049123206913,0.010524344176645035,0.0064893167929920914,0.00034587751947909773,0.0019690882249112293,0.04428480127703574,0.1275211177707206,0.007903986080787063,0.05912280402652475,0.004138138498706844,0.005574092477584284,0.0169794462044984,0.01096253019594689,0.001503168771109556
2,0.005457837073005796,0.07762915656285635,0.00025439336699782314,0.024174799884536944,0.024042176727616087,0.019085201975052195,0.009399412451298642,0.15145942455852074,0.09178685174015988,0.009170422165138898,0.0024094368614843366,0.00012575621277191934,0.027444157242798337,0.005384562488962009,0.006559353064588366,0.019656545772655888,0.0006535681420737141,0.09076978913505189,0.0057314258189136505,0.004473366535696873,0.005545866908617243,0.07264346111621242,0.036990382015369715,0.006246023177198855,0.01873536701473835,0.0006867954214298789,0.025577454552365177,0.008636833266255991,0.005039878328171195,0.0034716798738701152,0.01106685105340112,0.01805917117530954,0.12064361374938413,0.0008304242642823034,0.052194455220265216,0.00026088758829223455,0.007722172301647305,0.025222045692468522,0.0021328376867861174,0.00262616181375421
3,0.0029902676944418933,0.08148226710048294,0.0008806831339844215,0.013934611331298615,0.017428203152107868,0.006446124669963762,0.01997235096735686,0.18015168297025608,0.07177325304289357,0.0042126577285780875,0.0022794511561785363,0.0006115447263653917,0.06406250752396488,0.0002625344464263127,0.0021829441788953764,0.019159635998849157,0.0026773669439336257,0.12549640646752683,0.0026018039065437027,0.0004357748677605342,0.0042968110565120045,0.053760769122861624,0.027446895986605706,0.002568993029782962,0.013948485831303988,0.0020043067770884183,0.00667112737451136,0.011254551699992756,0.006676639778741694,0.0027487811252328363,0.002570650662743496,0.025942134237053903,0.12788115781407863,0.0036250708053931525,0.06135102849136021,0.005325020174877796,0.0013521336395800143,0.01211754326640324,0.006905839065992356,0.0025099880520753222
4,0.0013870063879698768,0.08795225213498313,0.0030932632446040273,0.029193291714161955,0.011445916179092496,0.01457786190456469,0.043952071083055114,0.13310581716643763,0.03457729968955378,0.0031668084140594127,0.011278665152306045,0.0005713821128793474,0.02166952876845215,0.004057972457061171,0.014845017047496696,0.011950682899467817,0.0005673187233869896,0.13097422312659998,0.0040713031205935335,0.0005764416680647692,0.00963914552446242,0.04919866993656517,0.027219213158827214,0.0022908951905958163,0.01360110549753478,0.005791811951304479,0.006639581978420295,0.01984639905571598,0.012514661245253848,0.0007541555124584093,0.013569984278831292,0.038262675904405644,0.1396162190260668,0.0012058681830439395,0.07445521454797671,0.0008223743217139553,0.007376610164091788,0.008504545432848787,0.003513956238854074,0.0021627898562379044
5,0.0015123769340081089,0.07149112632844558,0.0011681582367828144,0.025364481684803448,0.02596260641835615,0.007202090062346279,0.03981688836652643,0.12505474666723088,0.05476661272066083,0.0035967620897840065,0.006431772067965199,0.0035204991807168034,0.04458820297174402,0.00017510835502859365,0.00895257911137569,0.02283513611749188,0.01417216720958091,0.11929320684309525,0.0017118839296201287,0.002685287000336915,0.0064717846932538904,0.03253214692077413,0.03291470690594014,0.006315550440630222,0.018988762292670464,0.010198668462636317,0.003966221348613215,0.009517155378846549,0.004560735311331303,0.00426147167467886,0.0027173558464369195,0.02975452528200455,0.08479170537271985,0.021362835740773054,0.11418925275136804,0.003207261006309931,0.007365614363033139,0.01893377975260109,0.006824240206469714,0.0008245339530087146
6,0.0012704792482042938,0.06142642037978688,0.010699275171856136,0.026084995998639306,0.006832013831826984,0.00876449280270802,0.04820541741235703,0.15308931283106275,0.05674833033373184,0.0011127342742940543,0.009432592041744113,0.00015538500046299484,0.033367050669629,0.0032836872312798273,0.02166221304348823,0.010699243658578151,0.003331520067203655,0.10905880222994516,0.004297163506707729,0.004348306023571102,0.002396890422957018,0.040012031709509,0.021210210760839416,0.00431796528632423,0.009258162954697308,0.005315455965361078,0.004419975423785758,0.015010830936964542,0.009578523070209873,0.0027570871170242216,0.02446613310522811,0.024036971834400123,0.1275773660858213,0.0005037549202511271,0.09019147801773923,0.0008275805063282043,0.013447008592469218,0.018909515652120953,0.00350313914347553,0.008390482737416358
7,0.006070005952748262,0.07952801834167897,0.0022156793009025914,0.011429906884574556,0.01617117410866317,0.034409860032371585,0.022845198114946164,0.1273258560391885,0.05874723729845162,0.0017467615450440595,0.003940147658975785,0.00011411406920556959,0.018291847250137053,0.005152329964128056,0.01616636729582276,0.01063873142515432,0.004244365090601562,0.14352382219326376,0.008777738332141833,0.0005301929174676187,0.005957408449999655,0.0424921845903754,0.036136856869672565,0.010623968884364855,0.006301815385430549,0.0007548295401438167,0.005144255553864724,0.02810143698989129,0.013199238933605285,0.004062202029134825,0.01859178321566141,0.016784134411234154,0.12213187597611208,0.004209860200513889,0.09694716938810934,0.0007852325501951474,0.007024013553924163,0.004924111973070814,0.002180775795497155,0.0017774918937311015
8,0.021275480027765744,0.09229936096612,0.0002423348560632653,0.026944717092411086,0.028863401557491102,0.008824826817429134,0.013639185531065039,0.15669301823831935,0.06259102945760366,0.003676536249764498,0.021307493678066603,0.00011979523711954801,0.02464630696812724,0.0006573470776135732,0.020074535416645115,0.008524695710924285,0.00588106286231026,0.10902198948517931,0.0009947596981593721,0.004214121625125189,0.007681600275636882,0.05683224169532672,0.02498996058926135,0.0017031148849848716,0.008800021075927335,0.0063466144080547215,0.008071973072309866,0.010296597810309959,0.00914700752492915,0.0019576711050683744,0.008323084829848535,0.02779398823172557,0.1244634784323548,0.0025259034169708935,0.059120996584201065,0.005778373810257937,0.006075399204012645,0.006486105551662416,0.005991058547341682,0.0071228103965119555
9,0.004465013994101664,0.10788702869552444,0.0025951175884538704,0.023979674275595973,0.025353561366492524,0.005404845462791058,0.01618058476923425,0.1385169475923932,0.06002325813747932,0.005988531884854449,0.007988108285047672,0.006423126002332562,0.016046352791984988,0.004707052620648729,0.03373225514477183,0.016598516811247396,0.002070560818473578,0.10900166575375975,0.004257657394234203,0.0009639861865640737,0.004510794846512895,0.05349550592307881,0.03091070940775595,0.01641656547074799,0.00785404562938399,0.010023144736624284,0.003808208067012999,0.0031954745248011585,0.006037663175474325,0.005093258385463492,0.013967677284327082,0.035147862518975545,0.12200078585431999,0.0019416025184777921,0.07237763409869745,0.0036782521609462163,0.005235564822942519,0.010625694047013605,0.0012089760925650707,0.00028673485889318885
10,0.0047795178058714135,0.06284131724500915,0.0012815638103588428,0.029720682066300862,0.014742161380997654,0.026348757836386728,0.016827379326327392,0.12762803993079266,0.05967692448204111,0.012878019145118467,0.012490014410232873,0.00855585167418757,0.02687066386913347,0.00017886228267163524,0.019165589159747247,0.0063262565185563365,0.00026110917459170143,0.10775613945040619,0.006112994278038611,0.00012485974321986445,0.006213056207964722,0.0649798563633811,0.025472430768493298,0.01267069519224157,0.004101759084790326,0.002421514965408016,0.03368177592173384,0.009144727296239307,0.003961791649545505,0.002902869746310423,0.011584071600305994,0.03385500786376815,0.13544564996576863,0.0002281540318820392,0.07611348207712569,0.0029582952368367266,0.0030332855662440284,0.009025833969039927,0.007412271599383633,0.010226767303547383
11,0.006204065221667684,0.07549491785790699,0.0010828908264600497,0.03234925633662393,0.017687797315101467,0.021060082908818372,0.020168130888292567,0.1617749574342653,0.054612006775674744,0.004385979555857565,0.004091694891035114,0.0043139201141892325,0.02369075836679887,0.007300485023708786,0.011291144420770744,0.010987452637556613,0.0005748187246352283,0.1048721587338086,0.003027866705045374,0.0007448361072369259,0.00364050151796907,0.08261577627260062,0.028364141750119826,0.01547962330486151,0.021184065015835737,0.002336465943666592,0.0113648068674867,0.01083263708582348,0.004054395831737863,0.006418308846670785,0.013792941215831482,0.0431005197211491,0.11533453205900102,0.003780797876556078,0.05032567165337445,0.0019656130004565447,0.0006918377785274937,0.012692996283884418,0.0019420903996930218,0.004367056729300046
