sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
AdelheidLouiseTheresaCarolineAmelia,0.000977244108275898,0.002441856098491369,0.00023996472528936227,0.0005069203757830217,0.0009865938579170321,0.0011419715825270156,0.0011707488307192264,0.007369816027355577,0.0004103075662632246,0.0013243935136880982,0.0007900244784621752,0.002841360612126058,0.006738489738733475,0.02255042513274037,0.008130519947848825,0.08583818703955519,0.0005581808446346069,0.005202775710354318,0.00042376807714472213,0.00045667352607452714,0.00032716489177960504,0.001568206677813113,0.0007216302610477762,0.001347490969351278,0.00021467931180877442,0.0004535630119809489,0.0006106577372690826,0.0016341944630867942,0.00023115187670093656,0.0002425806988045983,0.0011590512519757325,0.026054148663586286,0.0036732343073398524,0.001594148633460509,0.00018373306004363017,0.0005225565110245601,0.001664271713100472,0.0004566568725755743,0.0006481461401603005,0.009571677139874387,0.025905433040291043,0.00045328686757922614,0.0004575822641566032,0.11046089544463417,0.0004704291479122309,0.0011198521072608894,0.0002743071378874039,0.0010301286859817542,0.0015230137039256323,0.003001010716867409,0.0006259072764652536,0.0006421325529743896,0.0004579583286498292,0.001605449749293099,0.0005423990867880264,0.0015693765028669253,0.038538961095422826,0.12318801311116413,0.484350840803262,0.0008038563898488501
AdersbachGerson,0.0013235890736994045,0.0033072740210340194,0.000325010594360738,0.0006865779644409769,0.001336252466972415,0.0015466975920424226,0.0015856737812624784,0.15104895910326802,0.000555724620862974,0.0017937716576143649,0.0010700169576795136,0.0038483668807017717,0.00912667706655045,0.15436332912326967,0.011012056532582904,0.005029438316957224,0.0007560056498167089,0.0070466908163640376,0.0005739556697670132,0.0006185231348454187,0.0004431153612391785,0.07265759835305792,0.0009773831539990493,0.001825055079726756,0.000290763780567281,0.0006143102238306759,0.0008270808715801122,0.002213369123767674,0.0003130743851771527,0.00032855369473098453,0.0015698304650608153,0.0007952024990374219,0.004975064830946228,0.00215913065653957,0.00024884987148210907,0.0007077557004695923,0.0022541060482964524,0.0006185005791819298,0.0008778555347753684,0.012963974069557007,0.15890738497482512,0.0006139362111251622,0.0006197539386805143,0.0320835975970407,0.00063715388494372,0.0015167387562405256,0.0003715242972260734,0.0013952164681506965,0.0020627848052897227,0.004064598559625293,0.0008477349981059942,0.0008697106728871213,0.0006202632841449942,0.00217443699945835,0.0007346306810933299,0.0021255790381586037,0.00511459535918264,0.07259032571656529,0.2469461174150437,0.0010887510350965476
AretinJohannChristophANDBaboJosephMariusFranzvon,0.0007453188246802686,0.00186234053697883,0.00018301489413216046,0.00038661506934193306,0.0007524496370889299,0.0008709522119390539,0.0008928998753923449,0.045338550477903805,0.00031293097646221984,0.0010100807041729491,0.000602531251679681,0.0021670323044042567,0.005139271968652248,0.0074871045376526625,0.006200937432369087,0.002832098821063389,0.0004257101041172532,0.003968022569465888,0.0003231969602270065,0.00034829309569024003,0.0002495202074413331,0.04091381296857899,0.0005503687496942149,0.0010276965366575854,0.0001637303627675715,0.00034592078698175645,0.0004657328738735258,0.0012463578815283935,0.00017629356228028692,0.00018501002952285648,0.0008839784344065432,0.00044778202218673273,0.002801480872114765,0.0012158159622498348,0.00014012845634671917,0.0003985403455774946,0.0012692970227725993,0.00034828039449699537,0.0004943243098774914,0.00730007077627333,0.5263770518098234,0.0003457101787834659,0.0003489861667392638,0.01806641481687824,0.00035878415295423436,0.0008540822598275197,0.00020920696464708536,0.1199389993216124,0.0011615631899633025,0.0022887933131616627,0.0004773633032967922,0.0004897379023508984,0.00034927298140892675,0.0012244350312200045,0.0004136737652844166,0.1203502696947859,0.002880051125812551,0.0011581491858651991,0.05962087953353056,0.0006130804930109858
AretinJohannChristophANDBaboJosephMariusFranzvonANDSchererJoseph,0.0001487218234575405,0.024147617222595744,3.651901424454146e-05,7.714564047588846e-05,0.00015014471442585157,0.00017379086213141173,0.0001781703255520574,0.19925493766594332,6.244262709421688e-05,0.26966292607108283,0.00012022981772719573,0.00043241225785576096,0.0010254965702094934,0.0014939859324425411,0.0012373425862196186,0.0005651204383052912,8.494671119541015e-05,0.0007917840426273956,6.449111396255747e-05,6.949882731184885e-05,4.978956523216504e-05,0.00023865741907017247,0.00010982124873027812,0.00020506781504986383,3.267095543521762e-05,6.902545395101736e-05,9.29329032797542e-05,0.00024869976536698513,3.517783152384109e-05,3.691712598346914e-05,0.00017639013038276666,8.935096853307583e-05,0.0005590108955869483,0.00024260539370134413,2.7961402363766368e-05,7.952522457903844e-05,0.0002532770694701679,6.949629290032337e-05,0.03179997611321938,0.0014566649885466322,0.3744952895374365,0.007994317938954209,6.963712355069761e-05,0.01945566337404332,7.159222561957043e-05,0.00017042461139872016,4.174541180504741e-05,0.000156770059064786,0.00023177972962994345,0.0004567085974205095,0.00802058816331075,0.0476497299559291,6.969435489821515e-05,0.0002443252531914085,8.254496552671572e-05,0.00023883544881080323,0.0005746888994324423,0.0002310984951059405,0.003971488200950249,0.0001223348261543723
BassewitzAdelheidHenriettevon,0.0001241068686731567,0.0003101078958346169,3.0474750776669898e-05,0.022422797139455705,0.00012529425690196506,0.0001450267297811579,0.00014868134804073123,0.030747169510173387,5.210774545540278e-05,0.00016819373018769332,0.00010033057591932115,0.00036084368824115007,0.0008557665929916307,0.03851074939088692,0.09473199466047709,0.00047158733258333737,7.088717772180337e-05,0.003547944609158605,5.381718718249681e-05,5.799607370059247e-05,4.1548892354228165e-05,0.0001991572203582652,0.008753271052240885,0.000171127033005688,2.726358433053173e-05,5.7601048383122114e-05,7.755157484367738e-05,0.00020753745752893655,2.935554726023246e-05,3.080697102620473e-05,0.00014719579304314317,7.456248625622644e-05,0.03064734064150928,0.005976869313994026,2.3333509571095167e-05,0.003792766314388694,0.00021135717185198605,5.799395875961715e-05,8.231248182176605e-05,0.05002844053474534,0.0016727915106508715,5.7565978929431686e-05,5.81114805235709e-05,0.24697272850201224,5.974299357298891e-05,0.00014221762733815065,3.483612707367718e-05,0.00013082304049204382,0.0001934178575647681,0.003268327513919298,7.948821743104925e-05,8.154877552892062e-05,0.00583257678794787,0.0002038869710336683,6.88829450721406e-05,0.00019930578438960046,0.0004795721173372075,0.00019284937419332678,0.44649596935925284,0.00010208718431985002
BayreutherPostamtANDOsmundEmanuel,0.10588184212664452,0.0005504888233814932,5.409733168109993e-05,0.00011427946199831572,0.00022241642017140127,0.00025744456980441525,0.00026393207474267703,0.013401612009633988,9.249919744096046e-05,0.0002985695297502067,0.00017810207811177356,0.3411054938781846,0.08370030897694451,0.0022131115580788672,0.0018329337106868329,0.0008371394579835755,0.00012583555459587978,0.0011729069050712053,9.553371728913962e-05,0.00010295187836562542,7.375562238854218e-05,0.0003535344484147505,0.08234387609936039,0.0003037765897399357,4.839702136214094e-05,0.00010225064816432757,0.00013766587616925879,0.0003684106478334232,5.211057470017916e-05,5.4687073305632675e-05,0.0002612949879942413,0.00013235978792838904,0.0008280891052922116,0.00035938276873525286,4.142053911456432e-05,0.03533831561897746,0.0003751912234704599,0.00010294812402275098,0.00014611721235192237,0.037378337457565886,0.002969460122846557,0.00010218839453403312,0.00010315674308221254,0.017080417909761232,0.00010605292763916639,0.000252457984427583,6.183943995474378e-05,0.00023223085448318187,0.00034334620389215144,0.0006765439042473657,0.00014110371220488617,0.00014476151717548698,0.00010324152256635965,0.000361930477407121,0.00012227773588853537,0.0003537981722344438,0.012591484058114522,0.00034233705918329315,0.25242673024690354,0.0001812203260007757
BergnerCaroline,0.0005831803997179857,0.0014572025592299186,0.00014320139996480582,0.00030250991013483014,0.0005887599582815053,0.0006814832019193571,0.0006986563186067785,0.0043980129634793785,0.00024485522959340905,0.0007903453519501577,0.0004714551740295487,0.06385057436438328,0.12833118936965732,0.005858342057671387,0.0048519707951648105,0.09544844243727962,0.0003331001183145852,0.0031048095278471076,0.00025288792689984695,0.0002725245895282244,0.000195238989670998,0.0009358433470844406,0.00043064022645161217,0.0008041289944526298,0.0001281120712947571,0.00027066835848312584,0.0003644162398070172,0.0009752222317116431,0.0001379422425864928,0.00014476250887029578,0.0006916756690540288,0.0003503704589742667,0.002192040078288703,0.0009513244739961244,0.00010964457957868005,0.00031184093349223113,0.0009931711377596316,0.00027251465138268446,0.00038678782700590075,0.005711996064372816,0.007860477282650428,0.00027050356649183853,0.0002730668882573301,0.10736864919668984,0.00028073339731099446,0.0006682831792044492,0.00016369558533425258,0.0006147398114394131,0.0009088739784763829,0.032868365490727414,0.0003735165580270247,0.00038319915745126316,0.00027329130858345127,0.0009580685302587268,0.00032368219318075286,0.0009365414521297463,0.0022535179726342197,0.0009062026649275473,0.5128130375398734,0.00047970950837961817
BornträgerJohannFriedrichWilhelm,0.0009785025264245175,0.002445000528838543,0.0002402737330007164,0.0005075731479976487,0.0009878643159383245,0.001143442123768953,0.0011722564290394164,0.007379306297148225,0.0004108359280957791,0.00132609896355413,0.0007910418098874876,0.00284501949298376,0.006747167036155581,0.009829552753937777,0.2167172339648036,0.0037181616238973134,0.0005588996260518102,0.005209475435961934,0.00042431377236515735,0.0004572615943456373,0.00032758618901119747,0.001570226091107534,0.0007225595197758723,0.0013492261623051908,0.00021495575895214987,0.0004541470747765041,0.0006114440943037955,0.001636298850264273,0.0002314495359185922,0.00024289307516102285,0.0011605437870734778,0.0005878770607802105,0.055822025452866415,0.0015962014527663045,0.00018396965703644118,0.0005232294182251088,0.0016664148313963653,0.0004572449194016175,0.0006489807718135673,0.009584002793335523,0.1174770030631825,0.0004538705747777265,0.00045817150262918616,0.3887271795409089,0.0004710349295919146,0.0011212941647812294,0.0002746603690582957,0.0010314552047326734,0.0015249749212605706,0.0030048751825810685,0.0006267132706578885,0.0006429594408027625,0.00045854805138870685,0.001607517121287566,0.0005430975456979634,0.0015713974225700991,0.003781116496082464,0.001520492796933909,0.13041818926768478,0.0008048915329224207
BrockhausFriedrichArnold,0.003828242537198685,0.01449648346443563,0.00018038268287799813,0.000381054579080328,0.00500972315905245,0.012266828784109007,0.0008800577451821632,0.024303318036404842,0.00030843024748097625,0.000995553220987803,0.0014568788458569173,0.005702502108187316,0.013029608040772241,0.042486138575863044,0.05180170489798617,0.012155741163498173,0.0004195873296164038,0.006789156106399526,0.010170289464760354,0.0023797468918877692,0.00024593148368591176,0.00543131252362569,0.002069799225801977,0.22636283721661687,0.00016137551123721647,0.00034094558213375905,0.00045903447198740395,0.004587175177554129,0.00017375802056456487,0.0001823491232389598,0.004827804627905737,0.00044134179837980946,0.010749370206317315,0.0011983294922332844,0.00013811305917605025,0.0003928083400604504,0.0026061943813099745,0.00034327125259984965,0.0004872146917350142,0.08040193812890027,0.11514491029986858,0.00034073800300735027,0.0011824129067554926,0.2199895268975311,0.00035362394077751797,0.0018302040037939495,0.00020619804600467405,0.0018772164979257977,0.0011448570103075953,0.0034410874275823513,0.000470497626788767,0.00048269424820312725,0.00034424956363301887,0.007247919086180286,0.0004077241033965321,0.0011797081579030559,0.014827425598635834,0.0011414921081148392,0.07714091941252452,0.0006042628643635296
CarlAugust,0.001678831095368106,0.004194923165916069,0.0004122411577573923,0.0008708506733713213,0.001694893254554858,0.0019618203748042627,0.002011257499771374,0.012660783737745191,0.0007048772103858383,0.002275207386213967,0.0013572020023576554,0.004881241553051818,0.011576213162505771,0.016864707418969473,0.013967615250237602,0.006379304276926367,0.00095891226242814,0.008937973195027692,0.0007280013449147918,0.0007845304049547296,0.0005620444154954942,0.002694059869362018,0.0012397059356469185,0.002314887059350748,0.00036880273940218433,0.09024351492644367,0.0010490635750806988,0.0028074218685736354,0.0003971013537680672,0.00041673520141019684,0.001991161948650844,0.0010086292709920329,0.006310337328730213,0.002738626177254469,0.00031563943116789543,0.0008977123651764406,0.0028590922978537947,0.0007845017955094006,0.0011134658016651088,0.016443413760350318,0.3804856685750643,0.0007787123830877727,0.0007860915479043924,0.04069461010783623,0.000808161517674359,0.0019238207976510027,0.0004712388121523334,0.0017696827799841843,0.0026164217754488014,0.005155508297613132,0.0010752611242659622,0.0011031349159867844,0.0007867375981181978,0.002758040635230156,0.0009318004020566793,0.2710890539846757,0.0064873168718611535,0.002608731729189647,0.04483173842032906,0.0013809641747234672
