year_range,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0.0007770672650784738,0.058939883338958325,0.00019081080276338455,0.000403083760430362,0.0007845018296066984,0.0009080522736506228,0.0009309348445045497,0.015359898862465438,0.0003262609369113269,0.0010531072398941807,0.0006281973517412413,0.002259341654012967,0.007733115706378617,0.021045294433318235,0.03312120293972282,0.022053008831660986,0.005467307814609068,0.040099989907528805,0.04372427180620053,0.00036312938081207573,0.00026014905132904414,0.001246978174527911,0.005597276560304485,0.001071473456226888,0.00017070480577313047,0.0003606560185689927,0.0004855717561049004,0.0012994491461070289,0.0001838031614871015,0.00019289092518907873,0.000921633375766832,0.0004668562497146393,0.09503616467066045,0.0036425317474148497,0.00014609752595437977,0.0004155170191685248,0.0013233654288569386,0.0053865798218386655,0.0005153811051305323,0.09857816920237579,0.12789920676093045,0.03668059661123552,0.000363851974696379,0.13761708830366012,0.0003740673269714404,0.0008904637100517653,0.000218118580224267,0.0008191190654574205,0.00121104244432283,0.0023862893318861277,0.0004976976084037512,0.0005105993298214839,0.0003641510068468616,0.0012765924453666808,0.0004312950790719323,0.01940798846090469,0.10084096394431476,0.0012074830134596447,0.09289447885918299,0.0006391959604420029
1799,0.0038237345347417653,0.04761575082073679,0.0023460565112879027,0.0022807735796488084,0.002416798354631345,0.0031720589474025286,0.0023308718992556153,0.03310516266460908,0.004395873215971551,0.04879639977681411,0.002460374831642767,0.03168723645564899,0.025210387910872805,0.05238928207226535,0.022411414206422644,0.01073112386511788,0.010722760117246688,0.06770498043688968,0.004554989913325491,0.0007818012006630779,0.0003998199219831781,0.00328822262151248,0.0022650961425674312,0.004966129345754945,0.002258974202461537,0.002151086589287876,0.0015995196132726156,0.005387215006612968,0.00035127613820097093,0.0003220880650882968,0.0026104269504483705,0.002583540809925332,0.006742475244172876,0.004993842167158019,0.0008041619086499812,0.002082682422710169,0.0072267965030822666,0.0011764192569845,0.00243861245113483,0.1451511254283491,0.09918280336790065,0.0013437094806143274,0.0022985641130830355,0.13555497652397877,0.0035227505303483298,0.003270267440339084,0.0002747622971063849,0.0043566597649661335,0.009350267509583328,0.004403370757845003,0.005425641405365231,0.003537936389722548,0.002806181423115232,0.00562533322916742,0.001992310992993271,0.007344863076979643,0.005015436103938927,0.0033414925425306816,0.12206298074046894,0.0015523502054002318
1804,0.0035568567641410544,0.045267062858795656,0.0007316643349393672,0.0027018664522056065,0.0011683114569112699,0.0018911830223891269,0.0029673934730962935,0.04012731311895458,0.0015737738951922965,0.009054376187477942,0.0010420184149807124,0.0660557832298941,0.03479288418905169,0.041298902256113844,0.052657432527614824,0.030121807107641004,0.0026780206215215024,0.08265957546188177,0.0011710958044530901,0.00288655210773027,0.0018827511203661517,0.002783326999639566,0.002278397491492534,0.003985133550640599,0.0001234958963410008,0.0014002678479054528,0.0042422309262198366,0.008478247105524073,0.0008446188760152372,0.0006135224585445863,0.002485063124991865,0.0013730124814975394,0.008555226700116774,0.0048923207388279185,0.0004017521818072051,0.0073001845892087915,0.010002753237499584,0.0024386553014400414,0.007387614340439698,0.04828280957893735,0.05704400210184133,0.0003708507784888009,0.0033190322759488163,0.11612579825253927,0.0019180732912622658,0.0032678453248746967,0.0019956136878922885,0.0305574913539486,0.005621697425253924,0.026874764847113333,0.0037922944380847,0.0013328242044286446,0.00484278002465054,0.007848028903629626,0.0019445605890287634,0.03502294439584439,0.007825356060843431,0.01041423782953376,0.12796561195283296,0.007760934429518071
1809,0.011470305236679437,0.010050124732668196,0.001899399455191023,0.002059785232075305,0.001988668240549167,0.025537532606461417,0.0025203607991549073,0.03649656974088307,0.0018900972910182465,0.002967462054147701,0.0008505813308737837,0.017026071668457203,0.04323775308868981,0.03507511110953662,0.07099058207190606,0.06416708322529421,0.003897075532316524,0.021894566369476898,0.0017086227280837154,0.002628803770257155,0.0018928655758689873,0.0029814577112471873,0.0018313120343827903,0.025864864872420238,0.0008766488835586244,0.005051449552778633,0.0023375967976389106,0.008471338381053899,0.003746672133562696,0.002289113018310844,0.007144541629868704,0.00292122004192855,0.009248944875890553,0.013568983734435495,0.00036263426396519576,0.0026568900569482164,0.018391661778764928,0.0015045213493934206,0.004464488779460757,0.03697792699744425,0.06815018958258968,0.0005959244443538586,0.0032532015188038816,0.13273344040497276,0.002020354472909803,0.003951808340002645,0.004154458034357139,0.013500493815566656,0.002764548834260386,0.04516681297622938,0.0019763038644603236,0.0054175175569076105,0.002767806726423678,0.013278615084973189,0.0037586522605388053,0.01679857680738249,0.009060615636104823,0.019792885919040635,0.13516039683900158,0.0047557081284773746
1814,0.0014788080693765413,0.0036448992061353883,9.098723755875958e-05,0.0009199341601844736,0.007059563534699612,0.00956455471780791,0.002412904316559883,0.03371743452457478,0.0025644983910586574,0.0027455674242969287,0.00402894566119343,0.007383020721212089,0.03437536125098381,0.040530773677163616,0.1314809401103163,0.01241328530610855,0.000598708888128772,0.029344297741886707,0.002010602114992603,0.005422347377268223,0.0007063497975504588,0.030760790567352668,0.0007561911778298165,0.0038550418932718103,8.139978706846166e-05,0.0009007392471217866,0.0027275122740871645,0.010981771144071114,0.003596025146292196,0.009125332728489416,0.014514817503697187,0.009746414651633556,0.010248746541851286,0.022582578145945904,0.0003275628430341442,0.0016414709837552827,0.028592843574036346,0.003015383183863167,0.002021520575238839,0.03094938130967887,0.0614323706948535,0.0007344046650096744,0.0050101240655811025,0.09289221885906508,0.0006634990583223837,0.03492948589922782,0.0008744448257172831,0.001503780771737088,0.006415360784771867,0.0376910737024869,0.006140858470333543,0.014656854819017373,0.0006045967011117991,0.006249359812677514,0.009532701357396185,0.004412602681397511,0.016850716667240813,0.004308360885141186,0.1655311497184493,0.010646728053085662
1819,0.002319170508768292,0.0058813641913819156,0.001704830882414525,0.002506515167954623,0.0016589850034297452,0.00732385091375829,0.004116964748699353,0.03363101421400948,0.0015109828019639537,0.0029028790994728893,0.016026852450391357,0.002655285065296878,0.030845952208390284,0.07331137153396176,0.02882695915102518,0.007276726732370475,0.0014214646645628447,0.009626437399365181,0.001643452563155896,0.0016461423437404035,0.0020148588949947762,0.03150802041177033,0.0016059858842950262,0.0014218068890216881,0.0006681584839062065,0.0038937191709633957,0.007065924185522256,0.010528331418195922,0.0007007581202296744,0.0012179514782073861,0.0027179202342819692,0.003120675760428335,0.14550996182773543,0.012261476879316113,0.007636521647201734,0.0024553269064777365,0.007650094674489551,0.003816105706419032,0.0009354046744586632,0.04141509037957957,0.05227577506616379,0.004872519101291222,0.0023341258083578492,0.09547702787982847,0.0036288929651786994,0.009653908330948884,0.0005749970923651556,0.0009065380972717381,0.029694163229411315,0.006963393694007797,0.003045877742017227,0.01851139624840901,0.001357832543724916,0.004652560749333414,0.0024426095361682,0.0009704304009274814,0.10937887771888771,0.003217584675988808,0.12393928577657166,0.0011209080715385079
1824,0.002864048252967892,0.005422701278675433,0.001689860181123247,0.004705113188841515,0.0920614919058515,0.0015708079221227393,0.06701519073766729,0.0338094294651315,0.00022227426571407976,0.0007939687813096112,0.0024673282947138284,0.0026647998415864817,0.05378333421113576,0.04285685641005434,0.02497497225435348,0.01545104949387969,0.005000258131963437,0.020338381950225106,0.0002958726771653356,0.0020228275593531975,0.006693370607102807,0.010216222430805538,0.0293252751886003,0.0009515508862163963,0.012015244756689804,0.009433526596949045,0.0017122713911356781,0.0020204443904867165,0.002151488941449412,0.0010602209281561953,0.006092464498076346,0.00024969376298473707,0.012051983980902861,0.0030748455359306693,0.0002322519439485555,0.0005461286186710213,0.007824076031343741,0.0014029578646911533,0.0005401840811345524,0.019828920849734328,0.11035718655094988,0.014696200163875833,0.002834287529037805,0.20274083688537883,0.0014479142072902063,0.004166369239109477,0.00134627078016087,0.003018905388177786,0.002335110945325973,0.00425866288194979,0.0002661889794702259,0.003302793437095208,0.0015611174611766163,0.0074002285117022535,0.0020848818026001246,0.0033941871988008737,0.00892245823558701,0.004438584707519936,0.11262325941982117,0.0013708655861247544
