,segmentID,idno,filename,id,corpus,sender,receiver,date,year,month,year_range,sender_norm,receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,ub0505,ub0505,OsmundEmanuel_SchwendlerAuguste_1808-07-17.xml,JP-UB0505,letters-context,Osmund Emanuel,Schwendler Auguste Sophie Henriette,1808-07-17,1808,7,1804,OsmundEmanuel,SchwendlerAugusteSophieHenriette,0.00019716152584790128,0.0004926507821356342,4.8413503839069375e-05,0.00010227249663249468,0.0001990478620150173,0.00023039571973802397,0.0002362016039743485,0.01199354892960113,8.278061248598209e-05,0.0002671998160648812,0.00015938948141176168,0.11614661622838107,0.0013595077294894595,0.08603394315220594,0.0016403534237548994,0.0007491839819723294,0.00011261442877500503,0.001049673453143248,8.549630536313893e-05,9.213506477316642e-05,6.600636291471958e-05,0.0003163897523905156,0.00014559077119146024,0.00027185978747140227,4.3312106285163316e-05,9.150751051147508e-05,0.00012320177756119867,0.00032970295870376315,4.6635488847680987e-05,4.894128326027418e-05,0.00023384158721470567,0.0001184531824745849,0.0007410845199258241,0.0003216236090242923,3.706861996928922e-05,0.00010542712735012036,0.00033577112166917366,9.213170488668928e-05,0.0001307651597837566,0.0019311106138573109,0.0026574687621352968,9.145179766436048e-05,0.010598987893900385,0.036299173830403576,9.491029704884944e-05,0.0002259330584055157,5.534217438493107e-05,0.00020783112615145697,0.00030727195304662384,0.2737788683828828,0.00012627841152699346,0.0001295519030187858,9.239427701503584e-05,0.00032390363836646804,0.0001094304183202544,0.00031662576762011023,0.01126853844438476,0.00030636883583698963,0.4360384777756877,0.00016218010530122273
1,ub0625,ub0625,EndeHenriette_RichterCaroline_1820-02-07.xml,JP-UB0625,letters-context,Ende Henriette Freifrau von,Richter Caroline,1820-02-07,1820,2,1819,EndeHenrietteFreifrauvon,RichterCaroline,0.00010531831420998111,0.00026316062246738777,2.5861174422349965e-05,5.463118064773776e-05,0.00010632594358543664,0.0001230711149127691,0.00012617246005421274,0.012019003520076977,4.421914731487229e-05,0.00014273086021295806,8.514151740760911e-05,0.00030621551687807385,0.0007262119808086941,0.0459569878994428,0.0457752442659328,0.00040019366696987096,6.01555589676918e-05,0.0005607069537557711,4.5669796443824824e-05,4.9216040806171286e-05,3.5258800313167076e-05,0.3818106102171818,7.777062244002153e-05,0.0001452200899482773,2.3136146868511788e-05,4.888081842121363e-05,0.02812769363757307,0.0001761183357219031,2.491140726708075e-05,2.614309980650878e-05,0.0057372883244950715,6.327446208067249e-05,0.0003958671550650903,0.00017180256729550512,1.9801046621376307e-05,5.6316298409464064e-05,0.00017935978301300134,4.921424604637629e-05,6.985118484246433e-05,0.15817808925499782,0.05193093608311202,4.885105813652973e-05,4.931397617569887e-05,0.13724993640504202,5.06984942592935e-05,0.005733063803922497,2.956228141301829e-05,0.00011101772393219873,0.00016413630377279492,0.00032342112574530984,6.745448619319845e-05,6.920309614137997e-05,4.935450492192039e-05,0.00017302049683644652,5.8454747351027905e-05,0.000169132856614815,0.0004069696341552316,0.00016365388317048096,0.12067234181273626,8.663219264137083e-05
2,ub0793,ub0793,RichterCaroline_RichterMax_1821-08-19.xml,JP-UB0793,letters-context,Richter Caroline,Richter Max,1821-08-19,1821,8,1819,RichterCaroline,RichterMax,0.00020139347521040227,0.0005032252243572006,4.9452669547627777e-05,0.00010446771207863178,0.000203320300408558,0.00023534102037452064,0.02170564873634141,0.03371536019997843,8.455744677822502e-05,0.00027293509370788577,0.00016281067736441537,0.0005855563447822485,0.012120877322238542,0.012755287918919769,0.0016755625884034382,0.0007652647495626025,0.00011503162735375026,0.0010722040400909804,8.73314303116892e-05,9.411268655791353e-05,6.742314838671602e-05,0.0754485011035263,0.00014871578642290577,0.00027769508849847385,4.424177367231609e-05,9.34716622348282e-05,0.00012584622698796623,0.00033677982737730674,4.763649057177556e-05,4.999177742541406e-05,0.00023886085125054458,0.00012099570626518611,0.0007569914376075165,0.0003285270594886878,3.786427481103985e-05,0.00010769005497994526,0.000342978239681591,9.410925455356563e-05,0.00013357195249954798,0.034169126518573234,0.002714509674074985,9.341475354614758e-05,9.429996210028358e-05,0.058542690202026085,9.694748746601285e-05,0.00023078257079580186,5.653005969166379e-05,0.04314104651592212,0.07543918759629795,0.0006184575300022752,0.00012898889898574622,0.00013233265393371879,9.43774626291204e-05,0.011063044634261351,0.00011177927409755181,0.0003234219425313604,0.4086013890269469,0.00031294485209540867,0.19855743420315472,0.00016566120025769674
3,ub0751,ub0751,MayerJohann+MayerJulie_RichterCaroline_1810-03-19.xml,JP-UB0751,letters-context,Mayer Johann Siegfried Wilhelm + Mayer Julie Henriette,Richter Caroline,1810-03-19,1810,3,1809,MayerJohannSiegfriedWilhelmANDMayerJulieHenriette,RichterCaroline,0.0002177521772605233,0.0005441009851074653,5.346958958869448e-05,0.03492476790325515,0.00021983551378202933,0.0002544571989322229,0.00026086942326425367,0.0016421623547031995,9.142584247236964e-05,0.00029510494738524336,0.0001760353926080465,0.0006331196621530982,0.08272905576612254,0.002187430748378589,0.31511799525884376,0.0008274253434670295,0.00012437536659979393,0.0011592965658565738,9.442514993983155e-05,0.00010175723113379367,7.289976670608853e-05,0.00034943205653166216,0.00016079560796479096,0.0003002515849727641,4.7835425318270334e-05,0.00010106413796440003,0.00013606840985301322,0.05838382652190002,5.150588681295441e-05,5.405248788787533e-05,0.000258262937107416,0.0001308238931320559,0.0008184800105087825,0.00035521251330472206,4.093989773939234e-05,0.00011643745616232022,0.00037083752770849696,0.00010175352035608186,0.00014442167725309434,0.19939973602817804,0.014538940868849545,0.00010100260672138283,0.00010195971861287475,0.17933735228394185,0.0001048222960232785,0.023457404832963047,6.112185891656599e-05,0.00022953606200480704,0.0003393620357686425,0.0006686933306079866,0.00013946635345181817,0.00014308171347967409,0.00010204351432112906,0.0003577306585226671,0.00012085883260077693,0.00034969272011645564,0.0008414350778491841,0.011942302778802212,0.06383457523168834,0.00017911745654132196
4,ub1156,ub1156,RichterCaroline_FalkensteinKonstantin_1826-02-17.xml,JP-UB1156,letters-context,Richter Caroline,Falkenstein Konstantin Karl von,1826-02-17,1826,2,1824,RichterCaroline,FalkensteinKonstantinKarlvon,0.00013780066018116854,0.0003443248003133775,3.38372953953192e-05,7.148056647322869e-05,0.10294601203610433,0.00016102879172941406,0.16906212511117832,0.0010392137495462276,5.7857246750919493e-05,0.0001867520090224508,0.00011140092201060965,0.0004006587144889688,0.0009501907729684126,0.0013842773239714644,0.0011464801956252025,0.0005236216694355767,7.870877730522524e-05,0.01542033956922336,5.975530606909601e-05,0.014751094281641237,4.613334344360359e-05,0.11771472393961238,0.00010175669061288224,0.0001900089686827212,3.0271812993254822e-05,6.395667362477308e-05,8.610851539322965e-05,0.00023043687239523725,3.2594600409207425e-05,3.4206172397864624e-05,0.00016343718662867993,8.278961463379226e-05,0.015204659767907719,0.0002247900317407149,2.5908098863636763e-05,0.007417034907457056,0.00023467804906053438,6.439293722445857e-05,9.139473469483428e-05,0.001349696987421807,0.023887413658387445,6.391773465288215e-05,6.452342618797543e-05,0.27504419844735073,6.633495827888717e-05,0.00015790973655300494,0.058785475884780586,0.00014525788571934686,0.0002147593340175628,0.0004231708889242428,8.825884462099891e-05,9.054676203656209e-05,6.457645483762232e-05,0.014913082592053498,7.648340021503751e-05,0.0002212969270793705,0.0005324874850205751,0.0002141281249255589,0.17257688639741373,0.00011335135231201506
5,ub0611,ub0611,MayerJohann_RichterCaroline_1818-11-10.xml,JP-UB0611,letters-context,Mayer Johann Siegfried Wilhelm,Richter Caroline,1818-11-10,1818,11,1814,MayerJohannSiegfriedWilhelm,RichterCaroline,0.00028791114226666006,0.0007194083572504657,7.069729822536859e-05,0.00014934653807984881,0.0002906657222905145,0.0003364423893447457,0.0003449206091960047,0.002171261134001165,0.00012088291869255965,0.000390186695532212,0.0002327533602775644,0.0008371085305103247,0.00198526270089642,0.018234898180488,0.03308074649870122,0.0010940188005236734,0.00016444866048222589,0.0015328177320690932,0.00012484859219272736,0.00013454304346436675,9.638780822940618e-05,0.00046201780301949666,0.000212603372067398,0.01573967670700557,6.324782657726167e-05,0.00013362663817920352,0.00017990916003709384,0.00048145881931511904,6.810089750805631e-05,7.146800425115343e-05,0.00034147432261389846,0.00017297487897150946,0.0010821913135962606,0.00046966070208618926,5.413058491868224e-05,0.00015395318397303268,0.7829672624777622,0.0001345381370874793,0.0001909538200220032,0.07953338900698599,0.034566020248895,0.0001335452817919332,0.00013481077167783566,0.0069789222468949535,0.00013859566119042152,0.0003299256517801212,8.081510109116355e-05,0.0003034917521128996,0.00044870325793891535,0.0008841439064515193,0.00018440190879027456,0.00018918212476065204,0.0001349215660606247,0.00047299018459797364,0.00015979911193022582,0.00046236245146981023,0.0011125424207214763,0.00044738445343936494,0.0076884190756348215,0.00023682845407791957
6,ub0837,ub0837,SpazierJohann_BodeAugust_1803-10-16.xml,JP-UB0837,letters-context,Spazier Johann Karl Gottlieb,Bode August Theodor Heinrich,1803-10-16,1803,10,1799,SpazierJohannKarlGottlieb,BodeAugustTheodorHeinrich,0.0004915277346374668,0.4465150177547808,0.00012069585972994428,0.00025496743530108553,0.0004962304094570081,0.0005743812628046013,0.0005888554514880947,0.0037068209937964423,0.00020637376766157692,0.026859477527170945,0.00039736125182862495,0.0014291286415943822,0.003389280700807648,0.24067773074848126,0.004089434786607688,0.0018677310590993054,0.00028075008460815167,0.002616857484307605,0.00021314404579844706,0.00022969460940146612,0.00016455521885217733,0.0007887661529612501,0.0003629607837538551,0.0006777520355463608,0.000107977970819453,0.0002281301037339193,0.00030714456265002415,0.0008219562498210195,0.00011626323182695884,0.00012201162467027644,0.0005829718812195803,0.00029530621753884627,0.0018475389338133,0.0008018142650792409,9.241283116107434e-05,0.000262831994492256,0.0008370843047646609,0.00022968623313544955,0.00032600022992112804,0.08339432712340325,0.03281846711798305,0.0002279912104614379,0.00023015168043119042,0.06430124323242208,0.00023661332048210366,0.0005632557564169394,0.0001379691777508445,0.0005181272674019866,0.0007660352918710421,0.001509428388252968,0.000314814674336431,0.0003229755558796028,0.052617026623007004,0.0008074984250726624,0.00027281228112871974,0.0007893545437775805,0.00189935495875609,0.0007637838021128119,0.013125824799410293,0.0004043183345186329
7,ub0430,ub0430,RichterCaroline_RichterOdilie_1822-11-17.xml,JP-UB0430,letters-context,Richter Caroline,Richter Odilie Minna,1822-11-17,1822,11,1819,RichterCaroline,RichterOdilieMinna,0.00019716152584790128,0.0004926507821356342,4.8413503839069375e-05,0.00010227249663249468,0.0001990478620150173,0.00023039571973802397,0.0002362016039743485,0.0014868794407318306,8.278061248598209e-05,0.0002671998160648812,0.00015938948141176168,0.0005732518508187735,0.0013595077294894595,0.04400726519672875,0.0016403534237548994,0.0007491839819723294,0.00011261442877500503,0.001049673453143248,8.549630536313893e-05,9.213506477316642e-05,6.600636291471958e-05,0.0003163897523905156,0.00014559077119146024,0.00027185978747140227,4.3312106285163316e-05,0.06313152444372727,0.00012320177756119867,0.00032970295870376315,4.6635488847680987e-05,4.894128326027418e-05,0.00023384158721470567,0.0001184531824745849,0.5996212453854759,0.0003216236090242923,3.706861996928922e-05,0.00010542712735012036,0.00033577112166917366,9.213170488668928e-05,0.0001307651597837566,0.012437780102726613,0.02367080773987389,9.145179766436048e-05,9.231840503108242e-05,0.036299173830403576,9.491029704884944e-05,0.0002259330584055157,5.534217438493107e-05,0.00020783112615145697,0.08436062786400103,0.0006054616722810025,0.00012627841152699346,0.0001295519030187858,9.239427701503584e-05,0.00032390363836646804,0.0001094304183202544,0.00031662576762011023,0.0007618689555154626,0.00030636883583698963,0.12083839310960873,0.00016218010530122273
8,ub1268,ub1268,MahlmannSiegfried_MuechlerKarl_1805-02-12.xml,JP-UB1268,letters-context,Mahlmann Siegfried August,Müchler Karl,1805-02-12,1805,2,1804,MahlmannSiegfriedAugust,MüchlerKarl,0.0003895036959613925,0.31232101703429965,9.564360287161632e-05,0.000202045075793776,0.0003932302592741766,0.00045515971732169836,0.00046662956854468457,0.002937414057450708,0.0001635377611254221,0.0005278682819576247,0.0003148828953329572,0.001132491309602014,0.002685784069924118,0.003912761616769919,0.06551016208749383,0.0014800551409731428,0.00022247614506840327,0.002073689011045989,0.00016890276531779489,0.0001820180083434499,0.00013039928658335615,0.0006250457709253289,0.0002876227663235384,0.2081022461007394,8.55655047575467e-05,0.00018077823956354265,0.00024339204874139521,0.0421643811162044,9.213103414076364e-05,9.668626083608255e-05,0.0004619672225496509,0.00023401093176684385,0.0014640541976407885,0.0006353855494101066,7.323114598618389e-05,0.0002082772264054346,0.0006633347572494335,0.0001820113706985279,0.00025833393619629163,0.003815017753453355,0.15054559942271464,0.00018066817569702338,0.0001823802073463725,0.009441510278456315,0.00018750063597011875,0.0004463434785785629,0.0001093315816702481,0.0004105820921383004,0.0006070330449220825,0.0011961236255512886,0.00024947011237801906,0.00025593707914178267,0.00018253009672282496,0.0006398898757580523,0.0002161859531317584,0.0006255120323007923,0.001505115020465222,0.000605248886022287,0.1764534981464307,0.00032039592995930586
9,ub0928,ub0928,SchwendlerAuguste_MuellerFriedrich_1810-06-19.xml,JP-UB0928,letters-context,Schwendler Auguste Sophie Henriette,Müller Friedrich Theodor Adam Heinrich von,1810-06-19,1810,6,1809,SchwendlerAugusteSophieHenriette,MüllerFriedrichTheodorAdamHeinrichvon,0.00023404740711756812,0.013057123484986536,5.7470923874629953e-05,0.00012140610371792982,0.00023628664769438423,0.0002734992062156656,0.0002803912818662912,0.0017650516565192692,9.826758861104916e-05,0.00031718878144877297,0.00018920879560962143,0.0006804984326048678,0.0016138506621660295,0.00235112457357764,0.0019472382552082304,0.00088934475263651,0.00013368285189245782,0.0012460511703375845,0.00010149134574973418,0.00010937211467618764,7.835513560271916e-05,0.06273710808711952,0.00017282855948221566,0.000322720561649032,5.141513350156956e-05,0.0001086271546889752,0.00014625093038039542,0.21242057604687856,5.536026969521543e-05,5.809744268722164e-05,0.00027758974236220704,0.00014061394637606914,0.0008797300061342227,0.11263254247023488,4.400358717010306e-05,0.00012515091719864563,0.13759394744064754,0.00010936812620675983,0.00015522930478998682,0.0022923916321239512,0.0031546401895546114,0.00010856101882725354,0.0001095897550692662,0.1054517162141996,0.00011266655011676992,0.025212812326067303,6.569584184002343e-05,0.0002467131251134537,0.00036475779735034434,0.07555256624390617,0.00014990315511971704,0.0001537890663926216,0.00010967982153147678,0.00038450101453414617,0.0001299031621788344,0.0003758615663953855,0.0009044028891281883,0.0003636857208367897,0.2307515305081997,0.00019252150219758202
