month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,9.179289002976777e-05,0.00025172807278376735,0.00017426216003497605,0.00015819107389195835,0.00021228755560790142,0.011689563485083243,0.0005724189064094404,0.0001304365988727775,0.0001267018328140174,0.0003054711511268879,0.002381846024362507,0.00012261253370720755,0.003660402789940285,0.00011852161875442142,0.00024643707443676167,0.0003156283431599132,0.00014922283579424045,0.06604531800836617,0.0006460583930371155,0.00018779067816483133,0.06040853408500013,0.1151432290162086,8.795493202730526e-05,0.0001875687731519919,0.0002578785805968105,0.00014056179342344024,0.1470814702032964,0.001739640684137243,0.0038639128271610265,0.0001387672531839951,0.00031553953563056555,0.00012094579827745587,0.0013800536085298092,0.0006472538391782539,0.0006675458014693269,0.00024101583362724373,0.00023522319830248861,0.000203051502884181,0.0009564553250763293,0.0001893569470493796,0.00020391606983395107,0.00014414035979601526,0.34045457796080375,0.04715728722143608,0.00820878625061085,0.03144067359538383,0.00012887105581419245,0.00023582390885491846,0.00448961138624884,0.0001316599994760948,0.00018082350214264505,0.0003353951311739301,0.00015290468386503224,0.0001910053143567026,0.04096998241436752,0.10319339178240276,0.00032468554678550133,0.00018442474985291024,0.00019443587810383679,8.495162410031054e-05
1,0.0029201530886767504,0.002691355530347448,0.000998022281014224,0.009900395760941977,0.002478441019508223,0.04901718990015819,0.013009062023223494,0.0024505330320834023,0.0014801791225773045,0.005360089567090143,0.009791980075213173,0.0023670360868741284,0.00046259397694099725,0.003769800741795606,0.013932651366731656,0.004008931867086266,0.0006222075050027784,0.008637516576549917,0.005710477488590713,0.0006381699491676539,0.0276155792278664,0.1558329155551989,0.004410659318819759,0.009073444007535396,0.00467441500697265,0.004557249727373905,0.07400561883536459,0.016557247681890524,0.03328002209443136,9.513717193842492e-05,0.008978813024125488,8.291899523798813e-05,0.004371327646902458,0.014465483140585092,0.005958643279145839,0.007644148502753077,0.0025587861248235126,0.002399746752452243,0.018970126934462348,0.001996742182714521,0.0020616185084881148,0.0002872069571220031,0.3001150450151081,0.020197715512965373,0.002545948893983444,0.033323820532906744,0.002441442195402565,0.0022599106907391533,0.014959554989180925,0.0034563445525413127,0.0022430704504917756,0.006678004379852751,0.0003126924677336869,0.0020799294306363524,0.006900063577081812,0.04928967065186851,0.010309145878928155,0.0008946179864869342,0.0012720694237834103,0.0005963157345304932
2,4.926551151459331e-05,0.0001351031900646483,0.00040227874548125995,0.0027436188287756846,0.001682754996664381,0.04509318933504187,0.015070972905777897,0.0016780121812038833,0.0010940591333066547,0.008875154535989154,0.00540367038483159,0.003061988921003792,0.00020985257523042263,0.0006230031215989554,0.0005238380522898451,0.00045929817247667435,0.0035979037057281924,0.014189095529462112,0.013282620634818233,0.00431775322162819,0.00340831930126188,0.14313982096529673,0.005693675849944644,0.005577603501216552,0.003746857685782591,0.005900437651726535,0.09817802283725464,0.022061936561686896,0.04465408112888087,0.004428995456513798,0.004314762829129342,0.0020269879607042545,0.010309450830366168,0.012060159513853447,0.029212053828281407,0.009813161945674899,0.006524232934943502,0.005439372342763001,0.027417569625120018,0.001623814566358707,0.0027225029613037154,0.0003622957867262109,0.2917450139118764,0.023321062905217318,0.002047568553206042,0.02215102452947505,0.0006016743278784899,0.0004928730105888578,0.015195507466190602,0.0006425665238751736,0.0004801269710119455,0.00022909321413974214,0.0075757655972098084,0.00855503910341349,0.0026297657557703903,0.03301772886567534,0.003916873165055869,0.004309843437328475,0.004082144269934872,0.007896778644474307
3,6.562095174699312e-05,0.002140566273726109,0.0029653650359367954,0.003807546919248766,0.0018664331144555932,0.0327497534771115,0.006961657466395128,9.324658759405748e-05,0.0016355750678626367,0.009147096077146675,0.006086407414503956,0.0005400441130382344,0.0003359571967196138,0.0006404004783201803,0.001456737353644777,0.0006630006841338173,0.004749466536158748,0.006382837129455853,0.0026579559822240304,0.002136462737938628,0.0012284016463278314,0.17443867228525584,6.287727021779289e-05,0.0012786072656168171,0.00784232401231074,0.0003764017554137718,0.08504878622092811,0.02235737639070245,0.04853310271188799,0.006515090812299933,0.005794957638010309,0.0026362025293954756,0.000881533970295097,0.009317959588045346,0.010675809907086078,0.006764200320022669,0.0003610948430389898,0.00047349983828799013,0.020534392247532257,0.0038239806553720924,0.0036207156031946596,0.0021009203974634598,0.28091264847671676,0.025901381799767864,0.003916371306098515,0.032784240185957936,0.0005635018439526421,0.0013584772427854997,0.02267421899699634,0.00488488742897013,0.006107309520508056,0.039047853673653724,0.0026934903028315717,0.0025459256508149537,0.006459627027534275,0.05295853510840889,0.013243520435798547,0.0003507085049924168,0.0016409362638270036,0.0002073277243172476
4,0.007937859063353881,0.0046445438421255595,0.0019281702990071017,0.0011762569897716983,0.006310391356994782,0.0618189525244335,0.014497446032153595,0.0007888046351232992,0.0024972678408791416,0.0012530039282764047,0.009214712691956355,0.0009199086118932853,0.009061310211624075,0.005226720252608062,0.0058866601438694885,0.0018966978467759368,0.006178287768132712,0.008241066526228578,0.017285073680768488,0.0022303252312993118,0.009023671387802716,0.12882127075800845,5.17144529849982e-05,0.0009874233541188532,0.005486415200000111,8.264546501186397e-05,0.040946455366677015,0.017667472207777198,0.03718557368986641,0.002188529998316719,0.0031059196011481546,7.111193942837497e-05,0.0005921680089754496,0.019846248164035477,0.008839917615936646,0.0001417089605945787,0.0037445105702702433,0.0022419679750353507,0.03471362084614975,0.0018991670699198895,0.0027902535076377447,0.0018911340852052253,0.31642355463389327,0.030412214195882078,0.004048532104651019,0.026975175135078112,0.0007711342122927496,0.0010044598232575716,0.009403503120635533,0.000955537318805452,0.003837957105082485,0.003924519709618261,0.0032344745383344037,0.0018392682727360306,0.02663694646155164,0.07351039520123019,0.0010563127412375804,0.001510818810623181,0.003092888300945604,4.994861196835319e-05
5,0.0012588353805194651,0.0012206870576517983,0.002518686789187966,0.0007334646882089956,0.00036019720588405485,0.03274216418712743,0.002963381993504406,0.0006921444534446604,0.001234657516217156,0.01429090801398238,0.011052818990157037,0.002538016378089604,0.0032838296658339685,0.0026165038189784008,0.0041767380844001,0.006970400748820356,0.009398122377000518,0.013880987710873061,0.002599506079813031,0.002528098855206132,0.007457475262843313,0.10925387606152363,3.889762553140177e-05,0.0018708138752478267,0.003752985658264314,0.004504024867044508,0.06913998137966285,0.022516316508637165,0.056862600614029334,6.136911854694589e-05,0.0024237017278782376,0.00018625220078772697,0.010222548885498246,0.005125048873197126,0.009556070175005758,0.012126257615983209,0.004538493092847024,0.0014515006988060411,0.011736340368161352,0.000651162524631045,0.013068003950158964,0.005983370270260736,0.322796393463598,0.019219046385550314,0.005432508717921029,0.03165123432027803,0.00662849815708242,0.002095534323649808,0.008038725716943763,0.004437544083636566,0.0014476138045185303,0.01622943904332,0.00012683404171624988,0.0007101267115876677,0.028841407164456764,0.06301486242125373,0.007322696426987151,0.0010567735932476103,0.006091319190276285,0.005272201084528886
6,0.0032026633865783133,0.004207234440534553,0.0005123154786403944,0.0062644268254964846,0.003087053943283644,0.02827815489807207,0.006009686712419623,0.006351402361425581,8.38240886379303e-05,0.003554386991079034,0.003981331457842667,0.00030514531887668964,0.006323313725706757,7.841217806663379e-05,0.004028189640075879,0.005977820428105546,0.0005201116537681968,0.0007136041162408431,0.018219882388131922,0.004143326629363522,0.004028870355596484,0.16027312337405258,0.0026180542903148554,0.004794169510547099,0.005285024138703334,0.00047825881920439775,0.05279148565472885,0.015723114330984406,0.050877271908661224,0.0012129332970189156,0.0047516460405159534,0.00488279380033649,0.009182301561889586,0.017955273042197184,0.020311638866979193,0.001000655924547423,0.005501330645590212,0.001972175203040081,0.02766910710844065,0.0008458758739859684,0.0005595806018996481,0.0003383955946432094,0.29121656470979357,0.018155041927197076,0.001809352407104038,0.04150175228024033,0.0004089739117180089,0.013472732151506973,0.015900407803945894,0.0004197972243944567,0.0016766048990850624,0.014797735135113272,0.0001011595135507714,0.0019014650294447361,0.026670457237235455,0.06733987401001017,0.0013500799813207967,0.002669750507840192,0.0016566819061114117,5.620275816351685e-05
7,4.3050428039869035e-05,0.0004145514321062988,0.002195409692431162,0.0029715582628281095,0.002256570551902992,0.04737809690425986,0.026019149136870905,0.004299476391184312,5.9422555868003456e-05,0.006388605701821954,0.014491764995332486,0.01382008126289565,0.0036773439706561206,0.00038013544233590605,0.0008597152511546797,0.0073271020831111935,6.998479895536401e-05,0.003903379743372646,0.025694914133530002,0.002830002343334147,0.007601901420010435,0.1503261351022058,0.0012483220715060813,0.0004919521579180014,0.005653545728352168,6.592281135247374e-05,0.057538085354059194,0.012231341598430067,0.029676652478394707,0.003359491516767512,0.0028197929309002542,0.0006558008071325661,0.0016038844645084671,0.02091583073702153,0.007586375835972905,0.0053159347997751,0.0009349281559758121,9.523018733224219e-05,0.017544020803797588,0.00029569168399833226,0.003962463403184697,0.01070341095931383,0.3270996623635587,0.022494588402162737,0.0036317622348580846,0.02502408180645518,6.043991111895134e-05,0.013525133911144528,0.024764612865113257,0.0018464939359185246,8.480536089869903e-05,0.005181026096054479,0.002406973901317824,0.00016731918252503453,0.0057669725342847636,0.058264890263372296,0.000926980847497041,0.0023136211716224216,0.0006937632152791035,3.9841906916912825e-05
8,0.0016959629395012805,0.010930487260011336,0.0034123562265407185,0.0031211316452243562,0.00812132512950311,0.04647713322615468,0.0066735688979376205,0.003284220614558972,0.003003837449233221,0.000464066562074112,0.004244776975400678,0.0002620885219176277,0.011091552439612405,0.0010411710109364924,0.00555394966733171,0.0035508480783797308,0.000874554275251825,0.007231302971807908,0.010871723658013135,0.001841902309861744,0.01036825165679446,0.13676025486763066,0.0008214555816638161,0.008590470458989042,0.008462153023698075,0.004586558803161905,0.07224444673163265,0.020574450254700997,0.03387579478691551,0.003103690740345787,0.0008238848999186321,5.7198678142515514e-05,0.005633377660409811,0.025229375246421087,0.005516563632802979,0.009801997832196204,0.00207569702243927,0.011308658182801171,0.02947812754430552,0.0061549569637787465,0.0034115234445978716,0.0015995993087933402,0.30227038685797974,0.02093581172036818,0.0039819009283588785,0.01741027950044566,0.004005866706521636,0.007152340546866798,0.028806846961084553,0.0036742217689569438,0.0005805489988372623,0.009194057307575552,0.003090206928770085,0.0026754177938072107,0.00482613107226644,0.03977791820345809,0.011158022886201074,0.0015982080304915442,0.003510932082531915,0.001124454524085715
9,0.0017491746274327289,0.007245535416893035,0.007505132458094801,0.000755860329441815,0.0007184115945019552,0.05321355236035731,0.005111312492956793,0.0004057783422197217,0.00011615670109779193,0.00649812942939639,0.005117000068697597,0.0033676983971531686,0.0033898386816388036,0.0031023126812362994,0.008440000327949783,0.004741454358067919,0.0007092779371344075,0.009173674137978406,0.013781792349239937,0.0009385680380113061,0.009545592561161416,0.1407121391603413,0.000537493842876827,0.0015998035405100917,0.0009379436268930995,0.000532623947206169,0.06442760240465258,0.01738536985023879,0.04219175068145957,0.0027844608294712776,0.0014122256049895945,0.0013735727491924923,0.004615254895921509,0.023497468682464873,0.005400805796600735,0.009650031406670829,0.0014620479754069344,0.003261647679950687,0.027469986911708308,0.0034545141052547733,0.005396439362415816,8.763903191962922e-05,0.31193893857438804,0.015579859543025154,0.00323528629093607,0.04173167707138163,0.008068280804427745,0.014932852026340248,0.007235200667321705,0.0002756864106506496,0.00020746528898425685,0.003776503852257708,0.0006285570905471053,0.002693761863258903,0.004888640671050179,0.05885086594065392,0.006762776490740015,0.007287369383912849,0.0013037102585196315,0.006785492394796965
