receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
AbekenBernhardRudolf,0.00014719359624469175,0.00019399463340105284,0.03504513123089541,0.00022171269009999515,0.0002746829169389897,0.08503444730039332,0.21661184263242,0.00031600295161531337,0.19629847988245824,0.0008302184865483443,0.006175533079619523,0.00013918716222453885,0.00012502455524378557,0.00011650250994849816,0.00012615516618323327,9.545069215476088e-05,0.00050626069499889,0.000316595073129,0.0038829670131269906,0.08388598047627349,0.00010153589355647326,8.11628223413037e-05,0.00014412220888740553,0.00023722138774127558,0.00042445229920071083,0.00018264329308001552,0.0002150030395892264,9.704648597173203e-05,0.0004606911674367047,0.00012277110652041942,0.36416762677866266,5.424704664727e-05,0.001844010677356157,0.0001531823077074057,0.00010887416684458962,0.0002745798073626099,8.567581557649484e-05,0.00012791290128356847,0.0006343996588797924,0.00013947839143615439
AbekenBernhardRudolfANDTruchsessvonWetzhausenChristianFreiherrANDVoßHeinrichANDVoßAbrahamSophus,0.00036385613704475897,0.0004795462555271781,0.0006217562601234965,0.0005480640803114781,0.0006790041660743206,0.1605989303663168,0.5156271187496095,0.0007811454859649598,0.0009686804342876873,0.02653070193060565,0.000712082269366106,0.00034406458205595535,0.0003090552365547181,0.04924486534361505,0.00031185005738540233,0.00023594993947932875,0.0012514543126840275,0.025261047299762657,0.002321741951696724,0.000942613911778209,0.0002509922913998952,0.00020063094973006896,0.00035626380172785777,0.0005864009030966946,0.0010492275335823682,0.00045148623834662783,0.0005314781174839222,0.00023989467205314126,0.0011388084320971589,0.0003034848097941041,0.12486256287254414,0.0001340963285274329,0.07799362815062495,0.00037865997005306716,0.00026913218226005237,0.0006787492837077567,0.00021178687177396023,0.00031619510173429337,0.0015682082312792089,0.00034478448793933943
AbekenMinonaLaura,4.736098360920427e-05,6.241967644779379e-05,0.04150169045749121,7.133823311390927e-05,8.838192325466103e-05,0.21207694424756424,0.0033918608668755314,0.00010167704977486582,0.0033122996751321627,0.01938440485942714,9.268750270853486e-05,4.478483491747536e-05,4.022787718159663e-05,3.7485825503777393e-05,4.0591662343028214e-05,3.0712196603402585e-05,0.0001628943451994195,0.00010186757068080084,0.0003022073048216416,0.00012269443189313038,3.2670169852225896e-05,2.6114934322231885e-05,4.637273459567971e-05,7.632830872540363e-05,0.00013657169128415046,5.876727133912701e-05,6.917933723819638e-05,3.1225658919273995e-05,0.0001482319026542692,3.950280794778222e-05,0.3985980935609453,1.7454519440085674e-05,0.15990394449799292,4.928791027355688e-05,3.5031331273546054e-05,8.834874673692204e-05,0.15933818300637342,4.115723085551912e-05,0.00020412431391337904,4.487854077336677e-05
AhlefeldtJohannGeorgJacobvon,0.00041459993078658066,0.0005464243257385943,0.0007084671005057548,0.0006244977248681063,0.000773698865009341,0.09931955377390098,0.0018002555486383964,0.02878231407016613,0.0011037737174695124,0.002338474878271728,0.0008113900784837439,0.00039204822286387664,0.00035215643392886984,0.00032815240467944047,0.00035534102367462423,0.00026885578836669145,0.0014259835649207155,0.0008917527579695197,0.002645534744297445,0.0010740719278664775,0.00028599596392010534,0.00022861117184207384,0.028298177899458862,0.0006681810448814029,0.0011955540075145492,0.16786782586503976,0.0006055986646621006,0.0002733506578647235,0.0012976279607689446,0.00034580914907018885,0.5048750177626676,0.028045026695908883,0.005194021470408564,0.00043146832330696205,0.00030666566474247235,0.0007734084364559178,0.0002413229115555332,0.0003602920328865239,0.1133558289069918,0.00039286852764655285
ArnimLudwigAchimvon,7.628523873605957e-05,0.00010054056222603748,0.00013035598389075922,0.00011490585138619487,0.00014235844785376472,0.167105216696009,0.195350772021043,0.00016377316147096315,0.2516756431319023,0.0004302728995366503,0.0001492935267204968,7.213578695123779e-05,6.479580829580962e-05,6.037913341010475e-05,6.538176398704765e-05,4.9468720272609366e-05,0.0002623770256721784,0.0001640800371244206,0.000486771064265221,0.06178274099211641,5.262246509256022e-05,4.206382231809916e-05,7.469344721945042e-05,0.00012294346125669292,0.00021997862544759526,9.465756372299752e-05,0.01037561426546152,5.0295763808517023e-05,0.00023875995008016803,6.362792546512124e-05,0.2417262985963388,2.8114327048126518e-05,0.0009556855620275012,7.938897623082836e-05,5.642563278447394e-05,0.06685951263699716,4.440274721119345e-05,6.629273596670438e-05,0.0003287869218934516,7.228672075883409e-05
BarthKarl,0.00010628609492590937,0.00014008036046965502,0.0001816213556846924,0.0001600951170937685,0.00019834405387969444,0.0040101771727812895,0.08626633254090768,0.00022818057693501035,0.00028296145126970095,0.0005994872271741534,0.00020800650578993183,0.00010050477951549326,9.0278192025557e-05,8.412456212366867e-05,9.109458774317128e-05,6.892338787782371e-05,0.0003655625900766682,0.00022860813822175781,0.25809267131224184,0.0002753471537389988,7.331741255231089e-05,5.8606350139594606e-05,0.00010406829621360611,0.000171293694693151,0.0003064900818740213,0.00013188374277921946,0.00015525018790322318,7.007568456354922e-05,0.0003326575775233253,8.865101345914572e-05,0.3653921155744405,3.917090754286058e-05,0.0013315300318639714,0.2575250772141261,7.861625999670931e-05,0.00019826960013644425,0.014362668818293876,9.236381958813728e-05,0.0076084915004549815,0.00010071507137886692
BentzelSternauChristianErnstGrafvon,0.00017114522184657642,0.0002255618139479066,0.00029245243446379915,0.0002577902062416206,0.00031937985045788603,0.1906781546859764,0.0007431384145861051,0.0003674235607945215,0.02348323856956894,0.0009653132383914386,0.0003349386352350689,0.00016183596545541422,0.0001453687917774404,0.00013546002285094486,0.00014668337790748015,0.00011098261270197713,0.4496269401995425,0.0003681120334618485,0.16228530216579695,0.00044337267019109217,0.00011805800980108647,9.436979318179834e-05,0.00016757405242038968,0.00027582250904612616,0.0004935199951853533,0.00021236336165742536,0.00024998874847120535,0.00011283807716371165,0.0005356557218878093,0.00014274865753573565,0.12781380501390466,6.307423060399216e-05,0.002144071647919645,0.00017810842797789117,0.00012659038105844523,0.00031925996269256034,9.961714937211048e-05,0.00014872713505024532,0.0007376303937698648,0.03470358226010409
BergnerCaroline,0.00027098878588992703,0.0003571512043711524,0.0004630648129746997,0.00040818115895958397,0.0005057012809324908,0.028455196915339712,0.34756154852386384,0.0005817729736931768,0.0007214431971245178,0.0015284625515848288,0.0005303368281665887,0.0002562486484805369,0.00023017477184007174,0.0002144853752441096,0.00023225626786715082,0.00017572820991731592,0.0009320444270787178,0.0005828630910229178,0.0017291615245247586,0.0007020296581786376,0.00018693128791674482,0.00014942371982750515,0.00026533424960449624,0.00043673323766250585,0.0007814321829421075,0.00033625297231282524,0.0003958284473468018,0.00017866612460942511,0.0008481492627325348,0.0002260260904491025,0.3299939482143516,9.987079386674112e-05,0.2768566338388794,0.0002820142223880482,0.00020044131701861772,0.0005055114524370289,0.00015773230517860195,0.00023549232237569137,0.0011679529389514362,0.00025678481209420517
BertuchFriedrichJohannJustin,0.00030872279608922995,0.23284713979651336,0.0005275445748155571,0.0004650186106082308,0.0005761179855567853,0.06250222401777618,0.0013405210309523413,0.0006627823307812374,0.26428772455138433,0.008564585583762612,0.0006041839256299965,0.00029193015863442854,0.0002622256080387453,0.0002443515311829387,0.0002645969433374299,0.00020019759909720123,0.0010618275611006453,0.13748853258809712,0.001969939748569655,0.034916240573180345,0.00021296065699803363,0.00017023032313203862,0.000302280890211489,0.0004975464421285588,0.0008902432168170597,0.0003830747367084629,0.007274237105104841,0.007026835873129335,0.0009662503598881952,0.0002574992408021925,0.2186311073624548,0.00011377736768308654,0.01069090607449457,0.00032128347668206747,0.00022835189891190111,0.0005759017242686881,0.00017969584286826312,0.00026828360436619887,0.0013305853075417757,0.00029254098070010683
BodeAugustTheodorHeinrich,0.001519919761370678,0.004120899812787535,0.0016183598517501795,0.001039288509341924,0.0025873300378707878,0.0438334150824941,0.011127338049891581,0.0003616245775235824,0.00477665546388025,0.003653029255139399,0.001548207581301451,0.00015928173606880974,0.000724143479510915,0.00013332208045907694,0.00014436829922071618,0.00010923099309154118,0.0029241094615227335,0.0003623021841444541,0.061724375952162756,0.4221480212616117,0.00011619472040735124,0.0009052505210685953,0.0001649292597877997,0.01963652519050005,0.0004857308534390666,0.00020901166701120072,0.0019296413895835962,0.007731525423769931,0.0005272015591675603,0.00014049567986819384,0.379082300488523,6.207874080113637e-05,0.013360605503102125,0.005749821609134087,0.0001245924267072536,0.00031422113725977825,0.0021706568844333937,0.0004369143093597543,0.002077464194632257,0.00015961501029955553
BoieHeinrich,5.093108297778618e-05,6.712490912015847e-05,8.70308796589362e-05,7.67157519403177e-05,9.50442056728032e-05,0.0875814040158031,0.0036475413746764026,0.00010934152680929074,0.0001355918962323156,0.00028726743354917314,9.967434228994223e-05,4.816074265157596e-05,4.326027870666753e-05,4.031152952770732e-05,4.365148621189676e-05,3.3027300415567965e-05,0.00017517341870305745,0.00010954640929545792,0.0003249878728315278,0.00013194321180540086,3.5132866862982846e-05,2.8083493744554328e-05,0.07543046849815077,8.208198244624525e-05,0.0001468665473378781,0.15425078841782064,7.439411719781281e-05,3.357946782896879e-05,0.00015940571243905702,4.2480553318851376e-05,0.2264875930130521,0.2775564344733278,0.11713534514095768,5.3003262530560056e-05,3.767201404931435e-05,0.02407974494251341,2.9645053749906793e-05,4.425968761829026e-05,0.031057029574062863,4.826151211112288e-05
BoieSaraHenriette,6.581449031512206e-05,8.674058007207421e-05,0.022250827699261483,9.913412042103033e-05,0.00012281863231711456,0.03347689219814598,0.0002857764620119937,0.03556267656569842,0.00017521542876445354,0.0003712145632445733,0.00012880181711762828,6.223458339171187e-05,5.5902074479964406e-05,5.2091622925948853e-05,5.640760314848578e-05,4.267874971916623e-05,0.00022636371729475288,0.00014155876278493574,0.0004199579109348917,0.0001705005024004716,4.53996182823121e-05,3.629023219223332e-05,6.444118469152641e-05,0.00010606850518200472,0.00018978483064261632,0.06649675736459919,9.613404270144832e-05,4.339227503135025e-05,0.00020598827089679663,5.489449274432247e-05,0.2041197919516218,2.4255414754970888e-05,0.0008245102094257389,6.849221545139516e-05,0.61992287552709,0.008978118168428046,3.8308121265858066e-05,5.7193537066054104e-05,0.004711331153133892,6.236480034826673e-05
BornträgerJohannFriedrichWilhelm,0.0003199245422818107,0.0036746403005833875,0.0005466860846334741,0.35651823978692637,0.0032534491695754386,0.19744651874541155,0.0013891607055884984,0.0006868308284768615,0.0025549706736733187,0.00834396557172836,0.0006261062296330611,0.008253012068626168,0.0002717402429917022,0.012846229810260089,0.0002741976201910494,0.00020746160007755867,0.0011003550783115826,0.0006881178016134272,0.009820077804992671,0.00277346884560755,0.00022068775476637503,0.00017640698678681756,0.0003132488972842086,0.013516860817177566,0.0009225449408580957,0.008835245359344645,0.00046730802687526465,0.0002109300499252133,0.009264745533415041,0.008668504629042652,0.3164222541748955,0.00011790568347767884,0.01596447160072292,0.0003329409765727534,0.00023663745490779087,0.0005967978324565098,0.00018621595492079312,0.0002780180486048819,0.011369966183407661,0.00030315558337358126
BreitenbauchGeorgAugustvon,0.0003729862580810509,0.000491579350230553,0.0006373577831762777,0.0005618164700046394,0.0006960421917917277,0.014072781382742523,0.001619562693612534,0.0008007465098524194,0.1515489917418372,0.0021037605886916944,0.0007299503129283621,0.00035269808018515043,0.00031681025682059127,0.0002952155280621307,0.00031967520716088367,0.0002418705528389078,0.0012828566395459468,0.0008022469364562515,0.6547893536204834,0.0009662666091737427,0.00025729035749346064,0.0002056653154261913,0.00036520341081908695,0.0006011152659340188,0.0010755554511324814,0.0004628152323710374,0.000544814321127979,0.00024591426927526345,0.001167384173341061,0.00031110005319387484,0.15308836505808354,0.00013746116310167352,0.004672694057051282,0.0003881615587476064,0.0002758854266020419,0.0006957809137467081,0.0002171011693117149,0.00032412928026255496,0.0016075587588750295,0.0003534360504274413
