year_range,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.000287480492781988,0.0003788865428254457,0.0016745185582043938,0.000433022054166065,0.0005364770094287468,0.13292603375888992,0.0012482837401207435,0.0006171782371558784,0.047444727678117,0.006147964302621481,0.04521295013634152,0.00027184330708734857,0.00024418263883968754,0.0002275384243935173,0.012902962990488312,0.00018642259389747105,0.022198627031248305,0.0006183346963285891,0.05456044336903167,0.000744753445859352,0.00019830746349963627,0.00015851727763663753,0.0014320793064046622,0.05962695007475515,0.0027703072692273367,0.0042393546109714105,0.0004199175870938414,0.00018953930280727097,0.0008997655279435389,0.0002397814789660249,0.38598910758512855,0.00010594868323075616,0.1296596359141382,0.0002991769100606862,0.00021263967953931784,0.03632608823692649,0.00016733150293090756,0.00024982380234153814,0.0476806846782788,0.000272412100291698
1799,0.007835553800822547,0.00491101713024692,0.011048494895744743,0.0021361362688841366,0.01644052018269168,0.16494406177933754,0.006934604950222377,0.002262579127230946,0.007878676520320755,0.00891811983470486,0.0014197887376286285,0.0036264029331390104,0.0014614768313457869,0.0015793594435187764,0.0077406248973022965,0.0010075327889616378,0.044961929417367485,0.006846560663227598,0.06927324704162631,0.06851706899545945,0.005728145046232116,0.0011560986084831364,0.006398024711134148,0.004097831190851054,0.0032097196839793005,0.004695511303430232,0.002268726583488331,0.004067732646064085,0.0027644951624429676,0.0026682306798380268,0.3616132256887187,0.0005428136630655794,0.038972839670995435,0.0018606409183278961,0.0018503757528491184,0.0011000009696763402,0.0006745218623171106,0.021561312643393764,0.09411969813343576,0.0009062988414934042
1804,0.0036271800241681183,0.004719109452613514,0.006196655553687233,0.003511219851071934,0.02618662389326356,0.1929938747276235,0.036637101420493354,0.0024273429802492445,0.06243603248756807,0.032086276038890305,0.002767884178549932,0.0020985532528833787,0.004725848095723216,0.0028905523996592326,0.0041462652890744845,0.004455140891178018,0.06385350918853086,0.014068325504453113,0.03367992399611996,0.03205486693573896,0.003110649579549852,0.0017880597726388726,0.0024103045055676622,0.019412027657008436,0.00500556568664769,0.0011909842676580957,0.004506041148831995,0.004246763311702532,0.01522806032281684,0.0006483834963632058,0.31852606947908313,0.0019093036988618631,0.05259054054375072,0.006288724183098174,0.0017024300794581417,0.0017331113944463173,0.0013581281233021548,0.0021851480715060247,0.018149276835763003,0.002448141680405083
1809,0.00449386475502133,0.0022744703809838155,0.00410418426214373,0.02987102135367951,0.0042366254666643035,0.19721158709811365,0.0718463871921351,0.004026834795970427,0.026094827962244677,0.05341515392728035,0.001456793548796498,0.004569435992084161,0.009539319661007918,0.0037034912666447928,0.004620815811455274,0.008376293553947709,0.02997753890519949,0.017408774987263738,0.05213640751826258,0.003822009023468788,0.0029259577699783873,0.002464768485283587,0.0037425226526007676,0.011214928781161777,0.007871695877316955,0.010479819461484206,0.011710907291697875,0.0013993176373097165,0.03806965619829289,0.0025794252396188454,0.3130660608392291,0.0011126394530941086,0.0287459058706062,0.0145278176951024,0.0031306567098908274,0.0019887551676680904,0.0006277604667883942,0.0019661768455460586,0.00615491949836085,0.0030344705966010898
1814,0.006020508363048649,0.010773047097932654,0.004494376987613465,0.0033211028627000566,0.005529258177340597,0.17027394372664162,0.007280457636079121,0.03525185416879007,0.002424402493993304,0.15707900378193157,0.002019504597942906,0.003859302745760246,0.0015084674740883743,0.0031758572432619135,0.0037194653340951378,0.00041548400421789847,0.009034765219732023,0.034756445984022374,0.04238144997958788,0.004047623183623361,0.0009982108224515476,0.0010516682563766265,0.006506958085001995,0.01395242493937112,0.008103634759455618,0.012978831659291163,0.016070010485627135,0.0033026444467329835,0.020257461626634447,0.007894949610773628,0.3232282209949051,0.011984155917376659,0.03517517627704114,0.0023984585275128897,0.0008396280777543865,0.006342591119078095,0.0009554284326202226,0.0012173054963544722,0.01140428103544349,0.007971638367794001
1819,0.0032605042993965818,0.0024222433255031354,0.012253676678086847,0.0011769741608774762,0.0016511569069263938,0.13272040801000629,0.005576482672410841,0.03329556464832489,0.001916100028200122,0.01880197744972973,0.058147627922874694,0.005603815534719878,0.001793672598684221,0.0024667406835617092,0.0027234299919498767,0.0036060177872338246,0.002532202161058586,0.004587029121976355,0.04200404213936549,0.0016658727720713176,0.0005306318221090954,0.012081801615884766,0.004421082950000582,0.004041232014200747,0.015089658173344775,0.0027106689687855703,0.010825989843350875,0.0011156082956162905,0.005310022528615293,0.005131112004266301,0.2889969471280075,4.966759274065754e-05,0.22817217950387628,0.0019966761180663572,0.0064674931459076605,0.05163771749238178,0.004329496365061302,0.0017201535471118956,0.006427734322905973,0.01073858767480804
1824,0.0027982079580306904,0.07035434167481439,0.00386327610200735,0.002350087934300976,0.0025665814587035552,0.23289106756943867,0.00596822643258665,0.006265755938401211,0.004509446310310295,0.008489346921438797,0.0007541886740733572,0.03966436841745607,0.009610399638053746,0.007170097142279556,0.0026246361056960674,0.000225314633802199,0.003314846102243891,0.002993031247064754,0.0717635581797286,0.00469462579866713,0.00431206638637948,0.0003096381105255883,0.006485662192112404,0.002966087832709032,0.14273480012775178,0.003315386253122268,0.0035846629225574655,0.00010881306219091624,0.003394703470359491,0.010108283447357733,0.2605040413237612,0.0015589408624997211,0.0339086513298508,0.005826400410244623,0.011321505279412244,0.0009642665127562288,0.019787314584332527,0.0001434219316961534,0.005278806993268482,0.00051514272801398
