month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.000287480492781988,0.0003788865428254457,0.0016745185582043938,0.000433022054166065,0.0005364770094287468,0.13292603375888992,0.0012482837401207435,0.0006171782371558784,0.047444727678117,0.006147964302621481,0.04521295013634152,0.00027184330708734857,0.00024418263883968754,0.0002275384243935173,0.012902962990488312,0.00018642259389747105,0.022198627031248305,0.0006183346963285891,0.05456044336903167,0.000744753445859352,0.00019830746349963627,0.00015851727763663753,0.0014320793064046622,0.05962695007475515,0.0027703072692273367,0.0042393546109714105,0.0004199175870938414,0.00018953930280727097,0.0008997655279435389,0.0002397814789660249,0.38598910758512855,0.00010594868323075616,0.1296596359141382,0.0002991769100606862,0.00021263967953931784,0.03632608823692649,0.00016733150293090756,0.00024982380234153814,0.0476806846782788,0.000272412100291698
1,0.004012444620851574,0.003685482376433341,0.003981621002157224,0.00896218141520198,0.01597510386486862,0.1884615461573019,0.026122413539801458,0.0061084925643622515,0.017115249002286767,0.04974315361379128,0.02873849044980581,0.019028630955726756,0.007421002222593646,0.00040647622911246334,0.003997747859166366,0.001405315901303239,0.02366480732577361,0.012596612149718715,0.04836751879006836,0.0193945273127975,0.002591101365143981,0.0004209463526516764,0.0033747199549030503,0.01067545647522695,0.011430835204027066,0.007310795753850673,0.013847675424173665,0.0019464061212624718,0.015416554680538425,0.0020514962634529954,0.3192018417488691,0.0030183611029693013,0.06475576406941344,0.01341792074122032,0.0072298570594931475,0.007662289538904279,0.0003381038288577795,0.001789288078997895,0.01988081210161212,0.004450956781308727
2,0.006229399453912986,0.010320551634694647,0.0034290930126075485,0.004953844767729047,0.011094328425280554,0.17632291817000734,0.038509953286327586,0.015193004547887972,0.0156988701921073,0.04206077843622515,0.003032621283720867,0.007420149167717798,0.007762182183367855,0.004498020700371308,0.005966596367583312,0.005296109758454518,0.030588658412608553,0.01709803882838534,0.07812589763811993,0.013634955561906756,0.0036971720960256803,0.0023342601277155637,0.0036196025302860806,0.01625313612340776,0.02641740455502285,0.0012255890894620847,0.010387328084399102,0.0006507983279063476,0.019773508288388243,0.004739482897528333,0.3167788972386531,0.0002324720614716995,0.04278767462924729,0.0009209765795105368,0.0028217806328773476,0.003545170825664173,0.005037399140725338,0.01063472961655889,0.026841940520521215,0.004064704805611657
3,0.004370039330371425,0.0050818709857856185,0.00454455004751282,0.01646027240914556,0.010549830109514609,0.21637563748320993,0.03157265236204095,0.0016857545143530864,0.06567040327742674,0.025574227278906472,0.0025223538748017555,0.0005494216989380959,0.0007429000460450292,0.0038863645823140965,0.003006235793032266,0.004821745939463033,0.01584468495714357,0.006086809318873786,0.0566550053373067,0.01067833067966165,0.004375953015353041,0.0032893800492519148,0.0076146771024155945,0.008373146380570774,0.01317058873867243,0.005237022993107148,0.007767634572762132,0.0017275501366252593,0.021400343904967745,0.007357354688710063,0.30221300917396166,0.001784663946433091,0.0754873398441257,0.002368198700166699,0.000622460828524197,0.00797437448433746,0.006686687721225284,0.004638398130863299,0.02840961743267964,0.0028225081293997783
4,0.0009396374468346341,0.008788261849430263,0.0015614205478465073,0.004933294318836012,0.012999215187355542,0.14766059746544047,0.03373925843119646,0.0173509359607126,0.015971878694028455,0.06008589901270335,0.013934326041339585,0.005842522354046822,0.003977759417108237,0.0077033861836626315,0.004173475710828438,0.0036132514838017158,0.04346922809261667,0.015944900179333355,0.014583025643175809,0.022357935765699746,0.003181894263310824,0.001550009789247773,0.0020249223890356576,0.009607692712664574,0.012889153744812162,0.003364277456455563,0.0077247513827194015,0.0014725574713848944,0.01265985505866232,0.0009736466416176354,0.331226526150377,0.010294059828401708,0.09290948118177789,0.0010461882957023777,0.0014955170084511229,0.02769251856314414,0.0009760087099298207,0.0023006365241805358,0.030165385373316107,0.006814707668811138
5,0.006622434235431176,0.006587633038248217,0.012257429682571184,0.011794980415143924,0.009520763818818646,0.13675482588258636,0.0449681474989419,0.003941052272342785,0.042206938533772234,0.03136872683399999,0.007413238151077812,0.009611408853135585,0.006138252291797915,0.0023494660395040642,0.005887672431577083,0.009127254549986087,0.014289787949083305,0.007400356919797513,0.05588813652293341,0.006015684469307837,0.000738148446174348,0.008596175981954687,0.006939417322569767,0.01602239140394348,0.01505060496446562,0.0018825331525003138,0.010662592912544474,0.0027271295508252656,0.008763721137800917,0.000636971573589303,0.32949036832373985,0.002575575014668736,0.08575530256009387,0.012544937190004487,0.010211471166400777,0.030731049752405214,7.35696831995024e-05,0.0003621780614055714,0.02369143421916539,0.002400237192491444
6,0.002271833947424839,0.004348784215177794,0.016778674274066707,0.003973421646139968,0.005098495834612815,0.20314441394011637,0.04280625151727417,0.020772616377552348,0.028285593745306464,0.03000472977780693,0.00323917007235459,0.002814331376914334,0.005624631324761446,0.0015390080121195162,0.005973204390494502,0.005105555581527334,0.03648988586027957,0.006148324243616451,0.03163124049295347,0.032079306437900704,0.000544719761311042,0.0032192384403769985,0.002915154387046725,0.002016516072410658,0.022345805420957703,0.006696149895128182,0.005616430664424062,0.0015678890547737886,0.01267977789828601,0.004584674607486949,0.29237473578778245,0.003369829865342064,0.09657803206685339,0.001742084001858902,0.0007599806319561937,0.026959559758448527,0.0027994731718396,0.002427586454284451,0.018296363783037225,0.004376525207994839
7,0.004593248478724202,0.00422277678704018,0.01900774740948103,0.004092981197758727,0.00772826651749059,0.17809116219873303,0.019734468538980518,0.023775801504987606,0.014303948394740869,0.04724577937438471,0.006502746281287962,0.003936032642087057,0.0045851902821860005,0.006155595522567608,0.001114683725977593,0.014060157637759772,0.018569537693228572,0.02451696341055209,0.041047064135676804,0.025777238146520637,0.0092943644950617,7.393812103240836e-05,0.002872663530550421,0.005864303836112361,0.016214031977107596,0.0022092048955826135,0.013079889846562182,0.003092620325423356,0.023560762743685248,0.00044977526884986205,0.32403179571436425,6.847450260665886e-05,0.08094496369235277,0.002095121038346919,0.0050612043598508485,0.006348800572716957,7.804939058189267e-05,0.005172171963852839,0.024972236566976686,0.005454237278216778
8,0.00824672456494544,0.006741051123947318,0.004548285927355158,0.013965033163867895,0.00991825117615217,0.16341178902484008,0.02204998197744605,0.013590185874760505,0.01688186922714704,0.05195948369389505,0.011433157891333303,0.009053851158475549,0.008274162819701973,0.004907395265178559,0.0029993180851836123,0.002385511334509462,0.03015937482779712,0.006601340971725696,0.05222646974084467,0.028121590671656035,0.0023443460891434875,0.0004216799596476007,0.007967302659985466,0.010756955177863244,0.014921329620788128,0.012022703353492988,0.0010428014101244545,0.0062894109103568165,0.02946416768780638,0.009409931582160516,0.3333486344587681,0.0017956306095099352,0.04977493403110278,0.007624133889284229,9.997714948512962e-05,0.008059640039012907,0.00038454582163481647,0.004492331520175008,0.02175989744219052,0.010544818066704945
9,0.004235777188289539,0.003626186710272832,0.014854728840189185,0.010026784781588197,0.015075635452335201,0.16749401111243398,0.03534021482331116,0.013232069216978094,0.013501370421829766,0.05162562165387971,0.015647522646968157,0.0052810044038104605,0.007166734184923076,0.0015413648919257678,0.0007128728418500132,0.0012629058202938584,0.03526319860264497,0.006763286284148494,0.047607007067352936,0.032225679563914894,0.0006390485457810678,0.0047578460002222125,0.0047444680695218205,0.014269886001848808,0.012455427348800738,0.009429827373546695,0.003413245625159899,0.0002709356619702673,0.00706123233272475,0.0073424986191984645,0.33054501793693003,0.0010318206906091449,0.07804527160114286,0.004394087632393258,0.0038514388203919445,0.005567387859618056,0.007831715634395792,0.00461938325042962,0.01638157127154019,0.0008639132148339966
10,0.0063008679798100846,0.021075022145198293,0.004221345527528801,0.004474129021961165,0.012383419705126675,0.1530273422467206,0.02035258284827516,0.015844261086824636,0.02732760360443265,0.04006808768193875,0.014692105324907643,0.002404095743734764,0.001146937255568935,0.0013530865199011426,0.009678397016584982,0.00019758994175494843,0.049745215737321255,0.02383352889486013,0.041008865131330244,0.027611159806865754,0.004852848008513093,0.008859179839904256,0.004795277456959452,0.013575380921871577,0.01191302452626593,0.0030856465685265323,0.0062076228714366515,0.0006576724465729111,0.01567361368592282,0.0025040027485427863,0.314378234871264,0.0007022580912906635,0.07915303817595598,0.003690602756235177,0.002771435699726884,0.005596018362673616,0.005888659946354441,0.011092044823922224,0.021625023502284325,0.006232771475130003
11,0.0029852020640409346,0.007657555885084503,0.0032178055415900135,0.010677793974927177,0.011926832355083093,0.21974295568319663,0.02027744851193278,0.010447899821213925,0.018608255647391835,0.03261372476524834,0.016687192756372423,0.004488010248875787,0.0025334959025159823,0.003638377983534799,0.004294918021521856,0.0030646293641840017,0.03111624206167295,0.023344144777683325,0.045547657577526456,0.015383982442384796,0.0024209191149979887,0.007092838236620995,0.004981591990499652,0.010086359793242723,0.02536114170192492,0.006823891215397072,0.005370457274125107,0.0030631388801414796,0.014251118579807338,0.0019978660341484302,0.2909257987678475,0.0010651790794031699,0.08453944945042059,0.002437209037290506,0.003548248105154657,0.00941343772774457,0.005100354588274454,0.004555185231380687,0.02752446930997543,0.0011872204956210547
12,0.005739171076956589,0.027826193033922843,0.0032382504508013444,0.010798544779372086,0.00796357274194905,0.16133062127819428,0.012674451221536187,0.010235257142717427,0.00393996525926488,0.04464884207880218,0.019116780860978025,0.0033359786392360698,0.001316907274793241,0.0016324115072858384,0.005285242222933601,0.0005311617537778024,0.043538656618505554,0.01216386897588019,0.07040928561348155,0.017037453638002287,0.0017425380463447656,0.004383339444054824,0.0025382724317077727,0.008392595074906826,0.025609700347011394,0.005180487409841404,0.01187540642953836,0.006646496141298606,0.01489641604176443,0.001661560275791186,0.31035004518306536,0.00031995311109721594,0.07438810672272013,0.01857958990190473,0.004740919648790599,0.0032976442025025882,0.0001754873038545095,0.008791148646643805,0.030110324369438276,0.0035573530993323788
