,Number,Score,Rank
0,0,"0,00833",50.0
1,1,"0,01338",37.0
2,2,"0,23749",6.0
3,3,"0,03728",20.0
4,4,"0,01035",43.0
5,5,"0,00358",79.0
6,6,"0,00557",66.0
7,7,"0,02445",24.0
8,8,"0,00479",75.0
9,9,"0,00498",73.0
10,10,"0,01116",41.0
11,11,"0,0437",17.0
12,12,"0,00656",60.0
13,13,"0,01769",31.0
14,14,"0,01277",38.0
15,15,"0,02006",27.0
16,16,"0,00159",80.0
17,17,"0,00547",68.0
18,18,"0,04037",18.0
19,19,"0,00938",46.0
20,20,"0,04434",16.0
21,21,"0,02581",22.0
22,22,"0,03201",21.0
23,23,"0,00583",65.0
24,24,"0,01908",28.0
25,25,"0,00553",67.0
26,26,"0,07345",13.0
27,27,"0,00926",48.0
28,28,"0,00944",45.0
29,29,"0,07671",12.0
30,30,"0,00804",52.0
31,31,"0,01453",34.0
32,32,"0,00422",77.0
33,33,"0,01072",42.0
34,34,"0,00512",70.0
35,35,"0,00544",69.0
36,36,"0,46426",1.0
37,37,"0,00509",71.0
38,38,"0,0231",26.0
39,39,"0,01384",35.0
40,40,"0,00489",74.0
41,41,"0,35584",3.0
42,42,"0,00662",59.0
43,43,"0,00801",53.0
44,44,"0,01276",39.0
45,45,"0,00584",64.0
46,46,"0,00626",61.0
47,47,"0,41425",2.0
48,48,"0,00383",78.0
49,49,"0,32004",4.0
50,50,"0,01805",29.0
51,51,"0,09683",10.0
52,52,"0,01171",40.0
53,53,"0,28069",5.0
54,54,"0,00598",63.0
55,55,"0,06654",14.0
56,56,"0,0928",11.0
57,57,"0,00734",54.0
58,58,"0,00689",57.0
59,59,"0,00863",49.0
60,60,"0,0102",44.0
61,61,"0,0081",51.0
62,62,"0,06164",15.0
63,63,"0,02495",23.0
64,64,"0,00683",58.0
65,65,"0,03929",19.0
66,66,"0,02324",25.0
67,67,"0,01587",33.0
68,68,"0,00936",47.0
69,69,"0,01363",36.0
70,70,"0,00715",55.0
71,71,"0,01647",32.0
72,72,"0,21072",7.0
73,73,"0,01776",30.0
74,74,"0,00508",72.0
75,75,"0,19521",8.0
76,76,"0,0045",76.0
77,77,"0,13532",9.0
78,78,"0,00605",62.0
79,79,"0,00706",56.0
