month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0.00037138504856975836,0.0005966394837855068,0.031490481675335615,0.0016628935827441096,0.00046185654554312333,0.00015952698107036742,0.00024833432357904573,0.0010907122185774083,0.00021377809096399756,0.0002223289301186419,0.00370738262744282,0.0019494038818954156,0.00029261408025163445,0.0007888840500031013,0.041063207276069706,0.0008949331742678516,7.101202228299793e-05,0.00024383898308180988,0.06198190498857109,0.0004184156653070249,0.009941926985634,0.019821308796273588,0.039943665451773205,0.0002598409879237754,0.0008511991255890518,0.006665796362030058,0.07994522757948977,0.0004132524016801165,0.0004210070168298986,0.046452291127028304,0.00035848553648322874,0.0006479843192747234,0.00018804253304815146,0.0004783432691951071,0.0002284354491951378,0.0002426961396102767,0.11944699443719298,0.00022690721923026346,0.010659342164801423,0.0006174630986379923,0.00021822660275377798,0.1255887267455795,0.00029523945854408317,0.00035731343740539305,0.019239067415865237,0.00026035703518816837,0.00027921165115794817,0.16854350294573475,0.00017086415939237005,0.02124169652982641,0.0008051020509817741,0.00431931203728444,0.0005225600833551508,0.015730178002618427,0.0002667995446135782,0.005703671140761667,0.02875909248360613,0.00032751971480124404,0.0003073825670588235,0.0003847504336729989,0.0004551871881665914,0.0003611790645961477,0.0027496513148291464,0.0011130967810513378,0.00030451936429173946,0.0017525968946515544,0.0010366004407347245,0.000707850835250955,0.00041732932702170976,0.0006080776521917042,0.00031885797570363835,0.014665922089188356,0.04200093779460761,0.0007923661824322752,0.0002266349591452758,0.041545295651684556,0.00020087249276724123,0.011097957594133637,0.00026982204719517845,0.0003149266797727063
1,0.0009991596607952923,0.0034101812556540487,0.04543079678738004,0.006564132342423119,0.00334976836086462,0.0002864223036101703,0.00016814750401975505,0.005965390407780299,0.0018623815796501414,0.0012180840577557083,0.0010597828117383074,0.014837895030670109,0.0007207717035581066,0.001722051377202219,0.001624361904852083,0.005353070165385445,0.00015489298853671465,0.0007355426524374228,0.012278646582820373,0.007034030227171681,0.009853512729633657,0.012624563220640943,0.007956482176803645,0.002373770661231199,0.0010520035432645509,0.003827075838892434,0.03743258028856754,0.004099743227500676,0.000846242515461742,0.016190623077815627,0.0031130337322797536,0.0027519715626336105,0.00012732385167664743,0.0005691037007137492,0.0002662019022114107,0.00033295365181948736,0.11194331309510382,0.002162895423751962,0.004327486023208805,0.0024230311057648933,0.0017615816353583023,0.08389914117934309,0.000269455985199045,0.000558783689218853,0.001632293868737871,0.00017628809819734506,0.0008597393848728946,0.09157801635125587,0.002529151336233912,0.08888223843460587,0.0068248611571311395,0.025685775651196417,0.0005118948626362496,0.05947255984043642,0.005099584875167975,0.024815167544592478,0.022519933884806834,0.004571096024632725,0.00032042332905595,0.0005909447701024114,0.00036651566351837304,0.0018252366997273044,0.020806942032516956,0.005168257889909997,0.0011328681893820114,0.01672987351295285,0.004543492375024913,0.007945194378738932,0.0022088086159177114,0.0037302766333786653,0.0003363476658778082,0.004209498762317993,0.0662362503756488,0.010741516308264955,0.0011639342050037721,0.05572665714333715,0.0003044978926039589,0.030209712403263544,0.004792529038715742,0.00021323727783507043
2,0.00019544421246863827,0.010154564785714349,0.04435132977567874,0.009171038585178384,0.0034028781638430184,8.395228968659182e-05,0.00025940468149948144,0.00654870701506665,0.0001125023497645179,0.00011700229404326972,0.004545697439713348,0.018644712214734453,0.002470403801999198,0.00179754551858781,0.002410950188809938,0.0006435024671645225,0.00393215461601673,0.00012832212336255758,0.01948605793544698,0.00032878396767847454,0.008884831634879584,0.0018577215339888786,0.004196151049099013,0.00036355258611119566,0.002993313520102004,0.0011267462410346294,0.0111367450864718,0.0021217678009717044,0.0022522818762990586,0.006318894393386672,0.0022636361010022056,0.002350889575830481,0.00017340240314483852,0.005677983280612322,0.0011836692842486414,0.00012772069327502731,0.09289204045520107,0.0042245854995231645,0.007224949375974665,0.004647311530041424,0.000611306697847044,0.10380635766472239,0.00041979651097302914,0.00036186155858173663,0.011119424365298293,0.00013701487418243006,0.0004886718366962016,0.09615702089891193,0.0007592380665896724,0.08339658323038994,0.0026794230916393556,0.029803345532583184,0.0008566356983709106,0.06366902528650492,0.0010500415410693424,0.03725116977363135,0.023691450024248013,0.0005226072531713289,0.0008124001256631022,0.0006595636432009004,0.003430680249332317,0.004025935829878701,0.017061853513621366,0.003714998030405593,0.0013200152615036782,0.01752352320944155,0.009181537555505869,0.006151288423226108,0.0071019534679556155,0.008723801130878823,0.0009565652149187749,0.00467417524327102,0.06176865111235854,0.011002513726229292,0.00011926837463864804,0.061010993048470546,0.0007582412379662469,0.028970471706859142,0.0032817150760378294,0.00016573256556928512
3,0.0014111314004998357,0.00239954628092165,0.051119830894914564,0.002607384824584189,0.001038527016554491,0.00010624935031140952,0.0020048731791419304,0.002026104617845884,0.0007311231019094019,0.0026522741135851535,0.00033151361302637925,0.022408333888329822,0.0006835641499983026,0.0027145231998448164,0.005500307432772989,0.0012298563205894277,0.0007653264560992812,0.0018309159805474059,0.011466509830981022,0.0033996453221445716,0.009881021200329038,0.02994497396283171,0.0022869160663646147,0.0018190561452190864,0.0042849767166222045,0.00016419337528077293,0.021520288231811072,0.0017087932128021996,0.001207356916445948,0.02027203689982772,0.0006906811095206003,0.0020674346806639735,0.0002662315528176359,0.0019040597820833957,0.00015214428244193,0.0002883416730436171,0.1316597524936953,0.0004028143449099782,0.015133152797850302,0.00506392137481127,0.0027328884151821002,0.08863809199718219,0.0009523957319788972,0.004378448513199346,0.004941349928910999,0.0045481648468708,0.00037490216354749904,0.10900047897706923,0.00011380022241464359,0.07867915886702707,0.002717547180497759,0.01473591985615479,0.0016056436102526966,0.08139007240509358,0.00023206522452704512,0.027483548070884368,0.013521766846988503,0.002907119058686659,0.0017554198337036656,0.000882683690128313,0.005169949942323008,0.0020564664197649765,0.011581516808577717,0.004697395162526248,0.001965626467988832,0.006563446843947945,0.0037151243286995435,0.0010254445510218442,0.00048218658969041006,0.0060491119781289,0.0044021636102771385,0.001602460375387561,0.05534908963080684,0.006054589751515239,0.0032181556625584234,0.05495900545338424,0.0015507123044260843,0.018643100035598322,0.0017978494936473743,0.00037945135545436044
4,0.0011558195965488114,0.003931060939915738,0.06340227321351206,0.015342587088695412,0.002020892663249562,0.0008369970094859388,0.0005202229897828187,0.002930799470532913,0.004406009251975332,0.0013859073044670156,0.0031486073508975652,0.015686333004139165,0.0003769943294081502,0.008225681852509839,0.0020884394770883585,0.005259550817108963,4.101439432745985e-05,0.0006333308555724347,0.009588632415217055,0.0007341755392829234,0.01073648661414177,0.000664970392773956,0.004752176691114838,0.0004883469360804437,0.0028245391510789224,0.004476296057880449,0.03179036145475015,0.0006341781864427397,0.0010210155779038859,0.042347177035564613,0.0008749340687917498,0.0025118560906773877,0.001093601355825015,0.003228863959656481,0.00022994836785109784,0.0003124707004922363,0.13719133345321433,0.00038779812122563003,0.0005951493745601563,0.00620858416186911,0.0017529774566153765,0.07620175035118312,0.004352840727301348,0.0021845741530113517,0.0035572514027268883,0.00015037434174991168,0.0030391158823670763,0.10079208669875307,0.0026884202726866185,0.05624728277251832,0.005827960244346338,0.04257473502722853,0.0019364796250745386,0.05902994337890455,0.00025210630797055486,0.02154308122575633,0.019035879224000716,0.0007860421534581602,0.0010644699496801977,0.00037203954302180944,0.0022193516120193367,0.004385410748797746,0.014396082189263417,0.0019911438963637527,0.0019100133564636486,0.016475708881506,0.0008101065971268405,0.003713715882411501,0.0011265304194338498,0.003131123631197282,0.001885416121816673,0.0016832934824493463,0.05898313852640349,0.0007038951400478121,0.00023306403776681423,0.04061096749271304,0.0004033791673086998,0.04138117960505945,0.00015584104615135223,0.006325810111732612
5,0.00129273978994553,0.0010100337274101022,0.09193724869953064,0.00282228718374257,0.001701128430580521,0.0029439014653226646,0.0015410378030204029,0.012876526362483598,9.671531519304474e-05,0.00024067021553118815,0.00022518594842204737,0.02733202220404583,0.0052280505722510995,0.005358021667992835,0.00268255278162234,0.0024844087636329373,3.2126538723522874e-05,0.0030037863638045304,0.011149448035042513,0.00018929537058449798,0.006517269405681247,0.008714976974943469,0.008711362447562909,0.00033712006214929845,0.006248746206442527,0.007113545918144141,0.026932082921558045,0.001888760618510574,0.0025817105464131336,0.03889932702889316,0.00016218238967697656,0.001346730783821709,0.005313368916176002,0.00021640720918621835,0.0010640811440397239,0.006167685255163003,0.11243043248812597,0.0004937663611929236,0.007849934651794246,0.014661886506101335,9.872786576802877e-05,0.09226586437475348,0.0023807759563421473,0.005562667474144708,0.0002574589806191381,0.009675944951151027,0.002039183981068088,0.0740188019230947,7.730062962163282e-05,0.06965529829357438,0.0019401663634513535,0.025236115401183663,0.004126076451178993,0.046760154237702786,0.0015580175423282204,0.011820156219705209,0.019581876800427764,0.00021533028051698533,0.002964613090089585,0.003967630559631185,0.013746647983593182,0.0036723268673809996,0.013947792899639872,0.005934087981532279,0.0005372993067148722,0.006463182478611012,0.009306552854405925,0.0014380388054019693,0.006171280577656237,0.002764501892786774,0.0005205868817610795,0.005237864813805919,0.04270569039397402,0.006149992216891271,0.005880641444425554,0.03341433776110316,0.0007669061763477586,0.034689583237676756,0.00012207015332038437,0.0005298888221588496
6,0.00444940766278005,0.0026252518782373152,0.08449574112264843,0.01773857219030541,0.002711347676774783,0.002412771228378478,0.0001603663110570227,0.007975084121494119,0.00036768669572213544,0.0005733203896811556,0.0016173175475304867,0.013274124027084094,0.00018896075233177227,0.005798554889897055,0.0058724214741945726,0.0076620057015760095,4.585727776208372e-05,0.00015746336489115586,0.0025633654896296213,0.0010311458436394747,0.006718253923478635,0.009928844519756222,0.0023723014261073055,0.001309831777474069,0.005157713641528194,0.0019335867854931512,0.016667937347168062,0.004509930547419671,0.00047696331562683804,0.04496230145144133,0.002175750086456354,0.002065220470375379,0.00024323526987603914,0.003387199021740844,0.0006103832906365985,0.0036254334126618864,0.09840046157571648,0.0022792902521981432,0.003892801769781056,0.008706814728343705,0.0003011358650387806,0.080325862458953,0.0027955058108757366,0.003070242593496007,0.00686745581822924,0.00016813019114363405,0.0033128203325874022,0.10589756936158999,0.0016747181564204863,0.09826204648170282,0.0054639496919619045,0.036315450043915266,0.002675875430686764,0.057419186836964564,0.00044380149374692346,0.01600081257088587,0.020220301057057917,0.00021150168733886424,0.0034775337625355617,0.01162169861561099,0.0020596062719333403,0.0002332378117754387,0.006245372546357929,0.006510300711758632,0.00019664880147488614,0.00934496848506545,0.011376645013758978,0.002766347846631128,0.0012454495138904849,0.001997589093409233,0.0027734205465027146,0.00823980075690789,0.043515512830216915,0.0045251897043005135,0.0004809253290972183,0.036344228352657874,0.0001297169887498753,0.023382815081034118,0.0003068702268892958,0.0006547355679510979
7,0.001676287478207704,0.0002850454850781579,0.07286140320581115,0.021267227779005797,0.0018760195711140138,0.00020313925244697868,0.002957859950655478,0.00258102185514396,0.0005598678863306585,0.00033658843507366543,0.0015088425462576104,0.009837159893090407,0.0001397968533976737,0.003843950977427122,0.0033752135161666543,0.010106925687894458,3.392610929737768e-05,0.00461811610508807,0.017420649147692896,0.007355545447901587,0.008073057479764771,0.012702582596313091,0.004649184364925996,0.00012413945516309038,0.0028837388919686065,0.00046489999218337616,0.016380491716214668,0.0014312728687931363,0.004383515760609796,0.026622930088644758,0.00017126704889195912,0.003689675331320146,0.0041849812235585215,0.0022248905997007042,0.0001091354078877618,0.00011594847595885525,0.14034717630677976,0.002144718174607411,0.002163292603546889,0.002483798651160685,0.0001042581148740598,0.06639765868539306,0.0024300337004552514,0.0024806524022255314,0.0005605266337188057,0.0014034046113898851,0.0017026984326663718,0.12872815747280555,8.163063042267418e-05,0.047645913597354095,0.008485111077329079,0.018924409390131475,0.0016934644682455712,0.06269322752338369,0.0015072395510210169,0.022222305245083965,0.01501898465854953,0.0034127048353100584,0.0004065624826455018,0.0035524971275295424,0.0007014841800775668,0.0001725538863346428,0.006304811344609742,0.012953360905164557,0.0026423709931753295,0.03606774473890164,0.0014513754904302888,0.003882435225146845,0.0008629982254048802,0.0019017575578219137,0.002609878510819908,0.004550696546635178,0.059689858240433616,0.003134968076849011,0.00010827522083412425,0.033666190148691766,9.596716056472277e-05,0.026844880645679223,0.0001289079224853666,0.014582760118329614
8,0.0007508593768132724,0.0014640452177552361,0.04209886443390442,0.008158760443288964,0.0049967925495061506,0.0018566266040015147,0.0011669764920543139,0.00893671238261196,0.0003613450041039365,0.0002975902854890341,0.00187871997490671,0.011386001113794704,0.00014653218999376955,0.017847761570836448,0.0036954095037330897,0.007994063628027749,3.556065084792149e-05,0.0005624189700213999,0.015458069852540099,0.0045174338369958905,0.018364517715881497,0.007224232188499063,0.0014352200624221216,0.0008256934769684609,0.0062538607932084685,0.00012345290515861388,0.02551617598774061,0.005538183191511951,0.0038804508755735686,0.01669991706193344,0.0010554248213620633,0.0031743470901379437,0.00048101456242769593,0.0027419758971367956,0.008017915084859167,0.0027286758581201776,0.11746526844972283,0.00011362820179607938,0.006564272311168326,0.001986540014800963,0.00048227767856082616,0.0784843388255325,0.0030198930475791898,0.0024574519255866592,0.00028497962373878196,0.0030297779100775285,0.00029546291503715523,0.10649629627477059,8.556354993470497e-05,0.0695504034700007,0.004417711073386379,0.03196753735852433,0.0010962067263739221,0.07936151796060689,0.0003760589675271563,0.022659625059563513,0.024418365361223767,0.003510642341925623,0.0028734043476603926,0.0007826761720088835,0.003754075789985469,0.00134847925835867,0.009180859259529958,0.0051900305392040096,0.002442123469234075,0.008141575192532518,0.002507472751943366,0.004706034281955406,0.001367332923203385,0.0018189845953957744,0.00142843872137294,0.011578955567539942,0.05384408083668979,0.008455862812718509,0.008424874118981338,0.04226230718553017,0.003577570045516188,0.02677680390934813,0.0003247643389352953,0.003417873180749183
9,0.0002703974609348833,0.003816540128234142,0.07125193952457075,0.013175955366451454,0.0022989211294020978,0.0005865985481715283,0.0017922735417353697,0.004316327671859447,0.00287800932429622,0.00013452177298840177,0.0032724554547939834,0.011111436637409683,0.0018146104217629968,0.006367346847903962,0.0004906835593770653,0.021824288885421744,4.2966352313678504e-05,0.003876255941183633,0.013122860279667426,0.0011263943345687785,0.004555525011679532,0.012169643835349617,0.012688084229233943,0.0005475539698516865,0.0016695915661327243,0.003396053111217934,0.028076305982046006,0.0024987375070579343,0.00025473342724356105,0.017874965400875156,0.0004027347414511862,0.004774132006017812,0.00011377653339747014,0.00287621717379616,0.0027116357975246045,0.005126224643756688,0.09739943977143484,0.000648582765486307,0.011963526064828187,0.002190444640017089,0.001833763410227532,0.08327937141109346,0.00017863683056582865,0.0006652985166117014,0.0013919047247306874,0.0006579827868710299,0.00016893908648210135,0.09143765823264748,0.001083533753862734,0.08795553777725688,0.0015921973646912063,0.03945217996112882,0.007085855708315491,0.050844182943012024,0.003514178174670552,0.017732906164722985,0.023351307479069702,0.0001981682397347389,0.0005997628963696136,0.0007909101878342842,0.0036790502141866095,0.00029296237273117364,0.007750802686913316,0.003915102290831138,0.0005630369594267164,0.006171098857709945,0.009911066676410195,0.0031853044723740686,0.0013038928325931805,0.0014560084057475915,0.00216672084797575,0.00932427861102973,0.07189288675721504,0.005657878109308686,0.0004720544864897044,0.04189967120500007,0.007294582824807288,0.02685798443142893,0.0033308417706289398,0.0035518081758473615
