13	0,00877	uhr wein gesundheit bett kaffee flasche glas nachmittags gericht weste bamberger semmel schnallen rebhuhn küche kutscher torte amtmann töchterlein galgen vorrede westen beinkleid braten liebhaberei heinrich pracht kloster schlaf geld ofen gesinnung unterhose liegende schlafzimmer getrenntsein bescheidene scheidewasser schwarzenbach marschreglement gesetzgebende schäfer briefkasten trunkenheit kalzinier-effekt erregungstheorie rosine hausnummer zwillingsschwester kirschbaum 
14	0,02171	reimer werk auflage absatz kontrakt verleger herr verlag handlung exemplar hochwohlgeboren erklärung herausgabe fall schreiben schrift gesinnung frage ausgabe gesamtausgabe unterhandlung regierung honorar punkt schriftsteller entschädigung summe vertrag buchhändler beziehung verlust anspruch verhältnis nachdruck verhandlung verbindlichkeit lieferung sammlung großmut zahlung fragment grund rücksicht buchhandel privilegium ankündigung zeitpunkt zeitraum umstand einzelwerk 
15	0,00468	abszess großfürstin vorstellung müller schöne verhältnis gr schleiermacher unglücksseher geschwätz same herzensfreund knochen milchversetzung netz großherzogin verhärtung schnee begriff lob grundsatz himmelbett sprachstaubbesen brieffrühling landmarschall kronprinz thronfolger rheinland unvernünftige verständige umtrieb schwert arrestation bogwisch verworrenheit gebilde paste verdauung leibschmerz baukosten zusammenhängende spottblitz untersuchung bauerhof scheuern speisekammer vernünftige philister entgegenstrebenden kopfzeichnung 
16	0,00653	hr brockhaus tragen widerlegung gewähr bürgschaft frische gestalt anteil liebeslied bittbrief unzartheit gesamt-ausgabe landesfriede hängen gewissensfrage zeitungsartikel ärmste pro stifter schach gewächs höhle originalität knochen unbeständigkeit puppenputzen versäumte beule ausgleichung geschäftsinhalt einzelheit frühstunde angekommene pfingstmorgen tischler kraftlosigkeit wettstreit selbstanschauung leisten stillleben verschweigung liegen ehrwürdige weben oberforstmeister tümpel genosse namenbehalten füllen 
17	0,03426	bild gemälde maler zeichnung original kopie junge porträt künstler zug schüler vollendung landschaft farbe prinz malen erlaubnis examen herr öhlenschläger leier husten adler vogel titelkupfer figur geliebte einsicht freundlichkeit zeichner fortschritt leser bau kreide reminiszenz dr lieferung zutun ähnlichkeit punkt geld schatten rücksicht andenken oberhofmeisterin nachsommer verehrerin denkart lebensziel pastell 
18	0,00221	konsorten lippe wolkenspiel einbildungs-kraft freudenbecher birnediebstahl ewigteure unstern plünderung durst moschus reinheit kondition ärger jesuit diskretion maul nationalgeschrei afterpatriot katholizismus unaussprechliche hufelanden lebensretter gallapfel opfer 
19	0,00394	schwiegersohn liebenswürdigkeit gewand dichtung unschlüssigkeit totengesang scheiden lückenhafte vergoldung kalbsbraten klavierspielen gesanglehrer krankenpfleger dankgefühl landtag perennierenden bürger-militär beschädigung volksmenge universitätsfreund behauptung lerneifer hinschaffung bier-bitte neujahrstag regenschleier jungfrauenalter sanftheit gerechtigkeitsgefühl ungeschick erkenntnisvermögen weltbegebenheit fläche berggenie berganlage puppe familienverhältnis feuer biedermann wallfahrt veranlassung wiederholung handschuh verwirrung standpunkt betrachtung januar dämon vorgrund vorwand 
20	0,00407	leiden tier teufel ehrenburg gleim vögelchen geheimnis wäsche mellerstadt hierherreise kammerreferendar xenien konfirmationsunterricht bonndorf kunstgeschäft pastellgemälde verführung stuttgarter männerstahl rostfleck zionsberg leuchtenburg kavalier herzensgrund madonnengruß unwürdige beraubung endbindung brosame empfohlene handwerkerinnen handwerker unterbringung blöße schreiberei ehemann egoismus gebetbuch kränzchen leimfarbe schmierer forschung arbeitsleute prätention general reiseroute ministerium geschäftsblick schimmel fällen 
21	0,05054	vater mutter brief mensch sohn gott zeit jahr schwester student leute universität eltern rechnung geliebte geld all heiterkeit arbeiten fl großvater briefchen fehler jüngling gruß bitte gegenteil henne blättchen welt ferien feder familie reizenstein rock wetter besuch weihnachten standpunkt schlichtegroll sommer höchste umgang abreise rheingegend gelehrte menge heidelberger belehrung äußere 
22	0,00435	undine verfasser rezension rektor rüstung rathaus höhe adresse dichten kerl frankenland diamant legende list besitzer ross not gesundheit absendung anschein weihnachten minnesingerdenkmal hinreise reh haberecht rumor parterre aktuar gutsherr weißenfels leitfaden freundesrechte raimarsch eichstadt unfug philisterklauen sold mastochse südsüdostwind hamburgische landsmann geschwätz kammersekretär collegienzimmer briefschaften privatbibliothek unreife gelungene amtsgeschäft kosakenlied 
23	0,00454	kosten grundsatz junge problem friede febr braune menschenherz omesse maßregel vers wärterin gram jewagner teagesellschaft lippe geburtstag dame mutter erdbeere morgenröte völkershausen holzgemälde runde seelenwanderung seifenblase rennen lotterie fibelschütze hofroman frühlingszeit rechtliche edelmann wickelkind winterkleider bestellzettel wünschenswerteste voreltern erdensorgen liebesgruß malerakademie morgensonne roßdorf schriftstellerei einsinken trümmer lungenentzündung krankenlager nichtigkeit waffenbruder 
24	0,00404	überzeugung gesundheit schranke laune frühling kupferblatt maxime hinneigen wenigkeit fantasie gefangene meisterschaft begegnen horror kunstinteresse geräuschlosigkeit einrede bestehen aktion br schreibweise beichte affekt satire museum dogma losreißen zusammenbrechen dämmerungsschreiber egoist ehrenmann verweben übergenüge beherrscher kirschen-ernte obstgenuss quantität qualität gewürge amen zunehmen überfülle königsbraut ermunterung glückwünschenden wiederkehr bestimmte sünder proselyt heinrich 
