sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
AdelheidLouiseTheresaCarolineAmelia,0.018044956313075917,0.0002568374899517399,0.00019391864346908393,0.0003933967481462073,0.0037430004240499005,0.00178627393437583,0.00034803827951368493,0.00029638664751598505,0.0006487297702237712,0.0028576283550627132,0.0002060781907945124,0.00139445926649388,0.00019246408159601328,0.006806116358070218,0.0036601676226985518,0.43591308598468625,0.00011315850136502449,0.02598353889660399,0.0008842776605516792,0.00034271825017665483,0.012915123450474858,0.0008537271484574861,0.00440745998318946,0.0005511103099936711,0.0007337715341472903,0.00035979393317935596,0.00032069650927907614,0.0011969095613756048,0.0007971207834954206,0.00011904652569611359,0.00027505381814056727,0.0014501913916734523,0.017839443229401414,0.0013224951615714567,0.0006976177679107091,0.00038399026841403174,0.0006595376678978737,0.00040857340317059014,0.05332083548486812,0.0003686260130403702,0.00040390235709069754,0.0017258747362050048,0.0005062925652381398,0.000676783329976852,0.000406780423520648,0.0015323674830744801,0.0027803268035645427,0.0016808333717596828,0.00896230011425165,0.013319126842962067,0.0039840770239820055,0.0006726727468169179,0.00035119821488683336,0.0010655823399693552,0.00020161329966783312,0.0013457907774814422,0.07478161627210557,0.06385136202864612,0.007522580478139943,0.0003191400904183446,0.0002723446137731942,0.0002421077749092022,0.0007759766961317928,0.00028591593456073905,0.0006977761140652605,0.00037971266416452577,0.055224892463303,0.01996902256843623,0.0001444617938001641,0.11643017320833716,0.010503626771454548,0.0008602313394799327,0.0004329914423797518,0.00020030285983840278,0.0009302844352500761,0.0006850504491249377,0.0016195943234101808,0.0006483475972399046,0.00031272693850484436,0.0002478833482794836
AdersbachGerson,0.07043469459846625,0.0003463834889272667,0.06947542114418796,0.0005305539241219383,0.0050479918106280325,0.002409055616005267,0.0004693812946110236,0.0003997213999301017,0.0008749084147462936,0.0038539361207357227,0.0002779270375700796,0.001880635362017698,0.0002595663899726473,0.009179058441181177,0.004936279479476183,0.02723834618651293,0.00015261104020274874,0.01804515317288117,0.0011925797176256699,0.00046220644516321835,0.00042045462193457015,0.0011513778161054145,0.005944114181194268,0.0007432540786598747,0.0009895998599005523,0.00048523553898983615,0.0004325068579036291,0.0016142102536416643,0.0010750357283722928,0.00016055191523261492,0.00037095091214369726,0.0019557984076021217,0.0009436366301866623,0.001783581081720687,0.0009408411382309047,0.0005178678895840411,0.0008894844694532135,0.0005510218967632339,0.2285602218627052,0.0004971469100179414,0.0005447222975949146,0.002327598329552456,0.000682810695580599,0.0009127428053016896,0.0005486037974941622,0.1404944111910108,0.0037496835012584867,0.0022668533621197553,0.012086992373936714,0.0009653131807628256,0.005373119399279116,0.0009071990735951882,0.0004736429366304245,0.0014370959968781052,0.00027190546896484907,0.0018149986785720136,0.10072150195886242,0.0011255074072985636,0.010145316683494584,0.00043040779598196936,0.00036729714780748597,0.0003265182812105218,0.0010465197872120966,0.0003856000888797737,0.0009410546915306278,0.0005120989051399384,0.006488939303693295,0.003815690556351832,0.00019482817778119016,0.0013328609644593411,0.014165700218336144,0.2088018288680973,0.0005839532480843418,0.000270138146288426,0.0012546266841231071,0.0009238922429263502,0.0021842634130049593,0.0008743929977347418,0.00042175870843935167,0.00033430749942367835
AretinJohannChristophANDBaboJosephMariusFranzvon,0.0006931044822427499,0.00019665763966819267,0.00014848137131169423,0.00030121956089086704,0.0028659742345597977,0.0799594719728593,0.00026648908060969125,0.00022693999439339781,0.0004967252460638352,0.0021880545844811397,0.0001577918028881038,0.0010677221149204272,0.00014736762929232168,0.04450723923619308,0.0028025500701049856,0.015464446316693609,8.664421923379306e-05,0.010245053080965315,0.15786056503057555,0.0002624155926909981,0.00023871118624420678,0.0006536894826680209,0.0033747436068967854,0.0397178499388746,0.000561840788851461,0.0002754902552555032,0.0002455537880256586,0.0009164604796622438,0.0006103466119456517,9.115261466889267e-05,0.00021060568169939723,0.0011103955898619806,0.0005357453756576796,0.001012619991715839,0.0005341582479010038,0.00029401712287426777,0.0005050007343765569,0.00031284015863037283,0.4441309860463159,0.0002822528816117817,0.000309263590049884,0.0013214832929912836,0.00038766264566748285,0.0005182055480492195,0.00031146729384339434,0.0011733169187346474,0.0021288656371698427,0.0012869956158966494,0.0068623345711635786,0.0005480521379853481,0.04234643477343,0.0005150581197588856,0.00026890860835115964,0.0008159046714319572,0.00015437308488664222,0.0010304571884597233,0.01788830067079843,0.0006390016765345285,0.00575995708929799,0.00024436205523172715,0.00020853127372894687,0.00018537925895440032,0.0005941568169330529,0.00021892268470932963,0.0005342794918090115,0.000290741808373645,0.003684065575315121,0.0021663408404374875,0.00011061280577189729,0.000756725709092572,0.08663425310943268,0.0006586696701580396,0.00033153678254264294,0.00015336969553008303,0.0007123085546845736,0.000524535590204762,0.0012401055504852395,0.0004964326204157405,0.00023945157538558207,0.0001898015519262847
AretinJohannChristophANDBaboJosephMariusFranzvonANDSchererJoseph,0.00013948899351276045,3.957783700250808e-05,2.988224368805738e-05,6.0621182594382534e-05,0.0005767844122413796,0.3007941293430529,5.363158742835493e-05,4.567223588468965e-05,9.996718590193104e-05,0.0004403514038066201,3.1755991099934507e-05,0.00021488171982330919,2.965810034849559e-05,0.0010488007957499589,0.0005640201420759891,0.003112258118671647,1.7437363693729276e-05,0.0020618423042431653,0.00013626436358979237,5.281178789679471e-05,4.804121739582043e-05,0.00013155662723777334,0.0006791755083828554,8.492433882385965e-05,0.0001130718501454698,5.544309611707979e-05,4.9418307949924e-05,0.00018443994113074463,0.00012283376716701775,1.8344689440007335e-05,4.238491500337576e-05,0.00022346986233542823,0.00010782008361537644,0.00020379228106891923,0.00010750067022385069,5.917167410682724e-05,0.00010163264841897168,6.295985666766983e-05,0.2633670699075489,0.031690369379224245,6.224006338353545e-05,0.00026595178534529043,7.801806748049883e-05,0.00010429014987209048,6.268356422941419e-05,0.00023613293559464829,0.0004284394815798048,0.06352614163053273,0.0013810618269009776,0.00011029685001130637,0.0006139335464235608,0.00010365672213410841,5.411852337824458e-05,0.00016420283569965866,3.106796563574367e-05,0.00020738206108713892,0.011508456132020494,0.00012860066987930704,0.0011592056286565304,4.9178468773839396e-05,4.196743526208673e-05,3.730803495314025e-05,0.00011957553082698154,4.405873245604049e-05,0.00010752507086059568,5.851250895231654e-05,0.0007414273205576146,0.00043598145904411896,2.2261101092317754e-05,0.00015229292297316832,0.08861087988408305,0.00013255890230348878,6.672259853188381e-05,3.0866031042859525e-05,0.00014335386065023474,0.2215405211011702,0.0002495743131353603,9.990829426556956e-05,4.8190222544083284e-05,3.819803236546496e-05
BassewitzAdelheidHenriettevon,0.00011644002666848516,3.303805038661649e-05,2.494454339605849e-05,5.060422288672746e-05,0.0004814773599840257,0.00022977567744996005,4.47695786826332e-05,3.812541929292874e-05,0.0029661576683761735,0.0263999642531568,2.6508675397548765e-05,0.00017937496397884016,2.4757437189476306e-05,0.0008754984142593442,0.011627554769232405,0.2730004164095499,1.4556038024176944e-05,0.07238045237433709,0.00011374823009894399,4.4085241682890276e-05,4.010295360145453e-05,0.00010981839353927918,0.0005669494941294212,7.089155945876891e-05,9.438801524644329e-05,4.6281756200825834e-05,4.1252495632023925e-05,0.0001539633423624431,0.0001025368867071912,1.5313438528926843e-05,3.5381290731609366e-05,0.0039054548568621156,9.000404329696622e-05,0.00017011792862585675,8.973740932900279e-05,4.939422916108134e-05,8.483901126730297e-05,5.25564577161913e-05,0.019291463716264234,4.7417862536087256e-05,5.1955602070955496e-05,0.00022200628306421862,6.512647076503507e-05,8.705739088479148e-05,5.2325819455289064e-05,0.00019711465847972634,0.0003576447388762664,0.0002162124292607645,0.07033787119789449,9.207155226617609e-05,0.0005124880230188019,8.652862986325294e-05,4.517605401493825e-05,0.026169446089500416,2.593433830197247e-05,0.00017311453839791917,0.2988677794221406,0.00010735087445420361,0.015843303478750608,4.1052287147066405e-05,3.50327947608158e-05,3.114330726384533e-05,9.981703679809182e-05,3.6778528921650706e-05,8.975777803854585e-05,4.8843983537844104e-05,0.1487372586323264,0.004082851333565912,1.8582707779178283e-05,0.00012712825267317644,0.0013511242092528416,0.00011065505407027933,5.5697449359919966e-05,2.5765771099725313e-05,0.00011966626854768037,8.812082402696219e-05,0.00020833500153251715,8.339958699050737e-05,0.01733648086287395,3.188624274438912e-05
BayreutherPostamtANDOsmundEmanuel,0.00020641918478931685,5.856824000264093e-05,4.422046662197933e-05,8.970869153882053e-05,0.0008535395171745884,0.00040733508382535317,7.936531963652933e-05,6.758687880245248e-05,0.00014793385843500973,0.0006516426529830725,4.699328334049258e-05,0.0003179871638259129,4.388877388936189e-05,0.0015520407726312016,0.0008346506416037036,0.16844799612788208,2.580423234758773e-05,0.01475419275349376,0.00020164729947289286,7.815216047082179e-05,7.10925549134773e-05,0.00019468067740820708,0.0010050603365808488,0.000125673089663445,0.00016732645739186953,8.204603398788166e-05,7.313040680702562e-05,0.000272938683777334,0.0001817723781976896,2.714691492180777e-05,6.27222218902952e-05,0.000330696104736322,0.00015955476631757324,0.00030157674426658886,0.00015908209065887684,8.756367383662466e-05,0.00015039845013079282,9.316951797063295e-05,0.015240039716577109,8.406006773785943e-05,9.210435046754787e-05,0.00039356188141981394,0.058630596352396425,0.05866947441505513,9.2760653741048e-05,0.00034943522667898964,0.0006340151024974635,0.0003832908207449268,0.0020437286790406547,0.023569277277118092,0.000908513704029075,0.00015339372334705403,8.008589922700174e-05,0.00024299132592219184,4.597512662535668e-05,0.00030688898752158155,0.09895169226665447,0.0001903063802479743,0.0017154205134369905,7.277548699607009e-05,6.210442527643511e-05,0.011758237998062443,0.00017695076129284267,6.519917742179797e-05,0.00015911819931102496,8.658822530546023e-05,0.0010971820731936802,0.2581118065552024,3.294251556534774e-05,0.0002253667491437441,0.09601943624960578,0.00019616386828075945,9.873771434673365e-05,4.567629893297611e-05,0.175757568498698,0.00015621628729437168,0.00036932610211315344,0.00014784670916779868,7.131305633412176e-05,5.652637174354488e-05
BergnerCaroline,0.0005435810477432707,0.00015423268577292916,0.00011644948410490914,0.00023623746304453824,0.0022476975941436847,0.001072669828990808,0.0002089993895021765,0.0001779822279146797,0.00038956670547305193,0.0017160255546221671,0.00012375137621628378,0.0008373824160667197,0.00011557600965867957,0.004087119858496832,0.0021979559251026327,0.5360440314232158,6.795246125029016e-05,0.00803488771262351,0.0005310148397008351,0.00020580467515889624,0.00018721402047032032,0.0005126690462852744,0.15673957197346042,0.00033094554569680184,0.0004406348717880876,0.00021605874068261944,0.00019258046772458704,0.00071875245437473,0.00047867653334807635,7.148826050861052e-05,0.00016517171660527326,0.0008708499419792869,0.0620573137530579,0.0007941674742624067,0.0004189242855784096,0.00023058880702849215,0.000396056922637801,0.00024535114915749483,0.0093143094945925,0.00022136246561071002,0.0002425461537403292,0.0010363996935282313,0.000304032180575417,0.0004064130617702655,0.00024427445250001413,0.0009201972521616274,0.0016696054393024859,0.0010093520432393867,0.03620049545452663,0.00042982084666374484,0.0023924657566557904,0.0004039446282056456,0.00021089695250811128,0.0006398895513133896,0.00012107017827169685,0.0008081566524357599,0.13730354691138727,0.0005011498406652801,0.004517361508651003,0.00019164582745410559,0.00016354482067989172,0.00014538739020448466,0.0004659793629197152,0.0001716944925013316,0.0004190193735373476,0.00022802007614656773,0.00288930208459297,0.0016989961167234466,8.675030445734759e-05,0.0005934772669075643,0.006307500387199222,0.0005165748578954122,0.00026001435027056183,0.00012028325010760821,0.0005586422255112831,0.0004113775238900816,0.0009725775719466764,0.0003893372079579397,0.00018779468545737147,0.0001488556618845439
BornträgerJohannFriedrichWilhelm,0.0009069379912146082,0.00025732957908532206,0.00019429018290932707,0.0003941504787055024,0.003750171845309368,0.001789696355272688,0.00034870510527752296,0.00029695451106506764,0.0006499727074235482,0.0028631034430711146,0.00020647302738311678,0.0013971309880264082,0.00019283283416082016,0.00681915657234085,0.0036671803400185883,0.3801702741250729,0.00011337530798817219,0.06482506919840958,0.0008859718969651744,0.0003433748830024308,0.0003123572986171404,0.0008553628514573827,0.004415904479220135,0.0005521662126775197,0.0007351774075599048,0.0003604832822493831,0.00032131094943508144,0.0011992027865163125,0.0007986480312339977,0.00011927461351030603,0.000275580808943517,0.0014529698934630118,0.0007010311536714553,0.0013250290031003805,0.0006989543723256144,0.0003847259765792351,0.0006608013125457856,0.0004093562115215388,0.3754752686507035,0.0003693322839800487,0.0004046762159264536,0.0017291814349418991,0.0005072625991292744,0.0006780800165413162,0.000407559796602849,0.001535303430576604,0.002785653785260628,0.0016840537732585475,0.008979471480078945,0.0007171347435194031,0.003991710337215305,0.0006739615576880554,0.0003518710949453938,0.0010676239480326268,0.0002019995817249068,0.0013483692523676364,0.023407119550173074,0.000836143628769693,0.007536993405592573,0.00031975154854548487,0.00027286641386185177,0.0002425716425681291,0.0007774634327454826,0.00028646373669251416,0.0006991130218643096,0.0003804401766314713,0.0048206570841493575,0.002834690671390609,0.00014473857613034576,0.0009901873557131306,0.010523751250160543,0.0008618795042186723,0.0004338210346007674,0.0002006866311514242,0.0009320668185844297,0.0006863629751196174,0.05304195534830148,0.0006495898022133523,0.000313326109319999,0.0002483582816784481
BrockhausFriedrichArnold,0.0006756822175370058,0.000580606449256626,0.00014474905991977602,0.001470939451339173,0.014287457459207982,0.005378023621643917,0.00025979046096067515,0.001317237262805265,0.0028388223104913054,0.0021330544118692194,0.005597247345132396,0.0010408832503698365,0.0001436633135471963,0.007147526299736547,0.007798316175826965,0.10892832670317919,8.446628133065169e-05,0.16883193914891223,0.0006600621672217963,0.0002558193665289863,0.00023271080739582396,0.000637257975594872,0.01711522832653999,0.0008300967557217239,0.0005477180422863539,0.0002685653770100421,0.00023938140968431804,0.005620039161875957,0.002109731116090854,8.886135119842226e-05,0.00020531177864566478,0.0010824840608064077,0.0005222785780986973,0.25844395174140367,0.0005207313452793752,0.0002866265428477738,0.003643383650834341,0.00030497643217370805,0.07512375008148467,0.000275158014180702,0.0003014897662358135,0.001887639772435527,0.0020528171808396212,0.002376411586203652,0.0003036380764893781,0.0011438237637116453,0.007712100090058596,0.001254644969104222,0.05271867671924646,0.000534275990715844,0.004691495291324523,0.0005021113287177345,0.0002621491700898641,0.000795395631994867,0.001380196949646174,0.004796524766629555,0.07602889027048214,0.02369112245755986,0.032249095692483194,0.005681641518846296,0.0002032895141625166,0.00018071946147335178,0.004014445857757794,0.00021341972078279975,0.000520849541532212,0.00028343355849749113,0.013551641003655227,0.002111886476727649,0.00010783237997553359,0.001967408498972372,0.03631452824341116,0.0006421129782866987,0.006380071381114972,0.0003588768886934201,0.0006944035655958808,0.0005113505681276282,0.004237367705741062,0.008021198904227835,0.00023343258569866518,0.00141473486678072
CarlAugust,0.0015407190217242134,0.0004371551100401792,0.0003300628967387063,0.0006695883796310978,0.006370844702474816,0.003040361352584071,0.0005923851397534999,0.0005044705020814369,0.0011041827816562167,0.0048638804181044895,0.0003507592843653151,0.0897252247574416,0.0003275871321772245,0.011584479142891162,0.09358161654028342,0.034376298539385224,0.00019260356860481743,0.022773980784745733,0.0015051015257826178,0.0005833300831467585,0.0005306369743198237,0.001453102448549655,0.007501800669018034,0.0009380277320683588,0.0012489297252312472,0.0006123940725334309,0.0005458475623233139,0.002037222568674113,0.001356754513874635,0.0002026253918396581,0.0004681605561509131,0.0024683257009148088,0.0011909215886263384,0.0022509779160083173,0.0011873935232519749,0.000653577902799298,0.0011225785684158252,0.0006954200925109914,0.3758073930716999,0.0006274268811948567,0.0006874696501381048,0.0029375577543723497,0.0008617448414979898,0.0011519318739058768,0.0006923683175683323,0.002608195072344339,0.004732307849560042,0.002860894247677302,0.015254452507673127,0.08857003756850282,0.006781173691405656,0.0011449353780518337,0.0005977635675524481,0.0018136945863071008,0.0003431597319317212,0.002290628659902821,0.03976434407210826,0.0014204525625987749,0.0128039504564746,0.0005431984301484919,0.0004635493035897591,0.00041208411981406,0.0013207658198569408,0.00048664862695327793,0.0011876630393207947,0.0006462971255391227,0.008189400089868973,0.004815612401754845,0.00024588392986233743,0.0016821442136026026,0.10522965568671812,0.0014641730299615595,0.0007369812782220503,0.00034092927302191287,0.0015834082272678661,0.0011660030804948205,0.002756661166576047,0.0011035322968969714,0.0005322828035747492,0.00042191454376309056
