,Number,Score,Rank
0,0,"0,01764",30.0
1,1,"0,005",70.0
2,2,"0,00378",76.0
3,3,"0,00767",54.0
4,4,"0,07293",12.0
5,5,"0,03481",17.0
6,6,"0,00678",60.0
7,7,"0,00578",66.0
8,8,"0,01264",46.0
9,9,"0,05568",14.0
10,10,"0,00402",73.0
11,11,"0,02717",23.0
12,12,"0,00375",77.0
13,13,"0,13262",8.0
14,14,"0,07132",13.0
15,15,"0,39354",2.0
16,16,"0,0022",80.0
17,17,"0,26072",4.0
18,18,"0,01723",31.0
19,19,"0,00668",61.0
20,20,"0,00607",65.0
21,21,"0,01664",33.0
22,22,"0,08588",10.0
23,23,"0,01074",48.0
24,24,"0,0143",37.0
25,25,"0,00701",58.0
26,26,"0,00625",62.0
27,27,"0,02332",26.0
28,28,"0,01553",35.0
29,29,"0,00232",79.0
30,30,"0,00536",68.0
31,31,"0,02826",22.0
32,32,"0,01363",39.0
33,33,"0,02577",25.0
34,34,"0,01359",41.0
35,35,"0,00748",55.0
36,36,"0,01285",45.0
37,37,"0,00796",51.0
38,38,"0,30223",3.0
39,39,"0,00718",57.0
40,40,"0,00787",53.0
41,41,"0,03363",18.0
42,42,"0,00987",49.0
43,43,"0,01319",43.0
44,44,"0,00793",52.0
45,45,"0,02986",21.0
46,46,"0,05418",16.0
47,47,"0,03275",19.0
48,48,"0,17463",6.0
49,49,"0,01395",38.0
50,50,"0,07763",11.0
51,51,"0,01311",44.0
52,52,"0,00684",59.0
53,53,"0,02076",27.0
54,54,"0,00393",74.0
55,55,"0,02622",24.0
56,56,"0,45522",1.0
57,57,"0,01626",34.0
58,58,"0,14658",7.0
59,59,"0,00622",63.0
60,60,"0,00531",69.0
61,61,"0,00472",72.0
62,62,"0,01512",36.0
63,63,"0,00557",67.0
64,64,"0,0136",40.0
65,65,"0,0074",56.0
66,66,"0,09375",9.0
67,67,"0,05513",15.0
68,68,"0,00281",78.0
69,69,"0,01926",28.0
70,70,"0,20467",5.0
71,71,"0,01676",32.0
72,72,"0,00844",50.0
73,73,"0,0039",75.0
74,74,"0,01813",29.0
75,75,"0,01335",42.0
76,76,"0,03156",20.0
77,77,"0,01263",47.0
78,78,"0,00609",64.0
79,79,"0,00483",71.0
