month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.005897614052326253,0.12128530281995249,0.0005937782443221025,0.08514414246987397,0.001468206397892949,0.36320119801232326,0.03137935898762161,0.09214184902282017,0.0013746476139531222,0.01461987535774028,0.009303598783440718,0.0023641535461686315,0.06919597963621367,0.017855806189830865,0.0014677833304905278,0.0021560452237882645,0.11401415470719478,0.059563269903638395,0.0036566509924046094,0.0033165847080033634
1,0.004774317885439416,0.05944265934340342,0.011902532438002406,0.027638962731434492,0.015717396378759126,0.3566608202828313,0.05477966065434236,0.030998542545922006,0.005392634285846359,0.03699236108688868,0.018720898585419636,0.016397993264242128,0.02212610660997138,0.07704576015555217,0.021839593047764592,0.01850728565088841,0.05729455281151556,0.06447081873440821,0.0620785602826081,0.03721854322476024
2,0.004942531707509352,0.015832064129470573,0.0019487667123515495,0.027196886446156962,0.014807561911497269,0.3307275717514961,0.03851598465945247,0.03356919214654297,0.016995533045088402,0.03747816695212448,0.04590609454990227,0.03545153127936516,0.016376335020756385,0.1200237792287215,0.00641542078987107,0.03339655485780264,0.056625926179112655,0.043700028739921515,0.06073914537470563,0.05935092451815096
3,0.0024199841559457134,0.0436242670203021,0.0029071611707620223,0.07927644656630012,0.015361928395711258,0.3891919932604342,0.025929480095733957,0.01648127046200458,0.004573115499861218,0.03773681302809248,0.018460916477828458,0.021112451724854618,0.024614764972090534,0.07894723716684592,0.010611126945899748,0.037019968413496834,0.07673255587029498,0.038648172827984405,0.04024473098356549,0.03610561496199133
4,0.009832395697784378,0.06332601980100702,0.0023693957643029597,0.02176960649852392,0.0060388684465093306,0.3418234428630024,0.06091483421335773,0.04090498885488062,0.020510382612228085,0.05227913572191514,0.01882986035322588,0.04720849742225905,0.052893791226495485,0.03426971518620699,0.013984831676475604,0.014132211555497905,0.06208537743633801,0.04419303517713646,0.06087686815728303,0.03175674133556998
5,0.00802612528336818,0.07051733086253975,0.013362638493569612,0.06626365291248894,0.008591536104515967,0.2675356076520738,0.055019975135071265,0.02750554480390253,0.0016514915655861677,0.09362930578700296,0.01878142897796962,0.03138170006736262,0.048309937900408446,0.08139117109933518,0.011316219028655912,0.015433736095804187,0.04865091195202498,0.043392411853647506,0.03855270359520181,0.050686570829470715
6,0.008390194393122977,0.03363596981444007,0.0030788833179568294,0.04079809683718624,0.00890348997009784,0.33068294608014404,0.041253673349900835,0.034698611776927055,0.031419250903664646,0.07312829623171507,0.02866129243589029,0.03882399357232959,0.07132704272271827,0.06195134633986249,0.014660974501350694,0.018891302543728807,0.03569338040656108,0.04845655753499209,0.03133876828297092,0.04420592898444025
7,0.002533524995164715,0.04416008311052184,0.011253510770092482,0.02052169657426142,0.00858347376157856,0.32989460623582056,0.03779946709158814,0.04092210748748532,0.03183792805810187,0.08663472709811075,0.014929737652456296,0.022899385779130615,0.029503194962575693,0.08412461522463689,0.01865782699957368,0.03480609306125616,0.0461428782080964,0.025326603632149138,0.08836308462696073,0.021105454670438794
8,0.014940848234353077,0.035650999935873416,0.013343904960398079,0.016245483173764175,0.019302539172700722,0.342532472421938,0.06086988819876455,0.04777816257485933,0.016428455432418377,0.0330491448068154,0.010251309080888461,0.03407977102634152,0.01867784595186611,0.09901966927256461,0.01777714583591734,0.03970896176056615,0.05143373434256063,0.03700648591084091,0.03908904081038003,0.05281413709618915
9,0.013256481648826519,0.06347636315965,0.00891273977688814,0.021627271967322063,0.011241157626813682,0.31113279593074106,0.05583593144210975,0.06284245452336429,0.02267110397112126,0.04768017330640867,0.01532808736464959,0.04690456927180473,0.023542474468710675,0.08041748010317212,0.0024250105811522878,0.02005968813017091,0.04565522917894284,0.05419950233475395,0.04776677056726466,0.04502471464613275
10,0.013476492961575054,0.05366998194346997,0.000798442847962623,0.023023378793670786,0.0122916310014748,0.31671267627767974,0.0473358867089672,0.05421363220423485,0.01582351748634962,0.038916409163810214,0.029993414704895326,0.05108049027190612,0.022550422347966916,0.06020484510193287,0.014510839588447339,0.03235475642532669,0.06616698378034572,0.0501320293848323,0.05575059551637612,0.040993573488775796
11,0.004849060426477148,0.05504852506321869,0.009359390055998727,0.026431001590101057,0.00967160417572627,0.3407207125870825,0.031343417486847505,0.03108751825148158,0.018030058252866528,0.02770087814402961,0.033975107754869525,0.031170314399834174,0.028444251765945196,0.07154260942215848,0.00998817705336583,0.0231877453359729,0.0688518849380437,0.07780623191975145,0.05175466044587215,0.0490368509303571
12,0.006334559070917382,0.07802307310488847,0.006497100062791478,0.01472002499510057,0.010806316943611087,0.32902587564693003,0.06095598428932179,0.02913997158750025,0.014410931803408985,0.02775067832633718,0.07234236603348469,0.03730174362419412,0.02288632953470068,0.07823600076135834,0.0153324971976967,0.017908315417637464,0.05008706649863407,0.05243401116277654,0.05239602160138698,0.023411132337323184
