sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
AdelheidLouiseTheresaCarolineAmelia,0.0008615853585008743,0.05954665087283314,0.014046582169786168,0.0027682109082837786,0.0018176367923140107,0.6568451026872157,0.019519656585609647,0.003494847028808203,0.0017018111916510266,0.006871024670093447,0.002935301729742393,0.0029268176969959397,0.0032665207431226144,0.044115474752504935,0.0018171130356559734,0.0026691799806039143,0.0073101840342506795,0.005078927251126906,0.004526927133667734,0.15788044537723303
AdersbachGerson,0.0011898045949938368,0.005685980626729169,0.001015129867212056,0.003822755373093728,0.0025100619296594896,0.136004712787509,0.008573161145761659,0.00482620208508608,0.2323932681756352,0.316212735087611,0.004053499112168713,0.004041783103944789,0.0045108953529251795,0.009891278182240469,0.0025093386489395447,0.003685998809582689,0.010094984168876421,0.007013734531822453,0.08293250285580342,0.1590321735604053
AretinJohannChristophANDBaboJosephMariusFranzvon,0.0006454082104484513,0.0030843540160986217,0.0005506560940567732,0.3348380756691643,0.0013615803678625974,0.07377560875296202,0.004650501953222736,0.0026179680798880463,0.001274816133871802,0.005147041662811254,0.002198816191370269,0.0021924608554325714,0.0024469302854446913,0.5461077056319764,0.0013611880250215325,0.001999466051331065,0.0054760131994394615,0.003804592680000099,0.003391092839895402,0.003075723299701861
AretinJohannChristophANDBaboJosephMariusFranzvonANDSchererJoseph,0.000124089499668903,0.0005930137554238923,0.00010587197078521662,0.16834356247890134,0.0002617844394785017,0.08616085141525713,0.0008941294071603031,0.0005033439982995279,0.00024510270191958146,0.0009895966837320856,0.0004227557019478175,0.0004215337923966688,0.00047045939287716814,0.6248268398657332,0.10422758212880356,0.00038442761944759284,0.009050221297769176,0.0007314905426708862,0.0006519889381962383,0.0005913543695311807
BassewitzAdelheidHenriettevon,0.00010340859052564285,0.017931881977264003,8.822721748643562e-05,0.0003322442581909829,0.0002181551217488008,0.710241842299385,0.1431530011433381,0.00041945606640832927,0.000204253583156983,0.028334714870376185,0.00035229871497385044,0.00035128045037635224,0.011666769216753397,0.0008596732098919385,0.0002180922597964108,0.0003203584380005842,0.07980039792279692,0.0006095794261582476,0.0043015667128074725,0.0004927985205642996
BayreutherPostamtANDOsmundEmanuel,0.00018462742269298595,0.0008823196287964352,0.00015752234599750037,0.0005931944414147388,0.0003894977938585076,0.30667926499776144,0.0013303366395906555,0.036445752790642924,0.000364677754936906,0.001472378289141957,0.0006290000031239523,0.559877815242641,0.000699976270517477,0.001534874890894063,0.00038938555907998257,0.0005719732997553191,0.0015664848808520544,0.0010883532770941126,0.08426271377122048,0.0008798506999874559
BergnerCaroline,0.0004998635143675204,0.002388807599719516,0.000426478755502437,0.0016060250089821259,0.0010545331415922224,0.7658779587035698,0.0036017766930726133,0.0020275954097416127,0.0009873349339742717,0.003986342740172457,0.0017029656131936288,0.0016980434561690127,0.0018951280013076238,0.00415554713317199,0.0010542292751892282,0.06597941940954588,0.004241128573020167,0.06737747559457323,0.002626374373698857,0.06681297206943586
BornträgerJohannFriedrichWilhelm,0.0008600549891524308,0.00411013373693335,0.00073379066664127,0.0027632939432004405,0.0018144082606240106,0.8188911953007231,0.061626347295188476,0.003488639394570207,0.001698788392274454,0.006858820185135851,0.002930087973785065,0.002921619010588643,0.003260718667713595,0.007149949819932043,0.0018138854342755796,0.00266443891671803,0.0072971995035049815,0.0050699059341889965,0.05994808991673245,0.004098632658117143
BrockhausFriedrichArnold,0.0006728844993898706,0.022221157726903536,0.02404683020795588,0.00722336627043373,0.019456392368242897,0.4597690474843316,0.03483773750924514,0.022571511103035513,0.002631583225974667,0.028436626140396753,0.013494388616167413,0.03568161599243769,0.0099389715619426,0.07712433742650941,0.0014191364596302352,0.010024582544596906,0.20205610201546295,0.003966561626300701,0.020610324739254823,0.003816842481787661
CarlAugust,0.0015452873798152652,0.007384804312681436,0.0013184243692422972,0.4033303485983088,0.003260003397850093,0.07704803380698791,0.01113459956316331,0.006268146219892746,0.003052265607046107,0.012323454204896377,0.005264579619613202,0.005249363171696949,0.005858634005845905,0.012846535817368773,0.003259064019591429,0.004787279748647907,0.013111103874733677,0.009109256682149479,0.3068933123894545,0.10695550321101394
CarolineFriederikeWilhelmine,0.0005738050009907223,0.002742168027322552,0.0004895649226033984,0.2976902977536911,0.0012105232187664381,0.25049494733077216,0.004134563574922883,0.002327524119394234,0.07509506086249214,0.004576015920802403,0.0019548739951587664,0.001949223736167649,0.0021754616878645393,0.15269360166573484,0.0012101744034265314,0.0017776402608323692,0.004868490528105132,0.003382501603132481,0.1879190665635188,0.002734494824300928
CottaJohannHeinrich,0.0003248325671964893,0.007799144826360235,0.00027714403036578595,0.0010436633434018979,0.0006852804770330287,0.18367577440069097,0.23735109361909512,0.001317617716139079,0.013135204363163056,0.20501943111162496,0.001106659470197519,0.001103460843259377,0.0012315347612630377,0.1088959844129135,0.0006850830117231346,0.040681667873237605,0.0027560656911070607,0.06438280402519553,0.06417469044309031,0.0643528630129424
CottavonCottendorfJohannFriedrichFreiherr,0.0002544465963929421,0.0012159798539313417,0.00021709139525576037,0.020038176693758434,0.0005367912659142706,0.07111162572758079,0.0018334201120466928,0.0010321112384517515,0.0005025852182219752,0.0020291765914861952,0.5735983546186717,0.0008643587009870134,0.0009646810695352012,0.28188571994007827,0.010528437047921273,0.0007882721712060708,0.008565756883632852,0.0014999277084109031,0.02132050989776473,0.0012125772687518585
