sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
AdelheidLouiseTheresaCarolineAmelia,0.01270240051234517,0.0003251112070276419,0.00021596251839749864,0.0017017904604826617,0.21856869313328586,0.0007285871951563848,0.00029482861978549774,0.00600746226547431,0.00035551845836155285,0.0003932895686133466,0.0009507866571886904,0.07099473892084127,0.0012039996558515125,0.0007523953039647308,0.0003017868292471299,0.0002818220552099745,0.00023937444223850668,0.0025334210265396317,0.0010694583939154258,0.09747467245175616,0.002716122528149648,0.45107972230233145,0.00023177917354712523,0.0003020316975581472,0.00043569183187432565,0.00022897826904794063,0.000571206494762455,0.0009611725098277833,0.00046722826287728204,0.07047856548485934,0.003846477479632134,0.0027324746834465606,0.001872578929904968,0.00027256873275988277,0.0006337059248602738,0.000383309577193563,0.04379293118513949,0.0003245129653596046,0.0001938179668766164,0.0013790243243084676
AdersbachGerson,0.004660951845580281,0.0005248380397615269,0.13100479300530216,0.0027472580152816646,0.02547749177883846,0.0011761830014943597,0.0004759518328774834,0.0005714913667541978,0.0005739254961138668,0.000634900679483914,0.04508693958779728,0.003453445455217593,0.0019436574488708234,0.0012146172384179088,0.0004871847062302087,0.0004549548948812214,0.00038643027468070337,0.004089787422636113,0.001726462930025541,0.07057997527039861,0.09148883357705627,0.2733211399126348,0.00037416897502299016,0.0004875800054434502,0.0007033520901098553,0.00036964737996525264,0.0009221180031012912,0.0015516533574549767,0.0007542624194706607,0.08939686114049357,0.00620949895530776,0.004411126487055118,0.0030229676296163487,0.0004400169428481665,0.0010230129512596392,0.0006187896411057424,0.2245707653480114,0.000523872277961966,0.00031288691256170417,0.0022262057028750275
AretinJohannChristophANDBaboJosephMariusFranzvon,0.0028954890011513696,0.000326041294109562,0.00021658034990929684,0.001706658989432804,0.015827195745972567,0.0007306715574411023,0.0002956720736090367,0.00035502339897779605,0.0003565355353443162,0.00039441470222705824,0.000953506693805078,0.0021453586441019788,0.0012074440911780634,0.0007545477771418717,0.0003026501893076538,0.0002826282994958834,0.0002400592512258786,0.0025406687070837503,0.0010725179298998226,0.04384588145675895,0.0027238928861740308,0.061571200123038926,0.000232442253780948,0.00030289575814466935,0.00043693827104887534,0.00022963333637714467,0.0005728406180113721,0.0009639222585770213,0.0004685649223409258,0.0014243121607213644,0.0038574815881875116,0.002740291822166516,0.0018779360552052726,0.0002733485048864517,0.0006355188481976063,0.00038440615977336214,0.8429520454825525,0.00032544134097530847,0.0001943724466464283,0.0013829694750198784
AretinJohannChristophANDBaboJosephMariusFranzvonANDSchererJoseph,0.00047785213690616123,5.3807674298866914e-05,3.574297224920842e-05,0.00028165558382238205,0.0026120145182515642,0.00012058514639874144,4.879574128631538e-05,5.859068702584226e-05,5.884023989713545e-05,0.2545736545128066,0.00015736036676634082,0.00481911814824925,0.07164026862216588,0.00012452551799079964,4.994736282479703e-05,4.66430840561159e-05,3.961777307279164e-05,0.0004192949689561317,0.0001770011851086324,0.2751397814639545,0.0004495330618918507,0.005696236512424035,3.836071476436032e-05,4.9987889863055076e-05,7.210936958619564e-05,3.7897149824805516e-05,9.453778388193921e-05,0.00015907928190688476,7.732882056566155e-05,0.00023505895182178072,0.0006366129587294576,0.0004522394325960325,0.0003099220050900319,4.51116088260584e-05,0.00010488177973897007,6.343982132708832e-05,0.3802285425290707,5.370866204665924e-05,3.207792844274008e-05,0.0002282360315136604
BassewitzAdelheidHenriettevon,0.0003844314353199592,4.3288205418247194e-05,2.875517563514216e-05,0.00022659155833383343,0.4731209019393517,9.701059664286682e-05,3.925611169524468e-05,4.713613306316604e-05,4.73368980301715e-05,5.236608048870142e-05,0.00012659621457408954,0.02686635183439131,0.00016031125134842824,0.03498841843174423,4.018258975569712e-05,3.752430169620309e-05,3.187244796091514e-05,0.01578366179684572,0.0001423972279065223,0.1039761864278524,0.02160036562728749,0.2054281868056263,3.086114615337287e-05,4.021519370634111e-05,5.8011895959109974e-05,3.0488208750119075e-05,7.605552668447929e-05,0.00012797907961462464,6.221093762210098e-05,0.09093484931795286,0.02044829020630359,0.0003638260473350518,0.0035720211735801085,3.629223182484122e-05,8.437725817239977e-05,5.103725543034162e-05,0.000561724630630406,4.3208550187495474e-05,2.5806652562391232e-05,0.00018361559656216033
BayreutherPostamtANDOsmundEmanuel,0.008024151848221538,8.734946488102329e-05,5.80238700131176e-05,0.014954077024475284,0.018737098843490927,0.00019575363826404454,7.921327106907241e-05,9.511403764251912e-05,9.551915289886541e-05,0.00010566733049821772,0.00025545322316246035,0.4717223007395142,0.0003234853901748888,0.00020215029737417296,8.108277251923916e-05,7.571872387705317e-05,6.431408386961333e-05,0.007929092224254647,0.00028733742916800943,0.026243562741540414,0.0007297559858186987,0.3354261335190202,6.227342011678444e-05,8.11485626718741e-05,0.0001170597861427132,6.152088527978688e-05,0.0001534692762831252,0.0002582436488714111,0.00012553285724213964,0.0003815863429272794,0.0010334548371757836,0.0007341494117725304,0.02224838741065833,7.323258145281384e-05,0.0001702613512913215,0.08708407014753153,0.0011334807119394602,8.718873191198682e-05,5.207416823856496e-05,0.00037051025674429553
BergnerCaroline,0.0012166780730522141,0.00013700183053533697,9.100658392549075e-05,0.0007171343319883639,0.4159227023874522,0.0003070265720878232,0.0001242407512620314,0.00014918004688844991,0.00014981544324460194,0.00016573218537465037,0.00040066140344509696,0.0009014749564146072,0.0005073653360757518,0.0003170593067885085,0.0001271729400420105,0.00011875978623435938,0.00010087236632006474,0.012436254196703064,0.00045066966158240567,0.04116128404744365,0.0011445737651336358,0.4806189151397031,9.767172084358161e-05,0.00012727612752409142,0.00018360049492542352,9.649141996422642e-05,0.0002407063604838332,0.0004050380007215637,0.000196889943835713,0.0005984928191549747,0.0016209052300610073,0.03525747704067693,0.0007891045761368378,0.00011486043706769556,0.0002670436141549701,0.00016152661797592008,0.0017777891670397578,0.00013674973155550492,8.167487210145945e-05,0.0005811207140790842
BornträgerJohannFriedrichWilhelm,0.07974687081370446,0.00030930450399491903,0.00020546255616698107,0.0016190504753597155,0.015014732852193544,0.0006931637425705063,0.0002804942371565388,0.00033679886048580427,0.000338233373835092,0.0003741680763898863,0.0009045600060834916,0.002035230209466016,0.0011454619475222904,0.0007158143160568778,0.00028711414283712,0.0002681200435952321,0.0002277362069507085,0.0024102476847484237,0.0010174619973807575,0.6575952612918735,0.00258406635390863,0.2124105783823969,0.00022051021546067623,0.0002873471058043942,0.0004145087681984095,0.00021784548918200392,0.0005434347931480439,0.0009144409050794645,0.00044451191770014317,0.0013511974537121461,0.003659464156411222,0.0025996234776682232,0.0017815353164874054,0.00025931661188059626,0.0006028955401432324,0.0003646733058952252,0.0040136558348900465,0.000308735348461669,0.0001843946588558495,0.0013119770263437685
BrockhausFriedrichArnold,0.00632281441477346,0.0006511760618704067,0.00017942331335666668,0.0019477530154375273,0.1579910120807971,0.004281237184945305,0.0009111280845674002,0.0013081267303922488,0.1443026264228904,0.0003267479840151654,0.0007899208325312804,0.013029816821921397,0.001000292130023924,0.0006250957776982103,0.0002507268077475329,0.0009051990549476839,0.00019887411888893017,0.008937924369777004,0.004370987576752712,0.29452154464264474,0.025916889004212983,0.18017509072426316,0.00019256391152260596,0.0002509302462146557,0.0011831321028996178,0.00019023689862532946,0.0009509388462395355,0.0007985494784017191,0.002401354220037025,0.0029951882148503495,0.051687016744844924,0.005768168951154923,0.00669797746102882,0.00022645218953777697,0.016160647967497083,0.0003184565307523691,0.05395769626286715,0.000940666989874984,0.0001610254504489886,0.00617459037874687
CarlAugust,0.00670509699975989,0.000755015302100113,0.0005015360976354322,0.003952117954897701,0.03665110890379282,0.0016920194363232186,0.0006846891605806159,0.0008221292936647329,0.0008256309547003475,0.0009133479130855748,0.3781236200898661,0.004968016733013698,0.25340647063205785,0.0017473097064701884,0.0007008484147225482,0.0006544836337639461,0.0005559062957998426,0.005883438037055946,0.002483634629971106,0.03888150964038593,0.006307731098785135,0.20523330383087227,0.0005382675803031255,0.0007014170795911258,0.0010118199340854372,0.0005317629575436103,0.0013265296147356544,0.0022321591418294185,0.0010850579137864328,0.003298286124304669,0.008932787592458533,0.0063457061891683975,0.00434874503218309,0.0006329943713390682,0.0014716738763801867,0.0008901710859756935,0.009797372923981636,0.0007536259879086656,0.0004501091554230439,0.0032025486796972745
