idno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
ub0019,0.002976006410415767,0.00033510781113120296,0.00022260299018364747,0.0017541175569743422,0.016267316498246004,0.0007509899840712656,0.00030389408700620907,0.00036489584687953764,0.0003664500325519395,0.0004053825387432679,0.00098002169305768,0.00220501651878131,0.0012410205509797078,0.0007755301508126112,0.000311066249305375,0.0002904875931941712,0.0002467347899590504,0.002611319316363277,0.001102342379265995,0.2397202990100873,0.0027996385713488807,0.06328336463730078,0.00023890597996694882,0.0003113186468910215,0.00044908859784318576,0.0002360189525264291,0.0005887701008950409,0.0009907268925998225,0.0004815947192436468,0.001463919261670274,0.00396474997140101,0.002816493526977526,0.001930157474754511,0.0002809497471743697,0.0006531912797541474,0.00039509567994695614,0.6439297183213544,0.00033449117457248106,0.00019977753222269167,0.0014214269235462125
ub0020,0.07720363434568445,0.00010215934990750413,6.786167319664262e-05,0.0005347518121912027,0.0049591755936413216,0.000228943181899539,9.264368462343508e-05,0.00011124038671413321,0.00011171418825696254,0.00012358296418716244,0.00029876468328225665,0.0006722106934290782,0.0003783315354004126,0.00023642437868947607,9.483015540560085e-05,8.855664562618371e-05,7.521837720432093e-05,0.0007960742032841874,0.00033605477730035366,0.1154668530129043,0.0178082361680085,0.14645290009867956,7.283172397578925e-05,9.490710011536701e-05,0.00013690698241757725,7.195159872447679e-05,0.017134241476836908,0.00030202821874615295,0.0001468166416973048,0.00044628336052350304,0.0012086745404616696,0.0008586226228611053,0.0005884184918710483,8.564898392288997e-05,0.00019912874092573168,0.00012044696206392319,0.6116967267146163,0.00010197136506240132,6.0903214249473166e-05,0.0004333293514117775
ub0021,0.08370249466944707,0.00016516792752109232,0.00010971655487384612,0.0008645694068897115,0.008017834449382623,0.0003701479199766685,0.027561676882312758,0.0001798498536536656,0.0001806158806395096,0.00019980493307943057,0.0004830330615739472,0.0010868084731522126,0.0006116741705437268,0.0003822432765964016,0.068683052258694,0.00014317551589296246,0.00012161063559611472,0.00128706698337942,0.0005433224775854261,0.09074143994132844,0.0013798857719158368,0.3327219321087589,0.00011775197197085664,0.00015344272499076013,0.00022134677412837417,0.00011632901397582358,0.00029019298900539244,0.0004883094399911102,0.00023736839023257505,0.0007215364801318198,0.0019541458425128295,0.0013881932419215215,0.000951335956086471,0.00013847450264356038,0.0003219448976365472,0.00019473474643605287,0.3722038466741253,0.00016486399971322045,9.846634386442625e-05,0.0007005928578396824
ub0022,0.0011269913196887036,0.00012690281613069018,8.429808376611392e-05,0.0006642711700837558,0.0061603108192199215,0.00028439427759943323,0.010645717937017822,0.00013818332197955354,0.010669407404681,0.00015351532870293985,0.0003711268689869288,0.011365658751250372,0.00046996518005283026,0.0002936874547930084,0.00011779845688111377,0.0001100054740679667,9.343661545077704e-05,0.0009888870508399565,0.00041744879594671566,0.027596467163113626,0.001060202141075051,0.1503325621113225,9.047190379097988e-05,0.00011789403795484346,0.00017006648566651893,8.93786081402107e-05,0.2740194864540013,0.0003751808478081116,0.00018237631017726282,0.0005543752509582141,0.001501421094681289,0.0010665849864280512,0.05338411378855108,0.00010639356327529404,0.042369900738316285,0.0001496197723863501,0.4018108903397608,0.00012666930048816667,7.565425393433523e-05,0.0005382837210302244
ub0023,0.0026781155520793983,0.00030156435062529983,0.00020032098313488408,0.001578534741412806,0.014638998475296962,0.0006758177498401738,0.0002734750428452862,0.0003283706778980852,0.00032976929344054865,0.0003648047523520291,0.0008819239529750477,0.0019842998358041825,0.0011167974727462268,0.0006979015067738279,0.00027992928949213745,0.00026141050580288824,0.0002220372496227456,0.00234993273136828,0.000992000641966368,0.015529853730672574,0.0025194016961419463,0.1320219961221296,0.00021499208408790632,0.00028015642270564847,0.0004041359433689324,0.00021239404093158942,0.1006273547167318,0.0008915575886021696,0.00043338828266352203,0.0013173845754989575,0.0035678883356410453,0.0025345695125285964,0.0017369535001707831,0.0002528273745066756,0.0005878084531907427,0.00035554758259996583,0.7045958498826078,0.0003010094378562567,0.00017978029688682262,0.0012791456149994175
ub0024,0.00016801696155378917,1.8919245611214855e-05,1.2567539475904295e-05,9.903254949299998e-05,0.29292999188639113,4.239878477390597e-05,1.7157006434610723e-05,0.00630042002444947,2.068873938415419e-05,2.288675931215133e-05,5.532927165346646e-05,0.00012448903818382267,7.006453395787185e-05,4.378425364839276e-05,1.756192656954691e-05,1.6400113456321217e-05,1.3929953098703305e-05,0.00014742775272475977,6.223515396607356e-05,0.14384017951822167,0.20739208771955814,0.2327861955837563,1.348796047971863e-05,1.7576176228181854e-05,0.017294856613188445,1.3324967020840034e-05,3.3240305887742504e-05,5.59336571459179e-05,2.7189484923308082e-05,8.264876898284074e-05,0.08343144079316347,0.0001590113122681639,0.00010897126870881999,1.5861633464340593e-05,3.6877344670232255e-05,2.2305992162981202e-05,0.0002455035072506342,1.888443204340236e-05,1.1278878242094073e-05,0.014209842588494516
ub0025,0.004178049335561833,4.5481488961195094e-05,3.021211414496888e-05,0.0002380722730241917,0.002207832080206475,0.00010192583263041986,4.124510114189453e-05,4.952437955956771e-05,4.973531668533742e-05,5.501931273602716e-05,0.0001330104650920334,0.34752014110121565,0.01149085347875094,0.00010525647216097796,4.221852106707109e-05,3.94255455240704e-05,3.3487329310481824e-05,0.00035441337598314515,0.00014961206838122416,0.08537326762306921,0.0003799724343885456,0.5256461102819334,3.2424787873345185e-05,4.2252776962111735e-05,6.0951184743964247e-05,3.203295485034455e-05,7.990903212356104e-05,0.00013446339575682383,6.536297925467918e-05,0.00019868599157681004,0.0005381036373024822,0.00038226002200334304,0.00026196475571572074,3.81310503674256e-05,8.86524007882815e-05,5.362316009723759e-05,0.0194608850948068,4.539779783879509e-05,2.7114198251032973e-05,0.0001929188481586932
ub0026,0.007008185843363479,7.628984281251376e-05,5.0677264350776345e-05,0.006730013549352368,0.048018105759123735,0.006501643925262314,6.918380103136107e-05,8.307131578762218e-05,8.342513798069121e-05,9.228841922623272e-05,0.000223109394746252,0.000501988786978648,0.0002825277705158375,0.00017655533931644046,7.081659834689416e-05,6.613171071411429e-05,5.617105217217615e-05,0.2918055524243778,0.00025095662961687555,0.003928747206218826,0.11458951517037536,0.5081996160858621,5.4388764013358426e-05,7.087405857758896e-05,0.00010223843611014743,5.37315102510866e-05,0.00013403799302190647,0.0002255465148706375,0.00010963870196403624,0.0003332723578899512,0.0009026054960881736,0.0006411961802091539,0.0004394150343895373,6.396034750069241e-05,0.00014870396452632434,8.994653755550709e-05,0.0009899667440740542,7.614946080835055e-05,4.548087518250605e-05,0.006654273995434629
ub0027,0.0027609173287692266,3.0054846395035212e-05,1.9964615729072445e-05,0.0001573217095588894,0.153593453716981,0.03747747345714355,2.7255378125922266e-05,3.2726448813981786e-05,3.2865839213434806e-05,3.6357582629991586e-05,8.789529957306424e-05,0.0001977615279893928,0.012581343311314086,6.955504701221567e-05,2.7898628533885145e-05,2.6052988629668382e-05,2.2128926769860208e-05,0.2172128938551944,9.886588668804749e-05,0.2060564062230731,0.00025109145304453244,0.31742669574683513,2.1426783537286e-05,2.792126534035491e-05,4.027745214406288e-05,2.116785443035121e-05,5.280508050426093e-05,8.885541783106963e-05,4.319283177156645e-05,0.00013129466721683547,0.0003555869109196132,0.015216650863634197,0.00516112613140365,2.519756691897481e-05,0.0050465987418067465,3.543498413857797e-05,0.002884011360976308,0.022476071149904474,1.7917466691880163e-05,0.00012748365281232624
ub0028,0.0006818269266612862,7.677588602097734e-05,5.100012961374117e-05,0.00040188239470469736,0.1311471351346266,0.012914074077196656,6.962457158989565e-05,8.360056381551409e-05,8.395664021265021e-05,9.287638949502703e-05,0.00022453082651309057,0.032360227589901334,0.00028432775723751744,0.006548688300474226,7.126777147039358e-05,6.655303638043748e-05,5.652891840199175e-05,0.1789865017081704,0.000252555476343352,0.035808817914875155,0.0070124277664825214,0.3266781243253657,5.473527527083195e-05,7.132559778068503e-05,0.00010288979801735956,5.407383413950006e-05,0.0001348919501645957,0.00022698347354959176,0.00011033721102513553,0.00033539563879012463,0.0009083560030380132,0.0006452812462834063,0.00044221455114416857,6.436783939433914e-05,0.00014965135869263893,9.051958767714788e-05,0.00099627383024468,7.66346096419249e-05,4.5770634207855764e-05,0.2615369934553848
