receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
AbekenBernhardRudolf,0.034191290025415676,0.00017509187633418233,0.00011630876372975482,0.00091651619019146,0.08143980829783447,0.00039238788548480945,0.00015878288757628395,0.0001906559512325844,0.0001914680041794672,0.00021181001153650533,0.011464076026108579,0.0011521082672409757,0.09892365342558423,0.0004052099794425463,0.00016253030053599727,0.00015177807277149487,0.00012891748833015456,0.0013643991086520124,0.0005759674622230792,0.13284676092204317,0.001462794820748306,0.2006299731221366,0.00012482698078169233,0.000162662176802038,0.00023464617243990212,0.0001233185257866192,0.0003076289428980714,0.0005176490215923965,0.00025163043123452945,0.0007648892738798122,0.0020715587301446217,0.1693293419757668,0.0010084960202342065,0.04731259345703072,0.000341288633025929,0.032842779225493196,0.17633256198601555,0.0001747696873296395,0.0001043825951063503,0.0007426872751055864
AbekenBernhardRudolfANDTruchsessvonWetzhausenChristianFreiherrANDVoßHeinrichANDVoßAbrahamSophus,0.20328406166824026,0.0003446929923295897,0.000228970164941557,0.0018042910655240649,0.07393916696267364,0.0007724707578294107,0.00031258645343968587,0.00037533306348476236,0.0003769317039588462,0.0004169778073686085,0.001008053523991724,0.0022680872147660108,0.0012765178042723347,0.0007977128537321812,0.00031996376307633014,0.0002987964899854764,0.00025379221324536524,0.002686011603390836,0.0011338729825433633,0.04635415315085842,0.17449937317045816,0.4083327877086712,0.0002457394736406154,0.0003202233800597707,0.00046193400293811785,0.00024276986775750826,0.0006056108545683768,0.0010190649273105852,0.0004953699058994097,0.0015057921482960776,0.004078154808948344,0.060103606390058864,0.0019853663016526067,0.0002889858303238994,0.0006718746901841066,0.00040639671071137664,0.004472870656717285,0.00034405871794521104,0.00020549182410761378,0.0014620843900984358
AbekenMinonaLaura,0.00043688686639264046,4.919485421684777e-05,3.267880152764142e-05,0.00025750983602342795,0.2881478305006015,0.00011024763242607295,0.09801938008944004,5.356782920390895e-05,5.379598842622498e-05,5.9511399714053916e-05,0.00014387018958637374,0.012570549124414913,0.0001821856222314541,0.00011385020415134065,4.5665479222052805e-05,4.26444694044901e-05,3.622142373013108e-05,0.0003833496827438419,0.0001618272413942972,0.28421087569374426,0.033069251362031864,0.19707516302732692,3.5072130417770644e-05,4.5702531961553716e-05,6.592758320603336e-05,3.46483059369954e-05,0.00416871523556163,0.0001454417457045681,7.069958150130656e-05,0.00021490783643628056,0.004664319432336169,0.0004134698859887401,0.00028335303574565266,0.02453493616077172,9.589048275165508e-05,5.800125730010785e-05,0.008802935567117013,4.910433007923157e-05,2.932795430915519e-05,0.041031489624919995
AhlefeldtJohannGeorgJacobvon,0.003348460786821375,0.0003770473615255462,0.00025046229102543933,0.0019736495978121627,0.23731992902943136,0.0008449781909599206,0.00034192716458060723,0.0004105634417566358,0.0004123121375125533,0.00045611714070679406,0.0011026737704437537,0.002480979651653736,0.0013963372646144461,0.1573131029447607,0.00034999694028116444,0.00032684281574948336,0.0002776142437163184,0.002938132223811323,0.001240303185404726,0.3635861803111543,0.0031500200875322283,0.07120343027638709,0.0002688056392810997,0.0003502809260330996,0.0005052931184635511,0.000265557293396755,0.0006624560983470736,0.0011147187515152003,0.0005418674593185134,0.001647132286281127,0.09832525598360954,0.034457087146696125,0.002171721335675052,0.00031611128530779193,0.0007349397430380095,0.00044454285673399617,0.004892713565663968,0.0003763535514149986,0.00022478017197623268,0.001599321929606224
ArnimLudwigAchimvon,0.0006371731389580192,7.174772714215671e-05,4.766006064380092e-05,0.03609813455440432,0.00943665003274218,0.00016078952108502693,6.506476217619298e-05,7.812544735631057e-05,7.845820381810512e-05,8.679378639299802e-05,0.000209825992385976,0.00047210156934100403,0.035988278732603886,0.00016604365461727008,6.660034662563559e-05,6.219438605242516e-05,5.282676141359256e-05,0.0005590923862951107,0.11335749324739905,0.22398403290562952,0.006553174180968792,0.18620828252116287,5.115058644988462e-05,6.665438581095082e-05,9.615140295279865e-05,5.053246401234695e-05,0.00012605768992934136,0.0002121180121785294,0.00010311107459046444,0.0003134301148932138,0.0008488665130625062,0.2566147868364246,0.1075809692884305,6.01523006368611e-05,0.006093612483249772,8.459133478324219e-05,0.01283855047797249,7.16157031484106e-05,4.2773052119143696e-05,0.00030433236014059843
BarthKarl,0.0009732562215725498,0.00010959175388181964,7.279881668891321e-05,0.009667787497406613,0.0235082324512476,0.00024559949594796644,9.938379495512653e-05,0.0001193334637850728,0.00011984173583376533,0.00013257400137577018,0.00032050072429487715,0.0007211160695296819,0.0004058563073362643,0.0002536249725987729,0.00010172933814863602,9.499941141805718e-05,8.069074332823549e-05,0.0008539910271255345,0.000360503786271694,0.03292610976919469,0.0009155778859156144,0.30261388859184,7.813045380545259e-05,0.00010181188082047994,0.00014686738252929726,7.718629676046023e-05,0.00019254802737200463,0.00032400169190741334,0.0001574979997152903,0.0004787518347789576,0.010390740157528779,0.13733305295801412,0.0006312277300024853,9.188020846651652e-05,0.0002136159635519217,0.0001292098455430043,0.4743169101262536,0.00010939009256646604,6.533410865166165e-05,0.00046485538203488243
BentzelSternauChristianErnstGrafvon,0.0016732103330404425,0.00018840881871251064,0.00012515484578171446,0.0009862235549711355,0.1498567081402544,0.0004222316850394045,0.00017085941910240795,0.0002051566486367508,0.0002060304637997238,0.00022791962083329044,0.0005510009715331261,0.2982956114202575,0.06323582270861289,0.0004360289874989842,0.00017489184861170157,0.00016332183991654505,0.00013872255067567883,0.001468171052224555,0.0006197737521938226,0.009702610371905885,0.001574050435497917,0.11375262335122735,0.00013432093187259146,0.0001750337549754984,0.0002524926289580418,0.00013269774849222567,0.00033102624146068836,0.00055701979273878,0.00027076865753914955,0.0008230643680036412,0.0022291150304152656,0.0015835268552469074,0.0010851990841993194,0.00015795934390194438,0.0003672459827073629,0.00022213600478586656,0.3464043032650105,0.00018806212501649807,0.00011232160994492893,0.0007991737544030157
BergnerCaroline,0.002491100795122496,0.0002805058926751686,0.00018633242317702474,0.07129903187265585,0.13000129216460513,0.0006286249048057657,0.00025437808168848343,0.0003054403146166344,0.00030674126381847013,0.0003393301711507565,0.0008203385618622412,0.001845734734968855,0.001038810692910102,0.0006491665369298924,0.0002603816235974216,0.0002431560200430226,0.00020653222698048665,0.0021858352194888213,0.0009227285155958732,0.03772230186899228,0.0023434700431873303,0.4952333500274804,0.0001999790304793196,0.0002605928959334255,0.0003759148364909986,0.00019756241056632207,0.0004928368639767423,0.0008292994737063963,0.0004031244636556538,0.001225390652378494,0.003318740098022546,0.2351266698812551,0.001615660773862665,0.0002351722550482543,0.0005467613613558418,0.0003307194362957784,0.003639953826457136,0.00027998972986840933,0.00016722610799014723,0.0011898219463041429
BertuchFriedrichJohannJustin,0.07557211284493973,0.0003145315041646207,0.00020893470998977121,0.001646411140982612,0.03680091434070753,0.0007048776586410802,0.00028523436672555936,0.00034249049341767893,0.0003439492489018962,0.00038049121935588393,0.0009198463509127326,0.002069623981664158,0.10882704155604146,0.0007279110088084505,0.00029196614354823157,0.00027265105913258013,0.00023158476776053796,0.013217201175322053,0.0010346562960873217,0.19427643040325268,0.008692638298234674,0.051491927408031456,0.00022423666276017253,0.000292203043404409,0.00042151363677850475,0.0002215269047262851,0.23342607850649363,0.028737773738502174,0.0004520238156493928,0.0013740316162562834,0.0037213061907803457,0.06253956943123341,0.007876545124424834,0.0002636988564221391,0.0006130839953708124,0.00037083599478976307,0.15897653459861114,0.0003139527303554308,0.00018751078196651533,0.0013341483948520535
BodeAugustTheodorHeinrich,0.004957840791774676,0.0007848128624393479,0.00011215739586406465,0.0037845731418304947,0.029318384628528583,0.00037838252246270187,0.007808840485997942,0.00643978284568673,0.009794757609559916,0.015071232964566238,0.00049377899592885,0.0016003538815741525,0.004159029172477761,0.00039074696192287493,0.0011774214410241867,0.001771176390142785,0.0006136834918741599,0.023994423055649965,0.2600021853086657,0.12213967715133059,0.010625736660659175,0.3256212719499421,0.0010991063955650786,0.00015685633283908274,0.00022627102899553072,0.00011891696094508796,0.0057911441740819275,0.000499172756820657,0.0002426490746044826,0.002872750167143346,0.00948513879352475,0.0014190760833589185,0.01478316724081854,0.00014155511561524144,0.0058838518680756876,0.00019906696915182685,0.1195763745126207,0.00016853169424458907,0.0017625395291587258,0.004533581592532874
BoieHeinrich,0.0004955535577987094,5.580091073426331e-05,3.706702491501905e-05,0.00029208915448349944,0.07679621380419649,0.0001250520688313031,5.060331707715584e-05,0.01858262124174066,6.101990128482164e-05,6.750279792429416e-05,0.00016318958017526555,0.0003671711784835656,0.0002066501426834596,0.0001291384064463986,5.179759896177211e-05,4.8370917414672055e-05,0.08801992101682242,0.014326222317769437,0.00018355796749820868,0.026025940637422047,0.03287944067985542,0.3763444490582905,3.978173835165521e-05,5.183962727229898e-05,0.06027082601640753,0.0926486016897116,9.803981510351684e-05,0.00016497217032745295,8.019336776392158e-05,0.00024376640988129259,0.0006601954710963188,0.0004689920636346199,0.20869232921821004,4.678271064458362e-05,0.00010876699104960532,6.578986832264956e-05,0.0007240943732407907,5.569823069988102e-05,3.3266214250986855e-05,0.000236690743221817
BoieSaraHenriette,0.0005754983005392192,6.480294367930543e-05,4.304683017391083e-05,0.0003392101809497474,0.05154300039637253,0.0001452259840712535,5.876685278764488e-05,7.056333582415068e-05,7.086388329947172e-05,7.839262754895467e-05,0.00018951599595763919,0.000426404746568494,0.005617458537283359,0.027037325255106992,6.0153801149017784e-05,5.6174313209096226e-05,4.771342286372864e-05,0.0058824460749274925,0.00021317029548713576,0.01409214044137011,0.000541392395626673,0.21120411581469245,4.619949237287682e-05,6.0202609639850135e-05,8.684447854202943e-05,4.564120077114701e-05,0.00011385600222079592,0.0001915861609014625,9.313049242883196e-05,0.005660562553708137,0.0007667009259853809,0.0005446517966434182,0.20471714085794096,5.4329890375869314e-05,0.005503784472128957,7.640336108284606e-05,0.0008409082624311478,0.0161970959240335,0.4463687044196872,0.0002748746696171436
BornträgerJohannFriedrichWilhelm,0.0024601237755361486,0.0002770177814961678,0.0001840153659412727,0.0023843578694228854,0.16706743093592413,0.0006208079083892575,0.0002512148717396005,0.0003016421420870984,0.17617011118039427,0.0003351105757901206,0.0008101375921752669,0.013148759537375482,0.0010258930063822066,0.0006410941038237527,0.00025714375916821233,0.0014144858422533819,0.00020396398371513464,0.012616114304164525,0.0034565407481134056,0.298306825911576,0.03535394259382966,0.1584301095336056,0.0001974922766891295,0.00025735240431735035,0.0018082632976586703,0.00019510570762053142,0.0004867084017249645,0.0008189870744288362,0.003921172036646631,0.004386813054451006,0.05655056645348646,0.0035026155025579928,0.003863790483539792,0.00023224787095064612,0.02556810501760469,0.00032660691604939634,0.010575744368829956,0.0014508615222178598,0.0001651466391735092,0.009975577649149019
BreitenbauchGeorgAugustvon,0.0034566116056114924,0.000389225488571899,0.0002585518890751043,0.002037395848282903,0.11579037965488985,0.0008722698598878574,0.0003529709560926709,0.00042382409350624745,0.0004256292698034817,0.0004708491161940967,0.0011382886629941556,0.002561111986421999,0.0014414370964743735,0.0009007730999564582,0.0003613013747886315,0.00033739940290681116,0.00028658081363521545,0.003033029977122171,0.0012803633245520767,0.11694019584271652,0.0032517615363234875,0.07350320613619833,0.000277487703021571,0.00036159453290170564,0.0005216134124642824,0.00027413443989629933,0.0006838525470469415,0.0011507226808942,0.0005593690557629649,0.00170033246294679,0.0046050306600575975,0.00327133845491954,0.0022418650391825327,0.0003263212583405918,0.0007586773168163222,0.0004589009982813903,0.6510240749648195,0.0003885092693198629,0.00023204027182350908,0.0016509778954985706
BrentanoClemens,0.016052838113913524,0.0001747482906100319,0.00011608052909290131,0.0009147176951070764,0.09548855964072776,0.0003916178961591777,0.00015847130525417513,0.00019028182386334648,0.00019109228330511848,0.00021139437320010879,0.0005110508019627377,0.0011498474658743596,0.0006471535807045553,0.0004044148291069932,0.00016221136460261643,0.00015148023611490536,0.00012866451138164651,0.0013617217254084765,0.0005748372316165072,0.22651327669275506,0.0014599243539494293,0.1200059649969462,0.00012458203070471937,0.00016234298208564956,0.00023418572232214213,0.0001230765357761707,0.0003070252774663667,0.0005166332302395176,0.00025113665262101463,0.05876716200980284,0.002067493675721089,0.0014687136885652686,0.001006517031587391,0.00014650654635686675,0.014841562339361937,0.0002060300965980977,0.4372959046317446,0.00017442673384237382,0.00010417776339011542,0.015242173310157241
BrockhausFriedrichArnold,0.07974687081370446,0.00030930450399491903,0.00020546255616698107,0.0016190504753597155,0.015014732852193544,0.0006931637425705063,0.0002804942371565388,0.00033679886048580427,0.000338233373835092,0.0003741680763898863,0.0009045600060834916,0.002035230209466016,0.0011454619475222904,0.0007158143160568778,0.00028711414283712,0.0002681200435952321,0.0002277362069507085,0.0024102476847484237,0.0010174619973807575,0.6575952612918735,0.00258406635390863,0.2124105783823969,0.00022051021546067623,0.0002873471058043942,0.0004145087681984095,0.00021784548918200392,0.0005434347931480439,0.0009144409050794645,0.00044451191770014317,0.0013511974537121461,0.003659464156411222,0.0025996234776682232,0.0017815353164874054,0.00025931661188059626,0.0006028955401432324,0.0003646733058952252,0.0040136558348900465,0.000308735348461669,0.0001843946588558495,0.0013119770263437685
BöckhPhilippAugust,0.016455238696270053,0.00021549612280436048,0.0001431482039982997,0.001128011702248949,0.10558223175318439,0.00048293541498172843,0.00019542366760101832,0.00023465176763416877,0.00023565121012818322,0.00026068734434113124,0.014276250078215374,0.00141796906766491,0.33543438748211485,0.0004987163386429257,0.0002000358345402984,0.0001868024199280905,0.00015866652113431665,0.0016792481983062366,0.0007088778621210619,0.05961331554836994,0.0018003497302634096,0.14275494327765348,0.00015363208701063877,0.00020019814260744973,0.00028879318361505656,0.00015177554055246563,0.00037861747697769333,0.0006371018431130635,0.0003096967343426898,0.0009413953196843038,0.008507501142200254,0.0660763092344371,0.0402950822416263,0.00018066896445824023,0.0004200444858670454,0.000254072224929387,0.19628443361946094,0.00021509958538216365,0.000128469949632292,0.0009140699819557779
BörneCarlLudwig,0.0011323023510595442,0.0001275008551978449,8.469534482710172e-05,0.012300579975524105,0.34175226695568156,0.00028573450702589875,0.00011562474730763474,0.1097033077140296,0.00013942585336919317,0.0001542387812374912,0.023639232587439062,0.0008389583367840925,0.00047217992631649506,0.00029507147901606883,0.00011835359097043841,0.023376880638303944,9.38769425297658e-05,0.0009935472554550898,0.0004194160547997874,0.23025422275694485,0.00688178761220862,0.11187871719752308,9.089825944325437e-05,0.00011844962247716805,0.00017086793677330558,8.979981155448884e-05,0.00022401355290894092,0.00037694891577601556,0.00018323577225805066,0.0005569877860306849,0.0015084966545328917,0.035971146481155965,0.02294782107292103,0.00010689495094557943,0.0002485243375715327,0.00015032486681872015,0.0714535710723314,0.00012726623909529002,7.601078029701721e-05,0.00054082042355744
BöttigerCarlAugust,0.0034935086532032022,0.00044669899090857865,9.900222601281956e-05,0.0064009399492532095,0.06022346128710749,0.00178117227334637,0.0001351562755780013,0.002557995801065707,0.0028928022370868557,0.0033377908843671444,0.02239970465152191,0.0025908514145241545,0.028180390831773743,0.0006606652360048276,0.0009438604192659683,0.006580599424975824,0.002981044267382805,0.0032537196776083193,0.02433755187086864,0.23325658116258974,0.0024031677335517544,0.1492155962370031,0.0008571355072542366,0.0003649555789753624,0.00019973123823166617,0.003893966340078615,0.006392655314912586,0.010539869853119178,0.00021418826944689647,0.0012144348443463373,0.009498142759893503,0.006977580766499218,0.008472736316626619,0.00012495182721963612,0.00427765217173164,0.0007547350916871648,0.3807917206883981,0.002213691307271604,0.0017859824898203405,0.00325360812948723
CalmbergJohannErhartWilhelm,0.01361251072971909,0.05408447851822446,0.00010137295134968544,0.0007988215864400004,0.11772329390496625,0.00034199931931080615,0.00013839275237103525,0.00016617283039596382,0.0001668806034066803,0.0001846103879562896,0.00044629989619641107,0.0010041600613687135,0.19256497929579505,0.0003531748615940935,0.00014165894057104804,0.00013228746221362835,0.00011236252414290838,0.0011891895333382388,0.0005020044892112023,0.07159658846975021,0.0012749497410430644,0.3772922476782129,0.00010879729991209052,0.00014177388192088985,0.0002045140388424129,0.00010748255345683597,0.010480328092820115,0.0004511750224086824,0.0002193172607603994,0.0006666658699002052,0.05286655601581084,0.08625751532788462,0.011091193188923066,0.00012794394643359116,0.00029746198723533694,0.00017992577327326456,0.0019802933696299306,0.00015232660414337147,9.097828397571489e-05,0.0006473149450908343
CottavonCottendorfElisabeth,0.04848340981527066,9.567103525370877e-05,6.355166252183404e-05,0.0005007888120123131,0.22693518285230804,0.0002144026097115772,8.675972611089488e-05,0.0001041753199154049,0.0001046190295136779,0.00011573399922975979,0.2146317992720076,0.0006295174451207953,0.0003543030539412616,0.0002214086629262661,8.880733040233938e-05,8.293226193514062e-05,7.044112970332001e-05,0.01662344081235257,0.00031471136489600687,0.32248536577043896,0.04843305797867208,0.01012801336044845,6.820605689430187e-05,8.887938822227746e-05,0.00012821178632411014,6.738182989968776e-05,0.00016808991974527631,0.0002828458911439838,0.0001374920662315434,0.00041793914268684485,0.0011319095577200285,0.0008040900347912523,0.0005510470292802254,8.020927078872532e-05,0.09545404157637342,0.00011279716995314663,0.009180427973627569,9.549498964692606e-05,5.7035147177434484e-05,0.0004058078648006127
