month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0.00015805181509855377,0.17318386433654834,0.00019305373721627186,0.00010036254860351644,0.0032064415302622312,0.0001401992034121271,0.0014263318989194047,0.0001729327838581845,5.8515426094058126e-05,0.00903627013674495,0.00024427939206761034,0.005995896385851441,0.00039570654866782456,0.00017542169947531723,0.00014405581503527525,0.00015702242776519367,0.12315679372383544,0.00010387828460826259,7.933895726124522e-05,0.0842173086383932,0.006432440052000242,0.00010097957919456402,0.00026189014591350006,0.0001260916506137664,0.0004534701459387184,0.04748250008800447,0.0029058225074856062,0.028979133981741335,5.660220896022699e-05,0.00012866274125966377,0.0007211999250194795,5.981197281381014e-05,0.0007596095092814139,0.00010750507780221895,0.00012941460352371405,0.0004910027015478035,5.3016521105344993e-05,0.00018867726014601936,0.12850390705036685,0.0002598863951310577,0.0030170663635453415,0.026284248476657206,0.0005213520598976732,0.0005273410207774404,7.685593076928102e-05,0.006152372925217632,0.011323369044889299,0.0004721063730861214,0.0003932256217154448,0.00010163985739567583,0.000447917487412409,0.0001218292251082201,0.007455684602426511,0.0005515990600200061,0.13539495578746005,8.740617882220101e-05,0.004636892094249011,0.13087065297049288,0.00013733132535143164,0.0005029329951468788,0.0001027321042977813,8.232581886706985e-05,9.355565606810388e-05,0.0002641108159434213,0.0002007921776430914,0.00041615193151592453,0.03883842573683195,0.004040937762137332,0.003310302981597646,0.00012864322849780806,0.00014654681623477132,0.0001395763356807084,0.0003079148667495314,0.00010639059157748378,8.249264260108132e-05,0.0010697344823627699,0.0001589326917225706,0.00014526894540703032,8.42163303019108e-05,0.0006568192759529849
1,0.00010760014591593934,0.07818767431968432,0.0015033227479172768,6.832585166769613e-05,0.001007012895106626,0.0008185055077486096,0.01569891367439322,0.00011773096541275037,3.9836735706755136e-05,0.003964685459924035,0.0012403367801613076,0.029121790343062122,0.0018415441509303527,0.001635749005979855,0.0012108630317251088,0.001949016269854067,0.047194931049537425,7.071933071048172e-05,0.0004261121953825332,0.02311014015153775,0.013422762010572312,0.0010077114778662005,0.0078046820565434655,0.0001436921748677624,0.001125742524098862,0.01024798969012931,0.0033153147682707666,0.048793442170730505,3.8534236000309255e-05,0.0002715103725337233,0.003081533853988884,4.071941216412553e-05,0.0023939159762412297,0.0016867543184307162,0.0015008078910358396,0.0014597854022707244,0.0038714263924756213,0.0012328575411578624,0.11550875241273219,0.0022373676383776317,0.028401014774140275,0.049126171313813784,0.004816714787490475,0.003341591373065026,0.0036400407694901923,0.05266446163196022,0.010694764397504396,0.0026132472070491495,0.007042592313492733,0.0027177484542267503,0.00514184154475688,0.005369104625795892,0.0382465684136359,0.0024733898634233626,0.11031915733713064,0.0007241509800393944,0.006490276039699294,0.11618698684342829,0.00026382220793684465,0.008014401971602464,6.99390222491277e-05,0.00011389682022953456,0.0011348158848862547,0.002780233710620006,0.0020005596707271867,0.0017144987642784865,0.051564134454339064,0.0007474831864255784,0.029353165402073354,0.0006846551412953437,0.0006944086944400625,0.0008927418768234669,0.0018183516495703606,0.00018638963618801554,0.0012822856250334427,0.012055440341207537,0.0012629061713653508,0.0010946960736874826,0.0004480189421001104,0.0033132191499319376
2,0.0006817060055969542,0.09619953156805332,0.0012045563542901565,0.0024641606195123047,0.004675023906617111,0.00028245415857220427,0.015266163043454309,0.00356041132525697,3.162249666919763e-05,0.003626927921538631,0.0015251045055149918,0.027875667144416902,0.0010829933420279745,0.002988704950550649,0.0006420747106957468,0.0005104401274510393,0.02935860266184745,7.632539887988416e-05,0.0005912748874415554,0.005512592064307902,0.025826710303014103,0.00210340081013952,0.003987935831142166,0.00041588847706011347,0.008712028918902333,0.015743753149530117,4.3168039765261976e-05,0.038135101811819866,0.0005328705246023627,0.0019247070954987715,0.00857213683850047,0.0008337796304787591,0.008694941495537378,0.001022765037513621,0.0011358265053029708,0.0021046152229139067,0.00013720894731365584,0.00010196364324392556,0.09157930535541468,0.0019275110708047952,0.044220728770048075,0.048748565829060515,0.007570497507522801,0.00779429620723384,0.0017697877928800768,0.054656248843001194,0.006619331282852139,0.0004344884711734188,0.003125362055607321,0.0007758323252871619,0.003857466836585355,0.00015565447073705442,0.03459484074465847,0.001406800684845485,0.0901745318078835,0.001232244442869218,0.005540662259722928,0.14164018057581015,0.0014958595069689195,0.008946754717013885,0.0012625594084645193,0.0009002830513560222,0.00022616514604709996,0.0007216752671901803,0.0007552040262223084,0.011406753696300223,0.042023248508506666,0.000924792921854552,0.026112143953828004,0.0005718024277335289,7.919580386916372e-05,0.0003291235023257825,0.00016640119534517463,0.00023295017457112372,0.0017529626494767268,0.012210842941341648,0.003166068452690908,0.004200479698435454,0.00041141518631250415,0.016093840955172845
3,0.0013318501055578722,0.08405167759750079,0.002227825218842776,0.002040120085483289,0.0016273801865092045,0.00022639969995127664,0.01688268229927659,0.002994067657197244,3.991845772344214e-05,0.001402031778562317,0.0010936816486474441,0.025892242471141334,0.0009741440124093905,0.0004928704836819651,0.0020010800117186913,0.0007572093976370034,0.05657584680036705,0.0005231134026191424,0.0009274536090227929,0.0038521791927803462,0.013503340439295422,0.0016002548647336993,0.003747784692199448,8.601807352840547e-05,0.010059181767524374,0.010481651216342534,0.0004150002722749003,0.048025900186703586,0.0009396979135013929,0.0011345764645573425,0.004715213274740086,0.000592699368431268,0.0026473667549955994,0.00022269319100060584,0.0009877119710456003,0.0018885598887952576,3.616717671996227e-05,0.00224013097273223,0.11351448123671579,0.0020217146956216956,0.03521381142271093,0.038068056336093135,0.0028217187756383755,0.003728612122555195,0.0003935146449196049,0.04295813588151074,0.004053839490484546,0.006096837339771236,0.011139273566351342,6.933738026523517e-05,0.0024825957440882565,0.0002952373401492206,0.03603126605613171,0.003946093296980076,0.1391102228620595,0.0008431365106292602,0.0024499027098983978,0.11495578800866399,9.368563250882782e-05,0.011147311602763355,0.0012156448233564226,0.0016538367341303662,0.0018941766284960929,0.022129601400614884,0.0013391544403324415,0.004620560212400213,0.04967615818724708,0.0021797929728816622,0.01553783052379928,0.0002619076887377723,0.0007342587137270561,0.00018869486523315782,0.00021005549153830085,0.0004940686625268313,5.6275400966458453e-05,0.0071177970240488865,0.0005258757984171045,0.0009460993502791622,5.745127815315753e-05,0.008488464540851644
4,0.0016836021692698746,0.04530462909480581,0.00031467376273166246,5.908006227484249e-05,0.0011566752139386132,0.003138675169790492,0.012537756953357357,0.0008682297238292457,0.0005083719175340013,0.00027932387338258115,0.00029258376820807833,0.023903995114034172,0.003200643433835452,0.0004853725763368122,0.00016908059493668035,9.243383054731995e-05,0.08264601076333496,6.114965800544582e-05,0.0007273948364394094,0.004834005309552177,0.008264577227905107,5.944328746443575e-05,0.001042257297937979,0.000974934736744057,0.004763354399503856,0.005245753998699321,0.0020961428085954277,0.05500272158083378,3.3319819761399425e-05,0.0007802155497632091,0.006531159830447677,3.5209299960894754e-05,0.016937190530250962,0.001511958977217091,0.0004756695413867319,0.009899927939519514,0.0020391273799744837,0.0034334677667899917,0.1495308446299501,0.0005444200064609017,0.029596081917737275,0.06550429008840102,0.004086113080542411,0.0009642941325158274,0.0003234462499025294,0.05650757268965067,0.018465327778286078,0.005218813329188829,0.0020976025568907614,0.000300904947374625,0.0011876760238801328,0.0011063952984305162,0.028181420157683174,0.007752798153661283,0.09072705835557059,5.145308244833394e-05,0.006162274774984157,0.11258837158229194,8.08423397666185e-05,0.005481023435275241,0.003096935001464313,0.002047657987450795,5.5073073208841e-05,0.0016074047828094492,0.00045713689143535237,0.0023240986623931786,0.04375885973874917,0.0019236150389978872,0.02129905705028648,0.0002797773718088509,0.0023907869128707024,0.002417482096476534,0.005604064878579318,0.0012679934502809612,4.856064866728036e-05,0.016055984709855465,0.00298633333697636,0.00046757185015077553,4.957532573680841e-05,0.004012886782007549
5,0.005019885350142697,0.09270935784526155,0.004040492615855798,4.498713280266449e-05,0.0016808112348766747,0.00040502758445413626,0.013699226598288145,0.00031665960800555953,0.0010695211222997558,0.0011358622012942036,0.0021883506063950196,0.031407167404298796,0.00547745397689446,0.0005265122079244409,0.0037700587156154967,0.0002436180789049674,0.06675748426446344,0.0032029894203377137,0.0018941382653550722,0.00839803760767074,0.006799487865388955,4.5263714431260066e-05,0.0005420461713592211,5.652010546162966e-05,0.0040047849216550135,0.013135166181956492,0.0005209906662939498,0.035522066432906764,2.5371726075603848e-05,5.7672587118822444e-05,0.009879323168594616,0.0005755735958661761,0.0019664031463324503,0.0037156255912845332,0.0029088983406869613,0.002028158367170754,0.0017794749475205107,0.003939935039572023,0.16956337058454413,0.0011848282234232807,0.03998751506255505,0.03784228747275005,0.006308954565868023,0.0012429283736988947,3.445038026932778e-05,0.03317188166400465,0.005354106411104425,0.01313232760726852,0.006929631949164403,0.009004810014896716,0.006169723209402384,5.460948935086302e-05,0.021655437811480948,0.009168981889676993,0.08533181895597929,0.00259830256486869,0.003305458142358005,0.1057509515615552,0.0007743305217729105,0.01148534374172031,4.604927718006893e-05,3.690223691998998e-05,0.001635269931366072,0.0016988980640668138,0.0011243218558981975,0.001956950259663735,0.02213849568246579,0.0031641968025625643,0.03747512972356022,0.0006605238152370884,0.000833522546800129,0.005156596776916565,0.0035374554501099056,0.0024028214497158764,0.0003316745900810017,0.008394018539693538,0.0015413597753332435,0.00020820725209249485,0.0001680842484422073,0.005947067113364384
6,0.001929818048102357,0.060805926266504745,0.004878324980791555,0.0014885180844670862,0.0012879456062117876,0.0003349457669508736,0.014068452493013606,0.0008057805208246864,0.002035415605293413,8.293457791914349e-05,0.0015227052578694062,0.027135335270094284,0.005153154514877058,0.00011424998514425313,0.00012510797070490814,0.0039013412765846454,0.07600635277196428,0.002007019727552621,0.00020810347496258842,0.004937575116171819,0.0054326780073356345,0.0001528293553776043,0.0020996697443779397,8.212193390284743e-05,0.00940872582340708,0.0014466883145924396,5.202467579868435e-05,0.02899669029572135,0.000162923286905529,8.379645346899515e-05,0.006036506486620191,0.00012561760428558185,0.01396085315477813,7.001672870900155e-05,0.0032445313029503694,0.006308311853150886,0.00029204027352760684,0.003993959083421499,0.14858222891135392,0.0026459426516072704,0.04183482448603717,0.054379780734020625,0.007895397641727156,0.0023408798311176076,5.0055317984612316e-05,0.038139244666616695,0.02141014704814645,0.004205447313143877,0.0007103791204017635,6.619678313602181e-05,0.008800880221498417,0.002793642930328358,0.027232188450792918,0.005008669684368762,0.1319569320736778,0.0005572490961831558,0.0014346895887309466,0.08846211523777435,0.0014756763923007407,0.0071465684715277394,6.690815004623107e-05,0.000737792348566515,0.0014668835442669375,0.005820023779198722,0.008756013501034854,0.0031317060557143348,0.047352251739036975,0.00023348573221571036,0.026295453578262507,0.0006239431378833314,9.544413050288594e-05,0.000300871335752483,0.00229119449385637,0.00033555272535986666,0.000768984105342755,0.008558933800778405,0.0001035108981531375,0.0014880497636998566,5.484905524615927e-05,0.003610019778268895
7,0.0026583776712584477,0.06070058849653247,0.0018292207423295796,4.798280304577746e-05,0.00020473547676327016,6.702849676600668e-05,0.017385022270147724,8.267824824582565e-05,2.797591536363758e-05,0.0006117198033001973,0.004896303762955865,0.015389695018996754,0.004862587163625713,0.00018690047027847932,0.004726840009687398,0.0010390689645151411,0.064664872043003,4.966365781305838e-05,0.00222650743931278,0.005747401128582879,0.0038211868493732057,0.00024683038239052985,0.001271355941104524,0.0018396944980871523,0.0004951573310683423,0.010558096647882927,0.0011186779627678021,0.035165478691410006,0.0016882607647704408,0.0007632763207498793,0.008924129001740158,0.00045246255655354993,0.013498586772337489,0.0011653073635984285,6.187243666616274e-05,0.0053365893738649564,2.5346918006433942e-05,0.004311321603936938,0.16180505133191433,0.0008437244670086358,0.023343213524011423,0.042661375127395464,0.0024321366717021614,0.005609605145117266,3.674441353189301e-05,0.06149661796952429,0.016658718372990433,0.003991484953517244,0.000896732642992508,0.0005031479146522691,0.00036361118203312426,0.0021855283171004934,0.03339422618953138,0.00510269169735653,0.11049048464776653,0.0021163616040915027,0.0005854330070375972,0.10991263527078222,6.565737945122738e-05,0.005487378093135929,0.00029692349910137074,0.0007422612965657871,4.472846376857591e-05,0.003974555483604596,0.0030407289994869363,0.0030109967306181603,0.03952371011400864,0.0003013403007400363,0.04233288433689829,6.150364635087592e-05,0.00013562114006377608,0.00011365109731995385,0.0026818191425567505,0.0018509900141823086,3.943929561105935e-05,0.02369528085613783,0.0007929623491448541,6.945231356838131e-05,4.026338157352398e-05,0.009119526617220899
8,0.0006904478760657227,0.07345185367483832,0.0027816150283653325,4.7153977795093436e-05,0.0011885211064895788,0.0031038610381524004,0.01721627183518473,8.125011534239591e-05,2.7492676711609265e-05,5.98286845282095e-05,0.004031735553566884,0.030453471671063524,0.0045478220428935125,0.0019410862774667033,0.001762387902484952,0.000918886387426457,0.040921368178473326,4.8805798517145145e-05,7.76580912364589e-05,0.010870586388109995,0.01086518875183863,0.006180679227308416,0.004196370700781888,0.0003133776292667526,0.0010117392028424902,0.014946155039629415,0.0017222272382690293,0.03163968282023977,2.659377767505464e-05,0.0020137780117117925,0.008448128243643015,0.0015429830583890273,0.007511019206154229,0.0005915322030305875,0.00014349050049577145,0.003705547102066041,0.000365373397140984,8.864744328595838e-05,0.13092730464958133,0.0032623638066602498,0.028882367001830597,0.0541162674096576,0.0007801363945096298,0.0077420841216848104,3.6109713267972324e-05,0.05194927602011044,0.024918911509830093,0.0015237078449828881,0.002885253007885289,0.002486842551044448,0.0014076084146925091,5.72398036466879e-05,0.03557979929405478,0.0009790606176823277,0.09505635589126671,0.0014641450517577552,0.005374918791758747,0.11653749787660707,0.0027330123530249204,0.004654203630834539,0.0021507102612722496,0.0011753551278071341,0.0001961109494761626,0.005488095408339662,0.00222625155172144,0.0021011991144159687,0.05485229252613879,0.0014168321672074387,0.025734825198015714,0.005745677222423035,0.005847719661209726,0.0007601971626366499,0.010307656038361134,0.00036471061168639194,0.0009796721447516575,0.0061904340470324325,0.002231159652763577,0.001488468278108102,3.956789683299672e-05,0.007813981364947233
9,0.0021322901279760467,0.08093198612279255,0.0014681789355540618,6.119992134015721e-05,0.003435301990548773,0.0037086793182015162,0.004218486570577268,0.0005628500239153091,0.0002650578653434795,0.003944847463390124,0.00028279223584724866,0.03353784330082557,0.001136096803677601,0.00010697012340388046,8.784356985173431e-05,0.00019264995324940655,0.047623951201353015,6.334377649267256e-05,4.8379978499551315e-05,0.01281201261548185,0.0076766290223558315,6.157617945797125e-05,0.0030779246542407372,0.0019663344175357847,0.001483570057666029,0.015499289437134632,0.00030714200598050114,0.03183651028152482,0.005083105138520778,0.0007411601156509566,0.006186605640302881,3.647264923358619e-05,0.008912730887838356,0.00020608430369114503,7.89155284129704e-05,0.0026185860507591846,0.0016811355209202436,0.0003625658853055597,0.13584469602748056,0.00481949955688008,0.02608581052733141,0.07394711726174658,0.0018364428611276095,0.0026055746672067675,0.0033995380798746626,0.06511975693837466,0.02112967795648464,0.003172623200400562,0.005009799650995224,0.002581365625582174,0.003924446818686247,7.429005238806911e-05,0.03427094274836487,0.006554616807356913,0.12652324877596757,0.0005014382144357118,0.0028956437472891588,0.09054751965922582,8.374305381831118e-05,0.00887281375435569,0.005397510391348218,0.00016109897990328778,5.7049157000922797e-05,0.001195344670188563,0.0004943891595210441,0.0025423010626973146,0.038052642954059586,0.0017266776695136253,0.021196330458989176,0.0035768080781063247,8.93625535721423e-05,0.0013337125043166877,0.004111162210519969,0.000600086034600274,0.002217452170001013,0.005870095076941398,0.0005811775118991321,0.0007094825444059998,5.135414416780817e-05,0.005798257008020411
