year_range,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0.00015805181509855377,0.17318386433654834,0.00019305373721627186,0.00010036254860351644,0.0032064415302622312,0.0001401992034121271,0.0014263318989194047,0.0001729327838581845,5.8515426094058126e-05,0.00903627013674495,0.00024427939206761034,0.005995896385851441,0.00039570654866782456,0.00017542169947531723,0.00014405581503527525,0.00015702242776519367,0.12315679372383544,0.00010387828460826259,7.933895726124522e-05,0.0842173086383932,0.006432440052000242,0.00010097957919456402,0.00026189014591350006,0.0001260916506137664,0.0004534701459387184,0.04748250008800447,0.0029058225074856062,0.028979133981741335,5.660220896022699e-05,0.00012866274125966377,0.0007211999250194795,5.981197281381014e-05,0.0007596095092814139,0.00010750507780221895,0.00012941460352371405,0.0004910027015478035,5.3016521105344993e-05,0.00018867726014601936,0.12850390705036685,0.0002598863951310577,0.0030170663635453415,0.026284248476657206,0.0005213520598976732,0.0005273410207774404,7.685593076928102e-05,0.006152372925217632,0.011323369044889299,0.0004721063730861214,0.0003932256217154448,0.00010163985739567583,0.000447917487412409,0.0001218292251082201,0.007455684602426511,0.0005515990600200061,0.13539495578746005,8.740617882220101e-05,0.004636892094249011,0.13087065297049288,0.00013733132535143164,0.0005029329951468788,0.0001027321042977813,8.232581886706985e-05,9.355565606810388e-05,0.0002641108159434213,0.0002007921776430914,0.00041615193151592453,0.03883842573683195,0.004040937762137332,0.003310302981597646,0.00012864322849780806,0.00014654681623477132,0.0001395763356807084,0.0003079148667495314,0.00010639059157748378,8.249264260108132e-05,0.0010697344823627699,0.0001589326917225706,0.00014526894540703032,8.42163303019108e-05,0.0006568192759529849
1799,0.0018576417443832332,0.08655435251709422,0.002046889305878552,0.000952290635607061,0.010600557397034586,0.0008143731124641356,0.006261493480616301,0.0006400974331046454,0.0002342548397848523,0.00010939108949945555,0.0013628625858454334,0.025115202195505074,0.007298109076786683,0.0007635273505236336,0.0001847949167189945,0.0015157692731510473,0.028161864080312276,0.00014581528189863027,3.6912139733279806e-05,0.010988351480103303,0.004074142497770746,0.0016212338333477774,0.001014843487589062,0.0010157952062425576,0.0008619212694346008,0.003813918668322732,0.0015670775943066487,0.08800570596301775,6.84544721904643e-05,0.0010915279339054804,0.006583693945271821,0.00031829908839513797,0.0035111012088487104,5.001631721483429e-05,0.0014143449426302626,0.0027981120940903793,0.0004857751471429875,0.0034304166252579252,0.15613453692420495,0.00030621853222170684,0.012133728707345682,0.07428614379517702,0.0011504863864739351,0.006266503515126516,3.575692136393544e-05,0.024858705347776285,0.03665289558890711,0.000811912210386807,0.0005994713517551988,0.0017931842829894903,0.0025644334929809027,0.000353291057609979,0.02457867802973882,0.004332274598681174,0.11711563381151688,0.0007581574741975858,0.002448974310931477,0.1239490284157354,0.0004936707431823865,0.0022092912710101782,0.00031905739581779643,0.0013635309387241604,0.0002647154765580504,0.0006851434267388216,0.0006024212744539676,0.0021746739645146216,0.026778651308291962,0.003345113911384128,0.025216473159114045,5.985075919785041e-05,0.0020267527028359727,0.00013708013107132275,0.0003977350737250298,0.00040259122307260015,0.00028881236891024876,0.0070820414893920545,0.0009791076118159906,0.00017946652593328865,0.0002240589203408456,0.026268815337768515
1804,0.0012443275708517937,0.07466929511157096,0.0020909970939764063,0.0003535655933177136,0.0016218861915605646,0.0013364426826215552,0.012886407147896647,0.0011806596934564723,0.0001205840365119936,0.0016353681445925431,0.00041829642385546507,0.025805215483767945,0.002088897701207116,0.0011392881490763338,0.002893673829293318,0.0006034522777413584,0.030751197123760992,0.0009374726489777525,0.0003844353453613259,0.004193501486531915,0.012033161937327539,0.00033467430733379256,0.0015488094258346078,0.00030106839703083305,0.005194159758530867,0.009726408673585166,0.0007941577604947946,0.02823603259933362,0.0001223218538328527,0.0006631678802279405,0.005376474275880414,0.001376598107320777,0.0038461297070850574,0.0009266480106029632,0.0021586094772722336,0.0032492769444589153,4.0748505713130494e-05,0.0021303741133572632,0.1303852358851547,0.0008072859277997176,0.04272504441915163,0.09022209381811165,0.0036532002809767108,0.005238820232991975,5.907147939445377e-05,0.04518358439041777,0.02293689639345536,0.0007322154013682193,0.0014957014134033312,0.0009826925706796278,0.0034949079355498483,0.0006455705450351004,0.028806567874249275,0.007539631854589927,0.12558156567972015,0.0018753163822321235,0.0026566393635832244,0.11148132574286244,0.0003613800259325292,0.018041379515447986,0.0010468596929969825,0.000533396816229905,0.001012123964138588,0.011148292646425268,0.0016011465297023316,0.002116261309237841,0.03140393380656223,0.0011342418527712703,0.030780284467617124,0.0010522837324283918,0.0015789659391206678,0.0023723966692301185,0.000980862547104273,0.0012689019304700088,0.0010371383146365438,0.011376478325352424,0.001476403585891114,0.0006186524413343064,0.00028941427025488975,0.007852048555234869
1809,0.0013783203583040407,0.06579355808021924,0.0010755030061516,0.0010487159689024073,0.0009621535626221776,0.001786196298392496,0.017093838068009234,0.0011975810600957462,3.297253638173993e-05,0.0009181679655771678,0.00287762368700118,0.02595653779729604,0.0016523995617917604,0.0014202949961977162,0.0011697771246072719,0.0005946333388082863,0.02098724467596427,0.0013559182477053035,0.001026174345651812,0.0020835254795234597,0.017177916948354837,0.0011142182902648427,0.003812826535072482,0.00023340700528784596,0.004448203394042992,0.021235042594497003,0.0006538036469786304,0.03359690355293578,0.0005683895532123399,0.001977094076704494,0.0030789396283974315,0.0005743298743453553,0.003424638575332088,0.0025068369644449997,0.00033280969058459433,0.004880372987114293,0.0007393452247464468,0.0020915132747002106,0.10600918601810615,0.00430011812520575,0.06403430839015858,0.051225619536301406,0.0015609626227494503,0.003250044601291495,0.0024568736589530935,0.061683771267015026,0.0029692106628898614,0.002311457869972151,0.016220773437613127,0.0011964660328353262,0.006794228514485883,0.0019686358628879983,0.049584219273829944,0.0032264860954669614,0.11812359861026245,0.0003674491034562165,0.01150860605155114,0.11792358856180588,0.0006949663176307036,0.006818927636948465,0.0021342112122203424,0.000769067283990225,0.0006080203541204569,0.005448772202571648,0.0019770401621603258,0.0007260314987721844,0.04651925175704425,0.0003544551795027195,0.02278719423210793,0.0025031008588020354,0.0008989793070917405,0.0006573413339842799,0.0012684950025344712,0.0006047014221158186,0.0010353641817842471,0.017261702654177372,0.0023235286424716276,0.002608837702209983,8.42777553703999e-05,0.002342401029331063
1814,0.0005565875834993906,0.07797070798553292,0.0027231245025059287,0.001694420453247823,0.00016489662066250448,0.0011012358920815112,0.022254576166845896,0.00020528479852836078,2.945299989582978e-05,0.0010739771953153256,0.0060247388090019114,0.030087644595888287,0.00204139118884443,8.82962945201461e-05,0.0022034673821506776,0.000849057504099595,0.023077888329898603,0.0017317536817860447,0.0047906038791274185,0.001747770273451958,0.008723503494776701,0.0030796816870585927,0.00997021944743564,0.00022849439816625302,0.0008712922533775017,0.011217591402441615,4.020644808693716e-05,0.03176973182742428,2.8490006240911288e-05,0.0005105744695069789,0.005435264921903603,0.00028795788481136614,0.019335096198015135,0.0009611886112945677,0.00017676890481804847,0.008404566430253954,0.0025029322879631544,0.00036963742745411537,0.13142839532817893,0.0022473407425145893,0.013834235906208914,0.038389137407534406,0.0049069632556480005,0.0009086953225909964,0.0006697072510352432,0.13204031292035814,0.004407176262726614,0.001831436235987713,0.0005738407708036255,5.115913715598792e-05,0.0012191079453873594,6.13212001336822e-05,0.03150093107672124,0.0020768791809268644,0.08819583216310238,0.00015086341064211387,0.006753785619733929,0.08103817174597619,0.0006217606653728231,0.0031084757252263745,0.0019340115218192061,0.0014242145768231067,0.00044210577647439523,0.001006242781622019,0.0003451941800875264,0.00552810606569955,0.0749367508784199,0.0025893871978784886,0.025975847637129436,0.0015238568492744664,0.0010911458575409783,0.0009962993318225432,0.016390270497389718,0.0001646950097574671,0.0017043962110518582,0.028497035527497765,0.0006791115422274859,0.0004401207400563231,0.0024172512595486166,0.00156835304599902
1819,0.0019654618019103653,0.05380958328426042,0.002035318326789779,0.00020855184199422908,0.0002201284272910372,0.0002902751182341307,0.009718886254706193,0.0032511174898025136,0.006257957704968779,0.0013802305882863936,0.001088221463325963,0.025267795364019074,0.0027361140195317863,0.0014219862299061036,0.0009636912961675961,0.002451173232142932,0.1843225034709788,0.0007102344150288933,0.0002342925796708046,0.04378366917406634,0.00935291134646377,4.782731447535005e-05,0.009685593524413715,7.423962948088138e-05,0.0026967136801880685,0.007796717651258201,0.0011904453139705406,0.03326102700498919,0.0006329668819158444,0.0006412567353181569,0.01080884775709104,2.8328955774765004e-05,0.022734655877456895,0.001029827175167721,0.00047267679769070467,0.0015749692406459787,0.0001562285249350098,0.0005235603852570974,0.15186805553327476,0.0008520087592403576,0.012441423892194053,0.024608389255081957,0.003997534318890773,0.0036411933831271663,0.00197796488769042,0.03208098917181742,0.0029367535792404896,0.01214126498260715,0.0018964040731678535,0.002604899352475502,0.001102056429409785,0.0008479875160713616,0.03019488955397214,0.0026946198915795833,0.07915343206007203,0.0008937241752218981,0.0027665405877240444,0.08532916548198188,0.0010871616466544606,0.0008747557048278605,0.0013436807288357319,0.00035874304199772286,0.0010903425433087812,0.0007079947571155844,0.004801772379400166,0.00197253911706617,0.05266214845143611,0.001544339394884748,0.01903525070963654,0.0010594779068463641,0.000681658544348377,0.00020852069886089758,0.0035443070452490593,0.0009120859854193894,0.0014620209765007902,0.005221158138018424,0.0007964947552866564,0.001030788961604185,3.988767774075125e-05,0.0007095880705456807
1824,0.0015417146817357996,0.12666544385308798,0.00010478405405004636,5.447392456168872e-05,0.00012366692196049106,0.0016550498717589456,0.009072289442088334,0.004067552106195028,0.0002475649046355122,0.0055002828408849055,0.001859470665301105,0.03360309168029097,0.0016793512098802882,0.0003868475377586724,0.0005953796740214186,0.0009745062803339722,0.027507092161695654,5.638216563932359e-05,0.0014694390617711831,0.0016090046382527473,0.01242022157632392,0.003924560968247736,0.001632817100043758,0.0020031806927025483,0.05214736472676679,0.0020188976888877636,0.0014269626259653108,0.024045163397646792,0.005444270124711552,0.0004951780470026282,0.0037200427635222986,0.0005349461098726433,0.003230571518883131,0.004252246651075612,0.0037719361254385745,0.0008982225449945693,0.005854237452642935,0.00010240862730881533,0.07663086706025656,0.006678544742488941,0.01014647777259761,0.014641829316435453,0.026968301785687557,0.003910345232241707,0.00015331931954793015,0.018581931944245074,0.00208068409905775,0.002400180574375278,0.0024138369904920442,0.0022071112498314865,0.0029351330078508236,0.005990653543128868,0.03018348992631896,0.0037235276628691948,0.14676895683476912,4.744157713845886e-05,0.002322404522276144,0.1266306743997521,0.004237394325846374,0.0012813022030692504,5.5760051707024894e-05,0.00018324116621367214,0.000856104315422862,0.0009836730891729366,0.0020653988401760316,0.06007632857566898,0.05053256320318438,0.00012094282223116505,0.034902259117148816,0.00015042599008317437,0.004439393748297635,0.0015434833218099242,0.0011394657236674806,5.774577409906696e-05,0.000679192340154491,0.003555564160885595,8.62641252115244e-05,7.884783401147488e-05,4.571021847852729e-05,0.0008166110741569668
