,Number,Score,Rank
0,0,"0,13421",8.0
1,1,"0,00555",59.0
2,2,"0,00329",95.5
3,3,"0,01795",28.0
4,4,"0,00382",90.0
5,5,"0,04403",19.0
6,6,"0,00512",62.0
7,7,"0,00409",82.0
8,8,"0,05281",17.0
9,9,"0,01568",30.0
10,10,"0,0108",38.0
11,11,"0,13166",10.0
12,12,"0,00774",45.5
13,13,"0,02336",23.0
14,14,"0,01353",32.0
15,15,"0,06284",15.0
16,16,"0,00814",43.0
17,17,"0,22103",5.0
18,18,"0,06126",16.0
19,19,"0,13743",7.0
20,20,"0,00488",64.5
21,21,"0,00478",67.0
22,22,"0,01337",33.0
23,23,"0,00572",57.5
24,24,"0,00144",100.0
25,25,"0,01866",26.0
26,26,"0,54394",4.0
27,27,"0,01081",37.0
28,28,"0,00774",45.5
29,29,"0,0187",25.0
30,30,"0,0034",94.0
31,31,"0,00399",85.0
32,32,"0,00988",40.0
33,33,"0,00634",53.0
34,34,"0,13287",9.0
35,35,"0,00763",47.0
36,36,"0,00495",63.0
37,37,"0,01544",31.0
38,38,"0,00402",84.0
39,39,"0,00735",49.0
40,40,"0,01782",29.0
41,41,"0,0069",51.5
42,42,"0,18117",6.0
43,43,"0,01202",36.0
44,44,"0,00369",92.0
45,45,"0,09922",12.0
46,46,"0,00902",42.0
47,47,"0,04489",18.0
48,48,"0,02409",22.0
49,49,"0,00463",71.0
50,50,"0,00391",87.0
51,51,"0,03554",21.0
52,52,"0,00354",93.0
53,53,"0,00572",57.5
54,54,"0,00465",69.0
55,55,"0,00531",61.0
56,56,"0,00424",78.0
57,57,"0,00416",80.0
58,58,"0,00388",88.5
59,59,"0,0069",51.5
60,60,"0,00428",76.0
61,61,"0,00813",44.0
62,62,"0,00457",72.0
63,63,"0,72258",3.0
64,64,"0,00329",95.5
65,65,"0,00243",98.0
66,66,"0,00614",54.0
67,67,"0,01253",35.0
68,68,"0,00582",55.0
69,69,"0,01865",27.0
70,70,"0,88237",1.0
71,71,"0,00741",48.0
72,72,"0,00488",64.5
73,73,"0,0058",56.0
74,74,"0,00903",41.0
75,75,"0,01069",39.0
76,76,"0,00427",77.0
77,77,"0,01286",34.0
78,78,"0,12531",11.0
79,79,"0,75862",2.0
80,80,"0,00396",86.0
81,81,"0,00483",66.0
82,82,"0,00405",83.0
83,83,"0,00196",99.0
84,84,"0,00464",70.0
85,85,"0,00249",97.0
86,86,"0,00414",81.0
87,87,"0,00543",60.0
88,88,"0,07655",13.0
89,89,"0,07353",14.0
90,90,"0,00467",68.0
91,91,"0,00452",73.0
92,92,"0,00437",75.0
93,93,"0,04061",20.0
94,94,"0,00421",79.0
95,95,"0,0073",50.0
96,96,"0,00371",91.0
97,97,"0,00438",74.0
98,98,"0,02072",24.0
99,99,"0,00388",88.5
