,Number,Score,Rank
0,0,"0,02875",21.0
1,1,"0,01538",36.0
2,2,"0,05505",15.0
3,3,"0,09284",10.0
4,4,"0,03185",20.0
5,5,"0,00901",44.0
6,6,"0,52354",3.0
7,7,"0,01187",39.0
8,8,"0,03213",19.0
9,9,"0,01935",27.0
10,10,"0,0076",51.0
11,11,"0,04086",16.0
12,12,"0,00623",55.0
13,13,"0,01312",38.0
14,14,"0,0184",30.0
15,15,"0,01014",41.0
16,16,"0,01917",28.0
17,17,"0,02336",23.0
18,18,"0,1351",6.0
19,19,"0,00694",53.0
20,20,"0,00711",52.0
21,21,"0,05886",13.0
22,22,"0,16504",5.0
23,23,"0,02035",25.0
24,24,"0,01669",35.0
25,25,"0,03965",17.0
26,26,"0,0205",24.0
27,27,"0,05782",14.0
28,28,"0,03254",18.0
29,29,"0,00941",42.0
30,30,"0,00809",48.0
31,31,"1,05177",1.0
32,32,"0,01999",26.0
33,33,"0,00394",59.0
34,34,"0,00516",57.0
35,35,"0,01132",40.0
36,36,"0,01774",31.0
37,37,"0,00891",45.0
38,38,"0,01758",32.0
39,39,"0,00806",49.0
40,40,"0,08462",11.0
41,41,"0,01358",37.0
42,42,"0,18481",4.0
43,43,"0,12595",7.0
44,44,"0,00515",58.0
45,45,"0,11614",8.0
46,46,"0,00577",56.0
47,47,"0,00779",50.0
48,48,"0,00861",47.0
49,49,"0,00653",54.0
50,50,"0,09999",9.0
51,51,"0,58022",2.0
52,52,"0,07441",12.0
53,53,"0,01676",33.0
54,54,"0,00923",43.0
55,55,"0,00881",46.0
56,56,"0,01672",34.0
57,57,"0,0185",29.0
58,58,"0,00383",60.0
59,59,"0,02533",22.0
