month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0.005870309455602941,0.00033424280923316204,0.0070053233337569005,0.0314913187447012,0.0006921188991103193,0.0001958578200047781,0.09101183545332202,0.0002579197149814877,0.0006982123297786849,0.00042041156089315715,0.00016510954656778353,0.0008880245038522207,0.00013539101899263318,0.0002851439753148342,0.001615615302644085,0.00022035358961905343,0.0004166599093906308,0.0005077413082828223,0.017542318721922332,0.00015078747828570438,0.00015450269585333865,0.11366371932242274,0.12914699653087644,0.0004422139760120027,0.00036279624271547237,0.05593910540536939,0.0004455938895013645,0.0012565772094330523,0.0007072486351063843,0.0002044599356442142,0.00017588576843109529,0.20865926579886815,0.0004345088487938561,8.569972219539052e-05,0.00011212545608604195,0.0002461060413865283,0.0003856352129000967,0.00019356806570102356,0.00038203540598170965,0.00017514746931598314,0.012751212781050951,0.004254442650053482,0.01833158224762176,0.00800789205382693,0.0014233911241441051,0.00937486359278793,0.0040847007580632165,0.0001693356215862899,0.00018721906768427919,0.0014531723841402003,0.08501963178206175,0.1344436364518888,0.04526572759643845,0.0003641259389455635,0.00020060384581988827,0.0001914985585819635,0.00036335253393206886,0.00040197121772291765,8.323669249126545e-05,0.0005505159923072021
1,0.011458553595052231,0.004200817964994798,0.020729345838911853,0.023573735834237445,0.009196296952964565,0.0027144108474268574,0.11407165854989909,0.004324615189888968,0.007750161435233694,0.001513598074168395,0.0023000808622547354,0.012604188519649952,0.0022432425784244935,0.00063707994794115,0.0031337642823117016,0.006704764528162734,0.006571616942549169,0.005979596309234966,0.0473701587892117,0.0034926951733606063,0.0020884335182302636,0.032378184256944255,0.029311429400330952,0.008132370538214997,0.0014708049457751525,0.013702457539035658,0.007386518794417612,0.013895150701516057,0.008653539496255984,0.0013380403881210336,0.0001576924741494581,0.22227079458363375,0.003434614999960981,0.001484414656358331,0.00036470552289517757,0.006967029213888486,0.0007414004508825008,0.0021656459077980597,0.0009415873397621891,0.0002804199702776146,0.029017521982640963,0.004251468161577108,0.03152858492658521,0.02827318705259214,0.0033967893913732145,0.03384605748630121,0.002009617830681914,0.0008865875985133967,0.00020358959230989891,0.0020477941923593406,0.02887194660275003,0.14898013447951816,0.012947677545899915,0.0032802364362127397,0.000489448886304441,0.004042521855526579,0.0017254396752004928,0.0037572666414251265,0.0005714421213894755,0.012137070626510975
2,0.008115402679873984,0.0011987407298415787,0.014960665119904987,0.017941770878488115,0.006260623272281674,0.005367364973670453,0.08791474076059601,0.0032244402321350146,0.003539889548149175,0.002571842579425975,0.003333425292370145,0.013337247385425103,0.0012823741967925252,0.0032191470391678117,0.0033729107455124636,0.00033022341824100556,0.005056698814058984,0.003173278213811768,0.0452772674566762,0.002508632680169372,0.00034588837233742747,0.007094087604408956,0.028714390186363622,0.006370044985961266,0.004653371400956874,0.011034146076985558,0.004993300999575965,0.02235590449979585,0.006338731788811859,0.0002602816788275931,0.001881007055102174,0.24925320485960134,0.01262474472655248,4.5754946955251696e-05,7.536242851910852e-05,0.0030793082190988513,0.012185349308337099,0.0030731026191460355,0.0026224857263936027,9.351095852595912e-05,0.032392031614537346,0.005011535795204819,0.034793096952156384,0.04615616177182839,0.0018356611243750432,0.02744450217840783,6.690253087799374e-05,0.002517731214184564,0.008559979742513267,0.0013938346186822329,0.05513907594129062,0.12639552423620598,0.013069976707679613,0.004624434674246947,0.003322244362687857,0.000751375357403986,0.0072226257136978654,0.0025107680675421963,0.00011623247211791817,0.017595640465509967
3,0.00658438165282209,0.005082011871619031,0.02030100933011487,0.025371821680529143,0.007296674293180709,0.0006670308402216328,0.11271381914345363,0.0059417108230011475,0.002368039517973037,0.0014897136057360034,0.0028867007497073603,0.0064164012938070294,0.0003247678613169036,0.0009444248209016365,0.0025003880770741523,0.00037544261296634714,0.01204917158064494,0.02715675408394345,0.03147625409816061,0.00010278277725053697,0.006259554820382144,0.01449681101458913,0.03822728289867245,0.003683399954799903,0.002759841372076176,0.005353448142652528,0.0021354078001284303,0.02175045921889366,0.003513847673359712,0.00030041419440136733,0.0037331132639969915,0.22099129355764335,0.006092325448166294,5.8416358950919726e-05,0.0003547907519890784,0.002327622037889573,0.004915421704158041,0.001233075900365654,0.01631822578405002,0.0010334976565004221,0.02274980924140705,0.008623549476466031,0.026477495750786437,0.04534575087588816,0.0012675381760488187,0.016657785230004305,0.0005184688136237014,0.003199777201297769,0.0012884805763949936,0.0014415416879658021,0.036921252047912655,0.17012078112568244,0.020010752420392918,0.0032755179106222863,0.0016842767950169862,0.0021374299063395526,0.0002879829233875475,0.0005661830862244341,0.00038855822561247976,0.009449518260835564
4,0.007751944339850924,0.0074096560942890025,0.0195711081489009,0.03517978958237936,0.015508008147595634,0.00029968804352933605,0.14297790470518323,0.001770809574265694,0.004215825771226119,0.007925902366891004,0.0006268635773250395,0.015381293365231304,7.706376475570179e-05,0.0020535481272719648,0.0035147923931134147,0.006793469874647193,0.003520119360883793,0.006542230606659277,0.04860045419533735,0.002109521998826895,0.002829858864270159,0.030741771737490913,0.02219619051581042,0.0019477119323962546,0.0021298744354086526,0.010012496661350415,0.00783646800245283,0.010140098614127497,0.0071369179089638985,0.0009647247129165947,0.001069565821864058,0.20677374013955055,0.0020171588647236944,0.0013008501383892416,0.0019391718798845673,0.003923643969218707,0.003941096255813378,0.00040238265198160543,0.006890210160712589,0.0033607734091022088,0.04456183227690674,0.0011943989812858691,0.05022255661417411,0.03592944965480079,0.00015566946636921244,0.019710047803548913,0.003316902817077857,0.0005671637904642286,0.0017727959317977036,0.002085660968731582,0.00869494086320631,0.12618031926560871,0.029562810529108346,0.00020725832414243665,0.0003245359259201525,0.00010899984341220892,0.005729639966488888,0.0072396786164486355,4.7377831535034064e-05,0.0030032598143809198
5,0.01335815057086094,0.010682520591390493,0.013875777074726125,0.025809378815201088,0.0069177700225174985,0.00013967065609487325,0.15905968802273068,0.002527636176301455,0.003241518871975711,0.0009805028479220562,0.0017839905007548684,0.007402313739421192,0.0006944876164323213,0.002198763113706091,0.002903060290033991,0.003379795950072505,0.010972136547434626,0.009853847098510313,0.03306774261004911,0.00043518205344008536,0.002613427145626256,0.028714006990520232,0.023841046620573486,0.008632161663138314,0.005137300847787386,0.013732254243509587,0.002932766742898413,0.010746270426337468,0.016350995704824754,0.00207362671872956,7.70199182868996e-05,0.2162394137560233,0.002446706105561153,3.7527684357730216e-05,0.004132848921884907,0.0014168806868808108,0.0018489317060932887,0.0063257682771320515,0.008836237597167534,0.004179709416274175,0.01672012237597507,0.013592902061414424,0.02689935950475807,0.0425424260874097,0.0023646345258577506,0.01852255644242257,0.0005486966377508256,0.003615578316948037,0.0025254983359226943,0.00418537571506133,0.03225953988407871,0.10887668188937365,0.023322903559289124,0.002990237237166729,0.0029739482892852586,0.007632995173370198,0.0016312118123692296,0.004250436981200666,3.64491300878648e-05,0.014909611697074788
6,0.005972420011745973,0.0071561516878548255,0.01851908964189038,0.0145620839996509,0.016715506046967782,0.0036422037398375156,0.16257442373124575,0.0020897479716925397,0.0035911795851115446,0.007111093287428383,0.001966569199769259,0.0063424547387057805,0.002851328524959048,0.005286944399970747,0.0029060465282425936,0.0016538630410782885,0.0010086365732184664,0.015251208475114107,0.02712811740370323,0.001941443695613596,0.0001626947674948835,0.017850594000343653,0.052724578264575904,0.008328405015092556,0.001475420698733668,0.011470149328541736,0.007922385105027614,0.013484953817582421,0.015573138976133652,0.0015823536032107633,0.0027429970286319766,0.17795392525998405,0.005911819854512634,0.00260036766239514,0.0035070975264860347,0.0009851599765795193,0.0021264650376304367,0.0006703798296561366,0.0029242732802251805,0.003376494645808232,0.037060288028283324,0.002644861370506624,0.0440419124142283,0.04223884258422649,9.703381884375675e-05,0.015709901370648833,0.000700445924546043,0.0011436570796583428,0.0012682810440080615,0.0003738148512160084,0.029147569290442425,0.12886278578032015,0.03493916995905614,0.0031184729753073103,0.000471832393447276,0.00012137395676448912,0.008822264577807219,0.003770750670879288,0.0016306817135763733,0.0021918942337867437
7,0.014023027935799823,0.0014746315040358282,0.011642790794000477,0.024678813577062142,0.014663879560268038,0.0002284063141517302,0.15110998416899948,0.003434345798803468,0.006857847061755592,0.0006743682703106556,0.0005241698654799975,0.024298583872111614,0.0011920026306149055,0.005813603049599881,0.00575551986539855,0.00010144477018814815,0.00019181883457319634,0.003437890755096125,0.05041025743956272,6.941843383803453e-05,0.0007678818671047044,0.016361010673701364,0.031327755679352295,0.0004754605145438037,0.0009838632952702357,0.007669753432603146,0.008454597016434827,0.026462795927544046,0.008793457536074738,0.00043668723756119836,8.097300066091369e-05,0.2167066630965057,0.0021108270568733502,3.945380984412068e-05,0.005077916332897161,0.0007834735221574543,0.0034739654239687844,8.911344705004431e-05,0.0016978172855581293,0.0015645728780263016,0.01694265842453915,0.0022691752980464447,0.04539553912446004,0.026704190946185143,5.157366862918374e-05,0.006711255980401907,0.002084299779647195,7.795749207528704e-05,0.013949871380232908,0.0059714328051683006,0.0329051936406869,0.14237528882520978,0.02269728257366635,0.0017719433216430915,0.0010857104915610422,0.00255227533036164,0.008402084237027485,0.0028815036535211032,0.0011535710059648971,0.010076348485589443
8,0.006787250717540134,0.00036012931097518575,0.013098126293972107,0.02288384424003956,0.02502651879564051,0.0032710600004974676,0.09727532026699791,0.00408603816196892,0.009687812523735106,0.0030498756108765404,0.004830650085343745,0.007294847192597064,0.001541949991929154,0.004598154317136586,0.003905877971267284,0.002111064238396117,0.009504877343883078,0.007928071520059327,0.04130720140021744,0.00046776581012732474,0.0011163914305582319,0.017851313106615644,0.02952564753577754,0.004380232800884854,0.002187253771901152,0.00822826748570102,0.007621723816102714,0.027510395303523793,0.004067186133147784,0.012673092307567116,0.0016367444631235374,0.22894285326193844,0.0012935648173588298,0.004096286423134857,5.0987285217366575e-05,0.0020433774455389307,0.002746582864482804,0.002665662901666231,0.007354722766376887,0.004350842740926365,0.031037248801917997,0.0010337333588724717,0.06101313822353375,0.03310687034307731,0.00015822635556384757,0.019208025193456494,0.002513825528789914,0.0005289775330211342,0.003567896108415572,0.0032653879710720815,0.029980067913751313,0.12221312279068698,0.01102970788755916,0.0011081856267827893,0.008475439292641619,0.0024970630321226404,0.0041069902335588064,0.011082163453610674,3.7850574960833615e-05,0.014676515321859806
9,0.0037220887512338383,0.0016127755830424974,0.028303831984663894,0.021303025312284864,0.021901517771886155,0.0025552740309274496,0.1334960145904383,0.0005665249266846188,0.005858910585959425,0.0017340959395497598,0.0024031366969761107,0.0052589345876112754,0.005084138464388856,0.00016755617044598558,0.003047829082442192,0.003146958326846517,0.00678810004354134,0.001418481599870152,0.05705360887602723,8.86056680133737e-05,9.078880243632305e-05,0.025931719758071403,0.03554607076661072,0.006907086633746211,0.004056613943909861,0.01734602195847611,0.0030248300120785947,0.012669014834784751,0.012076443466910647,0.0015767971988000585,0.0024334539481684044,0.21467801275172643,0.0017729578317473064,5.035883098525852e-05,0.001350844669070332,0.0006585313333206967,0.0007409403080671356,0.006358038113373922,0.002547402902743005,0.0007427524755763624,0.041786743809038546,0.007829728259264973,0.03448169755985849,0.03710532529950417,0.00026726698362334206,0.019993245664000934,7.36342946319211e-05,0.0025578595948747805,0.00020144964197018838,0.0008693970597439125,0.03235773600125048,0.1098462529926561,0.021313512527897493,0.0013902475521534998,0.0042144223216812994,0.0024756539521277763,0.00551920486404559,0.004491578016355187,0.0055065649289266095,0.011648389142957344
