idno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
ub0001,0.00024207962349114898,0.009419576832225805,4.849634224874271e-05,4.623772371709998e-05,6.751286342271653e-05,0.000201701941491616,0.00030204129585594686,0.00010156061716390548,5.200269064096362e-05,0.0089044429940587,0.0001293675992678126,0.009743870682940562,7.612587538607566e-05,0.09226574941321414,0.00029300471886156975,0.00026858545495443405,4.992390979362174e-05,0.00228708516103405,0.00010992209673786172,4.3630815473280666e-05,9.305278997962966e-05,5.110149325871491e-05,0.00015026205731946034,0.00039523632668360376,0.00014531181152103938,7.045361270566321e-05,0.000239321345108095,0.0007995058474637806,3.431227015060515e-05,0.00014039659694717568,0.5459584140530706,0.0009698449329561113,6.345714555677292e-05,0.07611986674991066,6.861291088704109e-05,0.0004714019756115957,8.30453638435799e-05,9.124041372154311e-05,6.644074477210977e-05,5.293361525205215e-05,0.00021624484608785105,0.00010481497422820412,0.0004933494637495371,0.16240163524387574,0.00015207989138569505,0.0003963144964798455,0.08410516882675413,7.312274511575097e-05,4.462153537829344e-05,5.262946661859789e-05,4.878457934455482e-05,0.00011360669322155906,0.00013052321352012672,0.00030897786373096164,0.0003492690089645752,7.814588301235984e-05,3.358920566507192e-05,3.2655610764547476e-05,9.211007773286878e-05,5.5225665669872814e-05
ub0003,0.0003046485522559665,0.011854200710562307,6.1030913063732176e-05,5.818852238317739e-05,8.496252515502361e-05,0.0002538346828884802,0.00038010817340598937,0.0001278104060928429,6.544352716974425e-05,0.20266092453330808,0.00016280449902141442,0.0026895628616207053,9.580169281134894e-05,0.10654039723611926,0.0003687359642998098,0.0003380051936170916,6.282745578601093e-05,0.21347871639328947,0.0001383330292289316,5.49078215505741e-05,0.0001171036097208288,6.430940248035678e-05,0.0001890994275404199,0.000497390788149208,0.00018286972016541954,8.866335300115676e-05,0.0003011773575143445,0.02015164966244647,4.318076538308754e-05,0.00017668409833422166,0.1797133935034284,0.0012205151779272616,7.985854920529419e-05,6.663048604401309e-05,8.634689556417362e-05,0.0005932425345412266,0.00010450962167595088,0.00011482279898919221,8.361330215953298e-05,6.66150625139321e-05,0.00027213640844036917,0.00013190589812089794,0.0006208626637799159,0.03206715118171477,0.00019138710672850413,0.0004987476262951628,0.22071634916695587,9.202236072260772e-05,5.615460713459229e-05,6.623230233149214e-05,6.139364914485813e-05,0.00014296996218602067,0.0001642587982468374,0.0003888375961069701,0.0004395425620480793,9.834380019741726e-05,4.22708145762884e-05,4.1095918768303474e-05,0.00011591724005853389,6.949952602811251e-05
ub0004,0.0007322186890427949,0.028491411627143567,0.00014668697692370392,0.00013985532923507606,0.00020420628401511944,0.0006100882389292772,0.0009135848713698717,0.0003071905883100937,0.00015729263545065204,0.0039253095883110215,0.00039129841898467247,0.006464328085759125,0.00023025807737785703,0.00298067539097891,0.0008862519200671821,0.0008123909269459388,0.00015100494314141647,0.006917750755683949,0.00033248157118509047,0.00013197020900390538,0.1383293114893811,0.0001545667820463771,0.0004544979252553709,0.0011954720550733974,0.0004395249075486909,0.00021310117386049088,0.0007238757192689315,0.0024182668291921824,0.00010378438757228538,0.000424657848852319,0.3629147916892509,0.04894944329298346,0.00019193894661554174,0.00016014547510614658,0.00020753359963382548,0.0014258504355577305,0.00025118746703128137,0.00027597504969414824,0.00020096344473139791,0.00016010840485948806,0.0006540761896074928,0.000317034048197105,0.024500210800868727,0.16910486866563385,0.18452380238713012,0.0011987331972686162,0.0013053278154353126,0.00022117450364352213,0.0001349668413498888,0.000159188445920151,0.00014755880820543408,0.00034362637704704786,0.0003947938075707322,0.0009345659211693213,0.0010564346233654317,0.0002363679982156525,0.000101597333073211,9.877348683493384e-05,0.00027860552405253164,0.00016704117403664267
ub0005,0.00047882985699128204,0.2292746981827922,9.592503610455583e-05,9.145752259430003e-05,0.00013353942918270146,0.00039896340884232117,0.0005974331437501284,0.0002008853743707068,0.00010286054052659628,0.002566931788199173,0.00025588716705426083,0.004227307140842267,0.0001505758373991503,0.0019491941308759052,0.0005795589302681893,0.0005312579932629988,9.874874325306274e-05,0.07975343321028375,0.00021742425530125892,8.630109726789068e-05,0.00018405702006643685,0.00010107798564882546,0.00029721609105247025,0.015827694141060968,0.00028742457926165534,0.00013935618706712558,0.0004733740238044458,0.0015814105503133065,6.786915467034844e-05,0.0002777023587065219,0.4028310194393538,0.0019183387013491187,0.0001255172801982465,0.00010472613727344424,0.0001357153065342515,0.0009324260229434848,0.00016426248157339957,0.00018047216706659023,0.00013141879460493622,0.00010470189541623442,0.00042772905556478347,0.00020732244373335672,0.06115952833256525,0.005263618571580788,0.18085188326333207,0.0007839041177290778,0.0008536110052158245,0.00014463569085923158,8.82607263502328e-05,0.00010410029399038653,9.6495164748086e-05,0.00022471233176930527,0.00025817295467732724,0.0006111535707555227,0.0006908488504820772,0.00015457138212474888,6.64389439850777e-05,6.459230730306778e-05,0.00018219234941059808,0.00010923553669489414
ub0006,0.018954886277459344,0.02726678465574173,2.401645151673779e-05,2.28979341204818e-05,3.343384956398125e-05,9.988722188199393e-05,0.0189845806117212,5.0295043399693485e-05,2.575287208492504e-05,0.08351668851714998,6.406567034924647e-05,0.00482537830671697,3.769920184911075e-05,0.015556016157207288,0.00014510235820716384,0.00013300940355313824,2.472341425121793e-05,0.06893862600815301,5.44358313330622e-05,2.1606936025715307e-05,4.608178092237251e-05,2.5306579390792042e-05,7.441306389476525e-05,0.00019572969088604608,7.196159368689004e-05,3.4890173057710326e-05,0.00011851717501144216,0.0003959328174582084,1.6992188158738552e-05,0.03397253312828618,0.3231085805426117,0.04568429600781061,3.142536919254608e-05,2.6219955712306963e-05,3.3978617176712825e-05,0.0077674498464818985,4.112588417925259e-05,4.518425247972897e-05,3.2902912911884445e-05,2.621388635427492e-05,0.00010708918695714504,5.190667233970718e-05,0.0002443174665870089,0.0954928514452873,7.531329516361584e-05,0.011497265509723752,0.24130175614432675,3.621198592330408e-05,2.209756223507697e-05,2.606326528533388e-05,2.4159192843524688e-05,5.626052426259452e-05,6.463795585317996e-05,0.00015301260961041318,0.0001729656677419676,3.869955389568911e-05,1.6634110778980404e-05,1.6171774123780396e-05,4.561492915750246e-05,2.734895995325208e-05
ub0007,0.0004332041627864714,0.03046869648317368,8.678474065307236e-05,8.2742917818322e-05,0.00012081501554972737,0.0003609478544131828,0.0005405062384484433,0.00018174384731796985,9.305938986883045e-05,0.002322339595162397,0.00023150474924031573,0.00382450472553383,0.00013622809568777241,0.0017634635753087011,0.0005243351840042525,0.0004806366412512751,8.933938855850859e-05,0.3035624752622612,0.000196706807464115,7.807782669277259e-05,0.00016651899650506805,9.144668718922353e-05,0.000268895612942944,0.0007072797765237396,0.00026003709335436484,0.013738337113427463,0.02765278738216626,0.001430724553758647,6.14021868075138e-05,0.00025124126252945307,0.5686308304918375,0.0017355482305982475,0.00011355726358664868,9.474722170516088e-05,0.0001227835626497914,0.0008435790474045267,0.00014861059678767757,0.00016327572915271623,0.00011889644737060568,9.47252897531248e-05,0.0003869725429815119,0.00018756755526627345,0.0008828543200893855,0.004762070374760471,0.000272148647103321,0.0007092091732948795,0.027996793172088776,0.00013085396086496979,7.985073091666999e-05,9.418101241074444e-05,8.730054412291648e-05,0.0002033004336103671,0.0002335727337218603,0.000552919303354822,0.0006250207532287053,0.0001398429216691864,6.010825491610243e-05,5.8437576519338525e-05,0.00016483200251640818,9.882693931782963e-05
ub0008,0.00010591833032489618,0.05404431624777485,2.121885156533779e-05,2.0230626698401752e-05,2.953924690587741e-05,8.825167751825666e-05,0.00013215366615686912,4.443633396992691e-05,2.2753002031558248e-05,0.010552395728529852,5.6602864441781345e-05,0.0009350906331153776,3.330774188728467e-05,0.00043116648806889647,0.003456394568763963,0.010102099728191448,2.1843462462359966e-05,0.060908185015003787,4.809477470420684e-05,1.909001286022117e-05,0.06993280302623975,2.235869655204548e-05,6.574492306678177e-05,0.00017292976253989887,0.07661205762634199,3.0825927913811296e-05,0.00010471148673892616,0.0003498118644894992,1.5012822275567322e-05,6.1428437955605e-05,0.3853165326716578,0.00042434119192410265,2.776472801645381e-05,2.31656765747192e-05,3.0020556274336717e-05,0.06344195462766014,3.633526090582792e-05,3.992088280776731e-05,2.9070157373496333e-05,2.316031421687507e-05,9.461470861807902e-05,4.586022938731279e-05,0.00021585770298814268,0.16091767190838804,0.09991238195386098,0.00017340149966084178,0.0001888208329103055,3.199376700830202e-05,1.9523487584963665e-05,2.3027238516568345e-05,2.13449654095591e-05,4.9706914965522464e-05,5.710848622993336e-05,0.0001351886580199234,0.00015281744795472878,3.419156610980293e-05,1.469645618939935e-05,1.4287975658748654e-05,4.0301391330933586e-05,2.416316670720424e-05
ub0009,0.0005094930276854565,0.0038154889863090055,0.00010206785638397794,9.731425350952862e-05,0.00014209098930712859,0.00042451211456199085,0.0006356913981127024,0.0002137496150490074,0.0001094474946728568,0.01874074139520212,0.03229113191004925,0.27665830989899404,0.00016021837020527074,0.0020740160722784004,0.0006166725608128902,0.0005652785420909816,0.00010507238729069634,0.10087009012272236,0.0002313476081499047,9.182762247926247e-05,0.0001958436113605152,0.00010755078905095264,0.00031624913086803684,0.0008318343767610414,0.00030583059301981966,0.0001482802390846387,0.0005036878153990416,0.0016826804710039626,7.221534036478834e-05,0.000295485783659799,0.04440109835322203,0.050069472201153535,0.00013355512021927387,0.00011143255997551818,0.00014440620487593054,0.0009921364563756398,0.00017478147582071428,0.00019202919256011784,0.00013983455413320463,0.00011140676572512588,0.00045511984761783565,0.0002205988996354059,0.001038328250712676,0.3738175592867794,0.0003200750364476923,0.0008341035474823281,0.0009082743048768461,0.00015389783024451057,9.391274173347208e-05,0.00011076663911764763,0.00010267449476402296,0.00023910239639356206,0.0002747057611895042,0.0006502904499346587,0.08078223501615801,0.00016446978049177452,7.069354225293847e-05,6.872865117437447e-05,0.00019385953145361666,0.0001162307310392733
ub0010,0.0003557279775741055,0.058552882648775374,7.126376643806063e-05,6.794480141826397e-05,9.920791357508803e-05,0.0002963943130975933,0.0004438396663427827,0.0001492399584230806,7.641622910405019e-05,0.001907001913632548,0.01136788312545901,0.09256276689378096,0.0001118644489842293,0.0014480778003958651,0.0004305607161691016,0.0003946774177804979,7.336152959658938e-05,0.003360795787523755,0.0001615268753286639,6.411403621828003e-05,0.00013673798855809904,7.509194944118906e-05,0.0002208051094326421,0.0005807866731093017,0.00021353088741853115,0.000103529247109438,0.07859614688280732,0.001174847325336164,5.042074293831424e-05,0.0002063081426270133,0.2433786949864937,0.012602936690885372,9.32481706886074e-05,7.780220148658929e-05,0.00010082439683822398,0.0006927095679941932,0.00012203240777124944,0.00013407476175860748,9.763247077738484e-05,7.778419194371725e-05,0.0003177646290517612,0.00015402212819057984,0.0007249606738722842,0.4621994511369908,0.00022347635630018615,0.0005823710078648153,0.0006341570227646706,0.000107451448657941,6.556986625911572e-05,7.733725561466861e-05,7.16873212902881e-05,0.0001669412676530565,0.00019179953315519532,0.00045403272276735507,0.02286880268257433,0.00011483278319269942,4.935822365897553e-05,4.798633691754893e-05,0.00013535270417877642,8.115228401140441e-05
ub0011,0.00034050367456509907,0.08814515846876236,6.821384840458212e-05,6.503692711573479e-05,9.496205316383088e-05,0.00028370934841329587,0.00042484439469195735,0.0001428528466654422,7.314579804428527e-05,0.02322418585076497,0.00018196551318564816,0.0672025037607896,0.0001070769192574828,0.0013861035487101098,0.0004121337516906957,0.0003777861722842091,7.022183233859116e-05,0.1530085550701407,0.00015461391303969328,6.137010946510761e-05,0.00013088593108191447,7.187819437017697e-05,0.0002113551811057675,0.0005559303985050172,0.00020439227832174024,9.909844400242052e-05,0.00033662394313062875,0.0011245666817044366,4.826285624729004e-05,0.00019747864965882344,0.05107287959012839,0.0013641617525151687,8.925737295804886e-05,7.447245413785045e-05,9.650935482597274e-05,0.0006630632623189963,0.00011680971383107124,0.0001283366839925758,9.345403553377731e-05,7.445521536015579e-05,0.00030416506617447596,0.00014743035105329542,0.011393333617612366,0.19633223585226992,0.17140430441353854,0.0005574469275384443,0.0006070166253865996,0.00010285278474547324,6.2763633476987e-05,7.402740683248388e-05,6.861927612648035e-05,0.00015979658237755463,0.00018359097382383827,0.00043460121278449343,0.22517866372322198,0.0001099182158915402,4.724581024101767e-05,4.5932636956957976e-05,0.00012955993354668064,7.767916117724332e-05
