year_range,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0.00973565940002319,0.03933611359358899,0.00029372006294690634,0.0002800406482420922,0.00040889439439652356,0.0012216159859554478,0.004585823468931472,0.0038536667945790223,0.0003149564041372279,0.027200551917444693,0.0007835201097298669,0.17389990534956667,0.00046105945053755414,0.005968383709468527,0.001774594958653651,0.0016266986968050169,0.0003023661836582822,0.03853551908414851,0.0006657476353062008,0.007367577199262901,0.000563577995016947,0.0003094982656556904,0.0009100682420136079,0.022086893001759113,0.003636584992999225,0.00042670516165125514,0.0014494594291079828,0.019464067569196514,0.0002078136552401183,0.0008503176813077069,0.262463406695492,0.005873905155475767,0.0003843307747163046,0.00032066881474628376,0.00041555687646184606,0.08164007208082368,0.000502967612907289,0.000552601264733284,0.03634054210288267,0.0003205945867854221,0.0013096956772345927,0.0006348161407757435,0.022283477835837336,0.068964489266889,0.0592151724151321,0.0349791203840086,0.0026137355623289285,0.00044287087030374486,0.000270252138045313,0.00031875249825624616,0.0002954657826032741,0.0006880635432890054,0.0007905191342994124,0.0018713369581313428,0.046219331758375726,0.0004732937086204059,0.0002034343858693236,0.0001977800305049032,0.0005578684200754141,0.00033447648306425375
1799,0.003687722736331046,0.03912855360824682,0.001216636264554284,0.0021454116901909862,0.002522424815404627,0.0036716619050701014,0.004025562900315009,0.0025503280792542856,0.00019510566979993752,0.036881236390533534,0.001633070869756103,0.0873619999711187,0.0008098148190375932,0.02010718497023883,0.00740774910426927,0.005683903240591768,0.003132272597877917,0.07349593788483912,0.0010275557567819183,0.002264377264997822,0.005260192836615855,0.0036033964784551818,0.005042698566698221,0.007358070867148899,0.012246701614356483,0.0017645148886104996,0.03208486872531754,0.04619780317216571,9.966468736621344e-05,0.001184611162390468,0.28483444813373504,0.023708249311653374,0.0009500115028684103,0.0007127097612511737,0.0020105103763140334,0.010483983532821971,0.001767360235035369,0.003916576660506875,0.0026295723778014825,0.00021916368858466666,0.004964942097290736,0.017451683865644482,0.06733144639083367,0.07999831058404519,0.015145493167509185,0.003513192517009137,0.02112343273279197,0.001877950050600227,0.0003915539560172172,0.002704134054877651,0.0028890221118177484,0.005599697515889469,0.0034271326659859303,0.0079209944369055,0.010122356848691448,0.004527972059621675,9.756444755171048e-05,0.0019039226860353994,0.0017423186639239747,0.0022432600280504365
1804,0.005081156195267349,0.0701424445371517,0.0016897936826825721,0.0002782571458077401,0.0019717554651747372,0.0041386171538448265,0.007465415478316544,0.002467405876320052,0.0007680071812976851,0.03894671613482689,0.001383952943546817,0.06899453007188111,0.001690727089009606,0.03354914360765472,0.01479340746240297,0.00873074848045504,0.0028264032986405367,0.07362600541199849,0.003198824327572995,0.0004299919580892783,0.001179683025337585,0.0010160803641562088,0.004618102776391535,0.05376233931402622,0.009729821065292257,0.0011013339634444264,0.024243069314601684,0.06881503271355616,0.0008288312275927971,0.004150502452428107,0.20454449385639364,0.045772213817690935,0.0015541355297615988,0.0007693443589509881,0.0028727895164344895,0.010447153831902546,0.001645777696360769,0.005008994219000692,0.0036991626574526945,0.003284700625142516,0.00811660612950876,0.002869069140703856,0.027699087164808855,0.09085755453718794,0.004807802320164423,0.0037300528320223926,0.019975500317186763,0.004096565686423115,0.0011975157714928368,0.0024039417227038683,0.0005576173587049954,0.0019574708772772957,0.0042703307114836985,0.013891881975310624,0.015126602137210248,0.002564434024616993,0.0013031826628700617,0.0008667577999944248,0.0017020816164207146,0.0007890793860487156
1809,0.02116616467335176,0.0774325600721583,0.002730364533290954,0.0015446724069875688,0.002778020585109468,0.01313476274444941,0.007319096195850946,0.006617895830854631,0.0021699167458192727,0.030150180126412636,0.0028236433899308023,0.08045500903439755,0.0022089915571858586,0.04470621948696914,0.023086841113914985,0.007797193412735917,0.0017114641370839447,0.0826684543676867,0.00519148899293366,0.002729969581175055,0.0031971262276132557,0.0005221500287487323,0.0066161216466563,0.019835739191522855,0.002075556253484766,0.004464396583544102,0.004782890928392105,0.025541838749178133,0.002333241667490873,0.0026350329576859013,0.17253077485965831,0.07936568767118217,0.0023221456736351375,0.0010612971894144781,0.002724592278144696,0.0051777853977382,0.0037104206687191394,0.0003317254820016314,0.002622075450462476,0.0005566135319561042,0.01560114783596059,0.002740411858358856,0.016999098049065915,0.11482629234920601,0.0010025259438470574,0.007611571629924833,0.01155789316309902,0.0027293593249690263,0.0015651626633416194,0.0008302933206310755,0.0016948975444220661,0.0062837719379542295,0.0013512389799853139,0.01016064684989557,0.02846824674945135,0.004368256439864187,0.0004712265594150381,0.00045010502662683085,0.008389176193752457,0.0020685561547010576
1814,0.001807502224871443,0.14184556103533097,0.00041967160733597983,0.002964316678296593,0.0010760006128308643,0.010311933853228188,0.02332161043289526,0.005837203136229061,0.003286128928134781,0.03257299161226105,0.0017483795974110059,0.0771903830255944,0.001954962764634074,0.05081370186790095,0.03866716622775981,0.019007423155996114,0.001309310273506076,0.05120507453558068,0.00485368388401212,0.0020614239773453654,0.002141829767637035,0.0036922145713840088,0.005286710604696437,0.0091277989130142,0.0019118184306782498,0.0009869846364740907,0.0021187319548867743,0.020618397890602734,0.0011047215204593815,0.026375112990982708,0.20565982211619144,0.021594314747518287,0.0018019129341832899,0.0024385466625707645,0.0004086082147804927,0.007913034219490979,0.004755797570301641,0.00026949382315955787,0.0004957770995708577,0.008380417107440747,0.006075979332387648,0.0005511061070346014,0.007612486419480636,0.08285459214041736,0.0010770363904920128,0.00994167355813181,0.01418010612604671,0.0011464853391358932,0.0004939565818888929,0.0022079567399826408,0.007281757311683574,0.014415787918864248,0.007752177519255539,0.01852791644624991,0.019506845779246784,0.00023081693646691444,9.921133719536817e-05,0.004499733863628204,0.001838832198404796,0.00036906674682792744
1819,0.006299498826741493,0.04692536303239579,0.001243976397526106,0.0012565361121770243,0.004691110061426588,0.005617077601548973,0.028819313698374757,0.004736103494212953,0.0030852211029558946,0.11824347417825327,0.0009301168453576805,0.05938032151911055,0.00364756367134246,0.026064413136916615,0.005718749431946888,0.008307807800730057,0.0011256108931917519,0.05985743824793127,0.0013296216557158328,0.0016270843885219817,0.0009920246351507868,0.0030438790457657317,0.002336037029513927,0.00422309395589482,0.0017090100695093904,0.0009133105861508177,0.002714324121190807,0.01090242573024862,0.0010045206959016823,0.005443460816480136,0.20691784338747088,0.01874534006462631,0.0008331451560568065,0.003559693327283401,0.0013511859296481796,0.09952159116332357,0.002126358947207383,0.002230706208304061,0.0014468330998426296,0.0014983340210717913,0.0029484065214285472,0.0007874734288839669,0.006610134872100705,0.08111276489488353,0.006069497227791348,0.06412991099618212,0.015572185171598519,0.00334031477928962,0.00032236088650801673,0.0026163155444499917,0.0005240705210362837,0.016924171405266697,0.0007587529148115564,0.009161287652614328,0.010614174634570973,0.004081849210726927,0.008223080107521425,0.0015167715028190302,0.0018651338172523929,0.002401823823244415
1824,0.00238486611738311,0.032642745531794574,0.0019742422868322448,0.00014367992756034656,0.0022647951035237143,0.003870370445403051,0.01130972833248646,0.0003155912736183728,0.00016159408862667494,0.03436490929356297,0.05287080687708303,0.15238357157611734,0.005845754749306675,0.018740328528300078,0.00532417479057107,0.003488252299488987,0.000886593698623105,0.11311769256063593,0.004164267387984641,0.0032016115412504906,0.017149723313603683,0.0007007338012878394,0.0018641659453658716,0.005009167846747329,0.004447037946281036,0.00021892881301530687,0.0017460796530315316,0.015121715732248651,0.00010662256039751254,0.002950784123798553,0.14212010445775167,0.027078945280641517,0.0031029442845638606,0.00030386970950570133,0.0008403840022566423,0.0023208549333692363,0.004217671920512228,0.008587486274757158,0.0028327323455313532,0.004196935142026508,0.006444208714707191,0.0012795893154900592,0.01058684370059559,0.14330024923893228,0.0012517356919139941,0.0060249596816239655,0.014989996260688301,0.002762483058118113,0.010340206795553556,0.0019355149198738899,0.01006806258037165,0.001726463587053809,0.06806412085248853,0.00934587175689699,0.006512426169863503,0.00112770060716207,0.00010437569691568302,0.008399512733915789,0.0010522601571247544,0.0003109539838642874
