sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
AdelheidLouiseTheresaCarolineAmelia,0.001955039923688852,0.0666515926153442,0.0003916574384982756,0.0003734167896652008,0.0005452352471904333,0.0016289489491711814,0.002439291599537218,0.0008202055933764874,0.00041997477886048396,0.010480662502645004,0.0010447753419015114,0.08538947218906971,0.0006147941055889076,0.0788113672411214,0.0023663120214020873,0.0021691015533872524,0.0004031865027943585,0.11385195053415932,0.0008877330711230436,0.00035236334608924154,0.0007514962093761744,0.00041269669061823035,0.0012135194067083826,0.0031919365488720154,0.0011735411217605797,0.0005689847977342043,0.0019327640118142798,0.006456825355528242,0.00027710658604557464,0.0011338457496891166,0.3111521019881032,0.04871023208731662,0.0005124811878739631,0.00042759192317247337,0.0005541192527076752,0.0038070518663879394,0.0006706760339843374,0.0007368594221480474,0.0005365767953362882,0.00042749294480264613,0.026505266688420945,0.0008464878466900354,0.003984300223418416,0.1683324682116271,0.0012282002713052342,0.02795951281820276,0.0034852538331324096,0.0005905407649324274,0.0003603644200316092,0.00042503663430214586,0.0003939852470997354,0.0009174899466684788,0.0010541081059197127,0.0024953114616530704,0.0028207035635031477,0.0006311077279359198,0.0002712671026713339,0.0002637273714178097,0.0007438828462504864,0.00044600359022304003
AdersbachGerson,0.0022003832762410762,0.08561926457083807,0.00044080761075249533,0.00042027789258471836,0.0006136583222665366,0.0018333702458841407,0.002745405030588657,0.0009231354556380113,0.00047267857226363527,0.0809369544028771,0.0011758870813295028,0.15770797890259314,0.0006919463136675669,0.008957198689898508,0.002663267043895948,0.002441308090290159,0.00045378348912736885,0.020788465658954786,0.0009991371428260175,0.0003965823943033243,0.0008458035415204474,0.00046448713665292685,0.0013658073042707266,0.00359250147061367,0.0013208120340739086,0.0006403882694157247,0.0021753118987423783,0.0072671101790629375,0.00031188145586329337,0.001276135180270633,0.2608991825565691,0.14709749698412394,0.0005767938657018942,0.000481251613025479,0.0006236572061406254,0.004284809305978964,0.0007548410193948013,0.0008293299434908478,0.0006039132974068643,0.0004811402135870131,0.0019655580095630397,0.0009527159414134343,0.004484301048232071,0.16247017638856992,0.0013823305110596295,0.003602301497375053,0.003922627949924249,0.0006646493543948362,0.0004055875450838441,0.00047837565390663664,0.00044342754247607744,0.0010326282907611546,0.0011863910396466338,0.002808454979719348,0.003174681433949954,0.0007103071774802852,0.0003053091596135457,0.0002968232466884002,0.0008372347564564037,0.0005019738109585752
AretinJohannChristophANDBaboJosephMariusFranzvon,0.0014167427089925135,0.010609696127052265,0.00028381917611592755,0.0002706008750835929,0.0003951111441679772,0.001180437043303356,0.001767661389865839,0.0005943716443899865,0.0003043396703575596,0.00759493553360125,0.0007571087578514841,0.1905766943424047,0.0004455177902358173,0.005767197957707379,0.0017147758789483895,0.001571864990371832,0.0002921738483582018,0.013384898654464529,0.0006433062265409101,0.0002553442492090962,0.0005445805799506791,0.0002990655179846703,0.0008793911320394305,0.31393401052751285,0.0008504203969503197,0.00041232153571397193,0.0014006002070660506,0.049196291135528064,0.00020080855159884483,0.0008216546780094617,0.03443118422547689,0.00567590414180044,0.0003713755292763077,0.00030985952370510294,0.00040154904341018464,0.0027588249780007338,0.04500328987498504,0.0005339738596800278,0.00038883669504451526,0.0003097877978635477,0.001265547693085257,0.0006134173888306456,0.002887270087720035,0.015573784978785147,0.0008900297934945131,0.0023193842805046714,0.0025256302427634704,0.00042794232125053616,0.000261142321685576,0.0003080078035266344,0.0002855060500380853,0.08969942307112481,0.0007638718552273097,0.0018082568428024973,0.18011316241061218,0.0004573396488267037,0.00019657690118879656,0.00019111314612591359,0.0005390634666843277,0.0003232017551031557
AretinJohannChristophANDBaboJosephMariusFranzvonANDSchererJoseph,0.00026639636494913993,0.018736546610372492,5.336776843122782e-05,5.088227313030512e-05,7.429448684588283e-05,0.00022196277093315626,0.0003323811484839569,0.00011176231540795026,5.722632724944682e-05,0.001428109144541305,0.00014236249086202975,0.3120706939929825,8.377267028492068e-05,0.0010844316064756027,0.00032243685318075017,0.0002955646900231082,5.493873421178657e-05,0.0025168213848071595,0.00012096370019191111,4.8013502641099515e-05,0.00010239988249095837,5.6234605173583985e-05,0.00016535578369794975,0.0841427313954063,0.09223848150805436,7.753063249046834e-05,0.00026336101928821023,0.0008798156922435894,3.775891547356234e-05,0.0001544993442181415,0.006474247060063522,0.0010672652285965603,6.983137474596599e-05,5.826424956060774e-05,7.550503336583103e-05,0.0005187539988774137,9.138721687832308e-05,0.0001004054542110745,7.311467457090931e-05,5.825076263504112e-05,0.0002379665008810459,0.0001153435705324958,0.3353740814403192,0.002928407311019947,0.00016735621801927683,0.00043612403107831047,0.0004749053668017555,8.046787752316028e-05,4.910373971918144e-05,5.791606246826141e-05,5.368495875671035e-05,0.00012501841200699806,0.00014363418581784723,0.08404780832569357,0.05060902915614862,8.599558636951762e-05,3.696321962856728e-05,3.5935845724692e-05,0.0001013624754093197,6.0773048033464625e-05
BassewitzAdelheidHenriettevon,0.004356122006095236,0.005208505612416552,0.004164482818059559,4.577337346951597e-05,6.683485394635795e-05,0.00019967631525095463,0.007126662140772463,0.00010054067729806378,5.1480444727174495e-05,0.02799209327468026,0.00012806840302889518,0.005529542686677722,7.536136826415605e-05,0.13160243328849752,0.0037038892420066527,0.00026588813959201203,4.9422540391986234e-05,0.05577827232926414,0.016574712219768504,4.319264554754495e-05,9.211829142321729e-05,5.058829777375159e-05,0.00014875302491237908,0.0003912670982831612,0.0001438524928039348,6.974607025173044e-05,0.00023691791957328683,0.03834357447782019,3.3967683309845286e-05,0.0001389866401129844,0.4506157625609118,0.0009601050993628384,6.281986632065506e-05,5.241415312222682e-05,6.792385399590189e-05,0.0004666678406566372,8.221136657551783e-05,9.032411626363866e-05,6.577350223064387e-05,5.240202036865791e-05,0.0002140731702407867,0.00010376235192501365,0.0004883949173916933,0.2374789877380734,0.0001505526030691341,0.00039233444037484546,0.004543695395143992,7.238839744313912e-05,4.4173415978487725e-05,5.2100926199867845e-05,4.829465186379201e-05,0.00011246577857689798,0.0001292124118274578,0.00030587490069585897,0.00034576141521323867,7.736108961840994e-05,3.325188032305993e-05,3.2327661208978924e-05,9.118504652540857e-05,5.4671052478191984e-05
BayreutherPostamtANDOsmundEmanuel,0.0004217229580233058,0.06941566710560168,8.448468570589204e-05,8.054998325355841e-05,0.00011761305663255242,0.00035138165772964435,0.013777675248779207,0.06643439729593019,9.059303796826955e-05,0.0022607906565507226,0.0002253691816304,0.016974637963101863,0.00013261764409140038,0.0017167265211902188,0.0005104387348719015,0.0004678983340766832,8.697162780833818e-05,0.003984293702430323,0.1857124100594588,7.600853098250832e-05,0.00016210574552535877,8.902307672855921e-05,0.0002617690757179622,0.0006885347490362784,0.0002531453333684585,0.00012273608792500042,0.0004169178063051325,0.2664226868924888,5.977484538237914e-05,0.0002445826183430658,0.35478800375767106,0.001689551016527916,0.00011054765678324937,9.223613721755824e-05,0.00011952943135228566,0.0008212216819654014,0.00014467197191223618,0.0001589484344489913,0.00011574533624301548,9.221478652778559e-05,0.00037671661428702346,0.00018259645458458413,0.0008594560425663973,0.004635861280375156,0.0002649358947527582,0.0006904130110277882,0.0007518064148773813,0.00012738593989975464,7.773444794689022e-05,9.168493416132334e-05,8.498681884252249e-05,0.00019791236464143736,0.00022738235834387748,0.000538265289648004,0.0006084558356552246,0.00013613666638291242,5.851520655246405e-05,5.6888806125337525e-05,0.00016046346191827388,9.620773012296276e-05
BergnerCaroline,0.001044689026330975,0.007823462260497375,0.0002092848453488492,0.00019953782921983072,0.00029135020344441584,0.0008704400718536639,0.0013034522390978187,0.00043828249866066296,0.00022441641088509663,0.005600414074681743,0.0005582828879556988,0.009222944886347992,0.00032851945772536384,0.004252662378887277,0.001264455099704276,0.0011590743300758175,0.00021544548013080096,0.10834937548406996,0.0004743662707222222,0.0001882877768788109,0.0004015671668654685,0.00022052731438777066,0.0006484524392913048,0.0017056332430590616,0.0006270897678335787,0.0003040409390824667,0.001032785739648741,0.003450249026694294,0.0001480738096742441,0.0006058782728166707,0.4521336941302875,0.13549135978170693,0.000273847846627504,0.00022848668432467944,0.00029609743288012703,0.002034324342586322,0.0003583803504148423,0.00039374589896567336,0.00028672350015951657,0.00022843379455217416,0.0009331996408895123,0.0004523266014389368,0.0021290382209482265,0.24126945028550525,0.0006562972602361598,0.0017102860599232475,0.0018623693507912567,0.0003155595183764607,0.00019256320575633624,0.0002271212481463225,0.00021052872588135272,0.0004902670617820573,0.0005632699145821194,0.0013333868376192548,0.001507262344681098,0.0003372367540010709,0.00014495344158017425,0.00014092453434068458,0.00039749891392878577,0.00023832508521415806
BornträgerJohannFriedrichWilhelm,0.0016351153567584426,0.3718983354169277,0.0003275662478896402,0.00031231051594124984,0.0004560124399121735,0.0013623862151825954,0.002040123634145259,0.0006859863807274905,0.00035124971211344876,0.008765597059901582,0.000873807324958545,0.06581451325054218,0.0005141886214764496,0.0066561372691441145,0.001979086502630651,0.0018141477405842254,0.0003372086852901056,0.2209641748682516,0.0007424635986751537,0.00029470227762008847,0.0006285206647740579,0.000345162617057969,0.0010149379527193052,0.0026696050579935976,0.0009815017518197981,0.00047587559172799853,0.0016164846959977224,0.0054002243978787355,0.00023176060438044312,0.0009483021676681758,0.1938754327803897,0.006550771686939939,0.00042861828558539916,0.00035762037978537986,0.0004634426584334197,0.003184062327976032,0.0005609259786922736,0.0006162790551371769,0.0004487708652410266,0.0003575375983288324,0.0014606155758129678,0.0007079677814561836,0.0033323055976039427,0.017974283417893432,0.0010272164268629485,0.002676887504841473,0.05429396523154125,0.0004939041202345118,0.00030139404831755863,0.0003554832407826412,0.0003295131317080838,0.0007673510311945289,0.0008816128667187203,0.002086976353478114,0.0023591209865652307,0.0005278326673604981,0.00022687669954297017,0.0002205707769840041,0.000622153159531555,0.00037301914436973724
BrockhausFriedrichArnold,0.003593940892572969,0.037305766675463675,0.00027516781373363293,0.0027047740251657827,0.00038306738540488353,0.021048544204047254,0.0026044681201985212,0.0005762540367084045,0.0002950628032635057,0.04179116944569282,0.0014963843747175791,0.09897952083915607,0.0036729517277000476,0.011772738755268566,0.0016625061636450767,0.01700544109180349,0.0002832678192611969,0.2006119350529726,0.000623696997295883,0.00024756085816986446,0.0035549496165531787,0.00028994941734784363,0.007522008942009667,0.003133255894586799,0.004103287161447693,0.00039975317062919413,0.002882614718098143,0.009254252015317297,0.0001946875150532531,0.006099416182466463,0.18779655546067286,0.02379461646453298,0.0003600552783769341,0.006680937163208732,0.0016603980478968,0.0028967689352416095,0.010283162838497383,0.000517697294347185,0.0003769841937357598,0.0003003448612106842,0.005322674370645655,0.004415494749117439,0.0038948783539126787,0.13346825160872913,0.0008628999484293057,0.01654593500065675,0.011114938853870616,0.0010217944673390899,0.00025318219408189044,0.00029861912457495167,0.00027680326844658316,0.007013381330072949,0.0007405875503271082,0.00535202722187884,0.017371598274413275,0.0004433990437980461,0.00019058485360608435,0.00018528764446044342,0.05353776571950973,0.01865398216865714
CarlAugust,0.0037603507516576883,0.028160496999904774,0.0007533193186512692,0.0007182350031244763,0.0010487129939189498,0.003133142874069881,0.0046917671034179325,0.0015775947499566151,0.000807785281635319,0.020158650798971608,0.0020095353013660647,0.15135669379455438,0.0011825034614658322,0.015307428114908494,0.004551397176353582,0.0041720798423959685,0.0007754944799185053,0.035526502728198364,0.00170747803194233,0.000677740519397278,0.0014454381731824652,0.0007937865063362704,0.002334099962806339,0.4787744907557369,0.0022572051781874127,0.0010943932069707087,0.003717504955545578,0.012419146936483343,0.0005329906292448743,0.00218085455209656,0.09138803302881196,0.015065113990340676,0.0009857133845103943,0.0008224362020549027,0.001065800612652309,0.007322536063795534,0.0012899875332229671,0.0014172855747683676,0.0010320592082118565,0.0008222458256933421,0.0033590454983431625,0.0016281463984448876,0.007663457998183468,0.041336294642218906,0.0023623373402393236,0.0061561625602301615,0.0067035852886363385,0.0011358542515633955,0.000693129895362799,0.0008175213242010999,0.0007577966578186955,0.0017647128167507808,0.0020274860683891084,0.004799516478795205,0.005425380135055839,0.0012138813076732382,0.0005217588863891138,0.0005072568633138045,0.001430794525548761,0.0008578494563797736
