idno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
ub0001,0.00010485088253592948,0.003622590045091476,0.0004172013712945248,0.003610543553008415,0.00034896162568552776,6.791525687167815e-05,0.2384996854387328,0.4001053283638599,6.989513389504248e-05,0.00011794907437746841,7.097333154193308e-05,0.06026503439033928,0.0003171371719457946,0.00016288475536116058,0.0007430410470508082,0.0002407163745553501,0.0002004715339031116,0.00014926675946162014,0.011506765658314592,0.27937878823217344
ub0003,0.00013672588963003503,0.00011775955948502837,0.0005440319362649875,0.00010205089488305617,0.005061156652427276,8.856171441428326e-05,0.16360885439475525,0.3605248062683479,9.114348045029915e-05,0.00015380597411540498,9.254945366580936e-05,0.14307133348770076,0.0004135478969782024,0.000212402247318174,0.14375832443942746,0.00031389493024361434,0.0002614155279905073,0.0001946443366615345,0.03803540742478513,0.14321758349045532
ub0004,0.0002513365952953062,0.008683660318948313,0.0010000676167677164,0.00018759522820550068,0.1024427544108456,0.00016279871964725202,0.2245495527316703,0.4087196697709147,0.00016754465538112892,0.00028273408916808365,0.00017012918799612175,0.0005182711151265637,0.000760205113305788,0.00039044878638913084,0.027182699216468504,0.0005770178805298988,0.0004805475315629298,0.008824993889187789,0.052984274091761485,0.16166369905082795
ub0005,0.0001926218393059588,0.0001659017396430439,0.007255609975053728,0.0001437710965230038,0.1369136107501223,0.0001247673017065591,0.0033741457890213602,0.4754678502551632,0.00012840453912999576,0.000216684562890903,0.0001303852989372225,0.00039719777113051926,0.0005826135545550233,0.00029923602371030583,0.05327838839141622,0.0004422207014044434,0.00036828679601883055,0.00027421836668742273,0.08603079234633745,0.2342132929012427
ub0006,5.099371932980335e-05,4.3919976977510784e-05,0.01222826799581243,3.806122384797166e-05,0.08091144637029025,3.303025652587229e-05,0.13832598696639342,0.5089666667546425,3.3993160135218357e-05,5.736396154752122e-05,3.4517536343198805e-05,0.09630806512623977,0.015615420578913675,7.92182125424117e-05,0.000361374417529086,0.00011707124389684592,9.749836039737066e-05,7.259516613650648e-05,0.00387835063357986,0.14274615833891874
ub0007,0.0001951546216394333,0.03304055421673514,0.0007765196991502268,0.10533756885953206,0.040096473120587665,0.00012640786551124642,0.003418512392911101,0.4554217946801541,0.0001300929289274258,0.00021953374569802487,0.00013209973372241035,0.026700397349653127,0.0071647685408420874,0.0003031706747193681,0.3038097251846354,0.0004480354562840022,0.0003731293948330118,0.0002778240608141253,0.008268079749322008,0.013760157724328254
ub0008,4.517343056439209e-05,3.890706652620496e-05,0.0047452395626347895,3.371701604215506e-05,0.03971796481559958,2.92602700745442e-05,0.14688712785041716,0.4660928678013616,3.011327040299004e-05,5.0816590119773904e-05,3.057779569222461e-05,0.016833297213970845,0.00013663379525081108,7.017645448796273e-05,0.06119338952696408,0.03206217129306065,8.637015443151993e-05,6.430934514834163e-05,0.033872316627639,0.1979795701196114
ub0009,0.0002720695749553307,0.000234328651162644,0.0010825640854285274,0.00020307012570752362,0.0009054939632334404,0.00017622813106725916,0.42638593626044896,0.07580913770751853,0.0001813655632679464,0.00030605707606949363,0.00018416329628089304,0.0005610237611376711,0.0008229151103641025,0.00042265725462661813,0.1852411515348163,0.000624616599556233,0.0005201883255581813,0.000387320953524319,0.304827666745139,0.0008520452801369599
ub0010,0.00015950093136257352,0.00013737529494620553,0.0006346537642581767,0.01623915935369244,0.0005308463120238058,0.00010331383449299129,0.3574363752168997,0.3614719647582584,0.00010632565682173284,0.00017942612176023392,0.00010796582927152653,0.000328900474934341,0.016602543801840956,0.00024778303774379145,0.10859772248083896,0.0003661818098921936,0.00030496067935596965,0.005600436907886926,0.12497168194501918,0.005872881788699971
ub0011,0.00017553563533812268,0.11842232967928246,0.006612013006031334,0.0001310181174801155,0.0005842125425348022,0.00011370002307836223,0.09177820571298266,0.2381448677545313,0.0001170146253285485,0.0001974639145387988,0.00011881968508951102,0.012189079393150915,0.0005309337758579606,0.0002726927835768888,0.14908288881691215,0.00040299424021904187,0.006249175719562208,0.00024989427674087204,0.3149418601371227,0.05968530016064135
ub0012,0.0005198258910459422,0.00044771672800317507,0.05460507101308042,0.00038799306779545783,0.001730069252880724,0.00033670778981604124,0.026617988939233887,0.2849414856203458,0.00034652355209614485,0.0005847636300562505,0.00035186900116593664,0.0010719121260773738,0.00157229113387788,0.0008075441145133043,0.003683821871833445,0.001193414884702615,0.0009938904777918476,0.0007400293098542893,0.6174391333144702,0.0016279482813592965
ub0013,0.0003529435386796481,0.0003039839473743112,0.0014043613631600418,0.00026343367787119075,0.0011746563124125171,0.0002286127737877021,0.006182491866390314,0.08645357269967971,0.00023527733192851968,0.00039703398472118245,0.24993286656574995,0.0007277907188696321,0.0010675305062410798,0.0005482941160217407,0.026281562910723803,0.0008102868282924343,0.0006748167575609622,0.0005024539328371903,0.6213527104113961,0.0011053197563020583
ub0014,0.009185160105305021,0.0002280577553577732,0.17054065035549032,0.00019763574287351828,0.0008812619358343018,0.00017151206991841204,0.004638288402217839,0.04701928646645434,0.00017651201870904566,0.0002978666476910061,0.0001792348812692031,0.0005460101401711544,0.009721264400408828,0.0004113464755486613,0.028637577854960763,0.05413012965534311,0.0005062675063484919,0.0003769558132371913,0.6713257381738085,0.0008292435990524635
ub0015,0.0005108792568104192,0.0004400111522025738,0.019243615599963,0.0003813153856651968,0.001700293327759902,0.00033091276980717953,0.008949042846212259,0.14235077897929055,0.000340559594686558,0.0005746993635345822,0.00034581304414941263,0.0010534636303602015,0.0015452307008966412,0.0007936456112912679,0.003620420245550846,0.0011728752258503405,0.05260927015425968,0.0007272927923531866,0.7617099503765956,0.0015999299427606464
ub0016,0.00011916195322865105,0.00010263205569590198,0.00047414508195571417,8.894134092600825e-05,0.004410995707772164,7.718499326967054e-05,0.002087353148255267,0.06933278227576216,7.943510321200485e-05,0.14063820181634054,8.066046378563658e-05,0.00024571908562662757,0.00036042314510344376,0.05237237401854749,0.21360789158556026,0.0002735716922201947,0.00022783384334845792,0.00016964014206998025,0.5148778708718714,0.00037318167544843285
ub0017,0.0007401847158022662,0.0006375078363452699,0.027881010931615047,0.0005524667846797356,0.002463461017082316,0.00047944122062086543,0.012965773512084456,0.10650090308589884,0.0004934179719501659,0.07564010413139689,0.0005010294044869297,0.0015263052227143911,0.002238799348270565,0.0011498692566007554,0.0052454267712268,0.0016993140828180278,0.0014152095028639488,0.0010537343249634966,0.7544979908223304,0.002318050056248972
ub0018,0.002265412157442948,0.0019511589095113566,0.009014068701888277,0.0016908819432192015,0.007539678161871009,0.0014673796240125894,0.11600175518054942,0.09700109088820373,0.00151015692230986,0.0025484121887319,0.0015334525016918964,0.004671415571933458,0.006852077803511918,0.07983795365900404,0.016054173133842917,0.0052009271474316296,0.08065005502628507,0.003225063284236941,0.5538902543724378,0.0070946328218841215
ub0019,0.0008456152564539322,0.0007283132723676892,0.003364700764051841,0.0006311591307351926,0.0028143518438724672,0.0005477319405203774,0.014812594288253106,0.06469543506175811,0.0005636995144345575,0.0009512512853101537,0.0005723951053311911,0.001743709313064762,0.0025576897828601627,0.001313654504815111,0.005992575649922236,0.0019413612349188489,0.001616789324544812,0.0012038262914852668,0.8904549176203301,0.0026482288149701143
ub0020,0.0002534828826727501,0.000218320266054286,0.009548101807419952,0.00018919719655353647,0.0008436342802419948,0.00016418893835628003,0.0044402452195502285,0.14748561129456825,0.00016897540198044608,0.00028514849525980933,0.00017158200519650537,0.0005226968882662968,0.0007666968804001878,0.00039378302150431843,0.0017963433592089778,0.0005819453213273112,0.00048465116438266916,0.0003608607534856556,0.8305306978287051,0.0007938369948653309
ub0021,0.014280740467570226,0.00035457559569374865,0.08485242937802025,0.00030727659820127117,0.001370152816642739,0.0002666604968753852,0.0488186068522334,0.1979253260329611,0.00027443422865703807,0.0004631118283026573,0.014147724632880103,0.0008489159704404477,0.001245198203527466,0.05611577398508117,0.0029174548390466684,0.000945141798789826,0.0007871256224647687,0.0005860766796512403,0.5722039973042149,0.0012892766687455405
ub0022,0.00031543743308211716,0.0002716806104926473,0.001255124672836094,0.0002354394797704265,0.0010498295940683726,0.00020431887435352493,0.0055254995506670325,0.07726644651205139,0.00021027521264046592,0.27664797123029905,0.00021351890396537017,0.0006504508824273978,0.0009540876818010912,0.0004900287711143169,0.012862052098118115,0.0007241804117819773,0.0006031062832376527,0.01107571866365118,0.6084569719364452,0.0009878611971965744
ub0023,0.0007591138403645201,0.0006538111522419146,0.0285940263689496,0.000566595302008516,0.0025264603731228754,0.0004917022176283149,0.013297353908999571,0.18594504897525532,0.000506036403610398,0.0008539439311580303,0.0005138424872275066,0.0015653382114589162,0.002296053315866172,0.0011792754547075483,0.0053795707688195004,0.0017427715161550431,0.0014514013836059894,0.0010806820150021075,0.7482196416308442,0.0023773307429742004
ub0024,4.6664764685101846e-05,4.019152588920474e-05,0.0017577515267879905,3.483013355047686e-05,0.00015530829834613553,3.0226254694223426e-05,0.3152319354880637,0.3289891976811823,3.1107415569231566e-05,5.249422482222836e-05,0.004747804948415654,0.11171337710936456,0.00014114455828903436,7.249322653163454e-05,0.08522261474500434,0.00010713284144868333,8.922153757212712e-05,6.643242323875836e-05,0.033418488598207334,0.11805158269833728
ub0025,0.00011239402708066003,9.68029621425802e-05,0.00044721552255220284,8.388982565136788e-05,0.00037406649766605777,7.280119189659343e-05,0.0019687997713644,0.6030640613823793,7.492350452189853e-05,0.00012643452433676224,7.607926947677529e-05,0.00023176321649546406,0.00033995254050193875,0.0001746029519476441,0.012155703105119028,0.31074301063877485,0.0002148937850159417,0.03802402680790961,0.031266592038221734,0.0003519864369449802
ub0026,0.00018894357930121944,0.00016273372019185171,0.0007518059788838929,0.00014102567847444026,0.3316219729599785,0.00012238477552250826,0.04150122966712445,0.5745977259320693,0.00012595255714077463,0.00021254680694278303,0.00012789549283831494,0.04494638135264237,0.0005714881071828028,0.0002935218850541871,0.0013389761879152213,0.00043377616196330516,0.0003612540805336568,0.0002689819591524018,0.0016396850428336866,0.0005917180742544219
ub0027,0.2475105025552076,6.389842427367132e-05,0.0002952013716245833,5.53746244233735e-05,0.040236623712630384,4.805515600427368e-05,0.14376291163257834,0.4655576731168548,4.9456068017414084e-05,8.345784777753825e-05,5.0218974005131485e-05,0.00015298399977518677,0.00022439841906811235,0.0001152532242407333,0.09550131182303424,0.00017032495296155533,0.00014184869909764685,0.00010561746715813176,0.005642546087705017,0.0002323418435621925
ub0028,0.00019015395727690256,0.00016377619706007694,0.0007566220694977861,0.00014192909300624138,0.4042126675766636,0.000123168775896584,0.03536105911663025,0.4565640717157469,0.019344845258763368,0.0002139083878701518,0.00012871479502520668,0.00039210885055491833,0.0005751490763507264,0.00029540219464906466,0.03337769678425253,0.04527875525165671,0.0003635682845109538,0.0002707050652797349,0.0016501889121381796,0.0005955086371702932
ub0029,0.0003487962850793417,0.0003004119921406221,0.06014022556502264,0.000260338207493463,0.001160853544867884,0.00022592646551099037,0.12361457688617625,0.07368722908619242,0.00023251271193983446,0.352906565322246,0.00023609943743723658,0.0007192388335159768,0.07155782585255943,0.0005418514006933779,0.002471795664514087,0.0008007655746140468,0.0006668873413211539,0.0004965498613538516,0.29678874501872704,0.012842804948594362
ub0030,0.0003056919799785264,0.0002632870263107037,0.0012163475419205644,0.0002281655668856511,0.07310582906085418,0.00019800643391570168,0.015653136717581808,0.4765148571562321,0.0002037787508743008,0.00034387966234549703,0.08259370393951407,0.0006303551743532225,0.02152130652953542,0.00047488931109004797,0.0021663307297432035,0.17577371796322644,0.0005844732885979732,0.00043518614379964895,0.14682971584034984,0.0009573411828911383
ub0031,0.00015371900784655183,0.0001323954277969391,0.005790232149716065,0.00011473439561244659,0.0005116030841086863,9.956869843590135e-05,0.0026926871059212197,0.16193952544667267,0.00010247134192662696,0.00017292190824918043,0.00010405205797339666,0.00031697780229407457,0.00046494612390185285,0.000238800879705194,0.1253753835678958,0.00035290768541111324,0.04172258297147096,0.00021883590880646608,0.6590142497987665,0.0004814046374883882
ub0032,0.0002879024620097212,0.00024796523315853594,0.0011455630991791224,0.00021488764100660107,0.0009581885125988424,0.00018648359640347824,0.12143168714441575,0.32269686946756465,0.00019191999765940228,0.00032386784053443213,0.00019488054266927882,0.0005936721226693879,0.0008708040446555806,0.00044725347997199433,0.0020402627202198635,0.0006609656991374526,0.0005504602992139182,0.22348785002728808,0.3031688006276208,0.02029971544202314
ub0033,0.0006438544861095871,0.0005545403351324669,0.045943061943457465,0.00048056682358949357,0.04552402430372873,0.000417045062039709,0.011278362364708092,0.7867391704015749,0.00042920283002989817,0.0007242861369753676,0.00043582368409496,0.0013276665186905555,0.06701918425383259,0.0010002212467997917,0.004562768571292568,0.0014781594001785196,0.0012310291846762314,0.0009165976516551676,0.027278063893092758,0.00201637090834119
ub0034,0.0002513365952953062,0.00021647170718383377,0.02640163345206116,0.00018759522820550068,0.0008364910696718355,0.00016279871964725202,0.0044026488257938095,0.19703995447680264,0.00016754465538112892,0.00028273408916808365,0.00017012918799612175,0.0005182711151265637,0.000760205113305788,0.00039044878638913084,0.30659992340469633,0.0005770178805298988,0.0004805475315629298,0.0003578052774233092,0.4594093274564565,0.0007871154273028098
ub0035,0.0006730522792510659,0.0005796878713275447,0.4788366378616653,0.0005023597768243264,0.0022400328147769146,0.0004359574028167181,0.1024866879121387,0.2555611261492123,0.0004486665065551205,0.0007571313795866741,0.00045558760598863435,0.0013878741171617982,0.0020357472560158085,0.0010455797147297665,0.004769682984053785,0.0015451916152638366,0.0012868544313130658,0.0009581639204385117,0.005840864026258935,0.13815311437462127
ub0036,0.00017247579883257675,0.00014855031587149314,0.05298055988450347,0.0001287342848100064,0.3840654093803277,0.00011171806949596602,0.11923075798652408,0.2979088931056445,0.00011497489350102874,0.00019402183684859086,0.00011674848849564536,0.00035565542888124657,0.0005216788428281617,0.0002679393593939287,0.030274652173934807,0.00039596947578661337,0.00032976821097602835,0.00024553826305153857,0.07703295580396352,0.035402998396329134
ub0037,0.0005198258910459422,0.00044771672800317507,0.002068385781154006,0.00038799306779545783,0.001730069252880724,0.00033670778981604124,0.09666690258180244,0.8803572515821786,0.00034652355209614485,0.0005847636300562505,0.00035186900116593664,0.0010719121260773738,0.00157229113387788,0.0008075441145133043,0.003683821871833445,0.001193414884702615,0.0009938904777918476,0.0007400293098542893,0.004511138941995392,0.0016279482813592965
ub0038,4.049034929041789e-05,3.487361251579023e-05,0.02471427894925585,0.001394286495771566,0.006955083224257138,2.622688914364058e-05,0.2653378551724744,0.3577546632493155,2.6991459839558412e-05,4.5548488525012095e-05,2.7407828288452945e-05,0.002811623299204415,0.00967092332297084,6.290133644223403e-05,0.16397472716655898,9.295763516658308e-05,0.16512926754984172,5.764246405821836e-05,0.001715447137242858,0.00012680436983687624
ub0039,0.0005697103828038164,0.0004906813471432457,0.04065241443783559,0.0004252263748044852,0.001896093352242585,0.0003690195643067154,0.009979584329718206,0.6385626428847692,0.0003797772848866909,0.0006408797970004388,0.019578404904857585,0.0011747769362754215,0.0017231742381247546,0.0008850391535609037,0.004037335586652839,0.0013079395669185884,0.17382419083999642,0.0008110453685845168,0.10090789118998204,0.0017841724595361692
ub0040,0.015364407153009609,0.00019353048010356297,0.5232139634488887,0.00016771427107985275,0.0007478414635426456,0.0001455456455878635,0.04178533187763291,0.2745661581636343,0.0001497886167967423,0.00025277051089117646,0.04557121932811383,0.00046334580642944817,0.0006796401362063997,0.0003490698256542652,0.07729090599262757,0.000515866710250767,0.0004296200908000287,0.007889739155773932,0.009519842772599842,0.0007036985503767028
ub0041,0.00024715124291649424,0.0002128669381547044,0.009309603884549605,0.0001844713212642884,0.0008225615028923043,0.0001600877335779827,0.09591742175293064,0.7183087260874476,0.00016475463818871517,0.0002780258938044896,0.00016729613218565258,0.0005096406678094278,0.0007475458892257411,0.000383946885004663,0.0017514732720885881,0.0005674091597781302,0.0004725452716771539,0.008678036741448458,0.002144821209731975,0.15897161377532346
ub0042,7.707963366507549e-05,6.638730770176469e-05,0.000306699648931706,5.75315005377821e-05,0.002853242365043329,4.992693426442649e-05,0.3441156811151681,0.3694362739621701,5.1382412673113486e-05,8.670858293476559e-05,5.217503432427027e-05,0.0001589428218608949,0.00023313887726966295,0.00011974240911669406,0.05507710811468187,0.00017695921597563508,0.21307744567374548,0.00010973133329356608,0.013652451353545895,0.00024139170309578462
ub0043,0.0001926218393059588,0.0001659017396430439,0.07214729207300886,0.0001437710965230038,0.0006410783444165121,0.0001247673017065591,0.5679317800412309,0.1315419351360009,0.00012840453912999576,0.000216684562890903,0.0001303852989372225,0.013375534190721544,0.0005826135545550233,0.00029923602371030583,0.07274589302080274,0.0004422207014044434,0.00036828679601883055,0.00027421836668742273,0.105498296975724,0.033049078397581824
ub0044,0.0002995228000913556,0.0002579736221861233,0.0011918003922310205,0.0002235609500871509,0.0009968629802800564,0.0001940104595701236,0.3584147985480797,0.4063551966518073,0.00019966628521061268,0.00033693981558635737,0.00020274632393263214,0.0207986667968581,0.0009059514947020855,0.15182305186165698,0.002122611938141832,0.0006876436400995609,0.020753710854946084,0.0004264036379396888,0.03287085989755408,0.0009380210490391896
ub0045,0.00018088397397045326,0.00015579212649703396,0.006813472296787378,0.00013501006622547633,0.01888321912157949,0.00011716431239349492,0.11285577264400662,0.4525878327037447,0.00012057990619010613,0.00020348037883440904,0.286528006828078,0.11615396742846132,0.0005471106257560484,0.00028100137200882014,0.0012818606211317315,0.0004152729416885099,0.0003458443729161867,0.0002575082248245023,0.001569742394552785,0.0005664776603530389
ub0046,0.00013128353261246812,0.00011307215487802156,0.01821343260099494,9.798877171517168e-05,0.0004369339948138927,8.503652639587264e-05,0.03768179774044717,0.35059692517875146,0.08412003051966675,0.00014768374646096662,8.886553418287149e-05,0.1108398131848872,0.00039708667441596914,0.00020394760230275683,0.3149466001119834,0.0003014003816178014,0.0002510099154389284,0.00018689654306936282,0.07632628829028101,0.004833906995084036
ub0048,9.891137087727712e-05,8.519059187755848e-05,0.0003935680708503398,7.382650015625577e-05,0.003661383693101697,6.406804595429294e-05,0.3949310183661237,0.4574130259437731,6.593576843609737e-05,0.00011126758648296104,6.6952889177013e-05,0.00020396117176264172,0.00029917223083508336,0.10345154082802044,0.014029708935018478,0.00022708045963961166,0.023514443806471063,0.00014081121157657737,0.0008583699747483302,0.0003097625551173711
ub0050,0.00012210297761003184,0.0001051651073112418,0.00048584740982598513,9.11364933642548e-05,0.00040637954147156844,0.20163978222710507,0.7261119695579614,0.02579565915161617,8.13956331374898e-05,0.00013735633730026892,8.265123671423947e-05,0.029046168259596564,0.0003693187130984497,0.00018968570560256367,0.013205751076197016,0.0002803236880970275,0.0002334569879011976,0.0001738270136373788,0.0010596307469831743,0.00038239213546894304
ub0051,0.08668504675894807,0.106471792300981,0.0002922793304210563,5.482650049934002e-05,0.11655146646209193,4.757948360101338e-05,0.32546152915165105,0.2728784817653514,4.8966528732023826e-05,8.263174297788375e-05,4.972188311956316e-05,0.00015146969261474458,0.00022217721859429736,0.0001141123939382947,0.07475906004590208,0.0026432558893380864,0.00014044461434983903,0.00010457201608468384,0.013010544205445049,0.0002300420153586313
ub0052,0.05013623218248958,0.00014195185376665654,0.2505128847599218,0.00012301603173912838,0.0005485310738475951,0.0001067556603373592,0.11393464243342348,0.4345903194819884,0.00010986781935363713,0.00018540357353191288,0.00011156263296503926,0.00033985755692059416,0.0004985063705577259,0.0002560377508447791,0.0011679825902086993,0.02258789982273698,0.12246747433980505,0.00023463168964893105,0.0014302895008440654,0.0005161528750687105
ub0053,0.00023353976792498893,0.0002011436185750815,0.0009292540899378967,0.00017431184665914881,0.09518891215421947,0.00015127114760281235,0.4604138872990064,0.371911107697951,0.00015568102961213234,0.0002627140448497613,0.00015808255473182618,0.03195212364513638,0.000706375947872718,0.023965714590779924,0.0016550135725135438,0.0005361599720454165,0.00044652056683696484,0.00033246953693152236,0.0020266984768134077,0.00859901843999963
ub0054,0.00014195683968675182,0.00012226488306371538,0.10099384242886658,0.00010595522591956276,0.0004724565817297116,9.19499674093222e-05,0.02639831572299846,0.3121476729817014,9.463050836813484e-05,0.00015969038540868222,9.609027224239536e-05,0.0002927235069682257,0.00042936968757694517,0.00022052847381896464,0.3596809855185105,0.00032590413133642797,0.00027141693719449016,0.00020209116920110931,0.13035492156715595,0.0673972332108428
ub0055,0.0003705680338751469,0.0003191636093679824,0.4009603732160566,0.00027658843233232156,0.0012333136393377394,0.0002400287207924953,0.06891088852550625,0.5152244472269428,0.0002470260785458865,0.0004168601687684829,0.0002508366862629951,0.0007641334837096733,0.0011208384272436275,0.0005756735859780286,0.002626084332669253,0.000850749097032756,0.0007085142286804727,0.0005275443395305012,0.0032158534560663104,0.0011605147113005615
ub0056,0.0008221929287176129,0.0007081400410666808,0.058668630053028276,0.0006136769295792638,0.002736398341083359,0.02823112388576953,0.5960721367021901,0.2290948444548973,0.000548085847733158,0.0009249029913383039,0.0005565405832546225,0.0016954110702223331,0.002486845450423205,0.0012772681623156865,0.005826589913754511,0.0018875883178010367,0.02927056991613585,0.0011704820327085195,0.0348336956965627,0.002574876681418141
ub0060,0.00010712117696145659,0.0289623975079094,0.0004262348665276018,7.995422080941016e-05,0.0003565175528685465,6.938579889626414e-05,0.3627531350201073,0.4051598827894943,7.140854540876064e-05,0.00012050297873743877,7.251008884014204e-05,0.10487513312824956,0.003932771011538987,0.00016641163413562462,0.04045556676012665,0.0002459285104007384,0.00020481226423259781,0.00015249877319127177,0.0009296160911317473,0.05085821128043209
ub0061,0.0017355827593110436,0.0014948263400538983,0.06537530545010703,0.0012954223535173678,0.005776315530710157,0.001124192243973472,0.3227492366326722,0.5420701099396589,0.0011569648858835645,0.0019523953925335968,0.0011748121486038553,0.003578875615012245,0.005249529566688867,0.0026962097630656946,0.012299459952374706,0.00398454623802487,0.0033183787256693066,0.0024707928821776225,0.015061687206133975,0.005435356373827725
ub0062,0.0001360990027118653,0.004702210228911838,0.0005415375549533434,0.00010158299248971421,0.2893073682425483,8.815565978653702e-05,0.03447897265075986,0.5376864366621045,9.072558844955695e-05,0.00015310077517049266,9.2125115291096e-05,0.00028064429622839303,0.0004116517837596033,0.0002114283850116722,0.10183427851069378,0.00031245572494034685,0.004845207536152675,0.00019375189420839625,0.024106043651732405,0.00042622374409572003
ub0063,0.00011964224558542124,0.012194800106496257,0.0891489216436265,8.929982654234994e-05,0.008459359394533069,0.08068919198457815,0.1915332517451388,0.3719060935236964,7.975527313116327e-05,0.00013458820547749328,8.09855726244909e-05,0.00024670947723688067,0.00036187586115169525,0.0001858629839988545,0.06936780370221028,0.0002746743461230719,0.0002287521469731381,0.0001703238910471498,0.0010382760891001273,0.1736898319807288
ub0064,0.00020888794765819456,0.014254214073056009,0.0008311645653534138,0.0001559119640507421,0.33847847774434403,0.00013530337827860023,0.14440210453938626,0.4452476076064125,0.00013924776518335014,0.0072721339804024294,0.00014139579186831102,0.035616496025113804,0.007668964144275681,0.00032450525383551863,0.0014803148584948956,0.0004795643892778666,0.00039938707494008345,0.0002973749603570833,0.0018127657191109282,0.0006541782186004544
ub0065,0.00028513690688623897,0.0002455833100717376,0.010740434175657685,0.00021282345714234932,0.09700773639989163,0.00018469225824721888,0.13947697993615898,0.5021087126484365,0.0001900764381110725,0.0003207568064728655,0.00019300854449502268,0.04861734544562929,0.0008624392096679418,0.0004429572188549566,0.0020206642111283944,0.0006546165451116911,0.019756923071585147,0.0004059237372583296,0.002474467368038319,0.17379872231115462
ub0066,0.0002907221890248864,0.0002503938135252271,0.030538890136542037,0.00021699225825211443,0.010761608828971177,0.00018831002341974424,0.014886599811878863,0.12018262269480895,0.0001937996689841038,0.0003270398137538459,0.0001967892096777465,0.0005994865686826517,0.0008793327306296085,0.00045163389655926574,0.4329978196131721,0.02025551078843131,0.0103498873108743,0.02979598235185169,0.3257261182770817,0.000910460013878469
ub0067,0.00031543743308211716,0.0002716806104926473,0.001255124672836094,0.0002354394797704265,0.0010498295940683726,0.00020431887435352493,0.016152158346530027,0.4810794807548451,0.00021027521264046592,0.00035484253786124346,0.00021351890396537017,0.0006504508824273978,0.0009540876818010912,0.0004900287711143169,0.19351525162778896,0.0007241804117819773,0.0006031062832376527,0.20235557698918505,0.09837734973502164,0.0009878611971965744
ub0068,8.020361440537975e-05,6.907793635163767e-05,0.0030210808224643217,5.986320985054015e-05,0.002968882175094141,5.195043611112993e-05,0.29051366446721755,0.2087824477668988,5.346490398694938e-05,0.005494124543525412,5.428965000941962e-05,0.00016538465728087857,0.00024258782412858636,0.00012459548070112322,0.31399467467915343,0.0001841312425699663,0.17307820196581822,0.00011417866335362483,0.0006960208301762222,0.0002511751309026316
ub0069,0.06994172641765753,0.00019802759977033865,0.0009148585389423288,0.00017161149257420626,0.0007652192561855835,0.0001489277287865229,0.13570538155221526,0.3506581301473521,0.00015326929505525382,0.00025864420704023444,0.00015563361691945264,0.00047411269719258204,0.008441189175635659,0.0003571812548058268,0.05584966732493652,0.0005278540433409455,0.0004396032880645882,0.1552424402674656,0.21887647151375134,0.0007200505823082474
ub0070,0.00034474536391211434,0.0002969230063058833,0.001371740848459508,0.0002573146387214121,0.001147371388095812,0.00022330255482006338,0.006038884905885711,0.1425154445066715,0.0002298123085618793,0.0003878116767917858,0.00023335737781791645,0.0007108855914098606,0.1055687626019468,0.0005355583367977537,0.002443088221783833,0.01240546866968943,0.0006591421096123379,0.0004907829296805844,0.7230599575810828,0.001079645381952917
ub0071,0.00017978839107552532,0.012268502050842544,0.043113164866217926,0.00013419233364279942,0.0005983664391914084,0.00011645466845027151,0.04554713036318765,0.09855063422730566,0.0001198495745869566,0.00020224793342970526,0.00012169836608501054,0.00037073443212693743,0.0005437968714744802,0.0002792993953777979,0.0012740966134124902,0.00041275770542045526,0.0730256708350642,0.00025594854211614325,0.7223226197876941,0.0005630466032979624
ub0072,0.0003056919799785264,0.0002632870263107037,0.0012163475419205644,0.0002281655668856511,0.0010173950634681584,0.00019800643391570168,0.005354789003669528,0.3941280754449338,0.0002037787508743008,0.00034387966234549703,0.00020692222821578368,0.03152539831609008,0.0009246111017108473,0.00047488931109004797,0.09485146015495376,0.0007018068267175721,0.0005844732885979732,0.2475955312776945,0.21891814983773586,0.0009573411828911383
ub0073,0.0005697103828038164,0.0004906813471432457,0.0022668760357361147,0.0004252263748044852,0.001896093352242585,0.0003690195643067154,0.6049554295622602,0.15874341285852553,0.1923074692953841,0.0006408797970004388,0.00038563570380784523,0.0011747769362754215,0.0017231742381247546,0.0008850391535609037,0.004037335586652839,0.0013079395669185884,0.0010892680305487473,0.0008110453685845168,0.024136814385783058,0.0017841724595361692
ub0074,0.0002513365952953062,0.00021647170718383377,0.0010000676167677164,0.00018759522820550068,0.017770868293200796,0.00016279871964725202,0.4362292680257823,0.3748509153238568,0.00016754465538112892,0.00028273408916808365,0.00017012918799612175,0.09365734584453583,0.000760205113305788,0.008857637398153609,0.0017811333811750649,0.0005770178805298988,0.05975086781391429,0.0003578052774233092,0.0021811424211746018,0.0007871154273028098
