receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
AbekenBernhardRudolf,0.00043811316225314545,0.00037733901846333115,0.005416940569712785,0.0003270034694157698,0.005131804860627426,0.0002837798522400565,0.1327092056431542,0.2173972110795128,0.00029205265035676524,0.0004928431760470546,0.0002965578349502404,0.008250794604881017,0.30688816303819955,0.0006806042403091295,0.025146889781619552,0.001005819021374651,0.0008376583538048355,0.08930968644126132,0.2033454861725779,0.0013720470292386028
AbekenBernhardRudolfANDTruchsessvonWetzhausenChristianFreiherrANDVoßHeinrichANDVoßAbrahamSophus,0.0008704112086974965,0.0007496695818502245,0.15007822234541285,0.0006496665920710113,0.0028968770033757267,0.0005637930687175817,0.07389288699395316,0.4771141014308304,0.0005802288593499438,0.0009791447998395537,0.0005891794308124515,0.00179484005192433,0.20789349082646508,0.0013521747586981055,0.006168295776182179,0.00199828771549161,0.0016641983921714227,0.0012391260557756978,0.06619952235478498,0.002725882753596288
AbekenMinonaLaura,0.00012160276663409504,0.00010473428455824828,0.004580489158257025,9.076314068128593e-05,0.0004047147540026712,7.876598586980209e-05,0.26431456227490463,0.3780003432673013,0.06562717556948362,0.00013679363892159788,8.23126450059254e-05,0.045313705140790986,0.0003678057502082186,0.004285540719573922,0.17701693543338307,0.057632024516351736,0.00023250060051373944,0.00017311490831580808,0.0010552898296652207,0.0003808256155771483
AhlefeldtJohannGeorgJacobvon,0.0009543657262789707,0.0008219781039152414,0.003797418582372375,0.0007123294401376632,0.003176291961364622,0.0006181730843090553,0.1453227117097525,0.5231335963737832,0.0006361941703280371,0.0010735870915880136,0.12925114969399926,0.0019679592962418557,0.00288662183964348,0.0014825972284664133,0.00676325169013939,0.03434231568026935,0.0018247167446219762,0.0013586445422057573,0.10473600697501252,0.035140090065570354
ArnimLudwigAchimvon,0.00017763656329348074,0.00015299518985378347,0.000706815393496486,0.00013258622998981844,0.006575539398279567,0.00011506086104468203,0.05697066104417532,0.3546975024750145,0.00011841513467279052,0.00019982729481443268,0.00012024179859695093,0.0003662972343410351,0.3416443610635924,0.0002759565533016945,0.15086721259924654,0.0004078175449770393,0.00033963542756560333,0.08403356970565977,0.0015415608033356447,0.0005563076847486917
BarthKarl,0.0002720695749553307,0.000234328651162644,0.0010825640854285274,0.00020307012570752362,0.0009054939632334404,0.00017622813106725916,0.004765827249724334,0.3141161558440151,0.0001813655632679464,0.00030605707606949363,0.00018416329628089304,0.0005610237611376711,0.10164511509118956,0.00042265725462661813,0.0019280606605881745,0.000624616599556233,0.0005201883255581813,0.027884284584658532,0.5431346848816355,0.0008520452801369599
BentzelSternauChristianErnstGrafvon,0.0004703994367611503,0.0004051466083335686,0.0018717180564090546,0.01619821991631561,0.001565569580375039,0.0003046927007884632,0.1984053795127345,0.11522441253934065,0.00031357515379335584,0.0005291627195855755,0.0003184123430811116,0.0009699918165862963,0.0014227934324559039,0.0007307606319156336,0.003333554106264607,0.3497165439400758,0.0008993886780338065,0.0006696653178274155,0.30517745496178106,0.0014731585475414792
BergnerCaroline,0.0007050240147707393,0.0006072245544016588,0.002805288602669903,0.0005262231740900211,0.02609774192827096,0.000456666514442058,0.1311063741295082,0.6002191691027133,0.0004699793336954995,0.0007930970912676843,0.00047722920337081386,0.001453801750982268,0.2158941660575241,0.0010952474732897313,0.004996255343408309,0.0016185922398117615,0.0013479833670564266,0.0010036792011873432,0.006118320273880175,0.002207936643659056
BertuchFriedrichJohannJustin,0.0007934448412198026,0.000683379828286646,0.09890829154541499,0.0005922196323309782,0.0026407198011802915,0.0005139395005710629,0.042206040665529986,0.11157001247523435,0.000528921951576182,0.07685957629902523,0.0005370810661210454,0.001636130791726715,0.15742343048160143,0.001232608307425314,0.03411049215545286,0.001821588535724796,0.0015170411592133062,0.0011295559693532888,0.4628106792247139,0.002484845768297866
BodeAugustTheodorHeinrich,0.00042340980160838554,0.0014135074591718883,0.005906297863154649,0.0003160290218137376,0.006804293283874827,0.00027425601714287833,0.029235314877458517,0.40899871807640414,0.0027370470154384173,0.0014608256671245921,0.0002866051625016937,0.0035160794853391414,0.007606442756538816,0.0016422853488199094,0.024996765342916564,0.0016328088632970702,0.0014702917763237085,0.32867608060885534,0.1693705702184889,0.003232371353726864
