month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.009957200803593384,0.0006163003045309779,0.026358662654036007,0.0005340882546531815,0.12223350777957835,0.00046349198147473955,0.1818668780228659,0.37004538633878753,0.00047700377789434674,0.0008049509449639136,0.00048436200617467173,0.01426228793360925,0.002164322760380358,0.0081446068071561,0.01224846843022122,0.006806621550621793,0.0013681307081499323,0.016709412316863095,0.1804281797958572,0.044026136828588074
1,0.005420454451861693,0.008007173870697604,0.056233911798680696,0.007597140176863274,0.039499728723415464,0.006961339795734422,0.17491681952803637,0.3748686855454362,0.010416101347315437,0.00685770079639743,0.00502570252507359,0.01318805361740183,0.039410363547418725,0.008349905901219408,0.04784182968453091,0.02536254353560516,0.018622053950931042,0.01486033618409137,0.11232944674402742,0.024230708275261543
2,0.0037296986369483153,0.007001533445005231,0.054461884872622816,0.0053563392447921986,0.020698576803422648,0.010216019965644132,0.1681026675528882,0.32975948752914347,0.0030278396480983225,0.021882298278815007,0.009268045748187266,0.013268532749687338,0.04355963907954716,0.016847067967639053,0.06646602386185134,0.025476273353287487,0.023369315347279693,0.00833934138622444,0.14786160542619917,0.02130780910271687
3,0.005373540652938579,0.00762442034385656,0.026080348905757236,0.0048011385794068055,0.026282697495321975,0.003900853939851639,0.19838429918511974,0.36007956283747355,0.0041264636490752436,0.013488520765422727,0.004351677192966614,0.011887375387350463,0.07007893626752834,0.005080976016284275,0.0644877859111804,0.014584684465125772,0.01940664258940011,0.007949951822276717,0.1197073073877381,0.03232281660592543
4,0.015056053972965779,0.007532429881489811,0.05850270484035764,0.00850765890471222,0.045121557053893556,0.006173387167774735,0.14433472092475963,0.4163652223813119,0.0018800025507905698,0.005907071172095644,0.002569659645156738,0.01239619530762129,0.0327041778556666,0.02126388152287349,0.06278202987556912,0.034476020891044803,0.020318140865079812,0.02328344419368073,0.0524555996900508,0.028370041303105043
5,0.01565261055823234,0.004494058261312125,0.0356029741233766,0.025839476871130293,0.04458943727194613,0.00766554310729992,0.12525806417716404,0.39194406533061443,0.009230249245789258,0.009369444136190038,0.001983871938554574,0.022405044127480074,0.058793900645708566,0.0042863337077025,0.0634518171955912,0.018226989565086216,0.014854317935980486,0.008875706588705299,0.11072635916153802,0.02674973605059782
6,0.024233930140715034,0.0053982169645133,0.036492240261865934,0.003948719617223453,0.03559385210739288,0.0040769259018722465,0.19543337325193982,0.3749620491350341,0.00464179762310679,0.010449619513468272,0.007236165098980312,0.018646443498158145,0.05482164516961615,0.026161263464159704,0.04224397814621331,0.025409690189333704,0.01361306362680356,0.02476957917037481,0.0756298963014566,0.01623755081777199
7,0.010412266862324989,0.0032934409238780968,0.07159936715806019,0.002484627698542856,0.03721425075341083,0.004690536989795079,0.15158458454423784,0.39890995176962285,0.0033185449847958877,0.00543969305840801,0.010976792364077243,0.027693363096932662,0.027494030099280906,0.018744654376733828,0.042336497812656707,0.01897306722820176,0.019866748456902616,0.020065724919811775,0.09565938938556334,0.02924246751676231
8,0.0056941714902739434,0.011482890188681517,0.05741209681598664,0.007757362135622069,0.02974743474606548,0.007662362267440079,0.14883210238103758,0.3738299484756405,0.01553513935840989,0.005656485661807035,0.007344575958515869,0.016064094986129405,0.03569327581925032,0.01486555335205404,0.06905670409131488,0.0325604369918248,0.017170016489962452,0.028456993420077265,0.09415133273035413,0.021027022639552136
9,0.0018683274399951897,0.0065941810165240184,0.0526910055399724,0.008348885784409779,0.043516244114417735,0.003976837228653213,0.1533884881941005,0.4023644722237679,0.0030715912992632403,0.007037621680321658,0.012607655555748545,0.014894397486441726,0.038164158761244134,0.021671447935722007,0.04238134104450132,0.02553776124562368,0.010094841315996665,0.03618375174255429,0.09965634733785352,0.015950643052888222
10,0.009090224671015418,0.0052694602755509416,0.05891259406641776,0.0014106971316299114,0.041055097845530346,0.002692571397952732,0.15644463408014642,0.3725857937461744,0.005552303360454807,0.020021224165648905,0.010793065048245117,0.011787727537127783,0.03573532667410191,0.022116593105900084,0.06571656718091354,0.038451043733403606,0.011344821537915576,0.01295544169934909,0.09577079446584114,0.022294018276680563
11,0.007621761368645583,0.0030281578809182703,0.05145471678147242,0.004195966504063981,0.0447884414831921,0.007265013126876879,0.2140288720393359,0.3535930128697514,0.009509067441319182,0.016467664769934727,0.007874269541641889,0.01605612727178387,0.0356984770805805,0.012354224230076621,0.04677652892061673,0.029811538385299034,0.008520045975776717,0.01421770579222081,0.0927119213129671,0.02402648722352631
12,0.0075560189771743,0.0025116800705587247,0.051306775621150005,0.0033061508585739393,0.05759173730861519,0.0033203691703726675,0.1505854827538965,0.35928316842081676,0.007958607434461099,0.04006471053102369,0.008328691290515732,0.007557916631162788,0.018619684086077528,0.017106540900206097,0.05407878575157525,0.03295656328154617,0.008327888624049005,0.010821374144523289,0.12793484360336357,0.03078301054033768
