,segmentID,idno,filename,id,corpus,sender,receiver,date,year,month,year_range,sender_norm,receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,ub0505,ub0505,OsmundEmanuel_SchwendlerAuguste_1808-07-17.xml,JP-UB0505,letters-context,Osmund Emanuel,Schwendler Auguste Sophie Henriette,1808-07-17,1808,7,1804,OsmundEmanuel,SchwendlerAugusteSophieHenriette,0.0006567985705449364,0.16931464851275566,0.0003506148747661681,0.4716572830421253,0.00027754003143094856,0.0017627390650591312,0.0003846527603385432,0.00017334611187621942,0.00044678969475578026,0.00012370813021188025,0.0006087349795511753,0.0432273584105689,0.00027750846152089115,6.528743431054089e-05,0.0001455819521178319,0.00048626606162216463,0.00015009959735572966,0.20097351714970613,0.00012795452855496854,0.00016392666324793777,0.0007348007674508513,0.00030605990982422097,0.0642782243585586,9.262855416193392e-05,0.0005669500886065628,0.00016817118044374445,0.0002460378975124987,0.00014179068300739924,0.00044972675443983635,0.03555003374453185,9.574080889230984e-05,7.855151009741094e-05,0.0002688917205994169,0.0002986605435652821,0.0014133647886280375,0.00027680976884872984,0.0003116504495371784,0.0020122694089873164,0.0001565199614785479,0.0011787610684074075
1,ub0625,ub0625,EndeHenriette_RichterCaroline_1820-02-07.xml,JP-UB0625,letters-context,Ende Henriette Freifrau von,Richter Caroline,1820-02-07,1820,2,1819,EndeHenrietteFreifrauvon,RichterCaroline,0.00035021055803412,0.000296093705409212,0.00018695081940426047,0.3864675215557393,0.0001479866943126815,0.0009399073922020133,0.022701077667712663,9.24296143379964e-05,0.0002382320476040236,6.596222229733987e-05,0.005948577034319429,0.0005532158921555566,0.00014796986096937944,3.481181267422713e-05,7.762552931347196e-05,0.00025928118060984857,8.003437599907252e-05,0.0003048873055060228,6.822643784234976e-05,8.740708458774543e-05,0.00039180198976279,0.3657228290779034,0.0005297270448699435,4.939032923903899e-05,0.000302302586839771,8.967029708909966e-05,0.00013118948982167216,7.560399252827382e-05,0.00023979811269164922,0.08644351162504095,5.104980980850029e-05,4.1884330172662825e-05,0.0001433753417638318,0.00015924833018133832,0.0007536180703324722,0.0001475973121217031,0.00016617465801340727,0.07980888054250901,8.34577685018438e-05,0.04562048049977797
2,ub0793,ub0793,RichterCaroline_RichterMax_1821-08-19.xml,JP-UB0793,letters-context,Richter Caroline,Richter Max,1821-08-19,1821,8,1819,RichterCaroline,RichterMax,0.0006709522532078886,0.0005672722716304524,0.00035817045100658814,0.14780396894396458,0.000283520881127196,0.0018007252155523273,0.011167693257374557,0.000177081634406844,0.0004564177905529498,0.00012637397891552987,0.0006218529157233835,0.0010598808083793405,0.00028348863090127207,6.669434606179983e-05,0.00014871917080882163,0.11901901048762,0.00015333416905561516,0.0005841195244142747,0.0001307118850317832,0.0001674592013435718,0.4101911893674582,0.08651066671899055,0.011789631030670052,9.462465345314944e-05,0.043678173266287375,0.0001717951857747548,0.0002513398918843236,0.00014484620173391675,0.0004594181424130163,0.14406363351059998,9.780397572568437e-05,8.024425608754306e-05,0.00027468620349681684,0.0003050965297978049,0.0014438220971581626,0.00028277488174938587,0.0003183663617853672,0.012830384235619998,0.00015989288883334844,0.001204162783401761
3,ub0751,ub0751,MayerJohann+MayerJulie_RichterCaroline_1810-03-19.xml,JP-UB0751,letters-context,Mayer Johann Siegfried Wilhelm + Mayer Julie Henriette,Richter Caroline,1810-03-19,1810,3,1809,MayerJohannSiegfriedWilhelmANDMayerJulieHenriette,RichterCaroline,0.0007256858453640835,0.0006135480669772772,0.0003873885589927623,0.2647446351743741,0.0003066493767856982,0.08352360795954841,0.0004249964541279496,0.00019152724347907933,0.0004936505222138366,0.00013668306095236302,0.000672581180972682,0.001146341631221288,0.00030661449571576984,7.21350031562766e-05,0.00016085108392475457,0.03549840450835861,0.011819554956288806,0.0006317696510319365,0.10502478644577118,0.00018111985094318092,0.0008118691787945447,0.00033816051732355184,0.21086449263447385,0.00010234375293491425,0.000626413748112058,0.00018580954758311998,0.00027184319158889467,0.0001566621735756891,0.000496895630737658,0.015971217764337076,0.00010578243155921053,8.67902604635236e-05,0.00029709400160949414,0.00032998508028762543,0.001561603309508412,0.00030584252177248537,0.0003443374119143437,0.25860499591346536,0.00017293630902344165,0.0013023935507347074
4,ub1156,ub1156,RichterCaroline_FalkensteinKonstantin_1826-02-17.xml,JP-UB1156,letters-context,Richter Caroline,Falkenstein Konstantin Karl von,1826-02-17,1826,2,1824,RichterCaroline,FalkensteinKonstantinKarlvon,0.0004585154727944624,0.0003876626281322509,0.0002447665879339516,0.2556345864654592,0.000193752551296463,0.0895895989502395,0.0002685286633952189,0.00012101407951917672,0.15494019016647312,8.636147268950006e-05,0.00042496195861671467,0.0007243015395452532,0.00019373051213120716,4.5577594338547637e-05,0.00010163173398849768,0.00033946558830601735,0.00010478553232952286,0.015125678877638753,8.932591175997385e-05,0.00011443829946277933,0.0005129693278990015,0.02230341722531184,0.0006935486119949923,6.466461288213296e-05,0.0003957916469163738,0.0884764204503066,0.00017176070101629508,9.89850236778787e-05,0.00031395725369684344,0.17944599950273335,6.683729871482463e-05,5.483733431567994e-05,0.00018771510769103128,0.00020849692200801975,0.008349930992699732,0.00019324275010601223,0.00021756526220449425,0.0014047787264307502,0.07374178348562281,0.10390842317772107
5,ub0611,ub0611,MayerJohann_RichterCaroline_1818-11-10.xml,JP-UB0611,letters-context,Mayer Johann Siegfried Wilhelm,Richter Caroline,1818-11-10,1818,11,1814,MayerJohannSiegfriedWilhelm,RichterCaroline,0.0009608271024705605,0.0008123537412038488,0.0005129126178291635,0.011072781610277877,0.0004060118218560311,0.002578701514053543,0.0005627064578821268,0.00025358709636103,0.0006536062456252437,0.0001809719594927156,0.000890515133261264,0.0015177864016558365,0.0004059656384041084,9.550863712186213e-05,0.00021297105611744655,0.0007113560107637746,0.0002195798950805366,0.0008364795966570139,0.00018718399282972504,0.00023980743553613946,0.001074936097527091,0.00044773339883310203,0.8963829629607701,0.0001355058145568227,0.0008293882406432576,0.0002460167169528906,0.00035992751928303564,0.0002074248288912807,0.0006579028544678502,0.02114631143140916,0.00014005871529206078,0.00011491258237508388,0.0003933602543737344,0.00043690890566041435,0.048357066856589366,0.00040494352464531434,0.00045591176936334043,0.0029437381144469922,0.00022897221128459776,0.0017244032381545865
6,ub0837,ub0837,SpazierJohann_BodeAugust_1803-10-16.xml,JP-UB0837,letters-context,Spazier Johann Karl Gottlieb,Bode August Theodor Heinrich,1803-10-16,1803,10,1799,SpazierJohannKarlGottlieb,BodeAugustTheodorHeinrich,0.0016469585425508966,0.0013924596113168571,0.0008791860838893925,0.09832491058539343,0.0006959468947774938,0.004420165164303888,0.000964537954200684,0.00043467491035440717,0.0011203497350659893,0.0003102049410162585,0.05442310327071525,0.10839497891587588,0.0800408679709376,0.00016371183263959196,0.0003650547526051515,0.0012193388963632225,0.00037638299653022106,0.0014338138608303967,0.00032085301843278005,0.00041105512480646287,0.0018425533417681765,0.0007674620585716866,0.002491182694965457,0.00023227119455293955,0.3452499929029481,0.0004216984851427042,0.0006169535612162969,0.00035554793677369215,0.0011277145737754047,0.0362469982017062,0.00024007534447752647,0.00019697223225968144,0.000674260779670987,0.0007489077406785898,0.02999242336212693,0.0006941157211848157,0.0007814806444070452,0.1637358767059001,0.00039248241271742386,0.055852475042550455
7,ub0430,ub0430,RichterCaroline_RichterOdilie_1822-11-17.xml,JP-UB0430,letters-context,Richter Caroline,Richter Odilie Minna,1822-11-17,1822,11,1819,RichterCaroline,RichterOdilieMinna,0.3487229431019265,0.0005553057096616057,0.0003506148747661681,0.14468605636113055,0.00027754003143094856,0.0017627390650591312,0.0003846527603385432,0.00017334611187621942,0.00044678969475578026,0.00012370813021188025,0.0006087349795511753,0.0010375227097953767,0.00027750846152089115,6.528743431054089e-05,0.0001455819521178319,0.4434795409197441,0.00015009959735572966,0.0005717975710319486,0.00012795452855496854,0.00016392666324793777,0.0007348007674508513,0.00030605990982422097,0.011540929732591696,9.262855416193392e-05,0.0005669500886065628,0.00016817118044374445,0.0002460378975124987,0.00014179068300739924,0.00044972675443983635,0.03555003374453185,9.574080889230984e-05,7.855151009741094e-05,0.0002688917205994169,0.0002986605435652821,0.0014133647886280375,0.00027680976884872984,0.0003116504495371784,0.0020122694089873164,0.0001565199614785479,0.0011787610684074075
8,ub1268,ub1268,MahlmannSiegfried_MuechlerKarl_1805-02-12.xml,JP-UB1268,letters-context,Mahlmann Siegfried August,Müchler Karl,1805-02-12,1805,2,1804,MahlmannSiegfriedAugust,MüchlerKarl,0.0013024754839351946,0.0011012083542194498,0.02161160907336754,0.09867527758619522,0.0005503804407635837,0.1708261600915904,0.0007627921445585353,0.042176389594950674,0.0008860138404556386,0.0002453214942760186,0.0012071621690975536,0.0020574769101785553,0.0005503178355209358,0.00012946934785189386,0.00028869874576551075,0.0009642981156416174,0.00029765753835636003,0.0011339128180880413,0.00025374238613683165,0.0003250775346033303,0.001457159056219384,0.0006069372666732848,0.001970119042080164,0.00018368861675229235,0.18937114692367588,0.0003334946960232961,0.0004879096027311841,0.0002811804056064535,0.0008918382262032563,0.2378286247163157,0.00018986042599163452,0.0001557728970741811,0.12603112825367746,0.0005922638286039401,0.002802796884161793,0.0005489322812321371,0.0006180236807500567,0.08765573012137236,0.0003103895497262534,0.002337562019576386
9,ub0928,ub0928,SchwendlerAuguste_MuellerFriedrich_1810-06-19.xml,JP-UB0928,letters-context,Schwendler Auguste Sophie Henriette,Müller Friedrich Theodor Adam Heinrich von,1810-06-19,1810,6,1809,SchwendlerAugusteSophieHenriette,MüllerFriedrichTheodorAdamHeinrichvon,0.000780242151161076,0.02571932668732051,0.00041651202725617037,0.3097075137378664,0.00032970295744908336,0.0020940412810525467,0.00045694724476574844,0.00020592606210073413,0.0005307626541629325,0.00014695875107119795,0.0007231451334279466,0.05135182783252653,0.00032966545405665863,7.75580375395453e-05,0.00017294370083114312,0.013107484859307673,0.00017831042572470586,0.0006792654351858427,0.00015200324892256976,0.0001947362526369529,0.0008729046578085336,0.000363583072702618,0.07635914920570724,0.00011003784965348498,0.1134419441025891,0.012729604873731487,0.1757098490907726,0.00016843987256626088,0.0005342517265646509,0.017171917276209703,0.00011373504455416057,9.331506182253732e-05,0.000319429219122422,0.00035479301482792866,0.0016790030193572286,0.000328835443916601,0.17578779335105382,0.0023904702031876173,0.00018593748056172968,0.01393013249892438
10,ub0384,ub0384,MayerJohann_Unbekannt_1815-12-30.xml,JP-UB0384,letters-context,Mayer Johann Siegfried Wilhelm,Unbekannte Korrespondenten,1815-12-30,1815,12,1814,MayerJohannSiegfriedWilhelm,UnbekannteKorrespondenten,0.0396228271236019,0.0019637876176123157,0.0012399172881475944,0.17596786979116222,0.0009814948192194202,0.006233764733220737,0.4116616017641868,0.0006130225966363683,0.0015800307019584953,0.0004374824354968437,0.002152735321195522,0.003669103729780376,0.0009813831751333227,0.00023088301246325586,0.0005148371967776907,0.0017196352460712653,0.0005308134340549106,0.002022109569983729,0.0004524994330542573,0.0005797115820742688,0.002598555396470432,0.001082352748590698,0.003513318224689263,0.00032757237056212904,0.00200496689380025,0.0005947219271271715,0.0008700904172097317,0.0005014297219317346,0.0015904173436576284,0.2749199051177053,0.00033857857344466737,0.0002777901977057772,0.0009509108626190573,0.0010561855697112706,0.042298354036301486,0.0009789123126980293,0.0011021231785953989,0.007116205866273961,0.0005535184618361595,0.004168580207238558
11,ub0764,ub0764,MahlmannErnestine_RichterCaroline_1804-11-09.xml,JP-UB0764,letters-context,Mahlmann Ernestine,Richter Caroline,1804-11-09,1804,11,1804,MahlmannErnestine,RichterCaroline,0.0017389428216158939,0.0014702298709590481,0.0009282895045288011,0.3551459482003975,0.0007348162237434066,0.004667035802199221,0.001018408362019547,0.0004589519381141128,0.001182922386421918,0.00032753019670702136,0.0016116894439626233,0.3099274414168717,0.0007347326391088848,0.00017285530195633526,0.00038544342503987256,0.0012874401912168025,0.00039740436269923975,0.00151389379659952,0.0003387729798792021,0.0004340129639593125,0.0019454617856679481,0.0008103255808423293,0.030555816978427332,0.0002452437726880432,0.0015010595805330324,0.028370750009136875,0.0006514110336291523,0.0003754056440518125,0.0011906985587269358,0.010345930000819032,0.0002534837921782455,0.00020797332810521942,0.0007119189174549392,0.0007907349857686933,0.0037420309113496133,0.0007328827772771782,0.0008251271186939412,0.2287316873928329,0.0004144029473555248,0.0031208930564612155
12,ub0232,ub0232,MannLukrezia_RichterCaroline_1810-02-08.xml,JP-UB0232,letters-context,Mann Lukrezia von,Richter Caroline,1810-02-08,1810,2,1809,MannLukreziavon,RichterCaroline,0.0007256858453640835,0.07053582247346425,0.0003873885589927623,0.5444337328003219,0.0003066493767856982,0.20006073197035998,0.0004249964541279496,0.00019152724347907933,0.0004936505222138366,0.00013668306095236302,0.000672581180972682,0.001146341631221288,0.00030661449571576984,7.21350031562766e-05,0.00016085108392475457,0.0005372673051151247,0.00016584255520764546,0.0006317696510319365,0.0001413748360407283,0.00018111985094318092,0.0474267187831192,0.00033816051732355184,0.0010976694150129258,0.00010234375293491425,0.01228012614919322,0.00018580954758311998,0.00027184319158889467,0.0001566621735756891,0.000496895630737658,0.015971217764337076,0.00010578243155921053,8.67902604635236e-05,0.00029709400160949414,0.00032998508028762543,0.001561603309508412,0.00030584252177248537,0.0003443374119143437,0.002223323089679802,0.00017293630902344165,0.094532092759384
13,ub1278,ub1278,GoldschmidtCaroline_OsmundEmanuel_1806-11-22.xml,JP-UB1278,letters-context,Goldschmidt Caroline,Osmund Emanuel,1806-11-22,1806,11,1804,GoldschmidtCaroline,OsmundEmanuel,0.0023227077943924,0.07656402627603133,0.0012399172881475944,0.2505681084495812,0.0009814948192194202,0.08083400339163972,0.001360289142882292,0.0006130225966363683,0.0015800307019584953,0.0004374824354968437,0.002152735321195522,0.003669103729780376,0.0009813831751333227,0.00023088301246325586,0.0005148371967776907,0.0017196352460712653,0.0005308134340549106,0.2631229448744502,0.0004524994330542573,0.0005797115820742688,0.002598555396470432,0.001082352748590698,0.003513318224689263,0.00032757237056212904,0.00200496689380025,0.0005947219271271715,0.0008700904172097317,0.0005014297219317346,0.0015904173436576284,0.20031966645928634,0.00033857857344466737,0.0002777901977057772,0.0009509108626190573,0.0010561855697112706,0.004998234707091994,0.0009789123126980293,0.0011021231785953989,0.04441632519548346,0.037853637791045655,0.004168580207238558
