,Number,Score,Rank
0,0,"0,06227",10.0
1,1,"0,05265",14.0
2,2,"0,03324",19.0
3,3,"0,71762",1.0
4,4,"0,02631",23.5
5,5,"0,16712",4.0
6,6,"0,03647",18.0
7,7,"0,01643",28.0
8,8,"0,04236",17.0
9,9,"0,01173",36.0
10,10,"0,05771",11.0
11,11,"0,09837",7.0
12,12,"0,02631",23.5
13,13,"0,00619",40.0
14,14,"0,0138",33.0
15,15,"0,0461",15.0
16,16,"0,01423",32.0
17,17,"0,05421",12.0
18,18,"0,01213",35.0
19,19,"0,01554",30.0
20,20,"0,06967",9.0
21,21,"0,02902",21.0
22,22,"0,09419",8.0
23,23,"0,00878",38.0
24,24,"0,05375",13.0
25,25,"0,01594",29.0
26,26,"0,02333",27.0
27,27,"0,01344",34.0
28,28,"0,04264",16.0
29,29,"0,37048",2.0
30,30,"0,00908",37.0
31,31,"0,00745",39.0
32,32,"0,02549",26.0
33,33,"0,02832",22.0
34,34,"0,134",5.0
35,35,"0,02624",25.0
36,36,"0,02955",20.0
37,37,"0,19078",3.0
38,38,"0,01484",31.0
39,39,"0,11176",6.0
