idno,filename,id,corpus,sender,receiver,date,year,month,year_range,sender_norm,receiver_norm
ub0279,SpazierJohann_BoettigerCarl_1801-02-04.xml,JP-UB0279,letters-context,Spazier Johann Karl Gottlieb,Böttiger Carl August,1801-02-04,1801,2,1799,SpazierJohannKarlGottlieb,BöttigerCarlAugust
ub0823,MahlmannErnestine_MayerJohann_1801-02-12.xml,JP-UB0823,letters-context,Mahlmann Ernestine,Mayer Johann Siegfried Wilhelm,1801-02-12,1801,2,1799,MahlmannErnestine,MayerJohannSiegfriedWilhelm
ub0828,SpazierJohann_Unbekannt_1801-02-12.xml,JP-UB0828,letters-context,Spazier Johann Karl Gottlieb,Unbekannte Korrespondenten,1801-02-12,1801,2,1799,SpazierJohannKarlGottlieb,UnbekannteKorrespondenten
ub0240,MahlmannErnestine_MayerJohann_1801-02-19.xml,JP-UB0240,letters-context,Mahlmann Ernestine,Mayer Johann Siegfried Wilhelm,1801-02-19,1801,2,1799,MahlmannErnestine,MayerJohannSiegfriedWilhelm
ub0605,MerzdorfErnestine_RichterCaroline_1801-02-20.xml,JP-UB0605,letters-context,Merzdorf Ernestine Amalie,Richter Caroline,1801-02-20,1801,2,1799,MerzdorfErnestineAmalie,RichterCaroline
ub0626,SpazierJohann_BoettigerCarl_1801-02-25.xml,JP-UB0626,letters-context,Spazier Johann Karl Gottlieb,Böttiger Carl August,1801-02-25,1801,2,1799,SpazierJohannKarlGottlieb,BöttigerCarlAugust
ub0228,MahlmannErnestine_MayerJohann_1801-03-04.xml,JP-UB0228,letters-context,Mahlmann Ernestine,Mayer Johann Siegfried Wilhelm,1801-03-04,1801,3,1799,MahlmannErnestine,MayerJohannSiegfriedWilhelm
ub0503,MahlmannErnestine_MayerJohann_1801-03-13.xml,JP-UB0503,letters-context,Mahlmann Ernestine,Mayer Johann Siegfried Wilhelm,1801-03-13,1801,3,1799,MahlmannErnestine,MayerJohannSiegfriedWilhelm
ub0268,SpazierJohann_HaertelGottfried_1801-03-15.xml,JP-UB0268,letters-context,Spazier Johann Karl Gottlieb,Härtel Gottfried Christoph,1801-03-15,1801,3,1799,SpazierJohannKarlGottlieb,HärtelGottfriedChristoph
ub0072,SpazierJohann_Unbekannt_1801-06-01.xml,JP-UB0072,letters-context,Spazier Johann Karl Gottlieb,Unbekannte Korrespondenten,1801-06-01,1801,6,1799,SpazierJohannKarlGottlieb,UnbekannteKorrespondenten
ub1028,RichterCaroline_HerderCaroline_1801-06-07.xml,JP-UB1028,letters-context,Richter Caroline,Herder Caroline (von),1801-06-07,1801,6,1799,RichterCaroline,HerderCarolinevon
ub0265,RichterCaroline_Unbekannt_1801-06-09.xml,JP-UB0265,letters-context,Richter Caroline,Unbekannte Korrespondenten,1801-06-09,1801,6,1799,RichterCaroline,UnbekannteKorrespondenten
ub0128,RichterCaroline_OttoGeorg_1801-06-21.xml,JP-UB0128,letters-context,Richter Caroline,Otto Georg Christian,1801-06-21,1801,6,1799,RichterCaroline,OttoGeorgChristian
ub0710,RichterCaroline+RichterJohann_HerderCaroline+HerderJohann_1801-06-22.xml,JP-UB0710,letters-context,Richter Caroline + Jean Paul,Herder Caroline (von) + Herder Johann Gottfried (seit 1801) von,1801-06-22,1801,6,1799,RichterCarolineANDJeanPaul,HerderCarolinevonANDHerderJohannGottfriedseit1801von
ub1228,OttoGeorg_RichterCaroline_1801-06-30.xml,JP-UB1228,letters-context,Otto Georg Christian,Richter Caroline,1801-06-30,1801,6,1799,OttoGeorgChristian,RichterCaroline
ub0791,VossGeorg+SpazierJohann_1801-07-01.xml,JP-UB0791,letters-context,Voß Georg + Spazier Johann Karl Gottlieb,Unbekannte Korrespondenten,1801-07-01,1801,7,1799,VoßGeorgANDSpazierJohannKarlGottlieb,UnbekannteKorrespondenten
ub0254,BassewitzAdelheid_RichterCaroline_1801-07-04.xml,JP-UB0254,letters-context,Bassewitz Adelheid Henriette von,Richter Caroline,1801-07-04,1801,7,1799,BassewitzAdelheidHenriettevon,RichterCaroline
ub0024,RichterCaroline_MayerJohann_1801-07-04.xml,JP-UB0024,letters-context,Richter Caroline,Mayer Johann Siegfried Wilhelm,1801-07-04,1801,7,1799,RichterCaroline,MayerJohannSiegfriedWilhelm
ub0408,MahlmannErnestine_MayerJohann_1801-07-11.xml,JP-UB0408,letters-context,Mahlmann Ernestine,Mayer Johann Siegfried Wilhelm,1801-07-11,1801,7,1799,MahlmannErnestine,MayerJohannSiegfriedWilhelm
ub1029,WagnerJohann_HeimAnton_1801-07-13.xml,JP-UB1029,letters-context,Wagner Johann Ernst,Heim Anton Christoph,1801-07-13,1801,7,1799,WagnerJohannErnst,HeimAntonChristoph
ub0733,FeuchterslebenCaroline_RichterCaroline_1801-07-17.xml,JP-UB0733,letters-context,Feuchtersleben Caroline Henriette Susanne Friederike von,Richter Caroline,1801-07-17,1801,7,1799,FeuchterslebenCarolineHenrietteSusanneFriederikevon,RichterCaroline
ub0006,RichterCaroline_MayerJohann_1801-07-27.xml,JP-UB0006,letters-context,Richter Caroline,Mayer Johann Siegfried Wilhelm,1801-07-27,1801,7,1799,RichterCaroline,MayerJohannSiegfriedWilhelm
ub0001,RichterCaroline_MayerJohann_1801-08-19.xml,JP-UB0001,letters-context,Richter Caroline,Mayer Johann Siegfried Wilhelm,1801-08-19,1801,8,1799,RichterCaroline,MayerJohannSiegfriedWilhelm
