,Number,Score,Rank
0,0,"0,00363",93.0
1,1,"0,434",3.0
2,2,"0,0058",65.0
3,3,"0,00838",40.0
4,4,"0,00849",39.0
5,5,"0,57386",2.0
6,6,"0,0064",53.0
7,7,"0,08484",9.0
8,8,"0,00584",63.0
9,9,"0,03058",17.0
10,10,"0,01617",22.0
11,11,"0,0797",11.0
12,12,"0,01028",31.0
13,13,"0,04367",13.0
14,14,"0,01408",27.0
15,15,"0,0102",33.0
16,16,"0,00542",73.0
17,17,"0,00616",58.0
18,18,"0,0158",23.0
19,19,"0,00527",76.0
20,20,"0,11472",6.0
21,21,"0,00708",47.0
22,22,"0,12689",5.0
23,23,"0,00437",84.0
24,24,"0,00601",61.0
25,25,"1,10543",1.0
26,26,"0,00996",35.0
27,27,"0,00789",43.0
28,28,"0,00538",74.0
29,29,"0,00529",75.0
30,30,"0,01556",25.0
31,31,"0,00665",49.0
32,32,"0,00522",78.0
33,33,"0,00393",89.0
34,34,"0,00403",87.0
35,35,"0,00669",48.0
36,36,"0,0055",71.0
37,37,"0,00343",94.0
38,38,"0,03123",16.0
39,39,"0,00602",60.0
40,40,"0,0016",100.0
41,41,"0,00553",70.0
42,42,"0,01188",28.0
43,43,"0,00615",59.0
44,44,"0,00374",90.0
45,45,"0,22359",4.0
46,46,"0,09088",8.0
47,47,"0,01987",20.0
48,48,"0,00485",80.0
49,49,"0,00985",36.0
50,50,"0,00802",41.0
51,51,"0,00259",98.0
52,52,"0,10484",7.0
53,53,"0,00638",54.0
54,54,"0,00408",86.0
55,55,"0,05943",12.0
56,56,"0,00524",77.0
57,57,"0,01565",24.0
58,58,"0,01011",34.0
59,59,"0,004",88.0
60,60,"0,08117",10.0
61,61,"0,00565",69.0
62,62,"0,00326",95.0
63,63,"0,00567",68.0
64,64,"0,00633",55.0
65,65,"0,00782",44.0
66,66,"0,00736",46.0
67,67,"0,00649",52.0
68,68,"0,00583",64.0
69,69,"0,00596",62.0
70,70,"0,0043",85.0
71,71,"0,00481",81.0
72,72,"0,03357",15.0
73,73,"0,01027",32.0
74,74,"0,00573",67.0
75,75,"0,00869",37.0
76,76,"0,00439",83.0
77,77,"0,00511",79.0
78,78,"0,00365",92.0
79,79,"0,00756",45.0
80,80,"0,00856",38.0
81,81,"0,00578",66.0
82,82,"0,00321",96.0
83,83,"0,00294",97.0
84,84,"0,01848",21.0
85,85,"0,00664",50.0
86,86,"0,01536",26.0
87,87,"0,00545",72.0
88,88,"0,00618",57.0
89,89,"0,02142",19.0
90,90,"0,00658",51.0
91,91,"0,00628",56.0
92,92,"0,00454",82.0
93,93,"0,01051",30.0
94,94,"0,01093",29.0
95,95,"0,03826",14.0
96,96,"0,00371",91.0
97,97,"0,02595",18.0
98,98,"0,00177",99.0
99,99,"0,00793",42.0
