month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.00022951987029761357,0.0807106037946479,0.00296956676205164,0.0012906697313381495,0.0008832898374297569,0.000559994753115369,0.0004840494356617279,0.004487861788351376,0.0003757532113696995,0.0002679573080488526,0.0004762921036224675,0.00030794034611540737,0.1753735479160953,0.011529595407048452,0.00015971857683032563,0.0023260069309211343,0.00680708742452633,0.0004397039811431626,0.0006222388287926289,0.083031852486234,0.00038647826547675857,0.010733813161355132,0.0002929868925979419,0.0006186068435326305,0.0002509978470734048,0.05368085489674875,0.17889109509048037,0.026984744735504346,0.0001818480124089496,0.012829811453235702,0.000464332985353336,0.052039245696514545,0.0002311685613747107,0.13735447181332539,0.0046420295039170355,0.02577997476256418,0.004620273908974667,0.10369846389439995,0.004938828028429393,0.008046723153091509
1,0.0005048723831975446,0.037049690335133036,0.011962260795734942,0.018185938209310623,0.005854610958419714,0.00438961560874993,0.0025544472556745046,0.0014050598009214784,0.002795964181051071,0.0068277429814726205,0.004688597422157956,0.005166548040452228,0.1372225968086983,0.04095555877396274,0.0005832853562277603,0.015375436391626236,0.03134686044128384,0.002089814072116344,0.006361002666594158,0.017956851699026444,0.008248369978209174,0.00425884806055316,0.005504563200751931,0.011231515111285744,0.0026601200192691815,0.015886951601967698,0.18012000111477924,0.024944036391679456,0.003815165388778115,0.04629197892572992,0.004128994035578257,0.014240115159414436,0.00196655086892029,0.16523803612188798,0.009023671929815616,0.0042656012607638115,0.0049412096786791565,0.09900717583909455,0.018694682285770394,0.022255658845260432
2,0.003994317760616834,0.00988207804212964,0.004170902650243047,0.022562076082268272,0.01652282349701225,0.01352903407609622,0.015703284380137638,0.00044608435668578374,0.005721938837929184,0.00230621973829145,0.0029808871338492878,0.0002791816360702268,0.16077787589516382,0.043910388681401936,0.0009709361737561639,0.018727460187943166,0.04394104383451772,0.005709446575116877,0.00449183693919321,0.03301435046120259,0.007595028790493413,0.0023706674471221183,0.005010184416696547,0.021172222277838576,0.00503473372497592,0.011842138990035757,0.16305088350411953,0.02579952086542255,0.0016980660513765573,0.0448381246940302,0.004006426578474643,0.00560821320919306,0.0008209397819202816,0.1398203320183279,0.0063877972363763184,0.005998057623626442,0.0005003983405750847,0.10142345212128967,0.01024112673906014,0.027139518649419946
3,0.003971751180603095,0.028928968508927674,0.006160451057449878,0.02697883914407401,0.0015328718561863242,0.008137910569691965,0.003889168023140836,0.000283781376994895,0.003675568297406588,0.0025646983221008237,0.004360032832676615,0.003116390675927335,0.12724447185213975,0.03283983836389807,0.0005091977785828104,0.016096305522504444,0.0428556648494527,0.001325140122973375,0.04232662691182111,0.01640459253278492,0.0039104198435921675,0.0003289275821620212,0.003597599073261216,0.00934583251261759,0.0019595470506559897,0.009678694218531783,0.1942726956544062,0.026611391964243416,0.00041908442805488853,0.03016410375575989,0.0029153366997465885,0.012412707267332805,0.0026442077242094463,0.17225434541798715,0.007246622189587953,0.0004128238286529674,0.007797162298951663,0.0938952234937323,0.024856513872994222,0.02207449134418273
4,0.0030207804407246155,0.04538495969799971,0.007578664400750298,0.011970294295875688,0.0210427736079836,0.0048428408204999945,0.0040863425878861215,0.0013634681399322093,0.0013072527619546533,0.00285655585356405,0.0008650551501706155,0.006354462804404064,0.11882939473589368,0.03177919105211438,0.0012147163472519022,0.022465277063690794,0.030425041620256645,0.006366268368072375,0.009073116627931916,0.006861867213784975,0.0009119636793266316,0.0002611621206270511,0.002796518936494646,0.005497316281739946,0.001694257163290057,0.02273504089564414,0.22047702313132894,0.016159894277251004,0.0026164512408041476,0.04617861571317254,0.009165904745421798,0.027592572332557137,0.0006176178137527287,0.13035523841367974,0.012400286539646994,0.0013737945325225788,0.002751427487752578,0.10465772797492291,0.0087938582409473,0.04527500488837478
5,0.000954631044880957,0.03575805890644563,0.007148668381873587,0.01071274608404911,0.0012897914347542346,0.0019792594884010216,0.0033386543995407685,0.00241800895767946,0.00016347627811470026,0.004581803682303196,0.004579107256430362,0.005460578627847269,0.14237615885328236,0.02418682765744402,0.007285391947315166,0.04665931159226524,0.04868249750659709,0.004610377009891093,0.016444821759597206,0.012891948477854487,0.00851500301495166,0.00018605159732485777,0.0027736412042206576,0.019112246551484958,0.0011366621959024745,0.014585853194241067,0.18625327832390362,0.014833985864903082,0.0015732270713895288,0.02923890845386361,0.005136027851167993,0.026127083695845148,0.014491105314332377,0.12211904987545602,0.01427158423165843,0.005530738636591387,0.0040097869215890355,0.11928812760152076,0.013259586601710982,0.01603593245137548
6,0.0020011169705604686,0.02899300677501241,0.008839557710194491,0.017439453104645036,0.023777422396571768,0.009692872065113706,0.0030925198212466577,0.002332114507705253,0.0051214775314102935,0.001864999127999999,0.008057299853384284,0.0017994635920997523,0.11497318238464102,0.025570095250734545,0.0010982986927791146,0.035430618363069925,0.042990561149364635,0.0067419432397073775,0.01722916368509213,0.009861647996530122,0.0069385372727982205,0.0040849292211671915,0.0015776780051820027,0.0010491611185506292,0.00438627993848674,0.019111376054966874,0.18284988947750486,0.022789481643178167,0.00022630117501422982,0.02497195415629317,0.006646633120768656,0.032533639161562274,0.0009068328348866072,0.16796957878261518,0.008745764739510872,0.0006955564060595523,0.0011477185864646375,0.11125349388054914,0.0016776035928928812,0.03353077661368507
7,0.0001050302765672345,0.027194941220472457,0.00840000767282459,0.02984832336223522,0.02325392520029471,0.005705319137674377,0.0037352536682306917,0.00015300779566306062,0.009004262583723983,0.003917943905511186,0.0017800842524228764,0.0015404226609026929,0.12071602457384549,0.018511978960662936,0.0015252109528535122,0.04633340900384562,0.02665542036065335,0.0052977453956171705,0.006882180901583567,0.015254646531836436,0.00017685579491489924,0.0062289533416248185,0.007356352638982862,0.00968188000604214,0.0033488008728785293,0.02100308387521463,0.21010664227626907,0.012009584596387242,0.0014413273530900178,0.06733925760259869,0.0024270435259496517,0.01150698086344966,0.0011621089375842158,0.14591342935257487,0.011504585687506428,0.0012705538552841929,0.002127757914451866,0.10289687872404298,0.0024904986817983316,0.024192285681933847
8,0.0012638674514386414,0.02279348608092892,0.013269941938852543,0.02905903731063912,0.01708118052942317,0.005178736385636773,0.004427878493127691,0.0031902774509507312,0.0027513618653097773,0.0017624705280729696,0.0073939229840806996,0.0068168360767108,0.13322503912695047,0.026868033693554064,0.00013811505502052756,0.023004454882186828,0.02339518529766906,0.005311877410905742,0.012418117398763565,0.015068740006841564,0.007046732186903124,0.0004360036031420663,0.005712890945633541,0.014006041940241841,0.00470617139671054,0.024759421361850137,0.18340006454255983,0.0160153912609606,0.0067606722071799595,0.04392705503913866,0.013076848648079441,0.009010656570035634,0.010572322926827865,0.14828025721294583,0.005198098463240517,0.0014243068466516433,0.0037266740164248,0.1015835579685092,0.012643908391542174,0.03329436450435894
9,0.0015647592229137582,0.03370329136522708,0.0057301360643672505,0.008820661667723445,0.015300547201407501,0.003362008114020089,0.0017007554113422625,0.0001119215927338756,0.0035029698427480323,0.002455103262301506,0.00895371359748916,0.005273268420849388,0.12678844258995217,0.034940515055863694,0.006339336339304232,0.026127048186603594,0.02800767684837567,0.004303998871369282,0.008511461925600608,0.012436033682088687,0.005073558334509093,0.0022658920867629205,0.003212073706642667,0.01587183396661776,0.0062574969557801785,0.03261601149190475,0.19367774810165436,0.0448417933112646,0.001862326991507867,0.04630181780657423,0.005787854405713762,0.01068155164221861,0.003059517632653387,0.1321854184798305,0.0055546725151735905,0.0018808012777081099,0.002484469885922477,0.11038067848015702,0.004141453184829459,0.03392938048029341
