sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
AdelheidLouiseTheresaCarolineAmelia,0.00025718890252449355,0.011549590499377661,0.0008948106756944755,0.011033413553327086,0.19006263806017243,0.0006275031254874058,0.0005424024637344643,0.00016339620365397534,0.0004210509352716026,0.00030026004237080034,0.0005337099713977073,0.0003450631074239406,0.08838814945011819,0.014947554768946976,0.00017897293787461926,0.0026064112403526066,0.040562591652273855,0.0004927110850978747,0.0006972508361815961,0.006679159471351188,0.03878167399321931,0.00018420746383690902,0.0003283069882516828,0.0006931810085810797,0.00028125608794181547,0.001223263382443848,0.2339377023137459,0.0019886533768005616,0.00020377011662246714,0.03544453107308722,0.0005203091599611624,0.0012016410915548705,0.0002590363462694326,0.22530583414053348,0.0007303826366304275,0.0005104300071775203,0.0003117708430256647,0.03616820017266655,0.0009877224620118928,0.049654298353005256
AdersbachGerson,0.0004580651726843335,0.003495193827343968,0.0015936986497414663,0.0025758591297443713,0.0017628291240664113,0.0011176117037513824,0.0009660435414443028,0.0002910160955937618,0.0007499109311519331,0.0005347768383812258,0.000950561815894676,0.0006145731419110781,0.2012571027741964,0.007083227607589852,0.0003187589701136207,0.0924818027178114,0.0038571532984863367,0.000877540928335153,0.0012418355595626902,0.046046195711863636,0.0007713154995460704,0.00032808189973967066,0.0005847297289689954,0.001234587010872109,0.0005009299282628192,0.0021786879100049784,0.34104747910108324,0.003541882419933257,0.0003629238771283604,0.004511178632372864,0.0009266943591555324,0.002140177623158729,0.00046135555430556016,0.02545447054113778,0.00130084480819266,0.0009090991371945734,0.0005552780996640809,0.2400965458105545,0.0017591787813729025,0.0030608017376833442
AretinJohannChristophANDBaboJosephMariusFranzvon,0.0002622554840584063,0.0020010989783319022,0.0009124383073742283,0.026620120646753842,0.0010092703676533078,0.0006398648398415631,0.000553087708236583,0.0001666150835512751,0.0004293455734637797,0.0003061751186867501,0.0005442239751475041,0.0003518607971801779,0.3163884167026124,0.004055351499522279,0.00018249867702278992,0.002657757137980889,0.0022083311845214415,0.0005024174171394495,0.07614708823064854,0.4538340139529671,0.0004416003044060383,0.0001878363223355609,0.0003347745850562224,0.02585220378739616,0.00028679678929976305,0.0012473614815599686,0.044387286052395634,0.0020278295402249968,0.0002077843563501876,0.0025827794961442783,0.0005305591698018233,0.0012253132348903815,0.00026413932215889937,0.014573416385482056,0.0007447710614151625,0.000520485399238903,0.0003179126803311673,0.011735340892253742,0.0010071804414874409,0.0017523970150774364
AretinJohannChristophANDBaboJosephMariusFranzvonANDSchererJoseph,4.519491617745675e-05,0.0003448526573742233,0.23849106456242025,0.00025414666819465696,0.00017392921192955354,0.00011026895359450647,9.531450868332296e-05,2.8713049650938123e-05,7.398982436354372e-05,5.276365859174488e-05,9.378700707389595e-05,6.063674623158571e-05,0.37085771562465614,0.0006988653516592043,0.02603150366738477,0.00045801563121682,0.00038056532215083414,8.658241460702797e-05,0.00012252547752478462,0.2905437265406017,7.610170217498853e-05,3.237014041295245e-05,5.7692251371907436e-05,0.0001218103007988195,4.942415941807278e-05,0.00021495984270642,0.011982675777172908,0.004682801407476914,3.580781771618597e-05,0.00044509461166157473,9.143212883599504e-05,0.00021116023232393524,4.551956107611109e-05,0.011178145120722708,0.00012834761420873645,8.969609949111121e-05,5.478641177287199e-05,0.04102245053344533,0.00017356905153777927,0.0003019934415877147
BassewitzAdelheidHenriettevon,0.0015605639947095817,0.0021076113153853703,0.027719105030379956,0.0001973698069494532,0.042848112992971164,8.563465434375306e-05,7.402106158598432e-05,2.2298498370221253e-05,0.0018972597674352973,4.0976154376429793e-05,7.283480681463837e-05,4.7090378885488994e-05,0.026099163652152608,0.08386088696929292,2.442423798267857e-05,0.012605622538518504,0.000295546287103148,6.723973435338504e-05,9.515304692853223e-05,0.00016292811093855,5.9100433515413834e-05,2.513858792489743e-05,4.480368991904841e-05,9.459764207769875e-05,3.838270582997595e-05,0.001692403105620712,0.3121795838969996,0.0002713893168254368,2.7808281415327306e-05,0.043373033216823766,7.100601296695362e-05,0.00016398662467318137,3.5350402371337345e-05,0.42279334730422924,9.967450692447746e-05,6.965781596286826e-05,4.254702055264765e-05,0.0168252260769362,0.0019745928010853836,0.00023452751786820904
BayreutherPostamtANDOsmundEmanuel,7.05803773367299e-05,0.0005385524023869619,0.0070128933750096606,0.0003968979092608417,0.00027162323655312406,0.00017220574815688452,0.00014885156467862968,4.484083720598493e-05,0.00011554905206931521,8.240039473575385e-05,0.00014646608310029242,9.469570454987592e-05,0.05807976090109115,0.007858740316341848,4.911556200233301e-05,0.0007152777084589075,0.0005943244574945809,0.00013521475445810006,0.00019134661967524323,0.00032763788742971216,0.00011884714719655412,5.055207350796507e-05,9.009732101828268e-05,0.00019022973646247508,7.718513754027655e-05,0.00033570029759300674,0.15405981378776182,0.007313076741528528,5.59206543516919e-05,0.020997090265748784,0.00014278849702046686,0.0003297664900498013,7.108737151628535e-05,0.003922119040772963,0.00020043898312704908,0.00014007736009195856,0.0677588631847342,0.19941089380799007,0.00027106077823915443,0.4674174164317526
BergnerCaroline,0.0001161826784034896,0.0008865135457045734,0.00040422234375497455,0.022932801770973867,0.00044712023837458186,0.000283468661011704,0.00024502523394577714,7.381270496176628e-05,0.0001902058172960643,0.00013563966251173125,0.00024109848192897858,0.0001558790276144455,0.03990669132445317,0.0017965748200604835,8.084934878570171e-05,0.0011774218714444258,0.0009783201779014537,0.0002225776189558141,0.011454709699789891,0.0005393262085641413,0.0001956348266039064,8.321399687316536e-05,0.00014830960768235662,0.0003131380296928337,0.0001270548040511021,0.0005525977784041574,0.5098124191263037,0.0008983555412575756,9.205124208473578e-05,0.0011442057757725622,0.00023504479084746074,0.0005428301109657788,0.00011701724381583798,0.2403906143300298,0.00032994351680879495,0.00023058197608564755,0.00014083955892064967,0.1277359773855525,0.033865393863964616,0.0007763352578458722
BornträgerJohannFriedrichWilhelm,0.00026902009308877337,0.002052715257274872,0.0009359737100212973,0.02730675913274405,0.0010353034531676948,0.0006563694917436858,0.0005673540337594041,0.00017091274734592544,0.00044042009857363164,0.0003140725892779879,0.0005582616698406881,0.00036093668260763796,0.3761372606885573,0.0041599550980837155,0.0001872060416868725,0.0027263112351455605,0.002265292803938056,0.0005153767548981914,0.0007293257330103279,0.0012488056638637682,0.0004529909276287453,0.00019268136604118312,0.0003434097493096584,0.0007250686854114646,0.00029419441592230263,0.0012795358811634233,0.09712014213146143,0.002080135306371707,0.00021314393896628434,0.002649399622567157,0.00054424439497098,0.001256918922769617,0.00027095252284511717,0.37606484612469865,0.0007639816608262433,0.000533910781913004,0.00032611290918799256,0.06362597380911428,0.02682712558615685,0.0017975982840443844
BrockhausFriedrichArnold,0.00021798600094031034,0.002461051051338497,0.002730568484812567,0.001952393251614205,0.001853738192255495,0.0005318538069095663,0.004027738540684851,0.00013848997625380235,0.0006951493265193214,0.001211297919770208,0.009231857801776114,0.0002924656784217894,0.17524922790255917,0.04459001241697086,0.00015169237327458698,0.010592023644639292,0.012584648075999865,0.00041760790611569204,0.0005909699833064863,0.009721998443996169,0.0010305635483794815,0.00015612900864313324,0.004688594607175195,0.009405206585172958,0.000517235715366826,0.0021096818097307594,0.1741596257849,0.0033147493272611744,0.007749926868459799,0.0042382194615586495,0.0089794524174444,0.002175117668080403,0.00021955184172880643,0.1748877938436078,0.0006190515553062941,0.0004326259606553784,0.00026424810174102074,0.038002253876822524,0.282336925604653,0.005470275635153446
CarlAugust,0.0005556880832234059,0.0042400900007945035,0.32161354746356524,0.0031248265701430285,0.002138523501497286,0.0013557972587311946,0.0011719268695100588,0.00035303748460068835,0.0009097320485599744,0.0006487485493186022,0.0011531456765517555,0.0007455510516720702,0.13758897677554985,0.00859280601760391,0.0003866929242288648,0.005631470300727865,0.11123925683777186,0.00106456256772155,0.001506495719218556,0.002579533809922504,0.0009356983614177283,0.00039800275785705137,0.0007093474065936899,0.0014977023588667608,0.0006076881812130934,0.002643010167216935,0.253891463443994,0.004296728872447423,0.00044027026210186044,0.05875263488022477,0.001124191584257269,0.002596292562914975,0.0005596797114134691,0.03087933068908313,0.001578081026766568,0.001102846466251291,0.0006736190421333503,0.024865787305852552,0.0021340951972833293,0.0037131202111980576
