sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
AdelheidLouiseTheresaCarolineAmelia,0.0009305379078339962,0.0003211289391012682,0.0014661204275758907,0.00025969061885285923,0.0002040716235260488,0.1133836874995771,0.0002968084668194054,0.44530227418294716,0.0002190248542044995,0.0001565299209982345,0.00024098207393027202,0.007725456577045854,0.00035200842393159616,0.0001417261313638955,0.0002918658707038194,0.0011364139416578346,0.0006063760760030078,0.0001959958860379964,0.3851783856945025,0.0003004039214532488,0.00021444654496747387,0.002563037456037256,0.0002846752156294171,0.0003570337963554474,0.01970457557697408,0.0003144972437891846,0.0010943280712688713,0.00030335896494199604,0.00047781054458846786,0.0006101889969553522,0.0007829646218212396,0.000493794141327553,0.0003586899735754071,0.009249560158302724,0.00017189613113034914,0.001001631807369675,0.00025419385568584916,0.0017066355780771833,0.0003732217166303397,0.0009739705665056997
AdersbachGerson,0.0016042373709029675,0.0005536228461490914,0.002527575889558568,0.00044770384111100195,0.0003518172898118319,0.0022543799098354656,0.0005116946128293,0.5095035500619035,0.0003775964990929897,0.0002698559046502102,0.0004154505103575111,0.043315389728370665,0.0006068587467416341,0.038971748442618234,0.03923058774263921,0.001959165444711654,0.0010453858502227306,0.0003378948050136663,0.05772078120342779,0.0005178931380483574,0.0003697035430814685,0.004418649079616594,0.0004907770179353536,0.0006155224348914408,0.004365074670908128,0.0005421898745715546,0.0018866098556308078,0.0005229876013231814,0.0008237402532311054,0.19468902984750325,0.0013498226088867918,0.0008512958025477033,0.0006183776666522641,0.0007520581494687209,0.00029634708607931086,0.0017268024910535632,0.0004382274803767613,0.0029422214289333685,0.0006434302357919206,0.07913394303352027
AretinJohannChristophANDBaboJosephMariusFranzvon,0.0008314445931814407,0.00028693180351065654,0.0013099927388216625,0.0002320360719615853,0.0001823399633416771,0.0011684006500574994,0.0002652012270213628,0.1034924022736277,0.0001957008191365069,0.00013986099372140527,0.00021531980667972842,0.7651007478739635,0.0003145229209560134,0.00012663366494044558,0.0002607849697340599,0.0010153968145228704,0.0005418028707726976,0.00017512421402736582,0.07005885265345656,0.0002684138004051777,0.0001916100556877634,0.002290098680562141,0.0002543600500905809,0.0003190131396729059,0.002262332121035809,0.00028100631980447065,0.0009777926835254677,0.0002710541602558086,0.0004269283287855405,0.00054520975240897,0.0006995864391821801,0.0004412098265906527,0.00032049294998830847,0.0003897769080032413,0.00015359085064015833,0.041038277708917284,0.00022712466107038622,0.0015248953449153787,0.0003334772025274119,0.000870252092495617
AretinJohannChristophANDBaboJosephMariusFranzvonANDSchererJoseph,0.00015761198429406064,5.439194779695823e-05,0.00024832749730977757,4.39856919265384e-05,3.456509751109355e-05,0.00022148673094545717,5.027261223519094e-05,0.2060567591208889,3.709783512338852e-05,2.6512613019012532e-05,4.081688938375197e-05,0.5940094978840835,5.96222310955883e-05,2.400518732501677e-05,0.04190293646493207,0.00019248270792217848,0.00010270633336125176,3.31972510220745e-05,0.024695229336550814,5.088160057893118e-05,3.632237353554297e-05,0.00043412032531413937,4.82175150920303e-05,6.047341503218206e-05,0.004233720513254451,5.326868925093714e-05,0.00018535431746446215,5.138211782171695e-05,8.093025272286801e-05,0.00010335215555956956,0.0001326164217904266,8.36375109409316e-05,6.07539338329562e-05,0.1256343907284574,2.911529996987466e-05,0.00016965367596796926,4.305466510575732e-05,0.00028906530047088865,6.321528101597493e-05,0.00016496849009439718
BassewitzAdelheidHenriettevon,0.0001283043028493067,0.08686382914767,0.06662471059625003,0.0027919828584773852,2.8137776190958626e-05,0.007070742227185054,4.0924505164628935e-05,0.2868853109642362,3.019955553534805e-05,0.0017408502866175578,3.3227057957019276e-05,0.000366938848054366,4.853557823856408e-05,1.95414634128133e-05,4.024301079074356e-05,0.005314493821709629,8.360826468333776e-05,2.7024278439093353e-05,0.44685592975588984,4.14202531576316e-05,2.956828971593352e-05,0.04677362291123099,3.925154985338257e-05,4.922848596426996e-05,0.014457802300256287,4.3363466735412456e-05,0.0001508879961692296,4.1827700067124663e-05,6.588140934545088e-05,0.031030951680604026,0.00010795662284439293,6.80852574846485e-05,0.0014275449584901375,6.014839095501926e-05,2.3701359269188386e-05,0.00013810686235813565,3.5048723074878083e-05,0.00023531409759835342,5.146050661379383e-05,0.00013429287885985966
BayreutherPostamtANDOsmundEmanuel,0.000241086348130258,8.319897830608329e-05,0.00037984655630654866,6.728136749275939e-05,0.02333284486956996,0.0003387903994871632,7.689796273447105e-05,0.4956082093647738,5.6745568133635826e-05,4.055420709772342e-05,6.243430566298809e-05,0.0006894854256637952,9.1199321083323e-05,3.6718800123558476e-05,7.561742119203881e-05,0.02357439870933657,0.00015710159954407832,5.07791590387141e-05,0.002854341629053121,7.782948311665408e-05,5.55594070484472e-05,0.0006640388695559963,7.375444628477559e-05,9.250130854182524e-05,0.0006559876554507598,8.148082024799371e-05,0.4251430365837352,7.859508399897222e-05,0.00012379248424290262,0.00015808946170463203,0.00020285265092472244,0.01758791362843046,9.293039554027548e-05,0.00011302002816139375,4.4535327538025314e-05,0.00025950555326859824,6.585725081001616e-05,0.006262153246652386,9.669531993033688e-05,0.0002523390020851326
BergnerCaroline,0.0003989907452056732,0.0001376918378503927,0.0006286347681647812,0.00011134866475263364,8.750066865681655e-05,0.000560688048113271,0.00012726384423744953,0.5601551298900188,9.391222975647646e-05,6.711600817149328e-05,0.0001033269213958778,0.001141077899796358,0.0001509321675138004,6.0768523551740784e-05,0.00012514458602044828,0.12570217484927276,0.000259998480881332,8.403799992369255e-05,0.25515367011529805,0.00012880548280115895,9.194916839284556e-05,0.029994713009266375,0.00012206141788457854,0.00015308691808489278,0.0203494723544017,0.00013484833729843318,0.000469219758785954,0.00013007252952087285,0.00020487288443330243,0.000261633363414734,0.0003357151119800102,0.00021172624002505801,0.00015379704432222425,0.000187044789590975,7.370464424959823e-05,0.0004294739826068712,0.00010899179394300758,0.0007317614847916602,0.00016002788235881847,0.000417613553265179
BornträgerJohannFriedrichWilhelm,0.0010670328641050925,0.0003682333935581958,0.0016811767320696485,0.00029778305911339986,0.0002340056510329957,0.001499464789689289,0.0003403454988503811,0.6479951996799485,0.00025115228033646057,0.0001794903447938696,0.0002763302713183773,0.0030516187009778767,0.00040364240254450414,0.00016251507713399902,0.0003346779033178096,0.0013031076034276268,0.0006953217011957803,0.0002247453326417812,0.1929455813080035,0.00034446834889594237,0.0002459024067130276,0.002938993859895439,0.0003264324947060413,0.0004094049163394535,0.0029033596976425326,0.0003606289351227558,0.0012548484122206606,0.0003478568497735612,0.0005478976725178183,0.0006996939163738343,0.000897812948705705,0.0005662258060238522,0.0004113040281409198,0.0005002194661189715,0.0001971105309997989,0.0011485550961424017,0.00029148000912905845,0.0019569715897960085,0.0004279673443602845,0.1299114410763229
BrockhausFriedrichArnold,0.003733181608791031,0.006228286804606025,0.010853590406372496,0.007658486891052628,0.00018112389046755917,0.002275278408579185,0.0002634325307221366,0.33441982594378594,0.012124508753825678,0.00013892822419850543,0.00021388378261037567,0.038906908273987295,0.005610936717862889,0.0001257891119304417,0.0011960319581903866,0.0030206015428502703,0.013150261791368007,0.00017395626487142103,0.21945549870210362,0.0002666236786143775,0.00047578125826221217,0.011516986822376488,0.000252663656433888,0.00031688555766327,0.014528931158974539,0.003724419688634135,0.0009712715285512384,0.00026924642921504795,0.009855187276077596,0.0005415736060674973,0.003186209803036423,0.001375253514518566,0.0003183554987368979,0.27798254052672045,0.0001525665131128648,0.0012674640068816012,0.00022560990734164186,0.01137550665304595,0.0008019631537283902,0.0008644481538310839
CarlAugust,0.0022008774058544338,0.0007595235191214472,0.003467619423290661,0.0006142116411742947,0.00048266343758091897,0.003092817744905368,0.0007020015444719095,0.11455764407828853,0.0005180303229787814,0.0003702193790977204,0.0005699628110407888,0.4844708160615329,0.0008325586527740763,0.00033520594670238894,0.0006903114800205024,0.002687808574843029,0.10769562575120296,0.0004635629710406167,0.026057286315434924,0.0007105053945577378,0.0005072018577739206,0.006062011208636693,0.0006733043810583741,0.0008444444970051862,0.005988511670602552,0.0007438384532557808,0.0025882684696361467,0.0007174945654372345,0.0011301016573430805,0.0014431987836218175,0.0018518419628500945,0.0011679055303838086,0.16024052937514158,0.0010317598997975964,0.00040656302980626935,0.05549974892067922,0.0006012108791873219,0.004036477882518962,0.0008827316292980697,0.002303602890052325
