year_range,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.04610962308007294,0.0002767684736674549,0.040392219785768894,0.00022381718821982925,0.00017588135133574125,0.0011270150627846528,0.000255807609750422,0.4204700232167334,0.00018876895605568535,0.00013490701722247112,0.00020769302501842253,0.10833276319120151,0.0003033822939853804,0.00012214820989399786,0.00025154777945703935,0.000979430732612578,0.023009708058841952,0.00016892118902659957,0.11765230042728529,0.0002589063914856789,0.0001848230903761379,0.03447148302395738,0.011897442008678693,0.0003077134659415808,0.1134437678834062,0.002572736870561272,0.0009431585668491348,0.00026145322790064186,0.00041180622181877794,0.0005258980327610751,0.05080263112490845,0.0027272658544762202,0.006063350849631837,0.0003759707309506056,0.00014815055278242758,0.0008632672822272728,0.00021907974301759196,0.004816158296316215,0.00032166520133755996,0.008000544931681121
1799,0.061289888651313275,0.0021962104216838394,0.08912073915701935,0.004225160889162675,0.004165537387526369,0.006375761462824095,0.0036333504197700087,0.3850866142018819,0.0037085742159904387,0.00028424711321016065,0.002641413938176385,0.09194338774499519,0.004585581495270367,0.0013134808237829545,0.008830020227038047,0.0034963719645201238,0.002553573020269741,0.0007631024564986943,0.13307898096052578,0.0023919924159025163,0.002363628478362862,0.04583623265416179,0.002421282175066615,0.0020568766168217057,0.016075140206584296,0.003723445835959415,0.040954361620692596,0.001146434733342435,0.004828801058597414,0.0025176757512291393,0.0016055994600283317,0.0028843333440686475,0.004418503319289578,0.002277849217006834,0.002534689602058403,0.003858956365839856,0.023565692679058104,0.012415480098949334,0.007353581919878142,0.005477445895642844
1804,0.03982673457296134,0.002671033976547219,0.018266842701539922,0.0064608116978005555,0.0031410799362366995,0.03072553388264911,0.0025255691786798514,0.3535347580303259,0.0026551482502071544,0.0009504045856440717,0.0035532549141307768,0.04683080935384071,0.005598015838428621,0.0009178552434406886,0.0024390098955256573,0.015898586909200603,0.007250573272753216,0.001441300873894449,0.1465919165116548,0.0017265349850017118,0.001141168707128002,0.0792510147797735,0.007328590483920626,0.003542652381714318,0.023134124816960196,0.0026576263785348282,0.05968498256023875,0.0024027622232324682,0.0037578173985613477,0.0025743312022051936,0.002410276334230194,0.003822601845741221,0.003448850600952084,0.0014823163918081356,0.0010188850677599927,0.06172897505481241,0.001029363098124377,0.03938426410735953,0.0023402566545806715,0.004853365301899335
1809,0.003192974764058501,0.005869705775629548,0.006631629773586256,0.0035434198010995243,0.005251417219845077,0.07290460180161254,0.008106280464495087,0.3189753352298439,0.006008927950132011,0.002898882810532441,0.0025388640558487168,0.0463863725458108,0.0022497622049618125,0.0036992321687525248,0.0018819863360795691,0.03901245124500942,0.03191984147717086,0.0057912250461910975,0.18218426128421672,0.003586404272392739,0.0036830562436853545,0.021203817686070006,0.003052695787235533,0.005231364227132855,0.01605053443171589,0.0028354253530596864,0.030715781153622064,0.005305239385940608,0.002694756192275359,0.003266215073009713,0.002069160766061023,0.01008333177430351,0.0035922741450650922,0.026596607199453604,0.00413992923173705,0.029761558039106465,0.0014874066825392356,0.0658798260491484,0.003109414494154729,0.006608029857414527
1814,0.003168782411996993,0.006698154741580549,0.009529404372412389,0.0009707051749101452,0.0002591098210226777,0.006898344938390967,0.00542301558748931,0.3513523094739764,9.553151998168593e-05,0.014811939796490705,0.006486120192949742,0.04610900916950324,0.0034332579362400736,0.0029565845681639173,0.0023132947201858515,0.02423926242200429,0.02287881709649938,0.0013180931152078222,0.13608513343976983,0.005487413512159407,0.002211850601344357,0.02323359694447429,0.0009149916551850801,0.00903570767422271,0.02101503650823795,0.006090977309552571,0.012738085081082796,0.0026180275332416533,0.008491785165655578,0.03963880397573296,0.006573762631110008,0.020267029269396428,0.0019973502420819484,0.0024037693824867077,0.0005934725563504009,0.0024286276720328994,0.0009697746340918756,0.16745009217748452,0.0038281620650707465,0.01698481291022925
1819,0.002104494489799569,0.0024913035988671918,0.006638190863633221,0.00240760753001693,0.0006472886951024059,0.0033702448675407624,0.0018187167542398602,0.32592868140882797,0.0035303232816773903,0.0007154616881231838,0.003060156182408105,0.040065996783686046,0.003789331526906094,0.0015532656743652128,0.002800315272319136,0.01033204105867461,0.01352254171442458,0.0011504487120249972,0.121661299699087,0.0028454812120634948,0.005675982558773041,0.019761789192260647,0.0008806728663299211,0.005263711156084028,0.21384212633611438,0.0068753412301476614,0.003361384804858186,0.009296868622600629,0.004205190585994017,0.033418862520378415,0.07291315532625568,0.010257530637592127,0.009141870534889983,0.0023198168642484087,0.01058599186951811,0.0020052949665943925,0.0007695119105890307,0.01961967405900782,0.007804152344478866,0.011567880599496741
1824,0.0019019677260812779,0.010006975649455182,0.004973974306519945,0.0017583593318662382,0.008306146446072197,0.007326537347015889,0.005644177722649943,0.2734348267836751,0.0012568310504153485,0.003989178425609275,0.0012981638909437686,0.08078792250983258,0.013796938331462227,0.00697438140312105,0.00047714168168827163,0.0022437583220664913,0.002843845729597752,0.004294959724313347,0.22405640263843948,0.03365193100336337,0.01279261372810593,0.024869695612947645,0.006577986916844769,0.003172210083685816,0.01755764014179048,0.0011239593830989372,0.004887297851884516,0.002046541787636644,0.07406827856714958,0.0034528831636737255,0.002284649879143888,0.002553338294168403,0.003666190728344157,0.001308792905443227,8.502619847767463e-05,0.0036205732447092357,0.002819631124109525,0.005725010531733365,0.004116958706103816,0.13424630112675992
