,Number,Score,Rank
0,0,"0,01069",27.0
1,1,"0,00509",68.0
2,2,"0,00536",65.0
3,3,"0,00727",43.0
4,4,"0,00529",66.0
5,5,"0,00453",71.0
6,6,"0,00526",67.0
7,7,"0,00551",61.0
8,8,"0,00616",57.0
9,9,"0,00548",62.0
10,10,"0,0486",9.0
11,11,"0,00823",38.0
12,12,"0,009",35.0
13,13,"0,00573",59.0
14,14,"0,00871",36.0
15,15,"0,00421",74.0
16,16,"0,15052",4.0
17,17,"0,00458",70.0
18,18,"0,00821",39.0
19,19,"0,00672",51.0
20,20,"0,02288",16.0
21,21,"0,00836",37.0
22,22,"0,06648",8.0
23,23,"0,00474",69.0
24,24,"0,00323",79.0
25,25,"0,00601",58.0
26,26,"0,0082",40.0
27,27,"0,00922",34.0
28,28,"0,00348",78.0
29,29,"0,00816",41.0
30,30,"0,32307",3.0
31,31,"0,00756",42.0
32,32,"0,00656",52.0
33,33,"0,00538",64.0
34,34,"0,0228",17.0
35,35,"0,00691",47.0
36,36,"0,02455",15.0
37,37,"0,00688",49.0
38,38,"0,01903",19.0
39,39,"0,00391",75.0
40,40,"0,00956",31.0
41,41,"0,00717",44.0
42,42,"0,00623",55.5
43,43,"0,01185",25.0
44,44,"0,01175",26.0
45,45,"0,01431",24.0
46,46,"0,04691",10.0
47,47,"0,00359",77.0
48,48,"0,07859",7.0
49,49,"0,08702",6.0
50,50,"0,02035",18.0
51,51,"0,00426",73.0
52,52,"0,03721",11.0
53,53,"0,51124",2.0
54,54,"0,00438",72.0
55,55,"0,00361",76.0
56,56,"0,00238",80.0
57,57,"1,15285",1.0
58,58,"0,00553",60.0
59,59,"0,02592",14.0
60,60,"0,01439",23.0
61,61,"0,09936",5.0
62,62,"0,00941",33.0
63,63,"0,007",46.0
64,64,"0,00948",32.0
65,65,"0,03075",13.0
66,66,"0,00541",63.0
67,67,"0,00677",50.0
68,68,"0,01559",22.0
69,69,"0,03704",12.0
70,70,"0,00645",53.0
71,71,"0,01655",21.0
72,72,"0,01051",28.0
73,73,"0,01001",30.0
74,74,"0,00706",45.0
75,75,"0,0069",48.0
76,76,"0,00623",55.5
77,77,"0,01824",20.0
78,78,"0,01003",29.0
79,79,"0,00644",54.0
