sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
AdelheidLouiseTheresaCarolineAmelia,0.0016670575545878485,0.6762573638167212,0.0004014529172967584,0.0011492980033865152,0.0010647014210435574,0.00136908063847956,0.0017302312189125476,0.03582201506683959,0.0012417367568240995,0.062123754517359686,0.001065476321254469,0.0023664079742687833,0.018757116995775314,0.009389190119754797,0.012643327162064183,0.00048479737246801875,0.0005156446438365585,0.0006964293126493467,0.0004251365214640584,0.17082978166501325
AdersbachGerson,0.04235270604754327,0.5986382092398426,0.000697179640919867,0.0019959181632216803,0.0018490042603459575,0.0023776017231429128,0.0030047906689344033,0.0018213184036129765,0.0021564511028317698,0.0018022244565060704,0.08076560070651806,0.00410960137711756,0.0015714942066498985,0.001208487151541207,0.1226117662780827,0.0008419190482711124,0.0008954896879388738,0.11958232386022465,0.0007383095616095225,0.010979604415144976
AretinJohannChristophANDBaboJosephMariusFranzvon,0.0014869573454650384,0.10480931508799596,0.0003580820365739366,0.0010251338374975252,0.0009496766289746924,0.0012211723022511089,0.0015433060563712904,0.0009354567530899645,0.34563017717562866,0.0009256498122888026,0.0009503678130057695,0.0021107535909736233,0.0008071432568496606,0.0006206973282041799,0.5290940624546502,0.0004324223912183369,0.00045993708417106085,0.00062119071965523,0.0003792069875912156,0.0056392913375437935
AretinJohannChristophANDBaboJosephMariusFranzvonANDSchererJoseph,0.00027967856383221985,0.13406718380103216,6.73508692287298e-05,0.00019281518752473263,0.00017862260575712716,0.00022968763477103105,0.0002902770699616132,0.0001759480203176441,0.14505650598551195,0.00017410345421275782,0.00017875260905395678,0.00039700703905704856,0.000151813814680726,0.00011674560662824519,0.6484145241622425,8.133338438636626e-05,0.022957274229153828,0.045858369739917394,7.132421518889306e-05,0.0010606820075410226
BassewitzAdelheidHenriettevon,0.00022759982051739528,0.4614290160509411,5.480951252790834e-05,0.00015691121075687325,0.0001453614193866512,0.09948442352558859,0.01817499675692346,0.0001431848665695752,0.0001695316770589186,0.0001416837757864559,0.00428518382342797,0.010655664342687138,0.0018456419568535745,0.016996064672556915,0.00033324482180132107,6.618835363983912e-05,0.0017924971488836679,0.005614704156843824,5.804298460741025e-05,0.37822524912264144
BayreutherPostamtANDOsmundEmanuel,0.00042821485472193895,0.6488228630925978,0.00010312067641865626,0.0002952186480892352,0.0002734884366047743,0.00035167392097274484,0.00044444218977501203,0.3387704240298272,0.00031896326762262547,0.000266569179742459,0.0002736874841903399,0.0006078560659921987,0.00023244159190294447,0.0001787487832343459,0.0006269793299049839,0.00012452925566345868,0.00013245295319345383,0.00017889087039587543,0.00010920425229153584,0.007460231116858455
BergnerCaroline,0.0007099797419193683,0.6112777836927544,0.00017097396417461845,0.0004894721826413124,0.00045344351672403817,0.0005830749608491093,0.0007368846449744037,0.0004466539313727467,0.0005288407348117803,0.03914778682206908,0.0875418582444325,0.0010078246658152491,0.0003853878949102337,0.000296365279227713,0.0010395310156247892,0.00020646936420448212,0.00021960684569387624,0.0002966008595798665,0.00018106052605014851,0.2542804011121703
BornträgerJohannFriedrichWilhelm,0.0019135347179976203,0.6825557237479845,0.0004608083822748984,0.0013192235773462325,0.0012221192530883845,0.0015715014315247704,0.0019860487110602816,0.0012038199883017842,0.0014253295504150336,0.001191199638593971,0.0012230087235523658,0.002716285231573338,0.0010386959983014596,0.0007987625808564178,0.002801740065788061,0.0005564754503277662,0.000591883540802356,0.0007993975161314794,0.0004879936457330914,0.2941364482483462
BrockhausFriedrichArnold,0.0033614682150472615,0.3735857845329158,0.00035976706059691983,0.009252793937294609,0.008945448593061268,0.023906940191615655,0.01502661024315646,0.002407413640527726,0.004911877519338596,0.0018824518221419683,0.003350101272246753,0.02185786764284033,0.27407292819278517,0.0008086588376901256,0.053700248329247705,0.0008143651951264015,0.0033188908079497376,0.0022427371102392312,0.0009535296484156465,0.1952401172077627
CarlAugust,0.0039998538213072456,0.22741793088724185,0.0009632258831767662,0.002757567666464207,0.22061377567700274,0.0032849030367485483,0.004151429525433193,0.0025163400146790142,0.493612526312865,0.002489959749126344,0.002556450149758459,0.005677839947758168,0.002171182011440152,0.0016696501669429089,0.00585646583939635,0.001163198365580924,0.0012372117527737017,0.0016709773695603232,0.0010200511285740818,0.01516946069417009
CarolineFriederikeWilhelmine,0.062285061672371564,0.26693759329308003,0.0003580820365739366,0.0010251338374975252,0.0009496766289746924,0.0012211723022511089,0.06234141038327781,0.0009354567530899645,0.2240339685218156,0.0009256498122888026,0.0009503678130057695,0.0021107535909736233,0.0008071432568496606,0.0006206973282041799,0.3264337146982951,0.0004324223912183369,0.00045993708417106085,0.00062119071965523,0.0003792069875912156,0.04617136088881482
CottaJohannHeinrich,0.0006266861153450964,0.5176858099938777,0.017935302571837387,0.00043204813123218157,0.0004002462876701057,0.0005146695892782547,0.12857424406070406,0.00039425324502764656,0.0056929972425038234,0.012246378047409488,0.0004005375908717378,0.000889588374819373,0.030488130066141955,0.00026159620422447664,0.023226231401640533,0.2546260061193815,0.000193842940728181,0.0002618041466868116,0.0001598188103310611,0.004989809060288609
CottavonCottendorfJohannFriedrichFreiherr,0.0005748262298949925,0.19159026594824038,0.00013842693450802585,0.00039629503882116803,0.5026366987162908,0.0004720793590320899,0.06399217946994837,0.00036162777651187054,0.00042816929534487676,0.0003578366208175072,0.00036739207659840744,0.0008159726522331589,0.0003120244953462016,0.010205701759069713,0.2244387731278459,0.00016716534177950874,0.00017780193957094449,0.00024013918120394998,0.00014659339334224423,0.0021800306435999293
DalbergKarlTheodorReichsfreiherrvon,0.0014099683640185802,0.3063612753304534,0.010682163225096302,0.0009720563163191686,0.01864873691469672,0.00115794465688006,0.04583397685445722,0.00976113782957955,0.43716116174413466,0.000877723194594243,0.000901161391486039,0.0020014668185257623,0.011107973767696861,0.0005885599873243493,0.10549064644344004,0.00041003320866641257,0.0004361232957340365,0.009463143293031495,0.031387437028655735,0.005347310335209429
DegenGeorgChristoph,0.0014290355761031835,0.08125004772685163,0.00034413358997033056,0.0009852015785920118,0.1956787593035325,0.0011736037148549767,0.17677265739287965,0.0008990177049452975,0.13740069489730314,0.0008895927760188963,0.000913347931136438,0.0020285329522653586,0.0007757024319276777,0.0005965191716501879,0.3721478946748801,0.000415578148787686,0.00044202105598668243,0.0200736009071766,0.0003644356562260964,0.005419622808911346
DieskauJohannaSidonieDorotheavon,0.12220631267577654,0.398655917834416,0.00014325077407097075,0.18688100286200046,0.0003799182821885144,0.0085959605122357,0.000617399826360617,0.0003742296186432269,0.10583968441833344,0.12198176151038248,0.00038019479046696536,0.0008444073002741093,0.00032289778464216336,0.00024831006207336783,0.0008709725096327858,0.00017299064443534733,0.0001839979016033258,0.0002485074433996113,0.00015170181399017574,0.05090058143507414
DoerfferWilhelmine,0.0003104458082757563,0.4703814824251407,7.476009154684821e-05,0.00444515376947301,0.00019827275448203215,0.00025495541184992603,0.008784464483031584,0.0001953039397570646,0.00023124094910645127,0.00019325645421686773,0.00019841705935119976,0.004671808624688519,0.02132415033276171,0.00012958870968062994,0.00045454542900184093,9.028081347977597e-05,9.6025309863091e-05,0.00012969171956741976,7.917054253479763e-05,0.4877569853721908
DoeringHeinrich,0.019681983837779585,0.19148448627887515,0.00016772794081518515,0.009972921018874792,0.3137053108460832,0.0005720050008563476,0.000722894533776235,0.00043817399057112906,0.04798250894898723,0.00043358035610118086,0.00044515842743084714,0.0009886906273478004,0.00037807111942713263,0.0002907386411372747,0.3237730128927341,0.00020254944351684684,0.0002154375035694476,0.000290969748882562,0.00017762300443761918,0.08807615583879637
DönhoffStanislausOttovon,0.0007194895925824655,0.4318742194594529,0.00017326408144216585,0.000496028436412829,0.0004595171831592773,0.000590884980594287,0.006746012616910222,0.00045263665444869974,0.11866688337213196,0.0004478913994062282,0.008073467110534348,0.0010213240116424681,0.0003905499877300287,0.000300334955235036,0.0010534550533607455,0.00020923492595809095,0.0662143835457203,0.00030057369107717866,0.00018348574815446362,0.3616263631940464
EhrenbergCarolineAugusteEleonorevon,0.03736024117234092,0.5261436492321725,0.00011574183982410772,0.0003313510991870503,0.0099527838570085,0.0035859428944323784,0.0018599757043313507,0.0003023650298530479,0.006471477126587137,0.0029894049742403327,0.0012717669471115816,0.0545649845891788,0.04044732541378328,0.00020062623478021407,0.011943140102377622,0.07460726827183468,0.0001486641576176982,0.00020078571229783666,0.12050205242798677,0.10700045321305414
EndeHenrietteFreifrauvon,0.0033882400482171337,0.47060883966182937,0.0008443302664532935,0.0018079850292292755,0.004515155053891336,0.0009404607181524653,0.0013990123844476946,0.0008415405755319016,0.0017145800164508093,0.0017426158965705622,0.0029910990320355132,0.002938863077197406,0.0069635123560981005,0.40990592303531787,0.004462408945077601,0.00014292275008293844,0.0018145247312250118,0.005456075462695025,0.0004703418800018812,0.07705156907949481
FernowCarlLudwig,0.00029784366423168767,0.4066338874565497,7.17253028097934e-05,0.00020533851856568492,0.000190224129744998,0.0002446058283178022,0.01654661058973021,0.00018737583019468192,0.06517177421233099,0.2478069821801075,0.0001903625767455809,0.0004227926145582622,0.00016167410982782188,0.16655849870869066,0.06944538394894496,8.661598121095938e-05,9.21272872307606e-05,0.012302537088226923,7.595671727295241e-05,0.013307683254708113
FeuchterslebenCarolineHenrietteSusanneFriederikevon,0.04703398398963994,0.6759903638041804,0.03087781698335791,0.0007741202658467381,0.061931968797528235,0.0009221568859447424,0.001165413188932912,0.0007064014511099168,0.0008363832404406112,0.0006989958311387032,0.0007176613990736457,0.0015939159075757294,0.000609506709966902,0.0004687138041338331,0.0016440607959147206,0.0003265397396940663,0.0003473172037130564,0.0004690863840909888,0.030893769293289863,0.14199182432442709
