month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.008286022345344849,0.44104553786221606,0.00034783215612892534,0.06427962833633462,0.0009224927132397796,0.06112927074846522,0.001499129859432684,0.0020962410775954943,0.04912422443948866,0.0008991536495639565,0.021189198888183977,0.1606128903614019,0.0007840392721765904,0.0006029302448075875,0.0931337419502654,0.0004200445633492233,0.010056440149912332,0.041462718030955595,0.0003683524182754485,0.041740110932861764
1,0.025607316237823616,0.440585060568705,0.011855491603962452,0.03062684651136491,0.013099479006162783,0.0232256229670297,0.058295657214670074,0.02202338106944979,0.026701150244469684,0.027040649060894834,0.018648249659651353,0.06548446867179822,0.020380199305994936,0.0044338110672704385,0.06691561309918878,0.006893366455274185,0.012077971506528852,0.01070328879923637,0.006340412311152346,0.10906196463937144
2,0.02436669855011617,0.41769725413493314,0.002512363807478587,0.02481493467290514,0.035319084172319146,0.031031260745067443,0.053051193803494934,0.026496471963773027,0.022410271810850594,0.0328936120056225,0.0225019129844073,0.025789083340590626,0.01657289033423136,0.01970620809432783,0.10258967673671304,0.01308495109017264,0.0038783062655183688,0.0016834003072274542,0.011375683318670553,0.11222474186158027
3,0.025111475613132535,0.41241884526601497,0.007377847307672839,0.013710483712417225,0.018102779162181427,0.029457803330675908,0.0324027921281355,0.017291813212882663,0.07680473179157168,0.01906206251536398,0.028211135618787936,0.055033586523850715,0.02395963352104004,0.002145642958813449,0.07411521806968925,0.005270247809002371,0.010143741571903436,0.010659217072209355,0.003971917955991102,0.13474902485866364
4,0.025652327680148447,0.44735045729163864,0.013806850263127928,0.030983868840955817,0.018353315386902193,0.035618720570896024,0.07455851874259502,0.038168997536273494,0.021947235103482465,0.022441122919585305,0.01638303473537592,0.07466065408133093,0.009676324455072296,0.022380810533087162,0.024168985285254702,0.005427060745263299,0.005783260442121558,0.02489656377447705,0.001369295440019752,0.08637259617239221
5,0.045736838557340766,0.41642318387594784,0.00723285536858746,0.023637573524907907,0.01644765330597891,0.022200852123100034,0.041859699674484906,0.014184264521833058,0.06318917283141806,0.03790756008239922,0.014478617482074754,0.06581102384098911,0.012764582613677113,0.004675737383005742,0.06308352549305382,0.009879250140466181,0.008683617140940273,0.031696437301293075,0.021202082652831643,0.07890547208567007
6,0.046117826481941765,0.4196565771664689,0.0075585790777848725,0.03474480737412012,0.01839023313373636,0.016555861171895222,0.03413298578865535,0.02522419549591021,0.037391673838088384,0.02911957822020219,0.017215082790815447,0.06181849357454607,0.009823934019057295,0.02283372483597742,0.04157925847213868,0.007207557105805041,0.0061642146405307754,0.03867204808968062,0.004212648694098217,0.12158072002854722
7,0.04121881804063822,0.447946658942322,0.0008110701590043279,0.033774962298304956,0.010953938650248272,0.025464352024947352,0.07493168826295209,0.014358217848393228,0.019545083549337934,0.01899171700181944,0.02263323215780513,0.0634305051111472,0.01764651558551516,0.02273398339909608,0.053571742922709074,0.01874748485085377,0.009145990465947785,0.01115675408907881,0.006574961106560233,0.08636232353331892
8,0.025730371673423378,0.43825252410186527,0.021013968897757015,0.03725289554349968,0.015321085758483162,0.01871493557890847,0.06307103125160488,0.033077179912780336,0.027169794693846044,0.021558090591042817,0.03414559575950819,0.04450181920221812,0.016322486603673855,0.012530523584718711,0.062404345490300404,0.015678293820481918,0.0027839543320087342,0.0112568461564983,0.012063709703327027,0.08715054734405354
9,0.035083914655558,0.4480075037807797,0.01043370992495524,0.04628798442950207,0.009097463448802821,0.018639813104761625,0.05415971967820874,0.028730980328073537,0.016611451240654627,0.02777542553755097,0.010706865211718744,0.06779928404770505,0.007276246874348523,0.01651192702191987,0.06267531021958886,0.017262684044815377,0.008186807150779202,0.01340262666304882,0.007916368512199129,0.09343391412502933
10,0.020869894894917272,0.4223702572283182,0.002741973230174519,0.03472737324909832,0.02162923360946012,0.024226040330426756,0.0666287743320693,0.04436595198840512,0.034046096543221924,0.01226920889673595,0.023178685774038338,0.0674428574292856,0.014280934501245466,0.014594304926521825,0.06427873961665267,0.0036667805523825222,0.014103544946721756,0.012316514941660086,0.009107606707299164,0.09315522630136533
11,0.03266504568243,0.4233024356908216,0.008879037488307354,0.02559789623344358,0.024356060242016305,0.029027146410085275,0.051657049199751746,0.025075001530552372,0.022907983729219407,0.015739685864667178,0.015260558814890138,0.06590932041450702,0.015886529657644057,0.0120930405264999,0.06670120592930334,0.002382784492820059,0.013393813666491595,0.015892979281461772,0.0070196189471395925,0.1262528061979479
12,0.017461261655346984,0.40126541358063483,0.005943881583250445,0.022369778223029387,0.05623788806543212,0.029543451933015767,0.06265655273131643,0.03901584273851947,0.01596457173606877,0.01504818609954456,0.016397850249470474,0.0796805914079516,0.019982543404118498,0.012517119341851646,0.08598736728458843,0.0014329090668166627,0.006295074491857818,0.008197477256410643,0.016871786307439636,0.08713045284333602
