receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
AbekenBernhardRudolf,0.0020210942770698542,0.00020478435254926608,0.0010323017242133813,0.004620814338839298,0.0003358731223657245,0.16804673206576898,0.0007427977763762768,0.0005015110221407226,0.1175514215635894,0.0007099281871269845,0.12522073454431357,0.328901086078676,0.0005418639740600056,0.0004959239749531741,0.00031499068601544656,0.0012681025900452066,0.1835865838566246,0.0006400347436279323,0.06304289568706628,0.00022052543457782526
AbekenBernhardRudolfANDTruchsessvonWetzhausenChristianFreiherrANDVoßHeinrichANDVoßAbrahamSophus,0.004397958381691968,0.00044561655037642735,0.030849458190738626,0.00239085694770652,0.0007308694257622384,0.2572762710840523,0.0016163489964715258,0.0010913021863247132,0.004527528272012013,0.0015448238394406147,0.0967579755638732,0.2313520288720523,0.0011791113524447208,0.001079144613426624,0.0006854286529003199,0.2601876907955213,0.0016490899785249404,0.001392733727094338,0.10036589297894752,0.0004798695906377502
AbekenMinonaLaura,0.0006007077934468576,6.0865818061025205e-05,0.01593418853762664,0.05111551055116968,9.982790239104092e-05,0.25001713986382684,0.00022077367606578184,0.00014905864754423783,0.0006184054695402273,0.0002110042067968505,0.2866949197037517,0.00034514467233292114,0.0001610523150250259,0.00014739807048655531,0.1602741510628056,0.000376904292576933,0.00022524569725781117,0.00019023054141317124,0.2324919268098092,6.554436807183944e-05
AhlefeldtJohannGeorgJacobvon,0.004664815104489824,0.000472655408395859,0.002382618530038534,0.06321333770630985,0.0007752166893843707,0.21220971905213865,0.001714424866832548,0.0011575195762475135,0.0048022469601363285,0.001638559748540901,0.07229029401796494,0.002680231717145577,0.213621590906872,0.0011446243133170985,0.0007270186881280652,0.002926862038648529,0.0017491524868696983,0.0014772412021285724,0.1671332451442785,0.2432186258421327
ArnimLudwigAchimvon,0.0008889733003251319,9.007388908378682e-05,0.00045405535066664083,0.00048327151076637853,0.00014773295905465828,0.1445103683700555,0.00032671775791514213,0.00022058837806825338,0.0009151636739084901,0.0003122601506838567,0.3202034665166717,0.3589726774157539,0.00023833752379219961,0.00021813092923286912,0.0001385478712674375,0.0005577717761180779,0.15643771419544766,0.00028151769307395213,0.014505633173178012,9.699756493620884e-05
BarthKarl,0.0013374763881529267,0.00013551779316050254,0.0006831344768273924,0.09641155100324114,0.017619441502864878,0.13913117386213464,0.0004915527683924222,0.0003318791993632826,0.4189090706163424,0.0004698010371604929,0.12510982006657706,0.17474021086639874,0.00035858310971354987,0.0003281819232007497,0.00020844777495710611,0.0008391777123825952,0.0005015097271948685,0.00912213575308472,0.013125399830305372,0.00014593458854507958
BentzelSternauChristianErnstGrafvon,0.002229629038614841,0.00022591382513820326,0.2766560767956883,0.015712999197286522,0.0003705282209806446,0.1449320302921491,0.0008194390092619302,0.0005532564961647841,0.2343098542935965,0.0007831779641889543,0.02005148741629983,0.044783788841264376,0.0005977730308033868,0.0005470929822749079,0.0003474911528874589,0.0013989443198100554,0.0008360376757347532,0.0007060729755685315,0.2538951274138746,0.00024327905841221796
BergnerCaroline,0.08660663672833542,0.0003248310898523386,0.0016374478321140788,0.04344318718373194,0.0005327654727131506,0.458593362120056,0.0011782336308246634,0.000795502048213083,0.0033003306131529513,0.0011260955432904722,0.02883111074150762,0.2937446268411427,0.0008595103241752139,0.0007866398153110297,0.0004996415329492419,0.0020114776409484725,0.0012021000892725436,0.0010152298294666194,0.07316147116352552,0.00034979975941688385
BertuchFriedrichJohannJustin,0.003921374910207801,0.00039732744345507117,0.01391591297571864,0.002131772435060073,0.0006516689745752936,0.07125779810596788,0.001441193811039326,0.000973043544641795,0.31016451821961794,0.0013774194566940755,0.20447979700311136,0.14221321812675208,0.10642209517139885,0.0009622034235687878,0.0006111523777509679,0.10623770103522535,0.0014703868261652289,0.001241810544811665,0.029701736951193537,0.0004278686630441966
BodeAugustTheodorHeinrich,0.012045957038127188,0.0002124324926061155,0.0027718499762476715,0.00797213954930746,0.0006886159889598597,0.32299961836126834,0.0007705392583641416,0.005228741468658554,0.09610921363562744,0.008789231506945916,0.08240301450565587,0.006977486715050773,0.007604312692042324,0.0012511171136976745,0.0031762473807092424,0.003872420619829046,0.41397284828469155,0.0006639383051040878,0.01981870102662815,0.002671574080478505
BoieHeinrich,0.2275739018760833,6.546986587714484e-05,0.00033002841568540364,0.02556545907038721,0.33209427996506885,0.28153618011636544,0.00023747356762278442,0.008565065495342632,0.004867549091023767,0.0002269651104442981,0.02262038787879072,0.00037125230754627683,0.00017323472845334048,0.02117037680751661,0.00010070299663652224,0.0004054143075640826,0.00024228386405794223,0.00020462007131112557,0.07357885215071774,7.050231350481687e-05
BoieSaraHenriette,0.14221856830467414,7.869869398610282e-05,0.000396713891876337,0.0004222404197805498,0.2931157884501238,0.10605455298658834,0.00028545742957841887,0.00019273085062793195,0.005851085094563175,0.0002728256356274791,0.0928604944806155,0.0004462674751471957,0.00020823850331232145,0.005242078786192351,0.005172546063790703,0.0004873322421103595,0.0002912396935568317,0.00024596556232064,0.02277674490192076,0.3233804305336069
BornträgerJohannFriedrichWilhelm,0.004103001476593535,0.001529752896130641,0.003684930835870399,0.0075099860156434585,0.0005829060149094883,0.1872449356012161,0.00843594050803243,0.004691654163728288,0.003792902941218546,0.002374236226015891,0.3003758748692418,0.004210561525050592,0.0009404020408587741,0.27321028590288504,0.0005466646578494038,0.008630233072240208,0.0013152342042583385,0.006821575081245334,0.17943423532340752,0.0005646866436042436
BreitenbauchGeorgAugustvon,0.004966148108135957,0.0005031875239698354,0.0025365285097735113,0.002699741261105013,0.0008252933522866086,0.0644253585515641,0.0018251715487644941,0.0012322918540070649,0.6187838402246457,0.001744405772364279,0.04466153542727122,0.0028533666122495145,0.0013314454353640824,0.001218563595936523,0.0007739819053388923,0.10001140996910576,0.13105611774780876,0.0015726665338033016,0.016437080215837452,0.0005418658506679227
BrentanoClemens,0.0021977595286037928,0.00022268469473705435,0.0011225359333921216,0.0011947654303015665,0.00036523202477786536,0.2857968028084194,0.0008077262448258611,0.0005453484481721216,0.6311825738074861,0.0007719835019991106,0.04835215441081664,0.001262752041244521,0.000589228679586398,0.014832910880286878,0.00034252424019305964,0.0013789483163346161,0.0008240876559713787,0.000695980624162223,0.007274199013033681,0.00023980171565552203
BrockhausFriedrichArnold,0.004050396225855128,0.00041040033515025613,0.0020687956297414747,0.0022019121412932587,0.0006731102267869557,0.4213430506150731,0.001488612057409762,0.0010050586824917923,0.08319779486441703,0.001422739395381468,0.4579090322153351,0.002327209157999616,0.0010859284598249595,0.0009938618990963494,0.0006312605504312088,0.0025413549496378558,0.001518765582893767,0.0012826686708376294,0.013406101916540614,0.00044194642380268015
BöckhPhilippAugust,0.00794531274132049,0.002972448723876272,0.0012799442080694602,0.0013623021295140294,0.027613302226389615,0.13753981945484678,0.0009209901420673857,0.0087774340641642,0.2974966343883821,0.0008802353516854243,0.038860904113883564,0.4100471539683588,0.00901057988015919,0.0033334308521579684,0.00039055490725690154,0.0015723121712337093,0.0009396458419061127,0.0007935749247091827,0.04798999185492664,0.0002734280550921018
BörneCarlLudwig,0.010962285087263162,0.00016344496131321762,0.0008239131226446269,0.005551520209183825,0.00026807111387091285,0.07909237221771966,0.0005928507345020768,0.00040027203539500314,0.19942427556240477,0.0005666164608559033,0.1681285723499484,0.030009718104614554,0.00043247902085662246,0.0003958128338004658,0.0002514041715049144,0.0010121133582277342,0.009954044505913048,0.10802645869674002,0.3837677670293821,0.00017600842385885861
BöttigerCarlAugust,0.006911120943073811,0.0019612974916134096,0.004577007378732841,0.0035576522833843695,0.0015385635884603494,0.15725166935619384,0.0012061732221800151,0.004296546592388715,0.481221689734091,0.001984564422456756,0.14734550352983955,0.03443858569869326,0.020658077828080764,0.01130782890635406,0.0002757788525625271,0.008680800386522929,0.036443812491604353,0.001027881631685367,0.06743810691631678,0.007877338745765239
