,Number,Score,Rank
0,0,"0,0044",78.0
1,1,"0,00984",39.0
2,2,"0,0049",71.0
3,3,"0,0116",35.0
4,4,"0,00247",97.0
5,5,"0,0044",78.0
6,6,"0,07359",13.0
7,7,"0,02095",30.0
8,8,"0,00375",92.0
9,9,"0,37475",3.0
10,10,"0,43947",2.0
11,11,"0,36526",4.0
12,12,"0,00545",67.0
13,13,"0,00877",43.0
14,14,"0,02171",28.0
15,15,"0,00468",74.0
16,16,"0,00653",59.0
17,17,"0,03426",23.0
18,18,"0,00221",98.0
19,19,"0,00394",90.0
20,20,"0,00407",87.0
21,21,"0,05054",17.0
22,22,"0,00435",81.0
23,23,"0,00454",75.0
24,24,"0,00404",88.0
25,25,"0,00552",66.0
26,26,"0,00681",55.0
27,27,"0,0041",86.0
28,28,"0,00729",51.0
29,29,"0,04807",18.0
30,30,"0,00349",94.0
31,31,"0,00757",47.0
32,32,"0,00903",42.0
33,33,"0,00299",96.0
34,34,"0,00736",50.0
35,35,"0,0044",78.0
36,36,"0,01059",37.0
37,37,"0,28026",6.0
38,38,"0,00489",72.0
39,39,"0,01127",36.0
40,40,"0,02129",29.0
41,41,"0,00635",62.0
42,42,"0,04745",19.0
43,43,"0,00663",56.0
44,44,"0,00654",58.0
45,45,"0,02318",27.0
46,46,"0,00832",46.0
47,47,"0,01182",34.0
48,48,"0,00437",80.0
49,49,"0,00839",45.0
50,50,"0,01506",33.0
51,51,"0,28897",5.0
52,52,"0,03944",22.0
53,53,"0,00737",49.0
54,54,"0,15889",7.0
55,55,"0,06617",15.0
56,56,"0,00486",73.0
57,57,"0,00169",100.0
58,58,"0,00695",54.0
59,59,"0,0092",41.0
60,60,"0,00424",84.0
61,61,"0,00431",82.0
62,62,"0,00395",89.0
63,63,"0,00697",53.0
64,64,"0,01826",31.0
65,65,"0,13688",9.0
66,66,"0,11549",11.0
67,67,"0,14108",8.0
68,68,"0,0051",68.0
69,69,"0,00742",48.0
70,70,"0,12005",10.0
71,71,"0,0045",76.0
72,72,"0,06756",14.0
73,73,"0,01604",32.0
74,74,"0,00622",63.0
75,75,"0,00329",95.0
76,76,"0,00366",93.0
77,77,"0,00427",83.0
78,78,"0,00662",57.0
79,79,"0,00856",44.0
80,80,"0,04104",21.0
81,81,"0,04236",20.0
82,82,"0,00575",64.0
83,83,"0,00493",70.0
84,84,"0,005",69.0
85,85,"0,00645",61.0
86,86,"0,47687",1.0
87,87,"0,00391",91.0
88,88,"0,03168",24.0
89,89,"0,05504",16.0
90,90,"0,00218",99.0
91,91,"0,00414",85.0
92,92,"0,00967",40.0
93,93,"0,02438",25.0
94,94,"0,07698",12.0
95,95,"0,00647",60.0
96,96,"0,00704",52.0
97,97,"0,00556",65.0
98,98,"0,02323",26.0
99,99,"0,00987",38.0
