month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.00019333942583598586,0.0004325270664467847,0.00021548181825746822,0.0005097417795010601,0.00010863522358625894,0.00019346289345438612,0.003233066617458478,0.0009206017895916507,0.00016464481813867934,0.06647391282393084,0.08974323929214643,0.02925050001638289,0.00023944348633753794,0.0003852872435622815,0.0009538431931620573,0.0002054555082868392,0.0002870487764050088,0.0015050063273113195,9.716755531558768e-05,0.00017318858237058343,0.00017897553642001163,0.002220229316167022,0.00019089288814264356,0.00019924865215281977,0.00017753639119655633,0.0002424579952535253,0.0002990557197679288,0.00018023485127314563,0.030482451042715422,0.03754158248375756,0.0001531595281566417,0.00033279760961750027,0.00039665567483019285,0.00013151301230779678,0.0003233030913677982,0.00019333589924851362,0.00046514733958676275,0.06700517608593554,0.00021501126848195821,0.0004951197978879178,0.0036608704948077595,0.00027888394488910875,0.06467056720081273,0.029052311424843113,0.000287364641339632,0.0010183617021067076,0.0003657047492460667,0.0005190841400978367,0.000191890028828006,0.00036878564886117416,0.000661612458508082,0.015891162243129957,0.0017325926113499204,0.0003237283876300513,0.04344752118905145,0.009807182014150971,0.00021338289104201851,7.429172327972959e-05,0.0003052909652975674,0.00040437443668995074,0.00018614207536682566,0.00018923338078414862,0.00017341995738239319,0.0003061727643927091,0.000802160059574914,0.10495077950195426,0.06973687553650336,0.08146866487367553,0.00022394011278728553,0.00032595300364278884,0.011665368046694673,0.00019792033670979685,0.0793916167005228,0.0007046392395964403,0.0002731500861538145,0.00014447082757279754,0.00016059928904781003,0.0001876274538447284,0.00029066290141571536,0.0003759768237636336,0.0018029709102964323,0.0018610553330483547,0.0002525494955193769,0.00021643343335109492,0.000219721821090964,0.0002834919864526665,0.1152941190709569,0.00017192146139644355,0.0013918700609298446,0.002418122728464578,9.585506360307322e-05,0.00018179192063844408,0.0004249292445895395,0.00797128838398044,0.0033821077029995293,0.00028445226180595575,0.0003091412205519395,0.00024446180155938464,0.0010204735966498446,0.000433428213017593
1,0.0008585379991822548,0.0036280268124759367,0.0008112443993816002,0.0033520936098089204,0.0007391069189807417,0.0010297801064122515,0.023051237112912498,0.0026262005198539455,0.004781427437731739,0.07904571148295239,0.0905392335793286,0.09484517218089049,0.0010185350805717822,0.0010296988291183147,0.001535599474132153,0.0012659442119434343,0.0006123407456154999,0.009636261774672191,6.589586264719836e-05,0.0015662109332416766,0.00012137536368839546,0.009403632598704378,0.0030273391436496915,0.001971153891803599,0.0008340570885725786,0.00020719076370196178,0.004106286609237478,0.004798324865547397,0.0011077398613370461,0.015377599537971324,0.0018975560290302948,0.0003682170112006493,0.0007217720809357982,0.002331049736198264,0.002383419380887122,0.0002763713942604091,0.0010631500219575201,0.05692059278587084,0.0010837523182930982,0.0010296660175611373,0.008330959614349698,0.00031719825068521763,0.025244266066726327,0.001214395832412093,0.001541610085129998,0.005856378290087713,0.0007434949448645258,0.004686426102114015,0.00013013355066872554,0.0025709598458260423,0.003023174330204338,0.08339892387544945,0.012166146755875292,0.00021954201993642936,0.03721586284162738,0.02320076402420165,0.0007810064310894632,5.0382220455837565e-05,0.002646995535914628,0.0021967837260700868,0.0006347757415290943,0.002476335893240184,0.0009441764178412871,0.0032444086926809675,0.0012914024829522154,0.03277254376477648,0.018631206582423544,0.03874270254393949,0.00015186887089523995,0.0026222191515845013,0.02757823045481078,0.00013422310853202863,0.023492642934256684,0.002045414249546329,0.0016905064298859958,0.0011849177615712455,0.00015167686255368568,0.0016275011833245376,0.0010298583931001885,0.0020570882912828406,0.009979746466955493,0.003927122287593779,0.003608389213531161,0.006368922009343661,0.00022779586928662712,0.001475523177032972,0.10518564691010937,0.00011659152038446175,0.004176378413227556,0.017215935430849847,6.500577363206835e-05,0.000635558412500498,0.0008911670787603165,0.0043640785107093944,0.018038218403262418,0.0023641800280262337,0.00020964947962223669,0.0004348682807022305,0.004411558815050892,0.007196054192740006
2,0.0005851395675300683,0.0008685658714784368,0.00017913897959473922,0.0011572130925759539,5.752225802360483e-05,0.002487126233153591,0.021174417658233666,0.005988856885776041,8.71792904600837e-05,0.08249453158640786,0.10702688833148265,0.09806945041069791,0.00012678512133077174,0.0029992038589529636,0.014907420750665647,0.0006559250485903097,0.0010475760609658061,0.010817430610142077,5.145013747726208e-05,0.0003545038369213766,9.476739353963272e-05,0.007524705256676705,0.0013180879899091123,0.004079971866875945,0.0003821242547922259,0.0016133137044992134,0.002293761821079213,0.0021592340738358466,0.001528456598717963,0.020019041585017706,0.002558537729961032,0.001553332561702492,0.003496769770492295,0.0008390459112948309,0.002130147882833107,0.00010237119338156682,0.0002462951186864171,0.05239595022383047,0.001326122954496481,0.008283860861316569,0.013032992813166604,0.0005990556376235514,0.006365674946786685,0.0023010615877750097,0.00015215933193964357,0.006733806547960117,0.0022579388513951793,0.002123768852013814,0.00030929900728799645,0.001795465394380218,0.002877723461937888,0.06406724582186123,0.016093317135664673,0.004479200327097501,0.03318877755486294,0.013301730647033006,0.00011298605839933385,0.0007009718026035448,0.003405570144071618,0.0022376676921346413,9.8562069785754e-05,0.0005615823357255155,9.182571918832368e-05,0.0012486159745871358,0.0006414596031492716,0.01605213328329243,0.03404684409790994,0.03340446156493309,0.0006426630608799266,0.0013583334848956332,0.0371379770208469,0.00043011449892428204,0.030102859977059235,0.00841620546695511,0.0019957490291753013,0.001452057259073207,0.0057328235334931955,0.0007107086116966265,0.00039271139173990637,0.0005837843486342196,0.0090510435849169,0.00937474561513075,0.00013372474198906456,0.0027659066284110804,0.0014297080288572701,0.003759061622820825,0.09610406513263119,9.103226684473196e-05,0.007750765275085927,0.018131161357713536,5.0755174237451084e-05,0.0014781449094791116,0.0014300386383554447,0.0018373084353873117,0.021069983212762572,0.0009511139689717824,0.0012629992261210963,0.001866559758117071,0.004370975808831004,0.0007707963219960506
3,0.00023096928800197587,0.0004922311445563832,0.0005262224936563253,0.0004512650041481397,7.253343191970368e-05,0.0003054818780835702,0.03657875953631502,0.004411112435988918,0.00023176661833747804,0.1203918447972468,0.09304197799002013,0.08703113298557888,0.0014667422570467633,0.004581672620736995,0.006909657434958396,0.00027203266845482623,0.0008427400250520362,0.004269416639247105,0.00026863803119882214,0.0016854437787136977,0.004269870025713431,0.011534610277477526,0.000346863903091733,0.002491847849072513,0.00199554557163556,0.000882641069279307,0.0004031151606427965,0.0001203389829082306,0.0021795520388959377,0.014009277540489917,0.0009806343214736704,0.0031437808754151576,0.00552729225620453,8.780844563925867e-05,0.0005368480911113997,0.0037322267871293595,0.00031056900123888835,0.04779749349739218,0.00412376288202559,0.0020622937297577566,0.005966473189072805,0.00018620488790222555,0.005219813086784423,0.0001945387102857322,0.0015707326401000873,0.013523578666781137,0.0037656929801601303,0.0048620667173333585,0.00012812089746392966,0.0024291247730318963,0.0038311793944324764,0.06677797772949653,0.0035618149534509874,0.0004617380857695157,0.04694849172965514,0.01143973255934573,0.0005412425551948863,0.00037705836034368804,0.0003124410158005578,0.0003126991505591858,0.000649746781152905,0.00020144808871281345,0.00011578882297163871,0.0014217472006782818,0.0014910133524409241,0.0414731508867116,0.027418416094047927,0.03598127579248379,0.0001495200579400465,0.0009062068358135052,0.035661108208978394,0.0001321472059830208,0.023172293495928486,0.004237436221518994,0.0008099151120457871,0.0007619875577806238,0.00010722873497151415,0.0011015875902034107,0.00019406944704891327,0.0002510317413595804,0.011847747032928844,0.003101534416472609,0.0005882467577570055,0.00014450800748483077,0.001972546054117546,0.00018928157940245607,0.10297575941753298,0.00011478830902238064,0.0033710238250836155,0.028663614325055417,6.400039048561236e-05,0.00012137860505907437,0.002779391933068155,0.0034104673234400347,0.015074428486036408,0.0006925803581044626,0.001263314980995243,0.0012205600765214733,0.0013878597671936473,0.0017711136766449603
4,0.0003390137921977461,0.0006931701467855403,0.0019449079016298262,0.0025386846740823635,6.294237389739474e-05,0.00027240411479659927,0.006678861407205482,0.005866022023399114,9.539388203426247e-05,0.07322126921479119,0.08751428025076054,0.07751891555585287,0.0038933928710134704,0.003999897739360706,0.0033691074768383944,0.00011903926732936037,0.000166313749949874,0.0034579709258362847,0.0006681192968014087,0.0005076937395792731,0.0002007392649273701,0.03201346547282421,0.0007815095584350469,0.004680149962612418,0.00010286315567082087,0.001376878868675561,0.0001732704762635422,0.0001044266217132414,0.0002929639721167501,0.010056699111253667,0.0009888870052443843,0.0010515156249803418,0.002714344994016846,0.00015977617012506186,0.002588766880299065,0.00011201726343046088,0.008059613533714989,0.05808382293184443,0.000529992887618049,0.002652292711614794,0.0008382380005449343,0.0001615831123065966,0.005454196850693076,0.0005265683319444486,0.0005092222886446572,0.0020977664297234604,0.001558261791443033,0.0023048270752566275,0.0011038848792279672,0.0002136714357676291,0.002635353241839251,0.07804873409902222,0.01727043013087927,0.0034809791688427383,0.05110214668903272,0.013262597061061655,0.00012363232907243362,4.3044026327626524e-05,0.00017688312732194356,0.0044219987064117805,0.00010784921979262842,0.00010964029726257713,0.0001004781270612999,0.0014389436759309048,0.008753621201991883,0.06100188084292056,0.01694221992940698,0.03889457835988885,0.000267989281213903,0.001204177760012683,0.02332494951941486,0.001136148634294151,0.021177434220357137,0.001911625206218788,0.00046877199732011597,0.0002506839639897212,0.0002900637289051623,0.0007156495324296059,0.002161326442507503,0.0009531705000356861,0.014765155749473735,0.01770538002841881,0.0007464235495367104,0.00012539978872565794,0.005214318696591108,0.00016425297448806374,0.11217002266138626,9.960991055179466e-05,0.008908010477946647,0.018065063129937452,5.553765209929879e-05,0.000105328775167153,0.0023488406285119647,0.0070490119952043295,0.030949954877332597,0.0017874327379642039,0.0009194068049811102,0.003517492292093814,0.0062075430901577305,0.002899196091589747
5,8.814832388490162e-05,0.009176723330677018,0.001412192863776095,0.001201624039845674,4.952954025069776e-05,0.013013376203070404,0.027838822159013905,0.004769984659370179,0.0020913923759533527,0.06788423445966885,0.09090835622183117,0.05428654449347602,0.00042232950945808893,0.0016772184798874755,0.0041368650429493845,9.367235166907436e-05,0.003103648242611779,0.013570168415104328,0.00028320100710004295,7.896104576683638e-05,0.0014187691490163386,0.033347252542123784,0.000666216076917596,0.0031398941113470963,0.0038905729557287237,0.008611716481992744,0.00026642482618143004,0.00020850469985326508,0.001647861196266467,0.01567822261296881,0.00136329667265085,0.0003779901041230783,0.001704405117912582,5.9960101535736547e-05,0.0016848218093079676,0.0012666557626666137,0.00021207241185704738,0.09171132696627932,0.000769296670463645,0.0009660335459760781,0.0014275978211163779,0.008169202381455205,0.00997136520557971,0.0014263969410555422,0.0013384458356544338,0.010947525059501634,0.006558139161993939,0.0032182481207351267,0.0022484965337908327,0.0003140876880869373,0.0024682274313859724,0.05831555264560285,0.008237989360761868,0.0003325171584310614,0.03941541182545685,0.015081049221442577,0.00129178597676246,0.00026818926542571873,0.00013918985624284075,0.0003774255753655743,0.0002412217175887191,0.002837959384575459,0.0018087139205483199,0.002257364260919699,0.004459768706010654,0.052130679250984434,0.013173863467381338,0.02719131959422942,0.0007694030261320026,0.0017580499982784293,0.03387193046345989,9.023687676875625e-05,0.014187855841057768,0.004375312484004118,0.0001245360182454503,0.0004200121223483807,0.00020738005175202482,0.0003708350125571976,0.001009150822708138,0.00017141732314053838,0.005286703290995279,0.007391132533488449,0.00011514368904196359,9.867746477502259e-05,0.009516815258376056,0.0002593289273537598,0.0918046266479101,7.8383333334171e-05,0.005649955610718135,0.035345417359681254,4.370274275904496e-05,0.001214179897327402,0.0005438939033851536,0.00682447550625569,0.021519991497358566,0.0029414845038575493,0.0002806938539088026,0.0038213268225700085,0.0034288081434987023,0.005753119024332293
6,0.00030778876261739906,0.0016312833615064587,0.0033596888599712283,0.0005218901028415174,0.0024958650065571163,0.0004984248581899846,0.03256520503331392,0.0020758994549606564,0.0009191502139388823,0.09689021715219909,0.06597302645474647,0.06671317453418182,0.00530866070998499,0.0016093011749170056,0.002775320617183573,0.0005665845566551243,0.0027973191085853373,0.011477533083547556,6.300461004880239e-05,0.0005724802155474377,0.0003740570705358158,0.03466989048861526,0.0018376834087053045,0.00012919521944197804,0.00011511672862902899,0.0007306621916570443,0.001596984245663512,0.00011686644255674468,0.004230950766444716,0.004950028730911551,9.931047781768945e-05,0.005859497557027323,0.003837517045005735,8.527461692212451e-05,0.0004978342122666638,0.0003614832348235114,0.008142191127953686,0.08511565546550313,0.003339313162326796,0.0010340582570812576,0.008210632432189472,0.004971713060373656,0.005594776403944365,0.00018892503876327655,0.00018633068528495778,0.0022962454019084693,0.004907833080040465,0.0024177064864935424,0.00012442379968596884,0.0015214228340276672,0.0020799938376630774,0.05596329799826463,0.007234868814447244,0.0008908206770098582,0.03631918582438449,0.00973350143473337,0.001636655658052295,4.8171645770962566e-05,0.0012463282823938046,0.002940616915637766,0.0009724491213825352,0.0004616784841266322,0.0005502663393973818,0.00042346254820998337,0.005045603050604383,0.03448287882633052,0.02347534651652,0.030156549700845494,0.0021004116228568273,0.0003091121511151289,0.03615094607103566,0.0007683312371422273,0.014257253160053964,0.006531493940788265,0.0009923089647903213,9.36766199899616e-05,0.00134264920907469,0.0003332530785774641,0.001137117392617422,0.006562789105332205,0.011648008257132648,0.022167460993039872,0.0021416821392947604,0.0016831283093254434,0.0008937602158980083,0.0006644524635190695,0.10972156114621458,0.0033792058089300815,0.006523575521233855,0.014518239775372916,0.001859340889585074,0.00018261732523353194,0.0011328983719734453,0.010451363219016583,0.027411208505104895,0.0010793588432414308,0.0027487143642827704,0.00045437076291615966,0.00516053135822933,0.005272105957211963
7,0.004667248979463841,0.004504312681107221,0.003952239001954995,0.001298408969712417,5.2228203352577075e-05,9.301052648444764e-05,0.025530789043243313,0.004077585764568789,7.915575408069301e-05,0.07471158245189184,0.074414210016862,0.06406572768997663,0.0001151164666767323,0.0008492222139790016,0.003901170355737365,9.877617693852117e-05,0.00031106640084722773,0.0019014748693879197,0.0044796446989973145,0.0008378401079787999,8.604548693047734e-05,0.009010513449156713,9.177495338386563e-05,9.57921268887658e-05,0.0012220418071348003,0.0009151307797303375,0.0023537607897100533,8.665092363933797e-05,0.0013338276064998806,0.021482889971541897,0.0004107828290530686,0.00015999802510235637,0.002158218009231536,0.00025048436908091257,0.005604101652657001,0.0004390752590799889,0.01447428226245144,0.08246191869518886,0.00024886192971046065,0.002501767524383356,0.002686615830732048,0.0007408289297561882,0.00998479665948622,0.001590414050538827,0.00013815536461164033,0.001960449620657516,0.00017581868366534767,0.0013361017723877559,0.0018624534515847067,0.0001772998777596273,0.0025658691154101646,0.07975040732143598,0.03281605521241956,0.0013022422416108961,0.04506166864636788,0.004322743300509964,0.004949322678999191,3.571699033496434e-05,0.0011402549787580536,0.0009395207088433855,0.007507118639585631,0.0004204530477153385,0.005143047979159987,0.001206306737964938,0.0030905876455459245,0.04177535621783172,0.023225365161349733,0.028600298977452074,0.0007767573704306072,0.0001567073661345342,0.01697000617089719,0.0007680069847189289,0.021479747771656923,0.0004697579314566576,0.0009954162850768764,6.945677020672672e-05,7.721079820863257e-05,9.020504114991534e-05,0.0006614589521312052,0.0026889462829613672,0.015828107667953586,0.01777003717065308,0.001980153527193883,0.0001040539982907278,0.00010563494577636196,0.0013127215227957394,0.14340160836477925,0.002202672529865265,0.006974318624927074,0.012488330845305132,4.608392737609975e-05,8.73995108172371e-05,0.0036102975177722957,0.003962790687580378,0.014584168779136064,0.00013675518936917907,0.00014862481982034446,0.0011179882901948338,0.008231003801804422,0.0008695718872875044
8,0.0004673776082256948,0.0029517129416400637,0.00010854311497190653,0.0038060816160930748,0.0013432020160579902,9.745167948196181e-05,0.022822144594947885,0.0010540261386555378,8.293535653853678e-05,0.09707429745861658,0.09095165107351776,0.08514397038310045,0.001374466634164613,0.003630006606952134,0.004686759996672451,0.00330740769626613,0.0009524462106543966,0.008429886528742327,4.894551760073329e-05,8.723904578162815e-05,9.01540667509319e-05,0.005679172273866741,0.00041034691335880695,0.000552507523691515,8.942913642170972e-05,0.0003967677594810418,0.0023658867260874126,0.0006830601536276928,0.000161307083107081,0.02370585178557705,7.714995357002999e-05,0.002088325817727219,0.0032602414456583905,0.004743547610683191,0.001319463416350048,0.0003709559758906408,0.0031063127807917767,0.05487274759028185,0.0010232779183679463,0.0011820099003939145,0.005933250932639511,0.0012939387706150135,0.015204910267450557,0.003492139060506831,0.0018322304985094963,0.0036663765640198563,0.0007037132956774117,0.006375836027000199,0.000566851676775093,0.0015331319578181983,0.005900236036797413,0.06949590485425446,0.010089554897628195,0.008535531256555219,0.04144563072748627,0.011861828985831635,0.0016894661430615484,3.74224383598697e-05,0.0036528016804979664,0.007078918306074533,9.376401615244122e-05,0.0035728923332437397,0.004151291817129821,0.002580752836571761,0.014840398532214477,0.028340244374576693,0.023242274411596917,0.02032776516439604,0.00011280375117332952,0.007972010274821525,0.025322755702176316,0.004808414536557617,0.021401949914380266,0.0005963261372973931,0.00048150668456991603,7.277325657510391e-05,0.0024648261178880173,0.0003046229858348041,0.0013022989670724461,0.0022003272788638163,0.011831179962579064,0.009739439811202162,0.0003269437404469449,0.001759056408020012,0.00011067890127053266,0.0008109286560446235,0.10911919402625357,0.003811363787892333,0.004340783719266964,0.009491472300765793,4.8284385538626246e-05,9.157274382771953e-05,0.00021404656886316777,0.015035290295589759,0.018887943722861542,0.0013614203205658908,0.0015555261715019585,0.0020141969791053005,0.00959396335136216,0.0006779726260234055
9,0.00011749642129686563,0.004862502229580793,0.000991083285851603,0.0013066335732728842,0.000149154329076523,0.00011757145515633503,0.016712590734030985,0.0008821073253226427,0.00010005810678665729,0.07119091102555802,0.09036018201933578,0.07941977328580585,0.0035282917222872164,0.0026602765380576102,0.0015933395838338658,0.00012485961854418072,0.0003033661776708637,0.006670747259995275,5.905075990776934e-05,0.0008839295205490349,0.002656446549907005,0.009345374273944442,0.002966549583552307,0.0012550129030371763,0.0013492490881822899,0.000518311025288956,0.0007919767377351051,0.002729543630616639,0.0013044638958062318,0.022873149532231858,0.0034875547695909946,0.0011267093627193349,0.00024105596713200876,0.0033361747632210427,0.00019647806475930584,0.0004915459028567491,0.005586055182660491,0.0712233612388504,0.0001306668542946892,0.0036806987569573107,0.004196878839111259,0.0009636451042485217,0.018694009139308184,0.0001770690604375594,0.005555247354484445,0.010716639729914173,0.0002222464409516351,0.0037161807203238088,0.00011661559235708952,0.0002697647965452208,0.001185789540419432,0.08414254974713785,0.004315512426359271,0.0027561492642957466,0.03636069070269436,0.009752541148684258,0.0016161712843433711,0.006344300546127123,0.0006790399263234886,0.00031461397136560426,0.00038614424902159495,0.00011500109165994066,0.002112252997823431,0.0038721254865100967,0.007701420803573639,0.04051505928893283,0.026111820801460062,0.03483034805409757,0.0045679821941654875,0.0013351732606485685,0.035954719152929714,0.0025354976467166328,0.018160706802255178,0.002397888039717276,0.0039025954347144095,0.0023242192635920273,0.0002463442727281234,0.00019715956300900444,0.0003883334236861382,0.0003402039195657735,0.004025464598829046,0.014214391319403667,0.00015347962163200172,0.00013153113369292983,0.0003205553682145294,0.0007287303517138776,0.09802124327757988,0.0007462985887399672,0.005931081618173908,0.01577837319746452,5.825313118545654e-05,0.002258451472451163,0.0076634168617034796,0.019252645573975307,0.022576063366440084,0.00017286760135696075,0.003197363693548918,0.0003522840269509753,0.006739147650131315,0.0002634034093070318
